migration_time;num_of_mig_cum
300,10;592
600,10;887
900,10;1104
1200,10;1281
1500,10;1450
1800,10;1585
2100,10;1705
2400,10;1795
2700,10;1909
3000,10;1997
3300,10;2101
3600,10;2182
3900,10;2276
4200,10;2384
4500,10;2475
4800,10;2573
5100,10;2652
5400,10;2742
5700,10;2843
6000,10;2928
6300,10;3041
6600,10;3119
6900,10;3210
7200,10;3326
7500,10;3455
7800,10;3550
8100,10;3674
8400,10;3774
8700,10;3857
9000,10;3961
9300,10;4064
9600,10;4159
9900,10;4237
10200,10;4305
10500,10;4371
10800,10;4424
11100,10;4508
11400,10;4611
11700,10;4723
12000,10;4824
12300,10;4947
12600,10;5046
12900,10;5136
13200,10;5209
13500,10;5308
13800,10;5402
14100,10;5497
14400,10;5593
14700,10;5691
15000,10;5782
15300,10;5896
15600,10;5981
15900,10;6058
16200,10;6148
16500,10;6216
16800,10;6336
17100,10;6460
17400,10;6568
17700,10;6682
18000,10;6782
18300,10;6874
18600,10;6985
18900,10;7068
19200,10;7155
19500,10;7252
19800,10;7346
20100,10;7454
20400,10;7531
20700,10;7628
21000,10;7726
21300,10;7826
21600,10;7934
21900,10;8024
22200,10;8099
22500,10;8204
22800,10;8317
23100,10;8425
23400,10;8516
23700,10;8637
24000,10;8708
24300,10;8826
24600,10;8937
24900,10;9011
25200,10;9085
25500,10;9172
25800,10;9269
26100,10;9378
26400,10;9495
26700,10;9575
27000,10;9695
27300,10;9788
27600,10;9872
27900,10;9968
28200,10;10086
28500,10;10210
28800,10;10338
29100,10;10446
29400,10;10543
29700,10;10637
30000,10;10707
30300,10;10796
30600,10;10887
30900,10;10965
31200,10;11076
31500,10;11177
31800,10;11269
32100,10;11381
32400,10;11471
32700,10;11570
33000,10;11668
33300,10;11772
33600,10;11881
33900,10;11989
34200,10;12088
34500,10;12149
34800,10;12235
35100,10;12353
35400,10;12452
35700,10;12562
36000,10;12677
36300,10;12757
36600,10;12855
36900,10;12959
37200,10;13054
37500,10;13157
37800,10;13253
38100,10;13323
38400,10;13427
38700,10;13525
39000,10;13595
39300,10;13658
39600,10;13765
39900,10;13862
40200,10;13959
40500,10;14049
40800,10;14164
41100,10;14280
41400,10;14387
41700,10;14464
42000,10;14557
42300,10;14645
42600,10;14724
42900,10;14814
43200,10;14933
43500,10;15059
43800,10;15142
44100,10;15245
44400,10;15329
44700,10;15415
45000,10;15526
45300,10;15654
45600,10;15738
45900,10;15845
46200,10;15954
46500,10;16071
46800,10;16160
47100,10;16231
47400,10;16326
47700,10;16410
48000,10;16503
48300,10;16617
48600,10;16710
48900,10;16798
49200,10;16882
49500,10;16966
49800,10;17061
50100,10;17153
50400,10;17257
50700,10;17350
51000,10;17431
51300,10;17535
51600,10;17627
51900,10;17735
52200,10;17821
52500,10;17911
52800,10;18001
53100,10;18106
53400,10;18224
53700,10;18304
54000,10;18404
54300,10;18497
54600,10;18577
54900,10;18649
55200,10;18726
55500,10;18805
55800,10;18904
56100,10;18984
56400,10;19069
56700,10;19189
57000,10;19254
57300,10;19356
57600,10;19445
57900,10;19534
58200,10;19674
58500,10;19751
58800,10;19836
59100,10;19920
59400,10;19999
59700,10;20078
60000,10;20197
60300,10;20293
60600,10;20389
60900,10;20473
61200,10;20557
61500,10;20672
61800,10;20757
62100,10;20833
62400,10;20916
62700,10;20999
63000,10;21091
63300,10;21169
63600,10;21246
63900,10;21332
64200,10;21436
64500,10;21541
64800,10;21615
65100,10;21710
65400,10;21802
65700,10;21904
66000,10;21977
66300,10;22080
66600,10;22162
66900,10;22230
67200,10;22297
67500,10;22399
67800,10;22469
68100,10;22575
68400,10;22656
68700,10;22767
69000,10;22842
69300,10;22920
69600,10;23002
69900,10;23081
70200,10;23154
70500,10;23240
70800,10;23325
71100,10;23424
71400,10;23530
71700,10;23617
72000,10;23695
72300,10;23754
72600,10;23820
72900,10;23899
73200,10;23970
73500,10;24057
73800,10;24172
74100,10;24260
74400,10;24349
74700,10;24434
75000,10;24502
75300,10;24559
75600,10;24670
75900,10;24749
76200,10;24797
76500,10;24853
76800,10;24946
77100,10;25024
77400,10;25109
77700,10;25174
78000,10;25222
78300,10;25284
78600,10;25378
78900,10;25485
79200,10;25581
79500,10;25649
79800,10;25733
80100,10;25833
80400,10;25939
80700,10;26028
81000,10;26102
81300,10;26172
81600,10;26239
81900,10;26348
82200,10;26461
82500,10;26558
82800,10;26638
83100,10;26736
83400,10;26823
83700,10;26922
84000,10;26996
84300,10;27065
84600,10;27168
84900,10;27261
85200,10;27343
85500,10;27431
85800,10;27520
86100,10;27620
