migration_time;num_of_mig
300,10;832
600,10;492
900,10;186
1200,10;213
1500,10;274
1800,10;324
2100,10;235
2400,10;270
2700,10;225
3000,10;235
3300,10;206
3600,10;312
3900,10;234
4200,10;298
4500,10;170
4800,10;229
5100,10;152
5400,10;169
5700,10;208
6000,10;214
6300,10;179
6600,10;141
6900,10;151
7200,10;153
7500,10;239
7800,10;159
8100,10;200
8400,10;152
8700,10;156
9000,10;175
9300,10;192
9600,10;175
9900,10;149
10200,10;134
10500,10;150
10800,10;213
11100,10;152
11400,10;187
11700,10;247
12000,10;160
12300,10;245
12600,10;219
12900,10;154
13200,10;211
13500,10;212
13800,10;152
14100,10;223
14400,10;157
14700,10;186
15000,10;126
15300,10;135
15600,10;212
15900,10;99
16200,10;185
16500,10;230
16800,10;129
17100,10;152
17400,10;206
17700,10;197
18000,10;180
18300,10;223
18600,10;151
18900,10;193
19200,10;142
19500,10;189
19800,10;188
20100,10;120
20400,10;147
20700,10;160
21000,10;201
21300,10;181
21600,10;200
21900,10;194
22200,10;141
22500,10;229
22800,10;202
23100,10;139
23400,10;109
23700,10;223
24000,10;134
24300,10;166
24600,10;228
24900,10;144
25200,10;136
25500,10;164
25800,10;187
26100,10;123
26400,10;163
26700,10;130
27000,10;146
27300,10;116
27600,10;152
27900,10;129
28200,10;174
28500,10;214
28800,10;146
29100,10;161
29400,10;180
29700,10;134
30000,10;134
30300,10;158
30600,10;170
30900,10;143
31200,10;175
31500,10;212
31800,10;123
32100,10;262
32400,10;178
32700,10;184
33000,10;146
33300,10;167
33600,10;193
33900,10;153
34200,10;159
34500,10;135
34800,10;185
35100,10;170
35400,10;173
35700,10;150
36000,10;202
36300,10;132
36600,10;143
36900,10;225
37200,10;162
37500,10;169
37800,10;124
38100,10;151
38400,10;172
38700,10;146
39000,10;165
39300,10;149
39600,10;178
39900,10;148
40200,10;199
40500,10;204
40800,10;184
41100,10;166
41400,10;148
41700,10;137
42000,10;178
42300,10;153
42600,10;181
42900,10;173
43200,10;167
43500,10;174
43800,10;91
44100,10;112
44400,10;137
44700,10;135
45000,10;142
45300,10;191
45600,10;147
45900,10;161
46200,10;155
46500,10;122
46800,10;169
47100,10;135
47400,10;200
47700,10;189
48000,10;174
48300,10;148
48600,10;158
48900,10;180
49200,10;146
49500,10;220
49800,10;190
50100,10;128
50400,10;181
50700,10;176
51000,10;137
51300,10;178
51600,10;108
51900,10;134
52200,10;127
52500,10;143
52800,10;124
53100,10;181
53400,10;130
53700,10;149
54000,10;206
54300,10;177
54600,10;167
54900,10;113
55200,10;155
55500,10;151
55800,10;177
56100,10;114
56400,10;167
56700,10;170
57000,10;122
57300,10;178
57600,10;125
57900,10;133
58200,10;137
58500,10;123
58800,10;136
59100,10;168
59400,10;161
59700,10;141
60000,10;101
60300,10;168
60600,10;192
60900,10;150
61200,10;105
61500,10;127
61800,10;151
62100,10;145
62400,10;106
62700,10;119
63000,10;129
63300,10;201
63600,10;121
63900,10;166
64200,10;132
64500,10;191
64800,10;131
65100,10;174
65400,10;172
65700,10;144
66000,10;144
66300,10;161
66600,10;195
66900,10;124
67200,10;151
67500,10;155
67800,10;141
68100,10;143
68400,10;174
68700,10;133
69000,10;137
69300,10;139
69600,10;179
69900,10;113
70200,10;157
70500,10;158
70800,10;220
71100,10;108
71400,10;219
71700,10;161
72000,10;165
72300,10;103
72600,10;136
72900,10;188
73200,10;130
73500,10;186
73800,10;152
74100,10;118
74400,10;103
74700,10;121
75000,10;113
75300,10;113
75600,10;161
75900,10;198
76200,10;84
76500,10;106
76800,10;129
77100,10;233
77400,10;102
77700,10;253
78000,10;101
78300,10;201
78600,10;57
78900,10;187
79200,10;175
79500,10;120
79800,10;172
80100,10;144
80400,10;122
80700,10;110
81000,10;182
81300,10;134
81600,10;135
81900,10;215
82200,10;174
82500,10;112
82800,10;89
83100,10;144
83400,10;121
83700,10;221
84000,10;103
84300,10;133
84600,10;95
84900,10;128
85200,10;73
85500,10;189
85800,10;117
86100,10;222
