time;num_of_active_hosts
30,10;776
60,10;133
90,10;62
120,10;84
150,10;92
180,10;125
210,10;117
240,10;101
270,10;96
300,10;86
330,10;78
360,10;113
390,10;72
420,10;132
450,10;73
480,10;81
510,10;76
540,10;79
570,10;82
600,10;81
630,10;98
660,10;75
690,10;73
720,10;68
750,10;112
780,10;96
810,10;98
840,10;71
870,10;80
900,10;65
930,10;112
960,10;84
990,10;69
1020,10;70
1050,10;72
1080,10;71
1110,10;50
1140,10;94
1170,10;96
1200,10;80
1230,10;86
1260,10;78
1290,10;71
1320,10;82
1350,10;78
1380,10;62
1410,10;82
1440,10;85
1470,10;88
1500,10;65
1530,10;77
1560,10;102
1590,10;54
1620,10;92
1650,10;88
1680,10;88
1710,10;83
1740,10;96
1770,10;82
1800,10;87
1830,10;98
1860,10;76
1890,10;105
1920,10;61
1950,10;102
1980,10;84
2010,10;65
2040,10;85
2070,10;60
2100,10;105
2130,10;76
2160,10;87
2190,10;88
2220,10;66
2250,10;102
2280,10;95
2310,10;83
2340,10;70
2370,10;110
2400,10;61
2430,10;96
2460,10;87
2490,10;82
2520,10;103
2550,10;75
2580,10;72
2610,10;81
2640,10;118
2670,10;61
2700,10;87
2730,10;73
2760,10;76
2790,10;54
2820,10;89
2850,10;111
2880,10;64
2910,10;89
2940,10;71
2970,10;87
3000,10;80
3030,10;75
3060,10;85
3090,10;85
3120,10;94
3150,10;78
3180,10;60
3210,10;119
3240,10;72
3270,10;95
3300,10;71
3330,10;88
3360,10;81
3390,10;100
3420,10;70
3450,10;59
3480,10;111
3510,10;69
3540,10;96
3570,10;71
3600,10;99
3630,10;61
3660,10;78
3690,10;90
3720,10;84
3750,10;91
3780,10;87
3810,10;73
3840,10;74
3870,10;89
3900,10;102
3930,10;79
3960,10;102
3990,10;70
4020,10;96
4050,10;93
4080,10;66
4110,10;97
4140,10;104
4170,10;64
4200,10;102
4230,10;76
4260,10;79
4290,10;62
4320,10;76
4350,10;87
4380,10;68
4410,10;77
4440,10;93
4470,10;72
4500,10;75
4530,10;85
4560,10;85
4590,10;83
4620,10;91
4650,10;65
4680,10;99
4710,10;76
4740,10;88
4770,10;83
4800,10;87
4830,10;79
4860,10;69
4890,10;100
4920,10;59
4950,10;93
4980,10;91
5010,10;72
5040,10;67
5070,10;70
5100,10;64
5130,10;97
5160,10;80
5190,10;99
5220,10;73
5250,10;88
5280,10;70
5310,10;86
5340,10;64
5370,10;75
5400,10;80
5430,10;72
5460,10;84
5490,10;87
5520,10;76
5550,10;72
5580,10;72
5610,10;66
5640,10;88
5670,10;92
5700,10;67
5730,10;85
5760,10;67
5790,10;72
5820,10;88
5850,10;78
5880,10;82
5910,10;83
5940,10;75
5970,10;78
6000,10;71
6030,10;80
6060,10;98
6090,10;67
6120,10;63
6150,10;79
6180,10;76
6210,10;77
6240,10;64
6270,10;73
6300,10;66
6330,10;90
6360,10;51
6390,10;68
6420,10;78
6450,10;86
6480,10;80
6510,10;97
6540,10;106
6570,10;72
6600,10;79
6630,10;79
6660,10;92
6690,10;57
6720,10;62
6750,10;92
6780,10;68
6810,10;63
6840,10;79
6870,10;74
6900,10;80
6930,10;65
6960,10;78
6990,10;53
7020,10;73
7050,10;63
7080,10;103
7110,10;70
7140,10;92
7170,10;59
7200,10;81
7230,10;65
7260,10;89
7290,10;66
7320,10;52
7350,10;92
7380,10;74
7410,10;57
7440,10;61
7470,10;64
7500,10;78
7530,10;68
7560,10;78
7590,10;98
7620,10;52
7650,10;62
7680,10;55
7710,10;136
7740,10;52
7770,10;102
7800,10;51
7830,10;68
7860,10;48
7890,10;75
7920,10;86
7950,10;56
7980,10;74
8010,10;75
8040,10;65
8070,10;71
8100,10;77
8130,10;67
8160,10;55
8190,10;102
8220,10;80
8250,10;45
8280,10;55
8310,10;89
8340,10;71
8370,10;89
8400,10;59
8430,10;64
8460,10;50
8490,10;77
8520,10;64
8550,10;100
8580,10;52
8610,10;78
8640,10;71
8670,10;104
8700,10;71
8730,10;71
8760,10;89
8790,10;58
8820,10;70
8850,10;65
8880,10;82
8910,10;56
8940,10;77
8970,10;73
9000,10;75
9030,10;55
9060,10;92
9090,10;71
9120,10;83
9150,10;58
9180,10;62
9210,10;73
9240,10;82
9270,10;71
9300,10;65
9330,10;57
9360,10;57
9390,10;68
9420,10;88
9450,10;104
9480,10;62
9510,10;63
9540,10;50
9570,10;73
9600,10;73
9630,10;53
9660,10;66
9690,10;71
9720,10;78
9750,10;60
9780,10;86
9810,10;70
9840,10;69
9870,10;85
9900,10;63
9930,10;60
9960,10;78
9990,10;58
10020,10;72
10050,10;64
10080,10;72
10110,10;82
10140,10;60
10170,10;72
10200,10;112
10230,10;54
10260,10;72
10290,10;94
10320,10;56
10350,10;80
10380,10;83
10410,10;67
10440,10;80
10470,10;76
10500,10;75
10530,10;82
10560,10;59
10590,10;91
10620,10;85
10650,10;53
10680,10;79
10710,10;60
10740,10;77
10770,10;71
10800,10;68
10830,10;76
10860,10;52
10890,10;95
10920,10;84
10950,10;81
10980,10;56
11010,10;118
11040,10;59
11070,10;84
11100,10;84
11130,10;79
11160,10;80
11190,10;62
11220,10;80
11250,10;64
11280,10;94
11310,10;50
11340,10;77
11370,10;72
11400,10;62
11430,10;59
11460,10;80
11490,10;111
11520,10;74
11550,10;76
11580,10;54
11610,10;86
11640,10;85
11670,10;76
11700,10;90
11730,10;61
11760,10;70
11790,10;80
11820,10;48
11850,10;114
11880,10;79
11910,10;109
11940,10;69
11970,10;84
12000,10;80
12030,10;72
12060,10;65
12090,10;58
12120,10;88
12150,10;74
12180,10;92
12210,10;76
12240,10;106
12270,10;52
12300,10;77
12330,10;90
12360,10;84
12390,10;89
12420,10;73
12450,10;68
12480,10;80
12510,10;80
12540,10;92
12570,10;90
12600,10;94
12630,10;67
12660,10;98
12690,10;102
12720,10;67
12750,10;63
12780,10;83
12810,10;60
12840,10;89
12870,10;72
12900,10;81
12930,10;76
12960,10;74
12990,10;89
13020,10;64
13050,10;75
13080,10;72
13110,10;73
13140,10;66
13170,10;86
13200,10;68
13230,10;91
13260,10;93
13290,10;62
13320,10;103
13350,10;72
13380,10;83
13410,10;77
13440,10;88
13470,10;77
13500,10;73
13530,10;104
13560,10;63
13590,10;88
13620,10;117
13650,10;67
13680,10;79
13710,10;88
13740,10;63
13770,10;76
13800,10;79
13830,10;77
13860,10;69
13890,10;87
13920,10;64
13950,10;90
13980,10;72
14010,10;83
14040,10;80
14070,10;77
14100,10;91
14130,10;73
14160,10;79
14190,10;67
14220,10;93
14250,10;71
14280,10;91
14310,10;87
14340,10;64
14370,10;81
14400,10;75
14430,10;83
14460,10;98
14490,10;86
14520,10;74
14550,10;67
14580,10;65
14610,10;74
14640,10;75
14670,10;81
14700,10;85
14730,10;67
14760,10;66
14790,10;69
14820,10;72
14850,10;97
14880,10;76
14910,10;77
14940,10;60
14970,10;96
15000,10;57
15030,10;77
15060,10;76
15090,10;89
15120,10;78
15150,10;68
15180,10;76
15210,10;78
15240,10;65
15270,10;71
15300,10;85
15330,10;55
15360,10;66
15390,10;74
15420,10;81
15450,10;74
15480,10;64
15510,10;76
15540,10;85
15570,10;71
15600,10;79
15630,10;56
15660,10;63
15690,10;59
15720,10;82
15750,10;59
15780,10;81
15810,10;78
15840,10;74
15870,10;57
15900,10;84
15930,10;55
15960,10;56
15990,10;88
16020,10;73
16050,10;65
16080,10;59
16110,10;60
16140,10;67
16170,10;69
16200,10;69
16230,10;99
16260,10;53
16290,10;63
16320,10;54
16350,10;106
16380,10;45
16410,10;109
16440,10;52
16470,10;77
16500,10;51
16530,10;78
16560,10;86
16590,10;70
16620,10;50
16650,10;73
16680,10;62
16710,10;63
16740,10;74
16770,10;59
16800,10;52
16830,10;113
16860,10;73
16890,10;47
16920,10;71
16950,10;90
16980,10;51
17010,10;93
17040,10;48
17070,10;65
17100,10;52
17130,10;68
17160,10;58
17190,10;79
17220,10;40
17250,10;80
17280,10;67
