migration_time;num_of_mig
300,10;838
600,10;140
900,10;114
1200,10;94
1500,10;118
1800,10;119
2100,10;118
2400,10;109
2700,10;91
3000,10;67
3300,10;101
3600,10;90
3900,10;94
4200,10;107
4500,10;91
4800,10;83
5100,10;62
5400,10;92
5700,10;53
6000,10;91
6300,10;68
6600,10;69
6900,10;80
7200,10;95
7500,10;102
7800,10;73
8100,10;53
8400,10;63
8700,10;66
9000,10;84
9300,10;84
9600,10;82
9900,10;78
10200,10;81
10500,10;59
10800,10;86
11100,10;63
11400,10;66
11700,10;56
12000,10;68
12300,10;71
12600,10;66
12900,10;93
13200,10;74
13500,10;76
13800,10;66
14100,10;83
14400,10;78
14700,10;65
15000,10;58
15300,10;82
15600,10;64
15900,10;71
16200,10;80
16500,10;77
16800,10;81
17100,10;84
17400,10;90
17700,10;84
18000,10;77
18300,10;57
18600,10;72
18900,10;56
19200,10;73
19500,10;91
19800,10;84
20100,10;100
20400,10;76
20700,10;82
21000,10;61
21300,10;59
21600,10;60
21900,10;61
22200,10;71
22500,10;83
22800,10;69
23100,10;57
23400,10;86
23700,10;70
24000,10;87
24300,10;69
24600,10;64
24900,10;65
25200,10;67
25500,10;68
25800,10;63
26100,10;82
26400,10;83
26700,10;72
27000,10;70
27300,10;83
27600,10;75
27900,10;90
28200,10;95
28500,10;62
28800,10;69
29100,10;83
29400,10;69
29700,10;72
30000,10;72
30300,10;72
30600,10;57
30900,10;60
31200,10;89
31500,10;82
31800,10;111
32100,10;78
32400,10;93
32700,10;86
33000,10;73
33300,10;65
33600,10;75
33900,10;66
34200,10;69
34500,10;68
34800,10;82
35100,10;74
35400,10;75
35700,10;93
36000,10;59
36300,10;62
36600,10;97
36900,10;54
37200,10;75
37500,10;65
37800,10;88
38100,10;76
38400,10;74
38700,10;88
39000,10;94
39300,10;90
39600,10;78
39900,10;71
40200,10;81
40500,10;63
40800,10;62
41100,10;83
41400,10;61
41700,10;69
42000,10;77
42300,10;64
42600,10;71
42900,10;86
43200,10;86
43500,10;86
43800,10;59
44100,10;61
44400,10;67
44700,10;66
45000,10;76
45300,10;74
45600,10;67
45900,10;84
46200,10;69
46500,10;83
46800,10;71
47100,10;66
47400,10;82
47700,10;77
48000,10;84
48300,10;76
48600,10;92
48900,10;61
49200,10;70
49500,10;64
49800,10;76
50100,10;65
50400,10;70
50700,10;54
51000,10;66
51300,10;73
51600,10;77
51900,10;71
52200,10;76
52500,10;55
52800,10;85
53100,10;64
53400,10;57
53700,10;83
54000,10;75
54300,10;67
54600,10;72
54900,10;72
55200,10;73
55500,10;99
55800,10;74
56100,10;63
56400,10;72
56700,10;64
57000,10;69
57300,10;70
57600,10;78
57900,10;82
58200,10;96
58500,10;62
58800,10;56
59100,10;60
59400,10;77
59700,10;79
60000,10;57
60300,10;82
60600,10;58
60900,10;54
61200,10;73
61500,10;80
61800,10;74
62100,10;59
62400,10;73
62700,10;57
63000,10;71
63300,10;40
63600,10;43
63900,10;65
64200,10;82
64500,10;66
64800,10;59
65100,10;68
65400,10;65
65700,10;79
66000,10;62
66300,10;82
66600,10;68
66900,10;73
67200,10;86
67500,10;78
67800,10;53
68100,10;66
68400,10;71
68700,10;80
69000,10;68
69300,10;82
69600,10;58
69900,10;67
70200,10;47
70500,10;98
70800,10;61
71100,10;55
71400,10;74
71700,10;68
72000,10;61
72300,10;67
72600,10;58
72900,10;59
73200,10;83
73500,10;70
73800,10;67
74100,10;71
74400,10;76
74700,10;62
75000,10;46
75300,10;67
75600,10;93
75900,10;67
76200,10;66
76500,10;55
76800,10;107
77100,10;69
77400,10;98
77700,10;60
78000,10;71
78300,10;51
78600,10;62
78900,10;67
79200,10;57
79500,10;67
79800,10;74
80100,10;74
80400,10;48
80700,10;77
81000,10;57
81300,10;55
81600,10;61
81900,10;89
82200,10;63
82500,10;82
82800,10;71
83100,10;62
83400,10;62
83700,10;50
84000,10;56
84300,10;62
84600,10;53
84900,10;42
85200,10;64
85500,10;38
85800,10;66
86100,10;74
