migration_time;num_of_mig_cum
30,10;838
60,10;954
90,10;1080
120,10;1193
150,10;1307
180,10;1395
210,10;1489
240,10;1573
270,10;1663
300,10;1767
330,10;1867
360,10;1949
390,10;2047
420,10;2130
450,10;2218
480,10;2292
510,10;2373
540,10;2453
570,10;2548
600,10;2645
630,10;2720
660,10;2796
690,10;2884
720,10;2971
750,10;3080
780,10;3173
810,10;3240
840,10;3307
870,10;3397
900,10;3504
930,10;3588
960,10;3658
990,10;3723
1020,10;3818
1050,10;3886
1080,10;3985
1110,10;4080
1140,10;4155
1170,10;4207
1200,10;4293
1230,10;4359
1260,10;4408
1290,10;4481
1320,10;4535
1350,10;4619
1380,10;4693
1410,10;4772
1440,10;4864
1470,10;4943
1500,10;5013
1530,10;5106
1560,10;5163
1590,10;5233
1620,10;5306
1650,10;5379
1680,10;5444
1710,10;5521
1740,10;5582
1770,10;5660
1800,10;5726
1830,10;5786
1860,10;5869
1890,10;5914
1920,10;5994
1950,10;6090
1980,10;6154
2010,10;6220
2040,10;6292
2070,10;6396
2100,10;6477
2130,10;6553
2160,10;6626
2190,10;6701
2220,10;6773
2250,10;6837
2280,10;6907
2310,10;6985
2340,10;7083
2370,10;7169
2400,10;7236
2430,10;7324
2460,10;7408
2490,10;7487
2520,10;7563
2550,10;7650
2580,10;7728
2610,10;7829
2640,10;7885
2670,10;7962
2700,10;8033
2730,10;8117
2760,10;8187
2790,10;8284
2820,10;8396
2850,10;8488
2880,10;8572
2910,10;8643
2940,10;8721
2970,10;8800
3000,10;8882
3030,10;8969
3060,10;9035
3090,10;9111
3120,10;9184
3150,10;9259
3180,10;9377
3210,10;9476
3240,10;9565
3270,10;9648
3300,10;9742
3330,10;9818
3360,10;9890
3390,10;9968
3420,10;10035
3450,10;10104
3480,10;10166
3510,10;10250
3540,10;10327
3570,10;10394
3600,10;10458
3630,10;10521
3660,10;10599
3690,10;10681
3720,10;10761
3750,10;10833
3780,10;10910
3810,10;10972
3840,10;11039
3870,10;11117
3900,10;11189
3930,10;11266
3960,10;11329
3990,10;11398
4020,10;11473
4050,10;11545
4080,10;11619
4110,10;11692
4140,10;11763
4170,10;11838
4200,10;11907
4230,10;11979
4260,10;12046
4290,10;12120
4320,10;12200
4350,10;12285
4380,10;12362
4410,10;12432
4440,10;12501
4470,10;12577
4500,10;12665
4530,10;12742
4560,10;12812
4590,10;12880
4620,10;12947
4650,10;13040
4680,10;13107
4710,10;13176
4740,10;13240
4770,10;13320
4800,10;13391
4830,10;13459
4860,10;13524
4890,10;13575
4920,10;13655
4950,10;13742
4980,10;13805
5010,10;13858
5040,10;13936
5070,10;14010
5100,10;14094
5130,10;14159
5160,10;14230
5190,10;14297
5220,10;14372
5250,10;14457
5280,10;14552
5310,10;14616
5340,10;14682
5370,10;14768
5400,10;14824
5430,10;14903
5460,10;14971
5490,10;15051
5520,10;15111
5550,10;15173
5580,10;15244
5610,10;15298
5640,10;15389
5670,10;15465
5700,10;15530
5730,10;15591
5760,10;15667
5790,10;15744
5820,10;15813
5850,10;15883
5880,10;15959
5910,10;16039
5940,10;16112
5970,10;16172
6000,10;16253
6030,10;16331
6060,10;16397
6090,10;16464
6120,10;16526
6150,10;16608
6180,10;16678
6210,10;16756
6240,10;16821
6270,10;16891
6300,10;16963
6330,10;17018
6360,10;17096
6390,10;17156
6420,10;17237
6450,10;17308
6480,10;17355
6510,10;17428
6540,10;17506
6570,10;17581
6600,10;17664
6630,10;17739
6660,10;17808
6690,10;17856
6720,10;17943
6750,10;18022
6780,10;18069
6810,10;18133
6840,10;18210
6870,10;18303
6900,10;18398
6930,10;18467
6960,10;18531
6990,10;18577
7020,10;18629
7050,10;18719
7080,10;18771
7110,10;18846
7140,10;18908
7170,10;18998
7200,10;19057
7230,10;19127
7260,10;19185
7290,10;19260
7320,10;19327
7350,10;19396
7380,10;19452
7410,10;19512
7440,10;19574
7470,10;19635
7500,10;19693
7530,10;19760
7560,10;19835
7590,10;19894
7620,10;19965
7650,10;20016
7680,10;20102
7710,10;20165
7740,10;20264
7770,10;20332
7800,10;20413
7830,10;20462
7860,10;20529
7890,10;20586
7920,10;20637
7950,10;20694
7980,10;20763
8010,10;20820
8040,10;20862
8070,10;20925
8100,10;20977
8130,10;21038
8160,10;21126
8190,10;21202
8220,10;21268
8250,10;21314
8280,10;21376
8310,10;21418
8340,10;21491
8370,10;21547
8400,10;21604
8430,10;21684
8460,10;21742
8490,10;21789
8520,10;21864
8550,10;21911
8580,10;21966
8610,10;22014
8640,10;22086
8670,10;22150
8700,10;22206
8730,10;22278
8760,10;22340
8790,10;22389
8820,10;22443
8850,10;22492
8880,10;22554
8910,10;22631
8940,10;22712
8970,10;22792
9000,10;22843
9030,10;22937
9060,10;23001
9090,10;23086
9120,10;23142
9150,10;23216
9180,10;23267
9210,10;23332
9240,10;23388
9270,10;23440
9300,10;23503
9330,10;23567
9360,10;23648
9390,10;23733
9420,10;23803
9450,10;23866
9480,10;23906
9510,10;23944
9540,10;24005
9570,10;24083
9600,10;24146
9630,10;24213
9660,10;24280
9690,10;24340
9720,10;24394
9750,10;24470
9780,10;24550
9810,10;24615
9840,10;24698
9870,10;24760
9900,10;24815
9930,10;24887
9960,10;24946
9990,10;25009
10020,10;25078
10050,10;25140
10080,10;25211
10110,10;25254
10140,10;25310
10170,10;25386
10200,10;25460
10230,10;25531
10260,10;25598
10290,10;25663
10320,10;25740
10350,10;25803
10380,10;25892
10410,10;25957
10440,10;26014
10470,10;26080
10500,10;26143
10530,10;26187
10560,10;26277
10590,10;26357
10620,10;26422
10650,10;26503
10680,10;26566
10710,10;26645
10740,10;26703
10770,10;26768
10800,10;26846
10830,10;26911
10860,10;27002
10890,10;27077
10920,10;27152
10950,10;27221
10980,10;27303
11010,10;27374
11040,10;27454
11070,10;27537
11100,10;27615
11130,10;27707
11160,10;27784
11190,10;27868
11220,10;27941
11250,10;28032
11280,10;28102
11310,10;28153
11340,10;28212
11370,10;28293
11400,10;28348
11430,10;28420
11460,10;28510
11490,10;28577
11520,10;28635
11550,10;28700
11580,10;28766
11610,10;28839
11640,10;28917
11670,10;28973
11700,10;29028
11730,10;29084
11760,10;29131
11790,10;29181
11820,10;29270
11850,10;29351
11880,10;29445
11910,10;29505
11940,10;29571
11970,10;29627
12000,10;29694
12030,10;29748
12060,10;29799
12090,10;29870
12120,10;29934
12150,10;30007
12180,10;30074
12210,10;30160
12240,10;30227
12270,10;30282
12300,10;30384
12330,10;30441
12360,10;30514
12390,10;30576
12420,10;30638
12450,10;30718
12480,10;30801
12510,10;30857
12540,10;30923
12570,10;30997
12600,10;31069
12630,10;31159
12660,10;31227
12690,10;31292
12720,10;31361
12750,10;31469
12780,10;31543
12810,10;31622
12840,10;31673
12870,10;31753
12900,10;31812
12930,10;31866
12960,10;31940
12990,10;31998
13020,10;32073
13050,10;32132
13080,10;32202
13110,10;32266
13140,10;32361
13170,10;32438
13200,10;32500
13230,10;32566
13260,10;32625
13290,10;32705
13320,10;32763
13350,10;32832
13380,10;32898
13410,10;32980
13440,10;33065
13470,10;33141
13500,10;33222
13530,10;33300
13560,10;33372
13590,10;33450
13620,10;33514
13650,10;33578
13680,10;33635
13710,10;33678
13740,10;33754
13770,10;33821
13800,10;33883
13830,10;33945
13860,10;34014
13890,10;34063
13920,10;34128
13950,10;34202
13980,10;34268
14010,10;34352
14040,10;34428
14070,10;34514
14100,10;34584
14130,10;34657
14160,10;34739
14190,10;34827
14220,10;34897
14250,10;34968
14280,10;35052
14310,10;35109
14340,10;35191
14370,10;35276
14400,10;35347
14430,10;35419
14460,10;35487
14490,10;35543
14520,10;35593
14550,10;35665
14580,10;35725
14610,10;35799
14640,10;35883
14670,10;35983
14700,10;36059
14730,10;36132
14760,10;36192
14790,10;36249
14820,10;36330
14850,10;36388
14880,10;36456
14910,10;36506
14940,10;36583
14970,10;36637
15000,10;36690
15030,10;36748
15060,10;36846
15090,10;36929
15120,10;36984
15150,10;37074
15180,10;37139
15210,10;37217
15240,10;37293
15270,10;37377
15300,10;37424
15330,10;37472
15360,10;37535
15390,10;37615
15420,10;37676
15450,10;37751
15480,10;37839
15510,10;37927
15540,10;38000
15570,10;38054
15600,10;38125
15630,10;38175
15660,10;38227
15690,10;38295
15720,10;38348
15750,10;38436
15780,10;38499
15810,10;38586
15840,10;38631
15870,10;38701
15900,10;38767
15930,10;38840
15960,10;38923
15990,10;38987
16020,10;39040
16050,10;39100
16080,10;39164
16110,10;39229
16140,10;39298
16170,10;39366
16200,10;39465
16230,10;39543
16260,10;39595
16290,10;39639
16320,10;39733
16350,10;39803
16380,10;39896
16410,10;39954
16440,10;40024
16470,10;40072
16500,10;40141
16530,10;40205
16560,10;40255
16590,10;40307
16620,10;40376
16650,10;40423
16680,10;40503
16710,10;40560
16740,10;40633
16770,10;40689
16800,10;40767
16830,10;40854
16860,10;40907
16890,10;40953
16920,10;41031
16950,10;41090
16980,10;41166
17010,10;41220
17040,10;41275
17070,10;41346
17100,10;41418
17130,10;41472
17160,10;41547
17190,10;41607
17220,10;41678
17250,10;41755
17280,10;41852
