time;num_of_active_hosts
30,10;776
60,10;320
90,10;225
120,10;172
150,10;136
180,10;112
210,10;94
240,10;82
270,10;71
300,10;78
330,10;67
360,10;72
390,10;67
420,10;76
450,10;96
480,10;74
510,10;69
540,10;62
570,10;79
600,10;75
630,10;89
660,10;88
690,10;79
720,10;65
750,10;102
780,10;92
810,10;104
840,10;85
870,10;80
900,10;76
930,10;97
960,10;94
990,10;79
1020,10;70
1050,10;75
1080,10;73
1110,10;67
1140,10;82
1170,10;92
1200,10;82
1230,10;75
1260,10;73
1290,10;66
1320,10;73
1350,10;74
1380,10;72
1410,10;76
1440,10;90
1470,10;83
1500,10;78
1530,10;67
1560,10;89
1590,10;79
1620,10;73
1650,10;77
1680,10;69
1710,10;87
1740,10;100
1770,10;80
1800,10;82
1830,10;79
1860,10;71
1890,10;79
1920,10;63
1950,10;91
1980,10;111
2010,10;84
2040,10;71
2070,10;64
2100,10;79
2130,10;91
2160,10;85
2190,10;86
2220,10;78
2250,10;94
2280,10;102
2310,10;81
2340,10;71
2370,10;81
2400,10;69
2430,10;89
2460,10;92
2490,10;81
2520,10;78
2550,10;68
2580,10;61
2610,10;65
2640,10;106
2670,10;84
2700,10;84
2730,10;82
2760,10;94
2790,10;86
2820,10;84
2850,10;131
2880,10;87
2910,10;87
2940,10;68
2970,10;77
3000,10;73
3030,10;79
3060,10;80
3090,10;71
3120,10;78
3150,10;77
3180,10;71
3210,10;87
3240,10;75
3270,10;97
3300,10;75
3330,10;90
3360,10;87
3390,10;85
3420,10;74
3450,10;65
3480,10;82
3510,10;81
3540,10;85
3570,10;80
3600,10;90
3630,10;69
3660,10;67
3690,10;97
3720,10;90
3750,10;86
3780,10;77
3810,10;74
3840,10;82
3870,10;82
3900,10;82
3930,10;81
3960,10;81
3990,10;72
4020,10;77
4050,10;94
4080,10;79
4110,10;85
4140,10;83
4170,10;82
4200,10;89
4230,10;76
4260,10;82
4290,10;74
4320,10;74
4350,10;83
4380,10;72
4410,10;81
4440,10;83
4470,10;65
4500,10;75
4530,10;91
4560,10;92
4590,10;79
4620,10;82
4650,10;69
4680,10;86
4710,10;76
4740,10;83
4770,10;75
4800,10;93
4830,10;88
4860,10;86
4890,10;82
4920,10;68
4950,10;68
4980,10;90
5010,10;92
5040,10;76
5070,10;86
5100,10;76
5130,10;90
5160,10;79
5190,10;98
5220,10;77
5250,10;94
5280,10;89
5310,10;83
5340,10;84
5370,10;70
5400,10;87
5430,10;67
5460,10;88
5490,10;85
5520,10;88
5550,10;91
5580,10;89
5610,10;78
5640,10;82
5670,10;90
5700,10;79
5730,10;88
5760,10;65
5790,10;70
5820,10;87
5850,10;75
5880,10;84
5910,10;69
5940,10;68
5970,10;82
6000,10;73
6030,10;79
6060,10;92
6090,10;89
6120,10;79
6150,10;65
6180,10;86
6210,10;90
6240,10;74
6270,10;80
6300,10;81
6330,10;92
6360,10;76
6390,10;71
6420,10;79
6450,10;87
6480,10;72
6510,10;63
6540,10;92
6570,10;86
6600,10;75
6630,10;71
6660,10;101
6690,10;71
6720,10;58
6750,10;71
6780,10;85
6810,10;87
6840,10;67
6870,10;81
6900,10;80
6930,10;66
6960,10;68
6990,10;77
7020,10;76
7050,10;76
7080,10;93
7110,10;74
7140,10;79
7170,10;68
7200,10;74
7230,10;60
7260,10;73
7290,10;60
7320,10;50
7350,10;93
7380,10;94
7410,10;80
7440,10;69
7470,10;79
7500,10;70
7530,10;61
7560,10;68
7590,10;78
7620,10;67
7650,10;62
7680,10;55
7710,10;89
7740,10;67
7770,10;87
7800,10;71
7830,10;65
7860,10;48
7890,10;72
7920,10;67
7950,10;65
7980,10;68
8010,10;69
8040,10;71
8070,10;71
8100,10;88
8130,10;60
8160,10;52
8190,10;73
8220,10;80
8250,10;56
8280,10;55
8310,10;73
8340,10;57
8370,10;80
8400,10;69
8430,10;66
8460,10;63
8490,10;70
8520,10;68
8550,10;73
8580,10;59
8610,10;68
8640,10;67
8670,10;70
8700,10;91
8730,10;65
8760,10;72
8790,10;64
8820,10;96
8850,10;74
8880,10;67
8910,10;67
8940,10;56
8970,10;59
9000,10;64
9030,10;63
9060,10;98
9090,10;92
9120,10;75
9150,10;72
9180,10;62
9210,10;68
9240,10;81
9270,10;83
9300,10;72
9330,10;69
9360,10;66
9390,10;75
9420,10;75
9450,10;63
9480,10;66
9510,10;70
9540,10;62
9570,10;79
9600,10;80
9630,10;70
9660,10;58
9690,10;74
9720,10;64
9750,10;65
9780,10;77
9810,10;83
9840,10;64
9870,10;79
9900,10;57
9930,10;67
9960,10;73
9990,10;65
10020,10;72
10050,10;71
10080,10;63
10110,10;85
10140,10;79
10170,10;71
10200,10;94
10230,10;63
10260,10;71
10290,10;60
10320,10;75
10350,10;81
10380,10;91
10410,10;99
10440,10;80
10470,10;65
10500,10;79
10530,10;80
10560,10;67
10590,10;85
10620,10;87
10650,10;63
10680,10;67
10710,10;61
10740,10;88
10770,10;78
10800,10;69
10830,10;84
10860,10;69
10890,10;86
10920,10;85
10950,10;99
10980,10;74
11010,10;76
11040,10;64
11070,10;76
11100,10;89
11130,10;86
11160,10;65
11190,10;78
11220,10;78
11250,10;67
11280,10;68
11310,10;71
11340,10;76
11370,10;76
11400,10;80
11430,10;55
11460,10;91
11490,10;111
11520,10;78
11550,10;75
11580,10;65
11610,10;63
11640,10;78
11670,10;70
11700,10;77
11730,10;66
11760,10;79
11790,10;82
11820,10;70
11850,10;78
11880,10;71
11910,10;94
11940,10;83
11970,10;76
12000,10;70
12030,10;78
12060,10;63
12090,10;62
12120,10;90
12150,10;76
12180,10;71
12210,10;73
12240,10;105
12270,10;75
12300,10;60
12330,10;89
12360,10;79
12390,10;80
12420,10;81
12450,10;78
12480,10;72
12510,10;77
12540,10;78
12570,10;66
12600,10;95
12630,10;77
12660,10;73
12690,10;82
12720,10;78
12750,10;76
12780,10;96
12810,10;69
12840,10;93
12870,10;78
12900,10;85
12930,10;67
12960,10;72
12990,10;96
13020,10;80
13050,10;70
13080,10;72
13110,10;77
13140,10;74
13170,10;87
13200,10;68
13230,10;77
13260,10;79
13290,10;82
13320,10;93
13350,10;75
13380,10;91
13410,10;79
13440,10;82
13470,10;70
13500,10;87
13530,10;86
13560,10;70
13590,10;85
13620,10;89
13650,10;87
13680,10;66
13710,10;70
13740,10;62
13770,10;99
13800,10;82
13830,10;75
13860,10;79
13890,10;86
13920,10;81
13950,10;82
13980,10;76
14010,10;66
14040,10;97
14070,10;83
14100,10;75
14130,10;75
14160,10;74
14190,10;83
14220,10;88
14250,10;86
14280,10;89
14310,10;80
14340,10;58
14370,10;74
14400,10;69
14430,10;74
14460,10;83
14490,10;75
14520,10;74
14550,10;64
14580,10;67
14610,10;78
14640,10;85
14670,10;88
14700,10;98
14730,10;93
14760,10;72
14790,10;61
14820,10;65
14850,10;75
14880,10;80
14910,10;70
14940,10;64
14970,10;93
15000,10;80
15030,10;68
15060,10;69
15090,10;94
15120,10;71
15150,10;78
15180,10;98
15210,10;65
15240,10;65
15270,10;73
15300,10;90
15330,10;79
15360,10;63
15390,10;70
15420,10;82
15450,10;64
15480,10;62
15510,10;69
15540,10;78
15570,10;61
15600,10;65
15630,10;64
15660,10;71
15690,10;60
15720,10;93
15750,10;72
15780,10;79
15810,10;63
15840,10;75
15870,10;52
15900,10;69
15930,10;65
15960,10;57
15990,10;85
16020,10;77
16050,10;70
16080,10;70
16110,10;52
16140,10;67
16170,10;62
16200,10;66
16230,10;91
16260,10;62
16290,10;52
16320,10;49
16350,10;96
16380,10;59
16410,10;97
16440,10;68
16470,10;53
16500,10;47
16530,10;65
16560,10;90
16590,10;73
16620,10;78
16650,10;65
16680,10;60
16710,10;59
16740,10;69
16770,10;58
16800,10;46
16830,10;69
16860,10;96
16890,10;69
16920,10;63
16950,10;63
16980,10;64
17010,10;85
17040,10;69
17070,10;67
17100,10;54
17130,10;58
17160,10;64
17190,10;94
17220,10;60
17250,10;70
17280,10;73
