migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;98
2700,10;101
3000,10;89
3300,10;94
3600,10;92
3900,10;106
4200,10;74
4500,10;75
4800,10;63
5100,10;64
5400,10;62
5700,10;86
6000,10;79
6300,10;70
6600,10;64
6900,10;64
7200,10;68
7500,10;104
7800,10;76
8100,10;65
8400,10;67
8700,10;81
9000,10;40
9300,10;62
9600,10;61
9900,10;44
10200,10;70
10500,10;58
10800,10;48
11100,10;55
11400,10;86
11700,10;49
12000,10;64
12300,10;67
12600,10;60
12900,10;60
13200,10;94
13500,10;69
13800,10;64
14100,10;72
14400,10;54
14700,10;83
15000,10;68
15300,10;63
15600,10;121
15900,10;78
16200,10;87
16500,10;79
16800,10;98
17100,10;75
17400,10;76
17700,10;93
18000,10;91
18300,10;65
18600,10;38
18900,10;82
19200,10;61
19500,10;99
19800,10;78
20100,10;71
20400,10;71
20700,10;65
21000,10;60
21300,10;49
21600,10;74
21900,10;91
22200,10;45
22500,10;86
22800,10;58
23100,10;46
23400,10;63
23700,10;77
24000,10;54
24300,10;89
24600,10;72
24900,10;102
25200,10;102
25500,10;55
25800,10;62
26100,10;90
26400,10;56
26700,10;70
27000,10;39
27300,10;81
27600,10;68
27900,10;91
28200,10;93
28500,10;79
28800,10;61
29100,10;63
29400,10;75
29700,10;67
30000,10;81
30300,10;70
30600,10;85
30900,10;58
31200,10;76
31500,10;67
31800,10;62
32100,10;82
32400,10;62
32700,10;75
33000,10;81
33300,10;88
33600,10;64
33900,10;88
34200,10;84
34500,10;60
34800,10;71
35100,10;50
35400,10;84
35700,10;83
36000,10;71
36300,10;45
36600,10;61
36900,10;74
37200,10;62
37500,10;65
37800,10;63
38100,10;59
38400,10;55
38700,10;64
39000,10;70
39300,10;47
39600,10;63
39900,10;49
40200,10;71
40500,10;54
40800,10;69
41100,10;43
41400,10;62
41700,10;60
42000,10;52
42300,10;32
42600,10;47
42900,10;54
43200,10;70
43500,10;77
43800,10;69
44100,10;89
44400,10;82
44700,10;56
45000,10;63
45300,10;83
45600,10;81
45900,10;67
46200,10;68
46500,10;58
46800,10;71
47100,10;56
47400,10;44
47700,10;63
48000,10;49
48300,10;64
48600,10;71
48900,10;71
49200,10;81
49500,10;82
49800,10;86
50100,10;58
50400,10;56
50700,10;63
51000,10;39
51300,10;62
51600,10;50
51900,10;51
52200,10;42
52500,10;50
52800,10;50
53100,10;78
53400,10;34
53700,10;77
54000,10;98
54300,10;57
54600,10;76
54900,10;56
55200,10;64
55500,10;87
55800,10;63
56100,10;77
56400,10;62
56700,10;86
57000,10;59
57300,10;76
57600,10;67
57900,10;58
58200,10;58
58500,10;100
58800,10;73
59100,10;56
59400,10;49
59700,10;64
60000,10;105
60300,10;62
60600,10;83
60900,10;64
61200,10;65
61500,10;60
61800,10;77
62100,10;69
62400,10;67
62700,10;52
63000,10;98
63300,10;50
63600,10;61
63900,10;60
64200,10;59
64500,10;71
64800,10;64
65100,10;64
65400,10;93
65700,10;33
66000,10;51
66300,10;65
66600,10;74
66900,10;53
67200,10;60
67500,10;52
67800,10;64
68100,10;80
68400,10;74
68700,10;53
69000,10;62
69300,10;72
69600,10;69
69900,10;77
70200,10;74
70500,10;75
70800,10;105
71100,10;55
71400,10;94
71700,10;70
72000,10;77
72300,10;32
72600,10;66
72900,10;51
73200,10;39
73500,10;71
73800,10;68
74100,10;63
74400,10;91
74700,10;81
75000,10;53
75300,10;58
75600,10;69
75900,10;70
76200,10;34
76500,10;61
76800,10;49
77100,10;81
77400,10;38
77700,10;77
78000,10;46
78300,10;45
78600,10;42
78900,10;51
79200,10;64
79500,10;50
79800,10;47
80100,10;46
80400,10;65
80700,10;57
81000,10;56
81300,10;61
81600,10;71
81900,10;72
82200,10;81
82500,10;57
82800,10;26
83100,10;55
83400,10;40
83700,10;54
84000,10;44
84300,10;64
84600,10;21
84900,10;77
85200,10;34
85500,10;85
85800,10;36
86100,10;99
