time;num_of_active_hosts
300,10;649
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;91
3000,10;81
3300,10;72
3600,10;65
3900,10;59
4200,10;54
4500,10;55
4800,10;60
5100,10;52
5400,10;53
5700,10;55
6000,10;62
6300,10;60
6600,10;58
6900,10;53
7200,10;53
7500,10;64
7800,10;60
8100,10;64
8400,10;55
8700,10;55
9000,10;51
9300,10;65
9600,10;60
9900,10;53
10200,10;53
10500,10;60
10800,10;55
11100,10;46
11400,10;62
11700,10;59
12000,10;51
12300,10;60
12600,10;54
12900,10;55
13200,10;58
13500,10;49
13800,10;57
14100,10;64
14400,10;56
14700,10;67
15000,10;51
15300,10;56
15600,10;68
15900,10;48
16200,10;56
16500,10;61
16800,10;61
17100,10;63
17400,10;63
17700,10;65
18000,10;59
18300,10;61
18600,10;50
18900,10;64
19200,10;52
19500,10;66
19800,10;65
20100,10;53
20400,10;59
20700,10;53
21000,10;64
21300,10;58
21600,10;55
21900,10;65
22200,10;47
22500,10;63
22800,10;67
23100,10;62
23400,10;54
23700,10;67
24000,10;54
24300,10;65
24600,10;61
24900,10;60
25200,10;62
25500,10;60
25800,10;62
26100,10;59
26400,10;64
26700,10;57
27000,10;58
27300,10;59
27600,10;63
27900,10;56
28200,10;65
28500,10;77
28800,10;55
29100,10;58
29400,10;56
29700,10;59
30000,10;62
30300,10;61
30600,10;63
30900,10;56
31200,10;67
31500,10;60
31800,10;51
32100,10;71
32400,10;58
32700,10;67
33000,10;62
33300,10;58
33600,10;60
33900,10;64
34200,10;57
34500,10;54
34800,10;68
35100,10;55
35400,10;66
35700,10;59
36000,10;67
36300,10;58
36600,10;57
36900,10;66
37200,10;57
37500,10;60
37800,10;63
38100,10;58
38400,10;66
38700,10;59
39000,10;66
39300,10;58
39600,10;62
39900,10;56
40200,10;58
40500,10;67
40800,10;61
41100,10;58
41400,10;65
41700,10;56
42000,10;67
42300,10;52
42600,10;57
42900,10;53
43200,10;59
43500,10;61
43800,10;57
44100,10;59
44400,10;63
44700,10;57
45000,10;60
45300,10;67
45600,10;63
45900,10;68
46200,10;60
46500,10;57
46800,10;65
47100,10;56
47400,10;63
47700,10;61
48000,10;62
48300,10;60
48600,10;65
48900,10;64
49200,10;53
49500,10;62
49800,10;71
50100,10;56
50400,10;56
50700,10;63
51000,10;50
51300,10;64
51600,10;61
51900,10;59
52200,10;55
52500,10;62
52800,10;49
53100,10;67
53400,10;51
53700,10;57
54000,10;68
54300,10;55
54600,10;64
54900,10;59
55200,10;63
55500,10;60
55800,10;67
56100,10;62
56400,10;60
56700,10;66
57000,10;55
57300,10;60
57600,10;56
57900,10;65
58200,10;63
58500,10;67
58800,10;58
59100,10;62
59400,10;57
59700,10;61
60000,10;59
60300,10;58
60600,10;72
60900,10;56
61200,10;51
61500,10;58
61800,10;63
62100,10;59
62400,10;54
62700,10;58
63000,10;57
63300,10;58
63600,10;54
63900,10;58
64200,10;57
64500,10;60
64800,10;50
65100,10;54
65400,10;67
65700,10;55
66000,10;56
66300,10;56
66600,10;65
66900,10;47
67200,10;52
67500,10;55
67800,10;63
68100,10;51
68400,10;58
68700,10;57
69000,10;62
69300,10;55
69600,10;54
69900,10;54
70200,10;57
70500,10;55
70800,10;63
71100,10;50
71400,10;68
71700,10;50
72000,10;62
72300,10;46
72600,10;60
72900,10;46
73200,10;47
73500,10;65
73800,10;54
74100,10;54
74400,10;53
74700,10;52
75000,10;56
75300,10;52
75600,10;51
75900,10;58
76200,10;47
76500,10;49
76800,10;44
77100,10;59
77400,10;38
77700,10;70
78000,10;44
78300,10;48
78600,10;39
78900,10;50
79200,10;55
79500,10;44
79800,10;51
80100,10;51
80400,10;49
80700,10;53
81000,10;53
81300,10;46
81600,10;44
81900,10;56
82200,10;60
82500,10;47
82800,10;42
83100,10;54
83400,10;45
83700,10;54
84000,10;43
84300,10;52
84600,10;38
84900,10;51
85200,10;44
85500,10;59
85800,10;40
86100,10;58
