migration_time;num_of_mig
30,10;828
60,10;516
90,10;207
120,10;213
150,10;259
180,10;225
210,10;182
240,10;207
270,10;175
300,10;218
330,10;143
360,10;199
390,10;121
420,10;179
450,10;156
480,10;168
510,10;107
540,10;116
570,10;135
600,10;148
630,10;140
660,10;88
690,10;137
720,10;158
750,10;224
780,10;183
810,10;164
840,10;142
870,10;162
900,10;99
930,10;211
960,10;179
990,10;89
1020,10;112
1050,10;142
1080,10;132
1110,10;107
1140,10;132
1170,10;162
1200,10;120
1230,10;154
1260,10;131
1290,10;136
1320,10;196
1350,10;165
1380,10;106
1410,10;183
1440,10;165
1470,10;189
1500,10;95
1530,10;128
1560,10;267
1590,10;103
1620,10;172
1650,10;158
1680,10;96
1710,10;122
1740,10;151
1770,10;108
1800,10;164
1830,10;122
1860,10;107
1890,10;148
1920,10;101
1950,10;145
1980,10;150
2010,10;124
2040,10;156
2070,10;105
2100,10;193
2130,10;139
2160,10;148
2190,10;121
2220,10;122
2250,10;134
2280,10;118
2310,10;118
2340,10;94
2370,10;160
2400,10;105
2430,10;158
2460,10;141
2490,10;102
2520,10;183
2550,10;169
2580,10;187
2610,10;115
2640,10;175
2670,10;103
2700,10;158
2730,10;98
2760,10;125
2790,10;80
2820,10;150
2850,10;189
2880,10;113
2910,10;104
2940,10;98
2970,10;169
3000,10;109
3030,10;131
3060,10;127
3090,10;92
3120,10;117
3150,10;90
3180,10;152
3210,10;201
3240,10;122
3270,10;155
3300,10;115
3330,10;134
3360,10;135
3390,10;109
3420,10;107
3450,10;115
3480,10;157
3510,10;150
3540,10;145
3570,10;116
3600,10;168
3630,10;74
3660,10;111
3690,10;139
3720,10;90
3750,10;107
3780,10;116
3810,10;125
3840,10;140
3870,10;106
3900,10;131
3930,10;81
3960,10;123
3990,10;109
4020,10;120
4050,10;129
4080,10;92
4110,10;141
4140,10;137
4170,10;103
4200,10;139
4230,10;133
4260,10;133
4290,10;135
4320,10;107
4350,10;117
4380,10;110
4410,10;99
4440,10;119
4470,10;125
4500,10;127
4530,10;159
4560,10;180
4590,10;134
4620,10;161
4650,10;110
4680,10;116
4710,10;102
4740,10;114
4770,10;119
4800,10;87
4830,10;89
4860,10;118
4890,10;157
4920,10;86
4950,10;91
4980,10;127
5010,10;125
5040,10;145
5070,10;109
5100,10;90
5130,10;112
5160,10;101
5190,10;108
5220,10;125
5250,10;166
5280,10;131
5310,10;164
5340,10;103
5370,10;127
5400,10;121
5430,10;111
5460,10;147
5490,10;128
5520,10;132
5550,10;111
5580,10;123
5610,10;127
5640,10;137
5670,10;176
5700,10;106
5730,10;144
5760,10;108
5790,10;124
5820,10;121
5850,10;113
5880,10;116
5910,10;145
5940,10;97
5970,10;83
6000,10;99
6030,10;142
6060,10;111
6090,10;98
6120,10;99
6150,10;157
6180,10;159
6210,10;163
6240,10;143
6270,10;145
6300,10;96
6330,10;123
6360,10;105
6390,10;119
6420,10;121
6450,10;143
6480,10;91
6510,10;83
6540,10;120
6570,10;133
6600,10;104
6630,10;106
6660,10;182
6690,10;97
6720,10;82
6750,10;148
6780,10;150
6810,10;130
6840,10;180
6870,10;134
6900,10;172
6930,10;103
6960,10;110
6990,10;72
7020,10;90
7050,10;147
7080,10;167
7110,10;99
7140,10;168
7170,10;109
7200,10;142
7230,10;103
7260,10;149
7290,10;87
7320,10;50
7350,10;146
7380,10;147
7410,10;97
7440,10;121
7470,10;93
7500,10;142
7530,10;90
7560,10;145
7590,10;188
7620,10;70
7650,10;104
7680,10;81
7710,10;187
7740,10;94
7770,10;172
7800,10;86
7830,10;180
7860,10;94
7890,10;164
7920,10;118
7950,10;68
7980,10;113
8010,10;136
8040,10;106
8070,10;92
8100,10;170
8130,10;146
8160,10;106
8190,10;156
8220,10;162
8250,10;95
8280,10;115
8310,10;163
8340,10;145
8370,10;151
8400,10;80
8430,10;100
8460,10;111
8490,10;127
8520,10;127
8550,10;140
8580,10;94
8610,10;137
8640,10;128
8670,10;131
8700,10;149
8730,10;108
8760,10;122
8790,10;136
8820,10;99
8850,10;81
8880,10;116
8910,10;109
8940,10;100
8970,10;98
9000,10;154
9030,10;95
9060,10;164
9090,10;126
9120,10;137
9150,10;91
9180,10;104
9210,10;120
9240,10;108
9270,10;122
9300,10;86
9330,10;92
9360,10;75
9390,10;141
9420,10;109
9450,10;122
9480,10;97
9510,10;142
9540,10;88
9570,10;163
9600,10;141
9630,10;124
9660,10;129
9690,10;124
9720,10;79
9750,10;105
9780,10;158
9810,10;153
9840,10;85
9870,10;176
9900,10;121
9930,10;108
9960,10;127
9990,10;98
10020,10;128
10050,10;160
10080,10;91
10110,10;106
10140,10;90
10170,10;123
10200,10;209
10230,10;92
10260,10;103
10290,10;162
10320,10;82
10350,10;108
10380,10;146
10410,10;120
10440,10;141
10470,10;124
10500,10;118
10530,10;195
10560,10;129
10590,10;133
10620,10;141
10650,10;90
10680,10;113
10710,10;114
10740,10;145
10770,10;131
10800,10;94
10830,10;98
10860,10;114
10890,10;180
10920,10;116
10950,10;79
10980,10;80
11010,10;132
11040,10;80
11070,10;118
11100,10;107
11130,10;108
11160,10;93
11190,10;106
11220,10;117
11250,10;71
11280,10;105
11310,10;84
11340,10;102
11370,10;109
11400,10;121
11430,10;77
11460,10;144
11490,10;190
11520,10;82
11550,10;109
11580,10;109
11610,10;163
11640,10;110
11670,10;134
11700,10;118
11730,10;108
11760,10;118
11790,10;147
11820,10;100
11850,10;169
11880,10;95
11910,10;146
11940,10;119
11970,10;163
12000,10;123
12030,10;112
12060,10;81
12090,10;79
12120,10;115
12150,10;100
12180,10;116
12210,10;96
12240,10;138
12270,10;92
12300,10;87
12330,10;102
12360,10;95
12390,10;126
12420,10;93
12450,10;106
12480,10;129
12510,10;115
12540,10;139
12570,10;127
12600,10;123
12630,10;126
12660,10;122
12690,10;148
12720,10;98
12750,10;146
12780,10;133
12810,10;87
12840,10;146
12870,10;81
12900,10;101
12930,10;116
12960,10;118
12990,10;104
13020,10;97
13050,10;108
13080,10;110
13110,10;138
13140,10;104
13170,10;110
13200,10;122
13230,10;122
13260,10;118
13290,10;112
13320,10;147
13350,10;94
13380,10;126
13410,10;118
13440,10;107
13470,10;137
13500,10;124
13530,10;181
13560,10;82
13590,10;117
13620,10;166
13650,10;163
13680,10;157
13710,10;142
13740,10;127
13770,10;137
13800,10;89
13830,10;105
13860,10;104
13890,10;136
13920,10;104
13950,10;106
13980,10;89
14010,10;103
14040,10;169
14070,10;127
14100,10;156
14130,10;121
14160,10;122
14190,10;117
14220,10;99
14250,10;95
14280,10;120
14310,10;132
14340,10;84
14370,10;106
14400,10;109
14430,10;95
14460,10;134
14490,10;110
14520,10;123
14550,10;142
14580,10;114
14610,10;107
14640,10;118
14670,10;120
14700,10;92
14730,10;100
14760,10;92
14790,10;97
14820,10;107
14850,10;113
14880,10;90
14910,10;123
14940,10;90
14970,10;143
15000,10;102
15030,10;134
15060,10;146
15090,10;164
15120,10;118
15150,10;106
15180,10;128
15210,10;120
15240,10;129
15270,10;123
15300,10;165
15330,10;132
15360,10;96
15390,10;114
15420,10;102
15450,10;101
15480,10;118
15510,10;139
15540,10;141
15570,10;107
15600,10;112
15630,10;81
15660,10;94
15690,10;124
15720,10;145
15750,10;95
15780,10;140
15810,10;110
15840,10;135
15870,10;117
15900,10;122
15930,10;112
15960,10;113
15990,10;131
16020,10;129
16050,10;87
16080,10;165
16110,10;74
16140,10;133
16170,10;117
16200,10;95
16230,10;163
16260,10;96
16290,10;92
16320,10;127
16350,10;226
16380,10;115
16410,10;205
16440,10;102
16470,10;153
16500,10;87
16530,10;176
16560,10;134
16590,10;126
16620,10;136
16650,10;106
16680,10;173
16710,10;139
16740,10;159
16770,10;115
16800,10;116
16830,10;150
16860,10;156
16890,10;119
16920,10;88
16950,10;183
16980,10;74
17010,10;186
17040,10;79
17070,10;171
17100,10;87
17130,10;123
17160,10;93
17190,10;165
17220,10;106
17250,10;150
17280,10;117
