migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;164
1800,10;146
2100,10;142
2400,10;115
2700,10;100
3000,10;126
3300,10;89
3600,10;138
3900,10;124
4200,10;256
4500,10;196
4800,10;347
5100,10;219
5400,10;254
5700,10;249
6000,10;255
6300,10;277
6600,10;160
6900,10;229
7200,10;202
7500,10;322
7800,10;257
8100,10;250
8400,10;184
8700,10;152
9000,10;166
9300,10;257
9600,10;290
9900,10;156
10200,10;157
10500,10;288
10800,10;223
11100,10;171
11400,10;293
11700,10;241
12000,10;157
12300,10;281
12600,10;202
12900,10;197
13200,10;344
13500,10;248
13800,10;215
14100,10;321
14400,10;170
14700,10;345
15000,10;137
15300,10;237
15600,10;282
15900,10;89
16200,10;228
16500,10;290
16800,10;217
17100,10;259
17400,10;211
17700,10;184
18000,10;297
18300,10;220
18600,10;183
18900,10;227
19200,10;156
19500,10;230
19800,10;271
20100,10;133
20400,10;304
20700,10;140
21000,10;278
21300,10;150
21600,10;171
21900,10;251
22200,10;144
22500,10;269
22800,10;264
23100,10;198
23400,10;130
23700,10;277
24000,10;114
24300,10;177
24600,10;251
24900,10;161
25200,10;170
25500,10;248
25800,10;174
26100,10;192
26400,10;258
26700,10;137
27000,10;211
27300,10;183
27600,10;212
27900,10;171
28200,10;209
28500,10;288
28800,10;178
29100,10;259
29400,10;175
29700,10;158
30000,10;139
30300,10;118
30600,10;181
30900,10;122
31200,10;188
31500,10;194
31800,10;134
32100,10;354
32400,10;175
32700,10;329
33000,10;138
33300,10;210
33600,10;231
33900,10;151
34200,10;146
34500,10;91
34800,10;264
35100,10;144
35400,10;233
35700,10;173
36000,10;284
36300,10;153
36600,10;155
36900,10;239
37200,10;129
37500,10;262
37800,10;194
38100,10;220
38400,10;214
38700,10;168
39000,10;199
39300,10;202
39600,10;239
39900,10;122
40200,10;215
40500,10;242
40800,10;128
41100,10;232
41400,10;229
41700,10;127
42000,10;279
42300,10;144
42600,10;207
42900,10;151
43200,10;208
43500,10;170
43800,10;206
44100,10;159
44400,10;180
44700,10;151
45000,10;139
45300,10;198
45600,10;171
45900,10;167
46200,10;203
46500,10;146
46800,10;248
47100,10;135
47400,10;200
47700,10;178
48000,10;161
48300,10;183
48600,10;205
48900,10;251
49200,10;116
49500,10;253
49800,10;271
50100,10;162
50400,10;198
50700,10;161
51000,10;98
51300,10;206
51600,10;145
51900,10;120
52200,10;103
52500,10;180
52800,10;146
53100,10;224
53400,10;189
53700,10;202
54000,10;228
54300,10;156
54600,10;194
54900,10;152
55200,10;132
55500,10;131
55800,10;180
56100,10;154
56400,10;258
56700,10;257
57000,10;142
57300,10;218
57600,10;156
57900,10;213
58200,10;263
58500,10;138
58800,10;193
59100,10;196
59400,10;163
59700,10;198
60000,10;216
60300,10;185
60600,10;276
60900,10;145
61200,10;139
61500,10;183
61800,10;168
62100,10;241
62400,10;150
62700,10;218
63000,10;183
63300,10;264
63600,10;106
63900,10;148
64200,10;217
64500,10;242
64800,10;159
65100,10;182
65400,10;171
65700,10;195
66000,10;215
66300,10;151
66600,10;281
66900,10;133
67200,10;171
67500,10;215
67800,10;222
68100,10;148
68400,10;203
68700,10;208
69000,10;286
69300,10;152
69600,10;217
69900,10;182
70200,10;205
70500,10;168
70800,10;281
71100,10;92
71400,10;313
71700,10;88
72000,10;259
72300,10;159
72600,10;309
72900,10;175
73200,10;171
73500,10;297
73800,10;199
74100,10;162
74400,10;163
74700,10;152
75000,10;239
75300,10;148
75600,10;211
75900,10;302
76200,10;125
76500,10;240
76800,10;228
77100,10;406
77400,10;120
77700,10;324
78000,10;163
78300,10;257
78600,10;163
78900,10;288
79200,10;257
79500,10;135
79800,10;211
80100,10;208
80400,10;236
80700,10;168
81000,10;292
81300,10;162
81600,10;164
81900,10;266
82200,10;358
82500,10;175
82800,10;222
83100,10;336
83400,10;162
83700,10;373
84000,10;162
84300,10;271
84600,10;201
84900,10;255
85200,10;177
85500,10;263
85800,10;101
86100,10;220
