time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,1024
90,10;0,1533
120,10;0,1945
150,10;0,2539
180,10;0,3055
210,10;0,3616
240,10;0,3874
270,10;0,4517
300,10;0,4290
330,10;0,5121
360,10;0,5120
390,10;0,5256
420,10;0,4401
450,10;0,5119
480,10;0,5077
510,10;0,4903
540,10;0,4446
570,10;0,4279
600,10;0,3949
630,10;0,3669
660,10;0,4210
690,10;0,4883
720,10;0,4901
750,10;0,3457
780,10;0,3405
810,10;0,3604
840,10;0,3989
870,10;0,3868
900,10;0,5010
930,10;0,3920
960,10;0,3614
990,10;0,4775
1020,10;0,4697
1050,10;0,4426
1080,10;0,4117
1110,10;0,4463
1140,10;0,4083
1170,10;0,3863
1200,10;0,5186
1230,10;0,4094
1260,10;0,3630
1290,10;0,4499
1320,10;0,3908
1350,10;0,3847
1380,10;0,4464
1410,10;0,4447
1440,10;0,4642
1470,10;0,2812
1500,10;0,4029
1530,10;0,4443
1560,10;0,3134
1590,10;0,4493
1620,10;0,4882
1650,10;0,4394
1680,10;0,5267
1710,10;0,3679
1740,10;0,3728
1770,10;0,4106
1800,10;0,4569
1830,10;0,3766
1860,10;0,4836
1890,10;0,3933
1920,10;0,5006
1950,10;0,4161
1980,10;0,3569
2010,10;0,4440
2040,10;0,4269
2070,10;0,5339
2100,10;0,3532
2130,10;0,3862
2160,10;0,4880
2190,10;0,4174
2220,10;0,5056
2250,10;0,4502
2280,10;0,4185
2310,10;0,3615
2340,10;0,4588
2370,10;0,3558
2400,10;0,5163
2430,10;0,4443
2460,10;0,4292
2490,10;0,4410
2520,10;0,4459
2550,10;0,4650
2580,10;0,4612
2610,10;0,5193
2640,10;0,3692
2670,10;0,4244
2700,10;0,4985
2730,10;0,4394
2760,10;0,3710
2790,10;0,4572
2820,10;0,4273
2850,10;0,4132
2880,10;0,5104
2910,10;0,4685
2940,10;0,4609
2970,10;0,4348
3000,10;0,4745
3030,10;0,4140
3060,10;0,4467
3090,10;0,4329
3120,10;0,4762
3150,10;0,4495
3180,10;0,5108
3210,10;0,3675
3240,10;0,4821
3270,10;0,3615
3300,10;0,4491
3330,10;0,4228
3360,10;0,4437
3390,10;0,4065
3420,10;0,4296
3450,10;0,5247
3480,10;0,4298
3510,10;0,4427
3540,10;0,4239
3570,10;0,4739
3600,10;0,4077
3630,10;0,4756
3660,10;0,5216
3690,10;0,3957
3720,10;0,3973
3750,10;0,4608
3780,10;0,3658
3810,10;0,4118
3840,10;0,4128
3870,10;0,4394
3900,10;0,4662
3930,10;0,5483
3960,10;0,4456
3990,10;0,4960
4020,10;0,4207
4050,10;0,3368
4080,10;0,3782
4110,10;0,4109
4140,10;0,4063
4170,10;0,5334
4200,10;0,3738
4230,10;0,4725
4260,10;0,4893
4290,10;0,5477
4320,10;0,4212
4350,10;0,3495
4380,10;0,4515
4410,10;0,4139
4440,10;0,5065
4470,10;0,4375
4500,10;0,5015
4530,10;0,3824
4560,10;0,3962
4590,10;0,4642
4620,10;0,4003
4650,10;0,4943
4680,10;0,3509
4710,10;0,4723
4740,10;0,4729
4770,10;0,4240
4800,10;0,4387
4830,10;0,4236
4860,10;0,4187
4890,10;0,4246
4920,10;0,5098
4950,10;0,4123
4980,10;0,3577
5010,10;0,4028
5040,10;0,4949
5070,10;0,5126
5100,10;0,4827
5130,10;0,3814
5160,10;0,4267
5190,10;0,3846
5220,10;0,4383
5250,10;0,3932
5280,10;0,4500
5310,10;0,4146
5340,10;0,4902
5370,10;0,5663
5400,10;0,4020
5430,10;0,4729
5460,10;0,3766
5490,10;0,4065
5520,10;0,4479
5550,10;0,4519
5580,10;0,4403
5610,10;0,4686
5640,10;0,4302
5670,10;0,4191
5700,10;0,4595
5730,10;0,4387
5760,10;0,3995
5790,10;0,4292
5820,10;0,3468
5850,10;0,4380
5880,10;0,4152
5910,10;0,4365
5940,10;0,4678
5970,10;0,4970
6000,10;0,4384
6030,10;0,4948
6060,10;0,3707
6090,10;0,4005
6120,10;0,5222
6150,10;0,4405
6180,10;0,4175
6210,10;0,4174
6240,10;0,4805
6270,10;0,3851
6300,10;0,5500
6330,10;0,4196
6360,10;0,5137
6390,10;0,4110
6420,10;0,5096
6450,10;0,4048
6480,10;0,4431
6510,10;0,6036
6540,10;0,4049
6570,10;0,4121
6600,10;0,3880
6630,10;0,5003
6660,10;0,3637
6690,10;0,5009
6720,10;0,4836
6750,10;0,3798
6780,10;0,4030
6810,10;0,4603
6840,10;0,4990
6870,10;0,4270
6900,10;0,3948
6930,10;0,4155
6960,10;0,4230
6990,10;0,4416
7020,10;0,4010
7050,10;0,4786
7080,10;0,3769
7110,10;0,4985
7140,10;0,3365
7170,10;0,4792
7200,10;0,4105
7230,10;0,5461
7260,10;0,4660
7290,10;0,4054
7320,10;0,5246
7350,10;0,3903
7380,10;0,3497
7410,10;0,4527
7440,10;0,4446
7470,10;0,5681
7500,10;0,4970
7530,10;0,4362
7560,10;0,5048
7590,10;0,2969
7620,10;0,3810
7650,10;0,4091
7680,10;0,4314
7710,10;0,3118
7740,10;0,4862
7770,10;0,3545
7800,10;0,4477
7830,10;0,3981
7860,10;0,5021
7890,10;0,3346
7920,10;0,4438
7950,10;0,4377
7980,10;0,4624
8010,10;0,4334
8040,10;0,3815
8070,10;0,5077
8100,10;0,3529
8130,10;0,4141
8160,10;0,5743
8190,10;0,4107
8220,10;0,3274
8250,10;0,4699
8280,10;0,5252
8310,10;0,3698
8340,10;0,4868
8370,10;0,3625
8400,10;0,3965
8430,10;0,4171
8460,10;0,4709
8490,10;0,3829
8520,10;0,4113
8550,10;0,3372
8580,10;0,4257
8610,10;0,4191
8640,10;0,4484
8670,10;0,4019
8700,10;0,4076
8730,10;0,4344
8760,10;0,3978
8790,10;0,4555
8820,10;0,4189
8850,10;0,4760
8880,10;0,4086
8910,10;0,4279
8940,10;0,4425
8970,10;0,5029
9000,10;0,4259
9030,10;0,5067
9060,10;0,3334
9090,10;0,4845
9120,10;0,3821
9150,10;0,4550
9180,10;0,5395
9210,10;0,4730
9240,10;0,4256
9270,10;0,3585
9300,10;0,3548
9330,10;0,3938
9360,10;0,4219
9390,10;0,3723
9420,10;0,3886
9450,10;0,4635
9480,10;0,4707
9510,10;0,4695
9540,10;0,5606
9570,10;0,3957
9600,10;0,3665
9630,10;0,3918
9660,10;0,5486
9690,10;0,5014
9720,10;0,3519
9750,10;0,5399
9780,10;0,4432
9810,10;0,3393
9840,10;0,4270
9870,10;0,3803
9900,10;0,4298
9930,10;0,5867
9960,10;0,4214
9990,10;0,3623
10020,10;0,4924
10050,10;0,4030
10080,10;0,5026
10110,10;0,3097
10140,10;0,4185
10170,10;0,4487
10200,10;0,3295
10230,10;0,4672
10260,10;0,4973
10290,10;0,4449
10320,10;0,5248
10350,10;0,4321
10380,10;0,4020
10410,10;0,4121
10440,10;0,4831
10470,10;0,4022
10500,10;0,5055
10530,10;0,3985
10560,10;0,5250
10590,10;0,4203
10620,10;0,3562
10650,10;0,4846
10680,10;0,3996
10710,10;0,5273
10740,10;0,3974
10770,10;0,4334
10800,10;0,4656
10830,10;0,3988
10860,10;0,4695
10890,10;0,3997
10920,10;0,4391
10950,10;0,4071
10980,10;0,5604
11010,10;0,3760
11040,10;0,4739
11070,10;0,4080
11100,10;0,3507
11130,10;0,4522
11160,10;0,4602
11190,10;0,4216
11220,10;0,5291
11250,10;0,5633
11280,10;0,3571
11310,10;0,4359
11340,10;0,4605
11370,10;0,5279
11400,10;0,3725
11430,10;0,4851
11460,10;0,4618
11490,10;0,3664
11520,10;0,5111
11550,10;0,4129
11580,10;0,4685
11610,10;0,4377
11640,10;0,4296
11670,10;0,4464
11700,10;0,4137
11730,10;0,4297
11760,10;0,4915
11790,10;0,3736
11820,10;0,5057
11850,10;0,3744
11880,10;0,4533
11910,10;0,3916
11940,10;0,4559
11970,10;0,4607
12000,10;0,4339
12030,10;0,3842
12060,10;0,4216
12090,10;0,5582
12120,10;0,3979
12150,10;0,4415
12180,10;0,3954
12210,10;0,4267
12240,10;0,3397
12270,10;0,4386
12300,10;0,5167
12330,10;0,4334
12360,10;0,4948
12390,10;0,4310
12420,10;0,4040
12450,10;0,4615
12480,10;0,3876
12510,10;0,4453
12540,10;0,5063
12570,10;0,5249
12600,10;0,4611
12630,10;0,4690
12660,10;0,4517
12690,10;0,3792
12720,10;0,4551
12750,10;0,4145
12780,10;0,4158
12810,10;0,5339
12840,10;0,3859
12870,10;0,4200
12900,10;0,4328
12930,10;0,4228
12960,10;0,4756
12990,10;0,4353
13020,10;0,4279
13050,10;0,4222
13080,10;0,4288
13110,10;0,4319
13140,10;0,5178
13170,10;0,4176
13200,10;0,4465
13230,10;0,4805
13260,10;0,4056
13290,10;0,4755
13320,10;0,3577
13350,10;0,4789
13380,10;0,5220
13410,10;0,3982
13440,10;0,4083
13470,10;0,4555
13500,10;0,5001
13530,10;0,3617
13560,10;0,4439
13590,10;0,3795
13620,10;0,4356
13650,10;0,4916
13680,10;0,5576
13710,10;0,3716
13740,10;0,4755
13770,10;0,4374
13800,10;0,4827
13830,10;0,4246
13860,10;0,5061
13890,10;0,4126
13920,10;0,5083
13950,10;0,3927
13980,10;0,4558
14010,10;0,5798
14040,10;0,4318
14070,10;0,4532
14100,10;0,4477
14130,10;0,4213
14160,10;0,4293
14190,10;0,4420
14220,10;0,4046
14250,10;0,3904
14280,10;0,4571
14310,10;0,4130
14340,10;0,5147
14370,10;0,4496
14400,10;0,5014
14430,10;0,3750
14460,10;0,4306
14490,10;0,3708
14520,10;0,4100
14550,10;0,3828
14580,10;0,5317
14610,10;0,4354
14640,10;0,4494
14670,10;0,4892
14700,10;0,3882
14730,10;0,4089
14760,10;0,4636
14790,10;0,4815
14820,10;0,4842
14850,10;0,4349
14880,10;0,4984
14910,10;0,4401
14940,10;0,5016
14970,10;0,3521
15000,10;0,4481
15030,10;0,4877
15060,10;0,5350
15090,10;0,3707
15120,10;0,4714
15150,10;0,5544
15180,10;0,5074
15210,10;0,4428
15240,10;0,4474
15270,10;0,4164
15300,10;0,3311
15330,10;0,4581
15360,10;0,5950
15390,10;0,4269
15420,10;0,4020
15450,10;0,4305
15480,10;0,3755
15510,10;0,3492
15540,10;0,4543
15570,10;0,4637
15600,10;0,4369
15630,10;0,4821
15660,10;0,4411
15690,10;0,4911
15720,10;0,3402
15750,10;0,4729
15780,10;0,3649
15810,10;0,4512
15840,10;0,4176
15870,10;0,5369
15900,10;0,3456
15930,10;0,4241
15960,10;0,5437
15990,10;0,3544
16020,10;0,3565
16050,10;0,4377
16080,10;0,4256
16110,10;0,4772
16140,10;0,4364
16170,10;0,3913
16200,10;0,4325
16230,10;0,3408
16260,10;0,5020
16290,10;0,5283
16320,10;0,6171
16350,10;0,3090
16380,10;0,5609
16410,10;0,2669
16440,10;0,4062
16470,10;0,4304
16500,10;0,5199
16530,10;0,5167
16560,10;0,3514
16590,10;0,4059
16620,10;0,3951
16650,10;0,3556
16680,10;0,4031
16710,10;0,5254
16740,10;0,4208
16770,10;0,4181
16800,10;0,4799
16830,10;0,3840
16860,10;0,2643
16890,10;0,3620
16920,10;0,4553
16950,10;0,3992
16980,10;0,5122
17010,10;0,4019
17040,10;0,4544
17070,10;0,4576
17100,10;0,4821
17130,10;0,3650
17160,10;0,4148
17190,10;0,3325
17220,10;0,4332
17250,10;0,3560
17280,10;0,4462
