time;num_of_active_hosts
30,10;776
60,10;320
90,10;225
120,10;172
150,10;136
180,10;112
210,10;94
240,10;84
270,10;73
300,10;73
330,10;64
360,10;60
390,10;63
420,10;72
450,10;64
480,10;61
510,10;61
540,10;69
570,10;71
600,10;80
630,10;84
660,10;72
690,10;60
720,10;64
750,10;90
780,10;96
810,10;88
840,10;78
870,10;78
900,10;63
930,10;82
960,10;82
990,10;60
1020,10;63
1050,10;67
1080,10;66
1110,10;65
1140,10;75
1170,10;75
1200,10;57
1230,10;71
1260,10;77
1290,10;63
1320,10;71
1350,10;72
1380,10;65
1410,10;66
1440,10;66
1470,10;104
1500,10;72
1530,10;70
1560,10;87
1590,10;62
1620,10;60
1650,10;66
1680,10;56
1710,10;84
1740,10;81
1770,10;73
1800,10;66
1830,10;78
1860,10;63
1890,10;74
1920,10;61
1950,10;77
1980,10;83
2010,10;67
2040,10;68
2070,10;58
2100,10;86
2130,10;78
2160,10;63
2190,10;69
2220,10;60
2250,10;69
2280,10;75
2310,10;82
2340,10;70
2370,10;84
2400,10;60
2430,10;71
2460,10;71
2490,10;70
2520,10;68
2550,10;64
2580,10;63
2610,10;60
2640,10;80
2670,10;71
2700,10;61
2730,10;71
2760,10;79
2790,10;67
2820,10;79
2850,10;77
2880,10;62
2910,10;64
2940,10;65
2970,10;69
3000,10;65
3030,10;76
3060,10;67
3090,10;69
3120,10;63
3150,10;62
3180,10;60
3210,10;81
3240,10;66
3270,10;84
3300,10;68
3330,10;74
3360,10;71
3390,10;75
3420,10;67
3450,10;58
3480,10;69
3510,10;68
3540,10;71
3570,10;67
3600,10;73
3630,10;61
3660,10;59
3690,10;77
3720,10;78
3750,10;66
3780,10;83
3810,10;74
3840,10;72
3870,10;70
3900,10;65
3930,10;57
3960,10;66
3990,10;61
4020,10;75
4050,10;91
4080,10;82
4110,10;77
4140,10;74
4170,10;60
4200,10;82
4230,10;65
4260,10;61
4290,10;55
4320,10;74
4350,10;86
4380,10;67
4410,10;73
4440,10;59
4470,10;68
4500,10;62
4530,10;82
4560,10;80
4590,10;68
4620,10;74
4650,10;64
4680,10;87
4710,10;66
4740,10;66
4770,10;74
4800,10;71
4830,10;74
4860,10;77
4890,10;70
4920,10;60
4950,10;77
4980,10;86
5010,10;76
5040,10;62
5070,10;58
5100,10;65
5130,10;81
5160,10;73
5190,10;80
5220,10;73
5250,10;77
5280,10;70
5310,10;74
5340,10;62
5370,10;55
5400,10;76
5430,10;65
5460,10;82
5490,10;76
5520,10;68
5550,10;68
5580,10;69
5610,10;66
5640,10;73
5670,10;71
5700,10;66
5730,10;68
5760,10;75
5790,10;72
5820,10;89
5850,10;70
5880,10;73
5910,10;67
5940,10;63
5970,10;60
6000,10;67
6030,10;63
6060,10;83
6090,10;74
6120,10;57
6150,10;67
6180,10;72
6210,10;71
6240,10;63
6270,10;76
6300,10;56
6330,10;69
6360,10;56
6390,10;70
6420,10;60
6450,10;72
6480,10;64
6510,10;50
6540,10;74
6570,10;72
6600,10;76
6630,10;61
6660,10;76
6690,10;53
6720,10;58
6750,10;76
6780,10;70
6810,10;61
6840,10;55
6870,10;66
6900,10;69
6930,10;67
6960,10;64
6990,10;61
7020,10;67
7050,10;60
7080,10;72
7110,10;58
7140,10;81
7170,10;59
7200,10;64
7230,10;51
7260,10;58
7290,10;64
7320,10;54
7350,10;74
7380,10;79
7410,10;60
7440,10;59
7470,10;47
7500,10;53
7530,10;61
7560,10;56
7590,10;87
7620,10;66
7650,10;59
7680,10;64
7710,10;77
7740,10;58
7770,10;69
7800,10;57
7830,10;59
7860,10;50
7890,10;79
7920,10;58
7950,10;59
7980,10;56
8010,10;59
8040,10;67
8070,10;53
8100,10;71
8130,10;58
8160,10;45
8190,10;66
8220,10;76
8250,10;52
8280,10;49
8310,10;67
8340,10;54
8370,10;68
8400,10;63
8430,10;56
8460,10;52
8490,10;63
8520,10;63
8550,10;71
8580,10;59
8610,10;62
8640,10;60
8670,10;68
8700,10;66
8730,10;65
8760,10;70
8790,10;61
8820,10;67
8850,10;60
8880,10;69
8910,10;65
8940,10;61
8970,10;56
9000,10;63
9030,10;57
9060,10;84
9090,10;59
9120,10;72
9150,10;59
9180,10;51
9210,10;59
9240,10;68
9270,10;79
9300,10;78
9330,10;68
9360,10;66
9390,10;77
9420,10;77
9450,10;63
9480,10;61
9510,10;59
9540,10;52
9570,10;74
9600,10;74
9630,10;68
9660,10;50
9690,10;54
9720,10;72
9750,10;50
9780,10;64
9810,10;81
9840,10;66
9870,10;73
9900,10;62
9930,10;46
9960,10;63
9990,10;72
10020,10;56
10050,10;69
10080,10;58
10110,10;89
10140,10;66
10170,10;66
10200,10;79
10230,10;56
10260,10;56
10290,10;62
10320,10;54
10350,10;68
10380,10;72
10410,10;69
10440,10;60
10470,10;70
10500,10;58
10530,10;70
10560,10;56
10590,10;72
10620,10;79
10650,10;59
10680,10;70
10710,10;57
10740,10;74
10770,10;67
10800,10;63
10830,10;69
10860,10;62
10890,10;75
10920,10;69
10950,10;70
10980,10;55
11010,10;76
11040,10;63
11070,10;73
11100,10;84
11130,10;65
11160,10;63
11190,10;69
11220,10;53
11250,10;53
11280,10;80
11310,10;67
11340,10;63
11370,10;57
11400,10;76
11430,10;61
11460,10;70
11490,10;84
11520,10;60
11550,10;70
11580,10;62
11610,10;66
11640,10;69
11670,10;68
11700,10;69
11730,10;66
11760,10;59
11790,10;72
11820,10;58
11850,10;76
11880,10;68
11910,10;75
11940,10;66
11970,10;65
12000,10;70
12030,10;76
12060,10;66
12090,10;53
12120,10;72
12150,10;66
12180,10;74
12210,10;73
12240,10;85
12270,10;64
12300,10;58
12330,10;68
12360,10;61
12390,10;69
12420,10;73
12450,10;64
12480,10;75
12510,10;67
12540,10;58
12570,10;58
12600,10;62
12630,10;63
12660,10;68
12690,10;78
12720,10;66
12750,10;74
12780,10;70
12810,10;58
12840,10;77
12870,10;70
12900,10;67
12930,10;69
12960,10;64
12990,10;67
13020,10;69
13050,10;70
13080,10;68
13110,10;66
13140,10;58
13170,10;73
13200,10;69
13230,10;64
13260,10;71
13290,10;65
13320,10;83
13350,10;63
13380,10;58
13410,10;77
13440,10;74
13470,10;67
13500,10;63
13530,10;80
13560,10;67
13590,10;83
13620,10;69
13650,10;61
13680,10;54
13710,10;79
13740,10;65
13770,10;69
13800,10;63
13830,10;71
13860,10;62
13890,10;72
13920,10;60
13950,10;75
13980,10;65
14010,10;53
14040,10;70
14070,10;67
14100,10;67
14130,10;71
14160,10;70
14190,10;68
14220,10;74
14250,10;77
14280,10;68
14310,10;71
14340,10;58
14370,10;65
14400,10;58
14430,10;81
14460,10;70
14490,10;81
14520,10;72
14550,10;75
14580,10;54
14610,10;67
14640,10;65
14670,10;62
14700,10;78
14730,10;71
14760,10;62
14790,10;60
14820,10;61
14850,10;67
14880,10;59
14910,10;65
14940,10;60
14970,10;81
15000,10;63
15030,10;58
15060,10;56
15090,10;77
15120,10;59
15150,10;54
15180,10;58
15210,10;65
15240,10;64
15270,10;72
15300,10;82
15330,10;57
15360,10;46
15390,10;66
15420,10;69
15450,10;64
15480,10;73
15510,10;80
15540,10;59
15570,10;59
15600,10;61
15630,10;55
15660,10;60
15690,10;57
15720,10;78
15750,10;60
15780,10;73
15810,10;61
15840,10;62
15870,10;51
15900,10;77
15930,10;60
15960,10;51
15990,10;79
16020,10;76
16050,10;61
16080,10;60
16110,10;55
16140,10;59
16170,10;67
16200,10;65
16230,10;75
16260,10;49
16290,10;45
16320,10;44
16350,10;76
16380,10;49
16410,10;91
16440,10;62
16470,10;54
16500,10;48
16530,10;50
16560,10;73
16590,10;63
16620,10;65
16650,10;71
16680,10;63
16710,10;51
16740,10;59
16770,10;57
16800,10;53
16830,10;70
16860,10;93
16890,10;67
16920,10;56
16950,10;61
16980,10;51
17010,10;61
17040,10;55
17070,10;51
17100,10;51
17130,10;66
17160,10;62
17190,10;72
17220,10;58
17250,10;73
17280,10;60
