time;num_of_active_hosts
30,10;776
60,10;133
90,10;62
120,10;65
150,10;74
180,10;70
210,10;69
240,10;68
270,10;61
300,10;70
330,10;62
360,10;73
390,10;57
420,10;77
450,10;64
480,10;72
510,10;54
540,10;56
570,10;65
600,10;64
630,10;72
660,10;60
690,10;58
720,10;54
750,10;69
780,10;64
810,10;73
840,10;61
870,10;64
900,10;58
930,10;74
960,10;71
990,10;54
1020,10;55
1050,10;67
1080,10;57
1110,10;53
1140,10;72
1170,10;64
1200,10;57
1230,10;70
1260,10;59
1290,10;59
1320,10;58
1350,10;59
1380,10;57
1410,10;67
1440,10;57
1470,10;67
1500,10;58
1530,10;62
1560,10;71
1590,10;47
1620,10;60
1650,10;65
1680,10;58
1710,10;65
1740,10;63
1770,10;67
1800,10;62
1830,10;68
1860,10;57
1890,10;60
1920,10;55
1950,10;64
1980,10;64
2010,10;57
2040,10;61
2070,10;58
2100,10;70
2130,10;64
2160,10;60
2190,10;66
2220,10;52
2250,10;66
2280,10;66
2310,10;61
2340,10;59
2370,10;70
2400,10;53
2430,10;68
2460,10;62
2490,10;59
2520,10;55
2550,10;64
2580,10;61
2610,10;58
2640,10;73
2670,10;52
2700,10;60
2730,10;58
2760,10;66
2790,10;55
2820,10;67
2850,10;77
2880,10;66
2910,10;66
2940,10;58
2970,10;57
3000,10;63
3030,10;66
3060,10;66
3090,10;56
3120,10;61
3150,10;61
3180,10;50
3210,10;74
3240,10;58
3270,10;75
3300,10;58
3330,10;70
3360,10;65
3390,10;64
3420,10;61
3450,10;50
3480,10;67
3510,10;59
3540,10;67
3570,10;54
3600,10;72
3630,10;52
3660,10;58
3690,10;74
3720,10;56
3750,10;57
3780,10;64
3810,10;58
3840,10;67
3870,10;56
3900,10;71
3930,10;57
3960,10;67
3990,10;57
4020,10;69
4050,10;67
4080,10;62
4110,10;58
4140,10;65
4170,10;54
4200,10;72
4230,10;59
4260,10;65
4290,10;65
4320,10;62
4350,10;65
4380,10;61
4410,10;64
4440,10;60
4470,10;62
4500,10;63
4530,10;70
4560,10;68
4590,10;62
4620,10;63
4650,10;56
4680,10;78
4710,10;63
4740,10;66
4770,10;68
4800,10;65
4830,10;65
4860,10;67
4890,10;68
4920,10;55
4950,10;66
4980,10;67
5010,10;62
5040,10;59
5070,10;54
5100,10;53
5130,10;73
5160,10;60
5190,10;62
5220,10;60
5250,10;68
5280,10;56
5310,10;71
5340,10;63
5370,10;57
5400,10;69
5430,10;60
5460,10;64
5490,10;58
5520,10;62
5550,10;61
5580,10;66
5610,10;59
5640,10;73
5670,10;77
5700,10;55
5730,10;63
5760,10;59
5790,10;66
5820,10;64
5850,10;62
5880,10;65
5910,10;60
5940,10;57
5970,10;59
6000,10;58
6030,10;58
6060,10;65
6090,10;64
6120,10;60
6150,10;60
6180,10;61
6210,10;64
6240,10;64
6270,10;60
6300,10;55
6330,10;69
6360,10;57
6390,10;53
6420,10;58
6450,10;67
6480,10;54
6510,10;60
6540,10;65
6570,10;62
6600,10;59
6630,10;56
6660,10;67
6690,10;49
6720,10;52
6750,10;62
6780,10;61
6810,10;55
6840,10;56
6870,10;59
6900,10;60
6930,10;59
6960,10;61
6990,10;54
7020,10;55
7050,10;54
7080,10;71
7110,10;50
7140,10;66
7170,10;50
7200,10;58
7230,10;48
7260,10;62
7290,10;49
7320,10;42
7350,10;67
7380,10;60
7410,10;50
7440,10;49
7470,10;51
7500,10;57
7530,10;53
7560,10;54
7590,10;67
7620,10;47
7650,10;48
7680,10;47
7710,10;66
7740,10;44
7770,10;83
7800,10;42
7830,10;64
7860,10;41
7890,10;60
7920,10;56
7950,10;51
7980,10;52
8010,10;55
8040,10;50
8070,10;51
8100,10;54
8130,10;51
8160,10;43
8190,10;63
8220,10;62
8250,10;46
8280,10;50
8310,10;55
8340,10;48
8370,10;58
8400,10;45
8430,10;51
8460,10;45
8490,10;53
8520,10;50
8550,10;58
8580,10;44
8610,10;58
8640,10;60
8670,10;54
8700,10;55
8730,10;51
8760,10;64
8790,10;62
8820,10;56
8850,10;54
8880,10;60
8910,10;53
8940,10;56
8970,10;51
9000,10;59
9030,10;52
9060,10;65
9090,10;50
9120,10;62
9150,10;49
9180,10;50
9210,10;56
9240,10;58
9270,10;60
9300,10;57
9330,10;53
9360,10;50
9390,10;59
9420,10;60
9450,10;67
9480,10;58
9510,10;57
9540,10;52
9570,10;62
9600,10;66
9630,10;52
9660,10;53
9690,10;55
9720,10;58
9750,10;46
9780,10;64
9810,10;64
9840,10;56
9870,10;63
9900,10;53
9930,10;50
9960,10;56
9990,10;51
10020,10;51
10050,10;65
10080,10;58
10110,10;69
10140,10;55
10170,10;53
10200,10;72
10230,10;49
10260,10;54
10290,10;61
10320,10;59
10350,10;61
10380,10;62
10410,10;57
10440,10;56
10470,10;65
10500,10;54
10530,10;58
10560,10;52
10590,10;63
10620,10;62
10650,10;51
10680,10;68
10710,10;53
10740,10;65
10770,10;61
10800,10;58
10830,10;62
10860,10;54
10890,10;58
10920,10;70
10950,10;61
10980,10;54
11010,10;69
11040,10;53
11070,10;60
11100,10;61
11130,10;54
11160,10;57
11190,10;65
11220,10;61
11250,10;55
11280,10;66
11310,10;57
11340,10;58
11370,10;57
11400,10;62
11430,10;56
11460,10;58
11490,10;84
11520,10;59
11550,10;63
11580,10;57
11610,10;62
11640,10;62
11670,10;58
11700,10;63
11730,10;59
11760,10;65
11790,10;61
11820,10;49
11850,10;67
11880,10;61
11910,10;65
11940,10;62
11970,10;59
12000,10;60
12030,10;64
12060,10;58
12090,10;48
12120,10;63
12150,10;57
12180,10;59
12210,10;58
12240,10;73
12270,10;51
12300,10;54
12330,10;64
12360,10;55
12390,10;61
12420,10;63
12450,10;60
12480,10;62
12510,10;61
12540,10;61
12570,10;65
12600,10;64
12630,10;54
12660,10;61
12690,10;71
12720,10;59
12750,10;63
12780,10;62
12810,10;53
12840,10;67
12870,10;60
12900,10;58
12930,10;58
12960,10;58
12990,10;65
13020,10;59
13050,10;62
13080,10;65
13110,10;56
13140,10;57
13170,10;64
13200,10;60
13230,10;62
13260,10;61
13290,10;56
13320,10;69
13350,10;59
13380,10;59
13410,10;61
13440,10;60
13470,10;60
13500,10;62
13530,10;62
13560,10;53
13590,10;68
13620,10;69
13650,10;59
13680,10;61
13710,10;58
13740,10;59
13770,10;69
13800,10;59
13830,10;66
13860,10;56
13890,10;69
13920,10;60
13950,10;67
13980,10;61
14010,10;64
14040,10;65
14070,10;68
14100,10;59
14130,10;58
14160,10;62
14190,10;63
14220,10;64
14250,10;63
14280,10;61
14310,10;71
14340,10;56
14370,10;62
14400,10;63
14430,10;61
14460,10;66
14490,10;63
14520,10;65
14550,10;63
14580,10;63
14610,10;57
14640,10;62
14670,10;60
14700,10;66
14730,10;58
14760,10;59
14790,10;58
14820,10;62
14850,10;65
14880,10;64
14910,10;58
14940,10;55
14970,10;64
15000,10;54
15030,10;58
15060,10;63
15090,10;64
15120,10;55
15150,10;57
15180,10;66
15210,10;53
15240,10;59
15270,10;55
15300,10;74
15330,10;48
15360,10;53
15390,10;56
15420,10;66
15450,10;55
15480,10;55
15510,10;59
15540,10;55
15570,10;63
15600,10;54
15630,10;50
15660,10;49
15690,10;54
15720,10;69
15750,10;49
15780,10;61
15810,10;55
15840,10;63
15870,10;48
15900,10;63
15930,10;56
15960,10;46
15990,10;61
16020,10;59
16050,10;55
16080,10;55
16110,10;50
16140,10;58
16170,10;49
16200,10;49
16230,10;66
16260,10;45
16290,10;47
16320,10;45
16350,10;73
16380,10;38
16410,10;75
16440,10;40
16470,10;61
16500,10;42
16530,10;59
16560,10;65
16590,10;54
16620,10;58
16650,10;53
16680,10;55
16710,10;52
16740,10;62
16770,10;51
16800,10;48
16830,10;61
16860,10;61
16890,10;47
16920,10;51
16950,10;61
16980,10;47
17010,10;58
17040,10;49
17070,10;53
17100,10;46
17130,10;54
17160,10;45
17190,10;61
17220,10;44
17250,10;56
17280,10;54
