migration_time;num_of_mig
300,10;882
600,10;115
900,10;78
1200,10;72
1500,10;66
1800,10;78
2100,10;71
2400,10;55
2700,10;70
3000,10;53
3300,10;64
3600,10;73
3900,10;43
4200,10;45
4500,10;77
4800,10;61
5100,10;52
5400,10;36
5700,10;45
6000,10;52
6300,10;61
6600,10;46
6900,10;54
7200,10;55
7500,10;44
7800,10;56
8100,10;35
8400,10;43
8700,10;56
9000,10;44
9300,10;42
9600,10;67
9900,10;64
10200,10;46
10500,10;47
10800,10;78
11100,10;67
11400,10;52
11700,10;37
12000,10;38
12300,10;49
12600,10;46
12900,10;32
13200,10;41
13500,10;53
13800,10;46
14100,10;41
14400,10;63
14700,10;42
15000,10;42
15300,10;56
15600,10;46
15900,10;56
16200,10;40
16500,10;48
16800,10;51
17100,10;48
17400,10;60
17700,10;48
18000,10;59
18300,10;40
18600,10;50
18900,10;68
19200,10;44
19500,10;46
19800,10;54
20100,10;39
20400,10;76
20700,10;47
21000,10;51
21300,10;37
21600,10;49
21900,10;42
22200,10;42
22500,10;56
22800,10;36
23100,10;53
23400,10;42
23700,10;52
24000,10;41
24300,10;41
24600,10;41
24900,10;50
25200,10;46
25500,10;40
25800,10;52
26100,10;42
26400,10;47
26700,10;56
27000,10;38
27300,10;30
27600,10;77
27900,10;40
28200,10;58
28500,10;58
28800,10;44
29100,10;55
29400,10;41
29700,10;48
30000,10;44
30300,10;51
30600,10;48
30900,10;41
31200,10;68
31500,10;49
31800,10;45
32100,10;61
32400,10;50
32700,10;56
33000,10;51
33300,10;43
33600,10;51
33900,10;55
34200,10;55
34500,10;60
34800,10;47
35100,10;36
35400,10;48
35700,10;46
36000,10;74
36300,10;44
36600,10;50
36900,10;58
37200,10;43
37500,10;48
37800,10;46
38100,10;58
38400,10;67
38700,10;49
39000,10;79
39300,10;42
39600,10;54
39900,10;45
40200,10;50
40500,10;45
40800,10;55
41100,10;39
41400,10;38
41700,10;52
42000,10;48
42300,10;43
42600,10;56
42900,10;42
43200,10;35
43500,10;52
43800,10;47
44100,10;44
44400,10;36
44700,10;38
45000,10;57
45300,10;48
45600,10;45
45900,10;34
46200,10;61
46500,10;40
46800,10;61
47100,10;41
47400,10;56
47700,10;46
48000,10;57
48300,10;30
48600,10;60
48900,10;56
49200,10;49
49500,10;48
49800,10;42
50100,10;54
50400,10;47
50700,10;45
51000,10;43
51300,10;44
51600,10;50
51900,10;49
52200,10;38
52500,10;57
52800,10;43
53100,10;54
53400,10;40
53700,10;38
54000,10;58
54300,10;50
54600,10;51
54900,10;45
55200,10;39
55500,10;35
55800,10;42
56100,10;51
56400,10;57
56700,10;52
57000,10;39
57300,10;53
57600,10;42
57900,10;46
58200,10;44
58500,10;57
58800,10;43
59100,10;45
59400,10;46
59700,10;40
60000,10;36
60300,10;54
60600,10;43
60900,10;41
61200,10;42
61500,10;58
61800,10;47
62100,10;46
62400,10;52
62700,10;63
63000,10;68
63300,10;45
63600,10;55
63900,10;40
64200,10;42
64500,10;64
64800,10;40
65100,10;48
65400,10;54
65700,10;47
66000,10;41
66300,10;61
66600,10;48
66900,10;30
67200,10;32
67500,10;43
67800,10;65
68100,10;34
68400,10;37
68700,10;39
69000,10;48
69300,10;34
69600,10;36
69900,10;41
70200,10;46
70500,10;53
70800,10;60
71100,10;52
71400,10;48
71700,10;46
72000,10;83
72300,10;39
72600,10;37
72900,10;39
73200,10;40
73500,10;39
73800,10;45
74100,10;54
74400,10;77
74700,10;41
75000,10;31
75300,10;35
75600,10;55
75900,10;68
76200,10;36
76500,10;35
76800,10;41
77100,10;87
77400,10;56
77700,10;64
78000,10;41
78300,10;42
78600,10;43
78900,10;49
79200,10;45
79500,10;38
79800,10;53
80100,10;46
80400,10;51
80700,10;40
81000,10;50
81300,10;34
81600,10;41
81900,10;41
82200,10;42
82500,10;35
82800,10;56
83100,10;52
83400,10;47
83700,10;37
84000,10;37
84300,10;47
84600,10;31
84900,10;19
85200,10;23
85500,10;38
85800,10;36
86100,10;32
