time;num_of_active_hosts
30,10;776
60,10;320
90,10;225
120,10;172
150,10;136
180,10;112
210,10;94
240,10;82
270,10;71
300,10;69
330,10;62
360,10;66
390,10;56
420,10;60
450,10;57
480,10;64
510,10;60
540,10;56
570,10;56
600,10;58
630,10;67
660,10;49
690,10;57
720,10;56
750,10;66
780,10;67
810,10;66
840,10;57
870,10;55
900,10;51
930,10;64
960,10;69
990,10;52
1020,10;50
1050,10;59
1080,10;58
1110,10;48
1140,10;60
1170,10;62
1200,10;50
1230,10;61
1260,10;56
1290,10;49
1320,10;58
1350,10;48
1380,10;57
1410,10;65
1440,10;57
1470,10;64
1500,10;57
1530,10;56
1560,10;69
1590,10;52
1620,10;57
1650,10;60
1680,10;56
1710,10;65
1740,10;66
1770,10;67
1800,10;58
1830,10;57
1860,10;47
1890,10;61
1920,10;58
1950,10;77
1980,10;67
2010,10;57
2040,10;55
2070,10;48
2100,10;57
2130,10;62
2160,10;67
2190,10;67
2220,10;49
2250,10;58
2280,10;66
2310,10;54
2340,10;49
2370,10;68
2400,10;52
2430,10;63
2460,10;63
2490,10;57
2520,10;57
2550,10;60
2580,10;60
2610,10;55
2640,10;63
2670,10;49
2700,10;67
2730,10;50
2760,10;68
2790,10;58
2820,10;63
2850,10;71
2880,10;56
2910,10;58
2940,10;53
2970,10;55
3000,10;60
3030,10;61
3060,10;63
3090,10;60
3120,10;55
3150,10;56
3180,10;53
3210,10;69
3240,10;63
3270,10;62
3300,10;54
3330,10;57
3360,10;61
3390,10;61
3420,10;59
3450,10;52
3480,10;67
3510,10;54
3540,10;61
3570,10;56
3600,10;60
3630,10;51
3660,10;59
3690,10;68
3720,10;55
3750,10;59
3780,10;55
3810,10;67
3840,10;65
3870,10;57
3900,10;65
3930,10;61
3960,10;64
3990,10;57
4020,10;53
4050,10;65
4080,10;52
4110,10;57
4140,10;63
4170,10;56
4200,10;62
4230,10;55
4260,10;66
4290,10;65
4320,10;57
4350,10;61
4380,10;59
4410,10;50
4440,10;60
4470,10;62
4500,10;54
4530,10;67
4560,10;62
4590,10;64
4620,10;58
4650,10;48
4680,10;65
4710,10;64
4740,10;66
4770,10;60
4800,10;53
4830,10;60
4860,10;60
4890,10;67
4920,10;54
4950,10;68
4980,10;69
5010,10;62
5040,10;55
5070,10;58
5100,10;57
5130,10;58
5160,10;60
5190,10;61
5220,10;59
5250,10;62
5280,10;49
5310,10;74
5340,10;57
5370,10;55
5400,10;65
5430,10;62
5460,10;69
5490,10;60
5520,10;61
5550,10;55
5580,10;61
5610,10;57
5640,10;62
5670,10;63
5700,10;48
5730,10;62
5760,10;58
5790,10;63
5820,10;61
5850,10;58
5880,10;56
5910,10;54
5940,10;55
5970,10;57
6000,10;58
6030,10;61
6060,10;63
6090,10;57
6120,10;59
6150,10;56
6180,10;61
6210,10;59
6240,10;57
6270,10;62
6300,10;57
6330,10;72
6360,10;55
6390,10;49
6420,10;52
6450,10;65
6480,10;60
6510,10;46
6540,10;68
6570,10;50
6600,10;56
6630,10;58
6660,10;71
6690,10;47
6720,10;44
6750,10;55
6780,10;61
6810,10;58
6840,10;54
6870,10;57
6900,10;61
6930,10;56
6960,10;51
6990,10;48
7020,10;59
7050,10;43
7080,10;65
7110,10;52
7140,10;59
7170,10;54
7200,10;47
7230,10;46
7260,10;59
7290,10;52
7320,10;46
7350,10;59
7380,10;60
7410,10;54
7440,10;49
7470,10;49
7500,10;49
7530,10;47
7560,10;49
7590,10;65
7620,10;50
7650,10;43
7680,10;41
7710,10;67
7740,10;45
7770,10;69
7800,10;56
7830,10;41
7860,10;37
7890,10;56
7920,10;56
7950,10;53
7980,10;52
8010,10;47
8040,10;48
8070,10;49
8100,10;59
8130,10;46
8160,10;46
8190,10;58
8220,10;68
8250,10;48
8280,10;44
8310,10;53
8340,10;49
8370,10;60
8400,10;47
8430,10;44
8460,10;41
8490,10;48
8520,10;48
8550,10;60
8580,10;45
8610,10;57
8640,10;51
8670,10;57
8700,10;49
8730,10;48
8760,10;62
8790,10;52
8820,10;57
8850,10;56
8880,10;55
8910,10;58
8940,10;53
8970,10;55
9000,10;60
9030,10;50
9060,10;64
9090,10;54
9120,10;52
9150,10;39
9180,10;50
9210,10;54
9240,10;61
9270,10;65
9300,10;57
9330,10;50
9360,10;50
9390,10;59
9420,10;63
9450,10;57
9480,10;50
9510,10;50
9540,10;44
9570,10;64
9600,10;68
9630,10;51
9660,10;49
9690,10;52
9720,10;58
9750,10;48
9780,10;55
9810,10;56
9840,10;52
9870,10;51
9900,10;49
9930,10;49
9960,10;54
9990,10;48
10020,10;52
10050,10;62
10080,10;60
10110,10;53
10140,10;50
10170,10;58
10200,10;67
10230,10;50
10260,10;48
10290,10;56
10320,10;47
10350,10;55
10380,10;64
10410,10;54
10440,10;54
10470,10;57
10500,10;53
10530,10;59
10560,10;52
10590,10;60
10620,10;63
10650,10;48
10680,10;67
10710,10;51
10740,10;67
10770,10;56
10800,10;54
10830,10;52
10860,10;51
10890,10;64
10920,10;65
10950,10;52
10980,10;52
11010,10;71
11040,10;51
11070,10;58
11100,10;59
11130,10;53
11160,10;51
11190,10;59
11220,10;56
11250,10;51
11280,10;59
11310,10;56
11340,10;62
11370,10;48
11400,10;58
11430,10;48
11460,10;60
11490,10;75
11520,10;60
11550,10;63
11580,10;53
11610,10;54
11640,10;56
11670,10;55
11700,10;56
11730,10;54
11760,10;55
11790,10;53
11820,10;50
11850,10;69
11880,10;58
11910,10;56
11940,10;49
11970,10;58
12000,10;59
12030,10;59
12060,10;50
12090,10;54
12120,10;59
12150,10;55
12180,10;66
12210,10;54
12240,10;68
12270,10;50
12300,10;56
12330,10;64
12360,10;53
12390,10;54
12420,10;57
12450,10;56
12480,10;57
12510,10;64
12540,10;56
12570,10;57
12600,10;54
12630,10;55
12660,10;55
12690,10;56
12720,10;56
12750,10;63
12780,10;56
12810,10;54
12840,10;61
12870,10;54
12900,10;60
12930,10;57
12960,10;58
12990,10;56
13020,10;58
13050,10;56
13080,10;53
13110,10;53
13140,10;58
13170,10;61
13200,10;56
13230,10;62
13260,10;55
13290,10;54
13320,10;67
13350,10;56
13380,10;56
13410,10;59
13440,10;53
13470,10;58
13500,10;54
13530,10;68
13560,10;55
13590,10;51
13620,10;69
13650,10;51
13680,10;57
13710,10;61
13740,10;48
13770,10;66
13800,10;56
13830,10;63
13860,10;59
13890,10;62
13920,10;51
13950,10;69
13980,10;55
14010,10;55
14040,10;59
14070,10;62
14100,10;67
14130,10;57
14160,10;49
14190,10;57
14220,10;57
14250,10;58
14280,10;61
14310,10;70
14340,10;54
14370,10;56
14400,10;56
14430,10;55
14460,10;60
14490,10;53
14520,10;54
14550,10;53
14580,10;55
14610,10;56
14640,10;57
14670,10;65
14700,10;65
14730,10;57
14760,10;54
14790,10;53
14820,10;62
14850,10;59
14880,10;52
14910,10;65
14940,10;51
14970,10;62
15000,10;53
15030,10;48
15060,10;53
15090,10;65
15120,10;53
15150,10;46
15180,10;60
15210,10;51
15240,10;53
15270,10;51
15300,10;64
15330,10;50
15360,10;46
15390,10;52
15420,10;56
15450,10;49
15480,10;52
15510,10;51
15540,10;52
15570,10;56
15600,10;56
15630,10;57
15660,10;55
15690,10;56
15720,10;59
15750,10;50
15780,10;54
15810,10;53
15840,10;55
15870,10;44
15900,10;60
15930,10;46
15960,10;42
15990,10;55
16020,10;56
16050,10;52
16080,10;50
16110,10;50
16140,10;46
16170,10;49
16200,10;54
16230,10;66
16260,10;46
16290,10;47
16320,10;40
16350,10;66
16380,10;44
16410,10;66
16440,10;46
16470,10;47
16500,10;41
16530,10;53
16560,10;55
16590,10;45
16620,10;48
16650,10;53
16680,10;44
16710,10;43
16740,10;61
16770,10;55
16800,10;46
16830,10;59
16860,10;64
16890,10;47
16920,10;42
16950,10;54
16980,10;49
17010,10;53
17040,10;52
17070,10;44
17100,10;43
17130,10;51
17160,10;48
17190,10;59
17220,10;45
17250,10;49
17280,10;54
