migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;124
2100,10;110
2400,10;93
2700,10;85
3000,10;85
3300,10;78
3600,10;66
3900,10;62
4200,10;65
4500,10;72
4800,10;58
5100,10;61
5400,10;83
5700,10;51
6000,10;92
6300,10;62
6600,10;46
6900,10;58
7200,10;63
7500,10;70
7800,10;83
8100,10;79
8400,10;51
8700,10;81
9000,10;80
9300,10;81
9600,10;55
9900,10;57
10200,10;50
10500,10;56
10800,10;58
11100,10;70
11400,10;70
11700,10;50
12000,10;69
12300,10;65
12600,10;71
12900,10;72
13200,10;61
13500,10;81
13800,10;53
14100,10;98
14400,10;74
14700,10;82
15000,10;66
15300,10;80
15600,10;60
15900,10;55
16200,10;60
16500,10;83
16800,10;65
17100,10;94
17400,10;61
17700,10;64
18000,10;65
18300,10;53
18600,10;55
18900,10;61
19200,10;61
19500,10;79
19800,10;54
20100,10;51
20400,10;82
20700,10;54
21000,10;59
21300,10;56
21600,10;55
21900,10;74
22200,10;55
22500,10;76
22800,10;77
23100,10;48
23400,10;71
23700,10;68
24000,10;77
24300,10;80
24600,10;75
24900,10;62
25200,10;92
25500,10;65
25800,10;67
26100,10;56
26400,10;53
26700,10;73
27000,10;65
27300,10;78
27600,10;64
27900,10;68
28200,10;107
28500,10;60
28800,10;72
29100,10;58
29400,10;70
29700,10;51
30000,10;86
30300,10;90
30600,10;84
30900,10;72
31200,10;78
31500,10;56
31800,10;65
32100,10;59
32400,10;94
32700,10;63
33000,10;51
33300,10;60
33600,10;64
33900,10;52
34200,10;70
34500,10;56
34800,10;54
35100,10;56
35400,10;84
35700,10;60
36000,10;56
36300,10;56
36600,10;59
36900,10;79
37200,10;75
37500,10;56
37800,10;65
38100,10;87
38400,10;77
38700,10;84
39000,10;57
39300,10;54
39600,10;81
39900,10;56
40200,10;68
40500,10;76
40800,10;71
41100,10;63
41400,10;48
41700,10;63
42000,10;75
42300,10;63
42600,10;75
42900,10;85
43200,10;101
43500,10;50
43800,10;87
44100,10;71
44400,10;61
44700,10;53
45000,10;70
45300,10;57
45600,10;65
45900,10;70
46200,10;67
46500,10;86
46800,10;64
47100,10;80
47400,10;61
47700,10;69
48000,10;68
48300,10;122
48600,10;70
48900,10;78
49200,10;46
49500,10;77
49800,10;57
50100,10;68
50400,10;64
50700,10;50
51000,10;72
51300,10;62
51600,10;60
51900,10;68
52200,10;58
52500,10;53
52800,10;56
53100,10;88
53400,10;78
53700,10;61
54000,10;53
54300,10;82
54600,10;66
54900,10;91
55200,10;81
55500,10;50
55800,10;68
56100,10;53
56400,10;103
56700,10;70
57000,10;50
57300,10;58
57600,10;61
57900,10;75
58200,10;55
58500,10;59
58800,10;58
59100,10;75
59400,10;73
59700,10;57
60000,10;52
60300,10;79
60600,10;85
60900,10;82
61200,10;69
61500,10;70
61800,10;59
62100,10;57
62400,10;88
62700,10;65
63000,10;50
63300,10;55
63600,10;62
63900,10;68
64200,10;57
64500,10;93
64800,10;54
65100,10;84
65400,10;52
65700,10;70
66000,10;48
66300,10;65
66600,10;58
66900,10;57
67200,10;89
67500,10;73
67800,10;54
68100,10;74
68400,10;48
68700,10;55
69000,10;58
69300,10;77
69600,10;80
69900,10;46
70200,10;62
70500,10;73
70800,10;47
71100,10;62
71400,10;61
71700,10;82
72000,10;46
72300,10;58
72600,10;68
72900,10;77
73200,10;52
73500,10;77
73800,10;51
74100,10;53
74400,10;44
74700,10;58
75000,10;54
75300,10;50
75600,10;62
75900,10;57
76200,10;54
76500,10;38
76800,10;64
77100,10;49
77400,10;63
77700,10;53
78000,10;52
78300,10;45
78600,10;60
78900,10;59
79200,10;54
79500,10;60
79800,10;51
80100,10;53
80400,10;42
80700,10;60
81000,10;64
81300,10;53
81600,10;76
81900,10;65
82200,10;47
82500,10;56
82800,10;56
83100,10;51
83400,10;89
83700,10;59
84000,10;63
84300,10;39
84600,10;38
84900,10;54
85200,10;53
85500,10;42
85800,10;55
86100,10;51
