time;num_of_active_hosts
30,10;776
60,10;133
90,10;62
120,10;109
150,10;139
180,10;115
210,10;142
240,10;137
270,10;103
300,10;136
330,10;116
360,10;103
390,10;84
420,10;132
450,10;108
480,10;113
510,10;96
540,10;72
570,10;96
600,10;76
630,10;94
660,10;74
690,10;76
720,10;80
750,10;119
780,10;96
810,10;107
840,10;76
870,10;73
900,10;78
930,10;87
960,10;79
990,10;72
1020,10;84
1050,10;86
1080,10;77
1110,10;67
1140,10;95
1170,10;102
1200,10;73
1230,10;82
1260,10;74
1290,10;77
1320,10;79
1350,10;70
1380,10;54
1410,10;88
1440,10;73
1470,10;97
1500,10;62
1530,10;77
1560,10;121
1590,10;50
1620,10;71
1650,10;76
1680,10;66
1710,10;93
1740,10;70
1770,10;70
1800,10;81
1830,10;85
1860,10;67
1890,10;79
1920,10;64
1950,10;98
1980,10;97
2010,10;62
2040,10;78
2070,10;66
2100,10;108
2130,10;81
2160,10;79
2190,10;68
2220,10;61
2250,10;94
2280,10;107
2310,10;70
2340,10;62
2370,10;94
2400,10;68
2430,10;87
2460,10;87
2490,10;72
2520,10;87
2550,10;76
2580,10;84
2610,10;74
2640,10;95
2670,10;68
2700,10;79
2730,10;70
2760,10;92
2790,10;63
2820,10;85
2850,10;96
2880,10;70
2910,10;74
2940,10;64
2970,10;81
3000,10;74
3030,10;81
3060,10;80
3090,10;56
3120,10;84
3150,10;79
3180,10;55
3210,10;88
3240,10;75
3270,10;100
3300,10;60
3330,10;96
3360,10;74
3390,10;81
3420,10;72
3450,10;67
3480,10;87
3510,10;70
3540,10;70
3570,10;74
3600,10;90
3630,10;59
3660,10;69
3690,10;81
3720,10;85
3750,10;86
3780,10;72
3810,10;84
3840,10;76
3870,10;67
3900,10;89
3930,10;78
3960,10;79
3990,10;52
4020,10;91
4050,10;91
4080,10;72
4110,10;67
4140,10;88
4170,10;58
4200,10;104
4230,10;63
4260,10;69
4290,10;74
4320,10;67
4350,10;79
4380,10;73
4410,10;76
4440,10;76
4470,10;82
4500,10;75
4530,10;83
4560,10;95
4590,10;81
4620,10;65
4650,10;73
4680,10;89
4710,10;69
4740,10;91
4770,10;70
4800,10;78
4830,10;68
4860,10;80
4890,10;97
4920,10;62
4950,10;90
4980,10;80
5010,10;72
5040,10;68
5070,10;83
5100,10;59
5130,10;83
5160,10;78
5190,10;72
5220,10;67
5250,10;73
5280,10;69
5310,10;81
5340,10;73
5370,10;75
5400,10;82
5430,10;68
5460,10;88
5490,10;73
5520,10;70
5550,10;78
5580,10;76
5610,10;69
5640,10;94
5670,10;83
5700,10;62
5730,10;76
5760,10;77
5790,10;72
5820,10;76
5850,10;78
5880,10;65
5910,10;68
5940,10;63
5970,10;70
6000,10;76
6030,10;75
6060,10;81
6090,10;66
6120,10;62
6150,10;76
6180,10;73
6210,10;74
6240,10;90
6270,10;72
6300,10;76
6330,10;88
6360,10;75
6390,10;68
6420,10;73
6450,10;88
6480,10;60
6510,10;60
6540,10;88
6570,10;83
6600,10;69
6630,10;77
6660,10;83
6690,10;51
6720,10;70
6750,10;77
6780,10;71
6810,10;57
6840,10;72
6870,10;76
6900,10;89
6930,10;58
6960,10;65
6990,10;62
7020,10;70
7050,10;67
7080,10;89
7110,10;62
7140,10;85
7170,10;73
7200,10;84
7230,10;55
7260,10;70
7290,10;72
7320,10;49
7350,10;86
7380,10;71
7410,10;67
7440,10;65
7470,10;61
7500,10;70
7530,10;60
7560,10;59
7590,10;97
7620,10;57
7650,10;47
7680,10;51
7710,10;120
7740,10;45
7770,10;114
7800,10;57
7830,10;69
7860,10;52
7890,10;95
7920,10;70
7950,10;61
7980,10;64
8010,10;72
8040,10;55
8070,10;65
8100,10;69
8130,10;60
8160,10;65
8190,10;90
8220,10;88
8250,10;43
8280,10;63
8310,10;68
8340,10;53
8370,10;88
8400,10;55
8430,10;62
8460,10;58
8490,10;66
8520,10;58
8550,10;89
8580,10;45
8610,10;93
8640,10;73
8670,10;76
8700,10;67
8730,10;64
8760,10;84
8790,10;64
8820,10;70
8850,10;63
8880,10;72
8910,10;64
8940,10;57
8970,10;59
9000,10;80
9030,10;59
9060,10;81
9090,10;67
9120,10;74
9150,10;57
9180,10;61
9210,10;85
9240,10;66
9270,10;102
9300,10;64
9330,10;66
9360,10;60
9390,10;100
9420,10;67
9450,10;88
9480,10;64
9510,10;63
9540,10;58
9570,10;85
9600,10;68
9630,10;58
9660,10;58
9690,10;72
9720,10;54
9750,10;46
9780,10;83
9810,10;87
9840,10;58
9870,10;72
9900,10;62
9930,10;63
9960,10;77
9990,10;65
10020,10;61
10050,10;81
10080,10;63
10110,10;86
10140,10;74
10170,10;61
10200,10;100
10230,10;50
10260,10;68
10290,10;76
10320,10;67
10350,10;81
10380,10;77
10410,10;79
10440,10;64
10470,10;77
10500,10;64
10530,10;76
10560,10;63
10590,10;88
10620,10;82
10650,10;55
10680,10;84
10710,10;73
10740,10;93
10770,10;75
10800,10;61
10830,10;78
10860,10;61
10890,10;78
10920,10;92
10950,10;69
10980,10;60
11010,10;101
11040,10;54
11070,10;90
11100,10;64
11130,10;65
11160,10;66
11190,10;64
11220,10;73
11250,10;61
11280,10;84
11310,10;61
11340,10;70
11370,10;74
11400,10;70
11430,10;64
11460,10;75
11490,10;87
11520,10;64
11550,10;77
11580,10;65
11610,10;68
11640,10;69
11670,10;83
11700,10;73
11730,10;59
11760,10;63
11790,10;65
11820,10;54
11850,10;93
11880,10;71
11910,10;92
11940,10;67
11970,10;70
12000,10;81
12030,10;67
12060,10;73
12090,10;60
12120,10;75
12150,10;64
12180,10;64
12210,10;77
12240,10;81
12270,10;58
12300,10;62
12330,10;83
12360,10;63
12390,10;86
12420,10;71
12450,10;71
12480,10;88
12510,10;61
12540,10;84
12570,10;65
12600,10;79
12630,10;69
12660,10;77
12690,10;90
12720,10;63
12750,10;75
12780,10;86
12810,10;55
12840,10;101
12870,10;61
12900,10;61
12930,10;71
12960,10;66
12990,10;78
13020,10;61
13050,10;74
13080,10;65
13110,10;66
13140,10;61
13170,10;80
13200,10;77
13230,10;79
13260,10;81
13290,10;55
13320,10;100
13350,10;64
13380,10;75
13410,10;69
13440,10;68
13470,10;72
13500,10;74
13530,10;84
13560,10;56
13590,10;77
13620,10;90
13650,10;60
13680,10;77
13710,10;72
13740,10;55
13770,10;72
13800,10;72
13830,10;69
13860,10;77
13890,10;90
13920,10;62
13950,10;87
13980,10;65
14010,10;64
14040,10;86
14070,10;64
14100,10;80
14130,10;88
14160,10;79
14190,10;89
14220,10;88
14250,10;77
14280,10;73
14310,10;87
14340,10;58
14370,10;74
14400,10;65
14430,10;78
14460,10;72
14490,10;77
14520,10;67
14550,10;64
14580,10;55
14610,10;66
14640,10;69
14670,10;79
14700,10;80
14730,10;70
14760,10;70
14790,10;78
14820,10;73
14850,10;72
14880,10;73
14910,10;78
14940,10;57
14970,10;95
15000,10;63
15030,10;63
15060,10;76
15090,10;93
15120,10;79
15150,10;61
15180,10;90
15210,10;70
15240,10;68
15270,10;88
15300,10;91
15330,10;65
15360,10;59
15390,10;65
15420,10;76
15450,10;65
15480,10;63
15510,10;69
15540,10;73
15570,10;62
15600,10;79
15630,10;67
15660,10;59
15690,10;62
15720,10;87
15750,10;66
15780,10;85
15810,10;56
15840,10;73
15870,10;57
15900,10;91
15930,10;56
15960,10;50
15990,10;82
16020,10;67
16050,10;71
16080,10;50
16110,10;59
16140,10;75
16170,10;67
16200,10;54
16230,10;91
16260,10;49
16290,10;62
16320,10;67
16350,10;106
16380,10;53
16410,10;108
16440,10;51
16470,10;78
16500,10;49
16530,10;89
16560,10;71
16590,10;63
16620,10;79
16650,10;71
16680,10;54
16710,10;61
16740,10;96
16770,10;57
16800,10;56
16830,10;82
16860,10;72
16890,10;52
16920,10;58
16950,10;79
16980,10;50
17010,10;80
17040,10;49
17070,10;66
17100,10;48
17130,10;73
17160,10;66
17190,10;95
17220,10;41
17250,10;72
17280,10;69
