time;num_of_active_hosts
300,10;412
600,10;47
900,10;49
1200,10;51
1500,10;50
1800,10;52
2100,10;52
2400,10;52
2700,10;48
3000,10;50
3300,10;48
3600,10;50
3900,10;47
4200,10;50
4500,10;51
4800,10;50
5100,10;46
5400,10;44
5700,10;45
6000,10;46
6300,10;49
6600,10;48
6900,10;48
7200,10;43
7500,10;48
7800,10;48
8100,10;49
8400,10;48
8700,10;48
9000,10;45
9300,10;48
9600,10;49
9900,10;46
10200,10;45
10500,10;45
10800,10;46
11100,10;39
11400,10;43
11700,10;46
12000,10;45
12300,10;47
12600,10;44
12900,10;43
13200,10;43
13500,10;43
13800,10;43
14100,10;44
14400,10;46
14700,10;47
15000,10;45
15300,10;44
15600,10;47
15900,10;42
16200,10;43
16500,10;45
16800,10;44
17100,10;46
17400,10;49
17700,10;48
18000,10;48
18300,10;48
18600,10;45
18900,10;48
19200,10;44
19500,10;48
19800,10;50
20100,10;45
20400,10;47
20700,10;44
21000,10;47
21300,10;47
21600,10;47
21900,10;48
22200,10;45
22500,10;47
22800,10;50
23100,10;49
23400,10;44
23700,10;50
24000,10;47
24300,10;49
24600,10;50
24900,10;48
25200,10;48
25500,10;47
25800,10;47
26100,10;45
26400,10;48
26700,10;45
27000,10;46
27300,10;48
27600,10;49
27900,10;46
28200,10;48
28500,10;54
28800,10;50
29100,10;50
29400,10;46
29700,10;45
30000,10;46
30300,10;47
30600,10;50
30900,10;46
31200,10;45
31500,10;47
31800,10;43
32100,10;48
32400,10;47
32700,10;51
33000,10;46
33300,10;48
33600,10;50
33900,10;50
34200,10;46
34500,10;45
34800,10;47
35100,10;48
35400,10;47
35700,10;47
36000,10;51
36300,10;45
36600,10;46
36900,10;49
37200,10;47
37500,10;48
37800,10;48
38100,10;46
38400,10;47
38700,10;47
39000,10;47
39300,10;47
39600,10;49
39900,10;45
40200,10;47
40500,10;49
40800,10;49
41100,10;48
41400,10;51
41700,10;49
42000,10;50
42300,10;49
42600,10;49
42900,10;48
43200,10;49
43500,10;50
43800,10;48
44100,10;45
44400,10;48
44700,10;47
45000,10;47
45300,10;50
45600,10;51
45900,10;51
46200,10;52
46500,10;47
46800,10;50
47100,10;50
47400,10;52
47700,10;50
48000,10;51
48300,10;49
48600,10;51
48900,10;52
49200,10;46
49500,10;49
49800,10;51
50100,10;50
50400,10;47
50700,10;50
51000,10;47
51300,10;50
51600,10;50
51900,10;49
52200,10;50
52500,10;52
52800,10;48
53100,10;50
53400,10;51
53700,10;47
54000,10;51
54300,10;49
54600,10;50
54900,10;50
55200,10;50
55500,10;50
55800,10;51
56100,10;52
56400,10;50
56700,10;53
57000,10;46
57300,10;47
57600,10;48
57900,10;47
58200,10;50
58500,10;50
58800,10;50
59100,10;49
59400,10;47
59700,10;48
60000,10;49
60300,10;49
60600,10;51
60900,10;48
61200,10;49
61500,10;49
61800,10;47
62100,10;49
62400,10;47
62700,10;49
63000,10;47
63300,10;50
63600,10;44
63900,10;45
64200,10;46
64500,10;49
64800,10;47
65100,10;45
65400,10;49
65700,10;48
66000,10;49
66300,10;51
66600,10;51
66900,10;45
67200,10;43
67500,10;45
67800,10;46
68100,10;46
68400,10;46
68700,10;46
69000,10;47
69300,10;44
69600,10;45
69900,10;45
70200,10;43
70500,10;43
70800,10;47
71100,10;42
71400,10;46
71700,10;44
72000,10;45
72300,10;40
72600,10;43
72900,10;44
73200,10;41
73500,10;45
73800,10;46
74100,10;45
74400,10;45
74700,10;42
75000,10;43
75300,10;41
75600,10;42
75900,10;46
76200,10;40
76500,10;40
76800,10;39
77100,10;44
77400,10;37
77700,10;46
78000,10;39
78300,10;41
78600,10;37
78900,10;40
79200,10;43
79500,10;41
79800,10;42
80100,10;41
80400,10;40
80700,10;41
81000,10;43
81300,10;39
81600,10;38
81900,10;41
82200,10;44
82500,10;40
82800,10;38
83100,10;41
83400,10;40
83700,10;42
84000,10;36
84300,10;39
84600,10;37
84900,10;39
85200,10;38
85500,10;41
85800,10;38
86100,10;41
