migration_time;num_of_mig
30,10;838
60,10;239
90,10;165
120,10;86
150,10;197
180,10;101
210,10;122
240,10;118
270,10;94
300,10;129
330,10;112
360,10;93
390,10;174
420,10;159
450,10;158
480,10;96
510,10;113
540,10;107
570,10;100
600,10;140
630,10;69
660,10;63
690,10;107
720,10;100
750,10;117
780,10;121
810,10;98
840,10;90
870,10;77
900,10;97
930,10;88
960,10;104
990,10;82
1020,10;96
1050,10;74
1080,10;73
1110,10;98
1140,10;85
1170,10;100
1200,10;106
1230,10;71
1260,10;74
1290,10;110
1320,10;76
1350,10;82
1380,10;70
1410,10;88
1440,10;82
1470,10;86
1500,10;74
1530,10;112
1560,10;62
1590,10;91
1620,10;87
1650,10;73
1680,10;69
1710,10;55
1740,10;63
1770,10;77
1800,10;86
1830,10;51
1860,10;78
1890,10;67
1920,10;87
1950,10;91
1980,10;65
2010,10;76
2040,10;50
2070,10;82
2100,10;87
2130,10;61
2160,10;85
2190,10;90
2220,10;84
2250,10;65
2280,10;49
2310,10;35
2340,10;69
2370,10;73
2400,10;61
2430,10;70
2460,10;53
2490,10;80
2520,10;60
2550,10;72
2580,10;62
2610,10;69
2640,10;48
2670,10;67
2700,10;84
2730,10;61
2760,10;70
2790,10;79
2820,10;77
2850,10;76
2880,10;75
2910,10;62
2940,10;61
2970,10;68
3000,10;61
3030,10;69
3060,10;78
3090,10;58
3120,10;45
3150,10;63
3180,10;82
3210,10;83
3240,10;91
3270,10;78
3300,10;79
3330,10;80
3360,10;78
3390,10;60
3420,10;65
3450,10;88
3480,10;68
3510,10;65
3540,10;73
3570,10;93
3600,10;75
3630,10;62
3660,10;90
3690,10;75
3720,10;90
3750,10;69
3780,10;71
3810,10;84
3840,10;83
3870,10;75
3900,10;66
3930,10;62
3960,10;83
3990,10;101
4020,10;101
4050,10;93
4080,10;82
4110,10;88
4140,10;63
4170,10;88
4200,10;77
4230,10;58
4260,10;69
4290,10;57
4320,10;79
4350,10;67
4380,10;82
4410,10;78
4440,10;79
4470,10;67
4500,10;72
4530,10;82
4560,10;82
4590,10;77
4620,10;59
4650,10;73
4680,10;56
4710,10;83
4740,10;60
4770,10;63
4800,10;75
4830,10;75
4860,10;82
4890,10;67
4920,10;72
4950,10;96
4980,10;65
5010,10;65
5040,10;54
5070,10;60
5100,10;75
5130,10;33
5160,10;61
5190,10;58
5220,10;75
5250,10;63
5280,10;66
5310,10;71
5340,10;71
5370,10;86
5400,10;52
5430,10;79
5460,10;71
5490,10;59
5520,10;46
5550,10;83
5580,10;70
5610,10;63
5640,10;85
5670,10;45
5700,10;63
5730,10;53
5760,10;71
5790,10;78
5820,10;57
5850,10;56
5880,10;61
5910,10;55
5940,10;67
5970,10;60
6000,10;70
6030,10;91
6060,10;78
6090,10;65
6120,10;91
6150,10;96
6180,10;80
6210,10;80
6240,10;68
6270,10;91
6300,10;67
6330,10;51
6360,10;59
6390,10;73
6420,10;100
6450,10;92
6480,10;61
6510,10;110
6540,10;52
6570,10;55
6600,10;56
6630,10;73
6660,10;78
6690,10;79
6720,10;70
6750,10;56
6780,10;59
6810,10;77
6840,10;73
6870,10;89
6900,10;83
6930,10;57
6960,10;54
6990,10;64
7020,10;86
7050,10;82
7080,10;71
7110,10;78
7140,10;74
7170,10;86
7200,10;68
7230,10;60
7260,10;52
7290,10;43
7320,10;67
7350,10;56
7380,10;63
7410,10;75
7440,10;82
7470,10;84
7500,10;53
7530,10;52
7560,10;67
7590,10;67
7620,10;48
7650,10;45
7680,10;96
7710,10;78
7740,10;102
7770,10;70
7800,10;85
7830,10;68
7860,10;78
7890,10;74
7920,10;57
7950,10;53
7980,10;61
8010,10;65
8040,10;66
8070,10;66
8100,10;58
8130,10;51
8160,10;93
8190,10;71
8220,10;52
8250,10;58
8280,10;51
8310,10;45
8340,10;70
8370,10;84
8400,10;51
8430,10;69
8460,10;70
8490,10;43
8520,10;67
8550,10;59
8580,10;69
8610,10;91
8640,10;90
8670,10;59
8700,10;83
8730,10;71
8760,10;47
8790,10;46
8820,10;50
8850,10;55
8880,10;48
8910,10;57
8940,10;47
8970,10;74
9000,10;61
9030,10;67
9060,10;56
9090,10;56
9120,10;60
9150,10;51
9180,10;64
9210,10;88
9240,10;71
9270,10;61
9300,10;65
9330,10;74
9360,10;79
9390,10;92
9420,10;75
9450,10;64
9480,10;55
9510,10;53
9540,10;107
9570,10;60
9600,10;58
9630,10;52
9660,10;78
9690,10;59
9720,10;71
9750,10;83
9780,10;71
9810,10;64
9840,10;86
9870,10;65
9900,10;82
9930,10;86
9960,10;50
9990,10;48
10020,10;65
10050,10;52
10080,10;78
10110,10;42
10140,10;57
10170,10;89
10200,10;65
10230,10;63
10260,10;73
10290,10;85
10320,10;98
10350,10;55
10380,10;66
10410,10;71
10440,10;63
10470,10;66
10500,10;62
10530,10;60
10560,10;102
10590,10;80
10620,10;55
10650,10;92
10680,10;43
10710,10;69
10740,10;90
10770,10;69
10800,10;97
10830,10;59
10860,10;66
10890,10;70
10920,10;62
10950,10;67
10980,10;68
11010,10;71
11040,10;79
11070,10;83
11100,10;77
11130,10;78
11160,10;82
11190,10;68
11220,10;82
11250,10;85
11280,10;62
11310,10;63
11340,10;71
11370,10;58
11400,10;68
11430,10;77
11460,10;56
11490,10;59
11520,10;76
11550,10;79
11580,10;85
11610,10;80
11640,10;74
11670,10;49
11700,10;58
11730,10;59
11760,10;60
11790,10;51
11820,10;83
11850,10;86
11880,10;102
11910,10;92
11940,10;85
11970,10;54
12000,10;92
12030,10;64
12060,10;49
12090,10;69
12120,10;72
12150,10;73
12180,10;63
12210,10;63
12240,10;63
12270,10;62
12300,10;80
12330,10;83
12360,10;69
12390,10;66
12420,10;74
12450,10;64
12480,10;70
12510,10;73
12540,10;63
12570,10;57
12600,10;57
12630,10;67
12660,10;73
12690,10;71
12720,10;54
12750,10;70
12780,10;71
12810,10;74
12840,10;42
12870,10;56
12900,10;61
12930,10;80
12960,10;71
12990,10;69
13020,10;68
13050,10;56
13080,10;47
13110,10;72
13140,10;74
13170,10;83
13200,10;57
13230,10;67
13260,10;65
13290,10;88
13320,10;80
13350,10;78
13380,10;67
13410,10;64
13440,10;57
13470,10;69
13500,10;84
13530,10;65
13560,10;70
13590,10;83
13620,10;76
13650,10;73
13680,10;71
13710,10;48
13740,10;60
13770,10;73
13800,10;66
13830,10;49
13860,10;45
13890,10;65
13920,10;81
13950,10;76
13980,10;68
14010,10;64
14040,10;59
14070,10;68
14100,10;58
14130,10;47
14160,10;36
14190,10;44
14220,10;75
14250,10;64
14280,10;77
14310,10;52
14340,10;53
14370,10;72
14400,10;68
14430,10;77
14460,10;71
14490,10;52
14520,10;54
14550,10;56
14580,10;57
14610,10;67
14640,10;72
14670,10;76
14700,10;70
14730,10;88
14760,10;51
14790,10;77
14820,10;69
14850,10;63
14880,10;57
14910,10;56
14940,10;72
14970,10;56
15000,10;48
15030,10;69
15060,10;66
15090,10;50
15120,10;64
15150,10;97
15180,10;69
15210,10;67
15240,10;69
15270,10;89
15300,10;66
15330,10;80
15360,10;62
15390,10;85
15420,10;72
15450,10;65
15480,10;88
15510,10;96
15540,10;65
15570,10;55
15600,10;58
15630,10;67
15660,10;60
15690,10;82
15720,10;71
15750,10;84
15780,10;62
15810,10;59
15840,10;66
15870,10;80
15900,10;52
15930,10;58
15960,10;64
15990,10;67
16020,10;70
16050,10;76
16080,10;72
16110,10;68
16140,10;91
16170,10;68
16200,10;77
16230,10;71
16260,10;67
16290,10;74
16320,10;98
16350,10;56
16380,10;96
16410,10;82
16440,10;90
16470,10;73
16500,10;72
16530,10;60
16560,10;54
16590,10;51
16620,10;64
16650,10;58
16680,10;65
16710,10;86
16740,10;68
16770,10;72
16800,10;68
16830,10;76
16860,10;59
16890,10;61
16920,10;76
16950,10;35
16980,10;73
17010,10;62
17040,10;57
17070,10;75
17100,10;58
17130,10;51
17160,10;76
17190,10;69
17220,10;86
17250,10;65
17280,10;83
