migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;129
2100,10;115
2400,10;103
2700,10;99
3000,10;104
3300,10;82
3600,10;71
3900,10;77
4200,10;90
4500,10;83
4800,10;93
5100,10;90
5400,10;88
5700,10;91
6000,10;93
6300,10;101
6600,10;121
6900,10;103
7200,10;111
7500,10;121
7800,10;108
8100,10;93
8400,10;97
8700,10;90
9000,10;86
9300,10;81
9600,10;95
9900,10;79
10200,10;73
10500,10;81
10800,10;60
11100,10;73
11400,10;93
11700,10;113
12000,10;105
12300,10;90
12600,10;93
12900,10;80
13200,10;87
13500,10;84
13800,10;78
14100,10;90
14400,10;117
14700,10;95
15000,10;82
15300,10;117
15600,10;103
15900,10;83
16200,10;79
16500,10;88
16800,10;78
17100,10;91
17400,10;82
17700,10;73
18000,10;83
18300,10;91
18600,10;87
18900,10;73
19200,10;81
19500,10;98
19800,10;103
20100,10;77
20400,10;72
20700,10;107
21000,10;90
21300,10;74
21600,10;79
21900,10;95
22200,10;105
22500,10;92
22800,10;89
23100,10;82
23400,10;80
23700,10;83
24000,10;73
24300,10;79
24600,10;81
24900,10;85
25200,10;77
25500,10;82
25800,10;80
26100,10;94
26400,10;97
26700,10;82
27000,10;94
27300,10;84
27600,10;69
27900,10;89
28200,10;110
28500,10;112
28800,10;79
29100,10;84
29400,10;73
29700,10;77
30000,10;100
30300,10;84
30600,10;86
30900,10;94
31200,10;89
31500,10;77
31800,10;94
32100,10;114
32400,10;100
32700,10;96
33000,10;73
33300,10;100
33600,10;92
33900,10;104
34200,10;78
34500,10;91
34800,10;96
35100,10;90
35400,10;80
35700,10;87
36000,10;83
36300,10;70
36600,10;82
36900,10;79
37200,10;86
37500,10;112
37800,10;90
38100,10;87
38400,10;93
38700,10;99
39000,10;95
39300,10;88
39600,10;74
39900,10;102
40200,10;103
40500,10;80
40800,10;74
41100,10;78
41400,10;72
41700,10;73
42000,10;77
42300,10;100
42600,10;81
42900,10;66
43200,10;78
43500,10;97
43800,10;83
44100,10;77
44400,10;76
44700,10;61
45000,10;101
45300,10;93
45600,10;93
45900,10;110
46200,10;110
46500,10;103
46800,10;80
47100,10;86
47400,10;97
47700,10;84
48000,10;74
48300,10;87
48600,10;90
48900,10;106
49200,10;77
49500,10;96
49800,10;110
50100,10;118
50400,10;88
50700,10;87
51000,10;97
51300,10;94
51600,10;99
51900,10;82
52200,10;95
52500,10;83
52800,10;95
53100,10;87
53400,10;82
53700,10;93
54000,10;93
54300,10;80
54600,10;97
54900,10;92
55200,10;85
55500,10;84
55800,10;77
56100,10;79
56400,10;97
56700,10;86
57000,10;76
57300,10;82
57600,10;107
57900,10;93
58200,10;91
58500,10;79
58800,10;89
59100,10;92
59400,10;78
59700,10;104
60000,10;77
60300,10;112
60600,10;106
60900,10;95
61200,10;89
61500,10;75
61800,10;79
62100,10;82
62400,10;106
62700,10;104
63000,10;99
63300,10;85
63600,10;69
63900,10;84
64200,10;102
64500,10;77
64800,10;77
65100,10;95
65400,10;86
65700,10;80
66000,10;74
66300,10;100
66600,10;80
66900,10;58
67200,10;75
67500,10;102
67800,10;85
68100,10;82
68400,10;72
68700,10;88
69000,10;84
69300,10;92
69600,10;66
69900,10;64
70200,10;68
70500,10;78
70800,10;92
71100,10;84
71400,10;79
71700,10;86
72000,10;76
72300,10;78
72600,10;90
72900,10;77
73200,10;83
73500,10;82
73800,10;76
74100,10;84
74400,10;74
74700,10;67
75000,10;71
75300,10;79
75600,10;82
75900,10;79
76200,10;63
76500,10;62
76800,10;114
77100,10;115
77400,10;82
77700,10;77
78000,10;62
78300,10;60
78600,10;59
78900,10;84
79200,10;86
79500,10;105
79800,10;80
80100,10;71
80400,10;80
80700,10;75
81000,10;74
81300,10;58
81600,10;71
81900,10;77
82200,10;67
82500,10;60
82800,10;77
83100,10;72
83400,10;87
83700,10;87
84000,10;80
84300,10;68
84600,10;72
84900,10;94
85200,10;89
85500,10;68
85800,10;76
86100,10;95
