time;num_of_active_hosts
300,10;776
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;98
2400,10;86
2700,10;79
3000,10;86
3300,10;78
3600,10;70
3900,10;64
4200,10;71
4500,10;83
4800,10;74
5100,10;70
5400,10;80
5700,10;75
6000,10;82
6300,10;74
6600,10;81
6900,10;98
7200,10;71
7500,10;112
7800,10;107
8100,10;99
8400,10;83
8700,10;83
9000,10;76
9300,10;74
9600,10;87
9900,10;73
10200,10;67
10500,10;71
10800,10;63
11100,10;57
11400,10;71
11700,10;88
12000,10;94
12300,10;93
12600,10;81
12900,10;69
13200,10;73
13500,10;80
13800,10;65
14100,10;72
14400,10;73
14700,10;96
15000,10;76
15300,10;77
15600,10;106
15900,10;74
16200,10;63
16500,10;84
16800,10;76
17100,10;84
17400,10;83
17700,10;65
18000,10;68
18300,10;87
18600,10;83
18900,10;70
19200,10;67
19500,10;85
19800,10;94
20100,10;81
20400,10;72
20700,10;67
21000,10;100
21300,10;71
21600,10;78
21900,10;77
22200,10;71
22500,10;87
22800,10;81
23100,10;82
23400,10;74
23700,10;82
24000,10;65
24300,10;80
24600,10;72
24900,10;70
25200,10;72
25500,10;74
25800,10;85
26100,10;66
26400,10;99
26700,10;72
27000,10;80
27300,10;84
27600,10;80
27900,10;65
28200,10;69
28500,10;102
28800,10;87
29100,10;83
29400,10;70
29700,10;68
30000,10;68
30300,10;81
30600,10;82
30900,10;85
31200,10;61
31500,10;78
31800,10;68
32100,10;76
32400,10;76
32700,10;93
33000,10;76
33300,10;78
33600,10;67
33900,10;93
34200,10;85
34500,10;66
34800,10;91
35100,10;86
35400,10;89
35700,10;79
36000,10;86
36300,10;67
36600,10;58
36900,10;87
37200,10;71
37500,10;80
37800,10;77
38100,10;72
38400,10;75
38700,10;70
39000,10;92
39300,10;91
39600,10;89
39900,10;68
40200,10;81
40500,10;88
40800,10;69
41100,10;69
41400,10;75
41700,10;71
42000,10;79
42300,10;74
42600,10;86
42900,10;71
43200,10;65
43500,10;85
43800,10;79
44100,10;81
44400,10;78
44700,10;64
45000,10;63
45300,10;84
45600,10;87
45900,10;87
46200,10;73
46500,10;74
46800,10;95
47100,10;72
47400,10;81
47700,10;81
48000,10;76
48300,10;74
48600,10;77
48900,10;87
49200,10;57
49500,10;72
49800,10;91
50100,10;81
50400,10;85
50700,10;82
51000,10;78
51300,10;91
51600,10;77
51900,10;63
52200,10;75
52500,10;83
52800,10;68
53100,10;74
53400,10;76
53700,10;80
54000,10;90
54300,10;81
54600,10;84
54900,10;94
55200,10;77
55500,10;80
55800,10;75
56100,10;70
56400,10;76
56700,10;94
57000,10;66
57300,10;80
57600,10;81
57900,10;83
58200,10;95
58500,10;83
58800,10;70
59100,10;64
59400,10;79
59700,10;72
60000,10;65
60300,10;72
60600,10;94
60900,10;88
61200,10;79
61500,10;79
61800,10;63
62100,10;73
62400,10;77
62700,10;91
63000,10;76
63300,10;74
63600,10;64
63900,10;68
64200,10;83
64500,10;82
64800,10;70
65100,10;76
65400,10;95
65700,10;83
66000,10;75
66300,10;69
66600,10;77
66900,10;57
67200,10;49
67500,10;65
67800,10;100
68100,10;76
68400,10;75
68700,10;69
69000,10;67
69300,10;77
69600,10;69
69900,10;61
70200,10;63
70500,10;58
70800,10;81
71100,10;79
71400,10;82
71700,10;63
72000,10;80
72300,10;65
72600,10;75
72900,10;75
73200,10;57
73500,10;75
73800,10;82
74100,10;68
74400,10;64
74700,10;70
75000,10;61
75300,10;72
75600,10;64
75900,10;88
76200,10;61
76500,10;55
76800,10;60
77100,10;103
77400,10;71
77700,10;83
78000,10;57
78300,10;63
78600,10;51
78900,10;58
79200,10;83
79500,10;66
79800,10;67
80100,10;77
80400,10;65
80700,10;70
81000,10;76
81300,10;63
81600,10;56
81900,10;59
82200,10;81
82500,10;54
82800,10;58
83100,10;71
83400,10;63
83700,10;86
84000,10;66
84300,10;65
84600,10;56
84900,10;78
85200,10;73
85500,10;79
85800,10;55
86100,10;61
