migration_time;num_of_mig
30,10;828
60,10;516
90,10;266
120,10;448
150,10;558
180,10;487
210,10;504
240,10;458
270,10;474
300,10;509
330,10;389
360,10;500
390,10;458
420,10;546
450,10;335
480,10;360
510,10;270
540,10;387
570,10;481
600,10;310
630,10;320
660,10;318
690,10;383
720,10;363
750,10;452
780,10;342
810,10;349
840,10;239
870,10;296
900,10;308
930,10;381
960,10;343
990,10;320
1020,10;314
1050,10;358
1080,10;344
1110,10;315
1140,10;406
1170,10;346
1200,10;162
1230,10;230
1260,10;294
1290,10;274
1320,10;376
1350,10;311
1380,10;355
1410,10;347
1440,10;327
1470,10;392
1500,10;260
1530,10;384
1560,10;378
1590,10;139
1620,10;302
1650,10;323
1680,10;383
1710,10;256
1740,10;304
1770,10;318
1800,10;298
1830,10;319
1860,10;289
1890,10;239
1920,10;237
1950,10;355
1980,10;345
2010,10;140
2040,10;280
2070,10;271
2100,10;340
2130,10;209
2160,10;197
2190,10;251
2220,10;223
2250,10;392
2280,10;247
2310,10;192
2340,10;192
2370,10;425
2400,10;168
2430,10;232
2460,10;256
2490,10;233
2520,10;312
2550,10;255
2580,10;248
2610,10;358
2640,10;419
2670,10;212
2700,10;281
2730,10;280
2760,10;337
2790,10;237
2820,10;352
2850,10;304
2880,10;172
2910,10;228
2940,10;217
2970,10;231
3000,10;277
3030,10;265
3060,10;266
3090,10;311
3120,10;294
3150,10;283
3180,10;260
3210,10;387
3240,10;239
3270,10;235
3300,10;277
3330,10;261
3360,10;317
3390,10;260
3420,10;339
3450,10;139
3480,10;344
3510,10;283
3540,10;343
3570,10;293
3600,10;287
3630,10;193
3660,10;284
3690,10;404
3720,10;261
3750,10;269
3780,10;257
3810,10;265
3840,10;299
3870,10;256
3900,10;316
3930,10;285
3960,10;335
3990,10;212
4020,10;253
4050,10;302
4080,10;251
4110,10;339
4140,10;277
4170,10;221
4200,10;340
4230,10;235
4260,10;313
4290,10;258
4320,10;294
4350,10;342
4380,10;268
4410,10;265
4440,10;253
4470,10;271
4500,10;270
4530,10;263
4560,10;295
4590,10;288
4620,10;289
4650,10;268
4680,10;354
4710,10;260
4740,10;305
4770,10;283
4800,10;301
4830,10;282
4860,10;244
4890,10;242
4920,10;217
4950,10;365
4980,10;294
5010,10;216
5040,10;270
5070,10;267
5100,10;230
5130,10;331
5160,10;264
5190,10;172
5220,10;265
5250,10;256
5280,10;221
5310,10;314
5340,10;241
5370,10;260
5400,10;227
5430,10;192
5460,10;255
5490,10;222
5520,10;261
5550,10;251
5580,10;291
5610,10;252
5640,10;270
5670,10;242
5700,10;190
5730,10;241
5760,10;154
5790,10;248
5820,10;273
5850,10;215
5880,10;155
5910,10;143
5940,10;159
5970,10;255
6000,10;255
6030,10;262
6060,10;279
6090,10;285
6120,10;267
6150,10;291
6180,10;349
6210,10;234
6240,10;250
6270,10;293
6300,10;258
6330,10;384
6360,10;189
6390,10;294
6420,10;281
6450,10;329
6480,10;262
6510,10;336
6540,10;325
6570,10;277
6600,10;299
6630,10;248
6660,10;364
6690,10;131
6720,10;222
6750,10;362
6780,10;322
6810,10;243
6840,10;250
6870,10;266
6900,10;304
6930,10;239
6960,10;266
6990,10;256
7020,10;294
7050,10;295
7080,10;329
7110,10;211
7140,10;380
7170,10;199
7200,10;261
7230,10;287
7260,10;327
7290,10;221
7320,10;180
7350,10;316
7380,10;314
7410,10;152
7440,10;260
7470,10;302
7500,10;340
7530,10;240
7560,10;331
7590,10;398
7620,10;110
7650,10;196
7680,10;279
7710,10;413
7740,10;187
7770,10;259
7800,10;154
7830,10;335
7860,10;237
7890,10;376
7920,10;248
7950,10;130
7980,10;301
8010,10;221
8040,10;333
8070,10;296
8100,10;300
8130,10;172
8160,10;267
8190,10;323
8220,10;339
8250,10;160
8280,10;322
8310,10;379
8340,10;248
8370,10;265
8400,10;285
8430,10;297
8460,10;291
8490,10;392
8520,10;290
8550,10;283
8580,10;139
8610,10;377
8640,10;246
8670,10;174
8700,10;239
8730,10;232
8760,10;300
8790,10;208
8820,10;235
8850,10;229
8880,10;263
8910,10;250
8940,10;311
8970,10;300
9000,10;341
9030,10;249
9060,10;343
9090,10;116
9120,10;175
9150,10;231
9180,10;204
9210,10;279
9240,10;218
9270,10;297
9300,10;173
9330,10;197
9360,10;226
9390,10;339
9420,10;316
9450,10;222
9480,10;216
9510,10;240
9540,10;212
9570,10;363
9600,10;234
9630,10;175
9660,10;249
9690,10;370
9720,10;309
9750,10;265
9780,10;356
9810,10;285
9840,10;191
9870,10;341
9900,10;229
9930,10;233
9960,10;320
9990,10;284
10020,10;227
10050,10;362
10080,10;294
10110,10;353
10140,10;222
10170,10;232
10200,10;327
10230,10;156
10260,10;310
10290,10;316
10320,10;186
10350,10;322
10380,10;293
10410,10;195
10440,10;266
10470,10;271
10500,10;246
10530,10;276
10560,10;201
10590,10;357
10620,10;233
10650,10;181
10680,10;323
10710,10;266
10740,10;277
10770,10;197
10800,10;246
10830,10;246
10860,10;194
10890,10;276
10920,10;275
10950,10;177
10980,10;162
11010,10;292
11040,10;137
11070,10;254
11100,10;212
11130,10;188
11160,10;239
11190,10;273
11220,10;295
11250,10;294
11280,10;341
11310,10;199
11340,10;261
11370,10;222
11400,10;299
11430,10;228
11460,10;327
11490,10;305
11520,10;146
11550,10;238
11580,10;194
11610,10;260
11640,10;297
11670,10;278
11700,10;225
11730,10;213
11760,10;243
11790,10;224
11820,10;220
11850,10;388
11880,10;226
11910,10;289
11940,10;205
11970,10;327
12000,10;180
12030,10;206
12060,10;152
12090,10;196
12120,10;316
12150,10;222
12180,10;264
12210,10;285
12240,10;269
12270,10;136
12300,10;188
12330,10;294
12360,10;268
12390,10;289
12420,10;225
12450,10;208
12480,10;192
12510,10;174
12540,10;202
12570,10;241
12600,10;286
12630,10;254
12660,10;279
12690,10;269
12720,10;133
12750,10;299
12780,10;368
12810,10;208
12840,10;285
12870,10;176
12900,10;190
12930,10;235
12960,10;201
12990,10;313
13020,10;203
13050,10;270
13080,10;205
13110,10;228
13140,10;215
13170,10;267
13200,10;199
13230,10;143
13260,10;231
13290,10;237
13320,10;266
13350,10;218
13380,10;239
13410,10;272
13440,10;255
13470,10;200
13500,10;213
13530,10;256
13560,10;181
13590,10;277
13620,10;304
13650,10;154
13680,10;234
13710,10;226
13740,10;237
13770,10;325
13800,10;195
13830,10;235
13860,10;252
13890,10;217
13920,10;160
13950,10;166
13980,10;179
14010,10;242
14040,10;310
14070,10;162
14100,10;289
14130,10;275
14160,10;204
14190,10;307
14220,10;262
14250,10;244
14280,10;266
14310,10;309
14340,10;195
14370,10;303
14400,10;184
14430,10;222
14460,10;316
14490,10;249
14520,10;221
14550,10;295
14580,10;227
14610,10;203
14640,10;178
14670,10;199
14700,10;264
14730,10;292
14760,10;227
14790,10;271
14820,10;202
14850,10;299
14880,10;265
14910,10;253
14940,10;178
14970,10;310
15000,10;165
15030,10;235
15060,10;284
15090,10;394
15120,10;210
15150,10;229
15180,10;296
15210,10;225
15240,10;195
15270,10;257
15300,10;314
15330,10;222
15360,10;269
15390,10;346
15420,10;296
15450,10;205
15480,10;261
15510,10;272
15540,10;301
15570,10;210
15600,10;217
15630,10;229
15660,10;201
15690,10;259
15720,10;350
15750,10;251
15780,10;355
15810,10;231
15840,10;386
15870,10;189
15900,10;265
15930,10;183
15960,10;187
15990,10;361
16020,10;267
16050,10;110
16080,10;272
16110,10;311
16140,10;288
16170,10;293
16200,10;263
16230,10;347
16260,10;166
16290,10;258
16320,10;299
16350,10;423
16380,10;165
16410,10;420
16440,10;143
16470,10;316
16500,10;148
16530,10;380
16560,10;345
16590,10;185
16620,10;160
16650,10;241
16680,10;229
16710,10;358
16740,10;277
16770,10;137
16800,10;249
16830,10;359
16860,10;309
16890,10;146
16920,10;275
16950,10;337
16980,10;239
17010,10;378
17040,10;295
17070,10;170
17100,10;200
17130,10;331
17160,10;285
17190,10;406
17220,10;210
17250,10;200
17280,10;263
