time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,1024
90,10;0,1533
120,10;0,1945
150,10;0,2539
180,10;0,3055
210,10;0,3616
240,10;0,3698
270,10;0,4456
300,10;0,3297
330,10;0,4046
360,10;0,3414
390,10;0,4009
420,10;0,3225
450,10;0,2951
480,10;0,2974
510,10;0,2999
540,10;0,3835
570,10;0,3761
600,10;0,2971
630,10;0,2335
660,10;0,2859
690,10;0,3674
720,10;0,3734
750,10;0,2285
780,10;0,2237
810,10;0,2332
840,10;0,2960
870,10;0,2901
900,10;0,3285
930,10;0,3345
960,10;0,2623
990,10;0,3411
1020,10;0,3709
1050,10;0,3903
1080,10;0,3019
1110,10;0,3430
1140,10;0,3002
1170,10;0,2415
1200,10;0,2857
1230,10;0,3457
1260,10;0,3444
1290,10;0,3048
1320,10;0,2655
1350,10;0,3197
1380,10;0,2712
1410,10;0,2962
1440,10;0,3096
1470,10;0,1846
1500,10;0,2594
1530,10;0,3594
1560,10;0,2501
1590,10;0,3437
1620,10;0,3321
1650,10;0,3046
1680,10;0,2889
1710,10;0,2491
1740,10;0,3212
1770,10;0,3351
1800,10;0,3528
1830,10;0,3028
1860,10;0,3633
1890,10;0,3164
1920,10;0,3094
1950,10;0,3777
1980,10;0,2489
2010,10;0,3389
2040,10;0,2994
2070,10;0,3227
2100,10;0,2464
2130,10;0,2428
2160,10;0,2832
2190,10;0,3512
2220,10;0,4108
2250,10;0,3318
2280,10;0,2617
2310,10;0,2823
2340,10;0,3462
2370,10;0,3081
2400,10;0,3860
2430,10;0,3030
2460,10;0,2369
2490,10;0,3675
2520,10;0,2861
2550,10;0,3388
2580,10;0,3455
2610,10;0,3583
2640,10;0,2820
2670,10;0,3737
2700,10;0,3898
2730,10;0,3216
2760,10;0,3664
2790,10;0,4042
2820,10;0,3772
2850,10;0,1829
2880,10;0,2710
2910,10;0,2829
2940,10;0,3169
2970,10;0,3226
3000,10;0,4058
3030,10;0,2720
3060,10;0,3023
3090,10;0,3298
3120,10;0,3385
3150,10;0,3279
3180,10;0,4593
3210,10;0,2919
3240,10;0,2824
3270,10;0,2814
3300,10;0,3598
3330,10;0,3254
3360,10;0,3205
3390,10;0,3390
3420,10;0,3129
3450,10;0,3558
3480,10;0,2696
3510,10;0,3472
3540,10;0,3553
3570,10;0,3551
3600,10;0,2419
3630,10;0,3120
3660,10;0,4010
3690,10;0,3462
3720,10;0,3149
3750,10;0,2780
3780,10;0,2861
3810,10;0,3115
3840,10;0,2681
3870,10;0,2955
3900,10;0,2806
3930,10;0,3411
3960,10;0,3305
3990,10;0,3723
4020,10;0,3237
4050,10;0,2553
4080,10;0,3198
4110,10;0,3634
4140,10;0,3407
4170,10;0,3755
4200,10;0,2554
4230,10;0,2961
4260,10;0,3210
4290,10;0,3665
4320,10;0,4157
4350,10;0,3340
4380,10;0,3279
4410,10;0,2915
4440,10;0,3029
4470,10;0,3066
4500,10;0,3373
4530,10;0,3136
4560,10;0,3104
4590,10;0,2950
4620,10;0,3058
4650,10;0,3793
4680,10;0,3639
4710,10;0,3491
4740,10;0,2633
4770,10;0,3069
4800,10;0,2938
4830,10;0,3301
4860,10;0,3089
4890,10;0,2858
4920,10;0,4237
4950,10;0,3114
4980,10;0,3020
5010,10;0,3222
5040,10;0,2660
5070,10;0,3078
5100,10;0,3817
5130,10;0,3270
5160,10;0,3572
5190,10;0,3577
5220,10;0,3936
5250,10;0,2365
5280,10;0,3474
5310,10;0,3652
5340,10;0,3534
5370,10;0,3892
5400,10;0,2770
5430,10;0,2887
5460,10;0,3321
5490,10;0,3467
5520,10;0,3118
5550,10;0,2955
5580,10;0,3432
5610,10;0,2762
5640,10;0,2925
5670,10;0,2681
5700,10;0,2998
5730,10;0,4089
5760,10;0,4609
5790,10;0,3296
5820,10;0,3074
5850,10;0,3445
5880,10;0,3331
5910,10;0,3806
5940,10;0,3349
5970,10;0,3885
6000,10;0,3294
6030,10;0,2857
6060,10;0,2735
6090,10;0,2850
6120,10;0,3705
6150,10;0,3788
6180,10;0,3168
6210,10;0,3108
6240,10;0,3838
6270,10;0,3526
6300,10;0,3257
6330,10;0,2840
6360,10;0,3688
6390,10;0,3346
6420,10;0,3938
6450,10;0,2535
6480,10;0,3511
6510,10;0,2874
6540,10;0,2972
6570,10;0,3225
6600,10;0,2982
6630,10;0,3333
6660,10;0,2635
6690,10;0,3161
6720,10;0,4103
6750,10;0,3325
6780,10;0,2910
6810,10;0,2790
6840,10;0,3104
6870,10;0,3130
6900,10;0,3414
6930,10;0,2985
6960,10;0,2762
6990,10;0,3061
7020,10;0,3495
7050,10;0,3659
7080,10;0,2498
7110,10;0,3718
7140,10;0,2507
7170,10;0,3448
7200,10;0,2952
7230,10;0,3569
7260,10;0,3345
7290,10;0,3311
7320,10;0,4440
7350,10;0,2784
7380,10;0,2811
7410,10;0,3025
7440,10;0,2851
7470,10;0,3109
7500,10;0,3571
7530,10;0,2635
7560,10;0,3949
7590,10;0,2246
7620,10;0,2857
7650,10;0,2775
7680,10;0,3729
7710,10;0,2354
7740,10;0,3754
7770,10;0,2317
7800,10;0,3318
7830,10;0,3132
7860,10;0,3720
7890,10;0,2943
7920,10;0,2405
7950,10;0,3003
7980,10;0,3327
8010,10;0,3602
8040,10;0,3609
8070,10;0,3273
8100,10;0,2481
8130,10;0,3290
8160,10;0,3841
8190,10;0,3226
8220,10;0,2565
8250,10;0,3760
8280,10;0,3713
8310,10;0,2609
8340,10;0,3509
8370,10;0,2441
8400,10;0,3441
8430,10;0,3539
8460,10;0,3499
8490,10;0,2741
8520,10;0,3396
8550,10;0,2137
8580,10;0,2696
8610,10;0,2953
8640,10;0,2999
8670,10;0,2586
8700,10;0,3017
8730,10;0,3424
8760,10;0,3099
8790,10;0,3393
8820,10;0,3742
8850,10;0,3401
8880,10;0,2971
8910,10;0,3351
8940,10;0,3131
8970,10;0,3571
9000,10;0,2988
9030,10;0,3009
9060,10;0,2613
9090,10;0,3504
9120,10;0,3057
9150,10;0,3079
9180,10;0,3727
9210,10;0,3839
9240,10;0,2913
9270,10;0,3050
9300,10;0,3690
9330,10;0,3353
9360,10;0,2972
9390,10;0,2371
9420,10;0,2452
9450,10;0,2840
9480,10;0,3468
9510,10;0,3378
9540,10;0,4304
9570,10;0,3392
9600,10;0,3086
9630,10;0,3553
9660,10;0,3650
9690,10;0,3618
9720,10;0,3726
9750,10;0,4153
9780,10;0,3493
9810,10;0,2726
9840,10;0,4030
9870,10;0,2810
9900,10;0,3211
9930,10;0,4039
9960,10;0,3927
9990,10;0,2772
10020,10;0,2847
10050,10;0,3115
10080,10;0,2574
10110,10;0,2280
10140,10;0,2559
10170,10;0,2825
10200,10;0,2304
10230,10;0,3536
10260,10;0,4083
10290,10;0,2917
10320,10;0,3371
10350,10;0,3787
10380,10;0,3759
10410,10;0,3321
10440,10;0,4144
10470,10;0,2681
10500,10;0,2909
10530,10;0,2632
10560,10;0,3517
10590,10;0,3215
10620,10;0,2956
10650,10;0,2749
10680,10;0,3108
10710,10;0,3496
10740,10;0,2602
10770,10;0,2891
10800,10;0,3095
10830,10;0,3355
10860,10;0,3397
10890,10;0,3814
10920,10;0,2463
10950,10;0,3352
10980,10;0,4164
11010,10;0,2803
11040,10;0,4095
11070,10;0,2946
11100,10;0,2863
11130,10;0,3406
11160,10;0,3797
11190,10;0,3636
11220,10;0,2621
11250,10;0,3911
11280,10;0,2621
11310,10;0,3577
11340,10;0,3445
11370,10;0,3038
11400,10;0,3047
11430,10;0,3956
11460,10;0,4037
11490,10;0,3017
11520,10;0,3541
11550,10;0,2992
11580,10;0,3351
11610,10;0,3359
11640,10;0,4249
11670,10;0,3521
11700,10;0,2854
11730,10;0,3444
11760,10;0,2872
11790,10;0,2804
11820,10;0,3686
11850,10;0,2476
11880,10;0,3649
11910,10;0,2790
11940,10;0,3398
11970,10;0,3217
12000,10;0,2977
12030,10;0,2520
12060,10;0,2899
12090,10;0,3420
12120,10;0,3337
12150,10;0,3935
12180,10;0,3313
12210,10;0,3355
12240,10;0,2222
12270,10;0,3382
12300,10;0,3463
12330,10;0,3232
12360,10;0,3518
12390,10;0,2912
12420,10;0,3072
12450,10;0,3355
12480,10;0,3126
12510,10;0,3672
12540,10;0,2767
12570,10;0,3500
12600,10;0,3812
12630,10;0,3800
12660,10;0,3075
12690,10;0,2517
12720,10;0,3105
12750,10;0,3338
12780,10;0,3509
12810,10;0,3976
12840,10;0,2761
12870,10;0,3102
12900,10;0,3052
12930,10;0,2885
12960,10;0,3019
12990,10;0,2891
13020,10;0,3642
13050,10;0,3653
13080,10;0,3314
13110,10;0,3179
13140,10;0,3881
13170,10;0,3265
13200,10;0,2801
13230,10;0,2984
13260,10;0,3165
13290,10;0,4052
13320,10;0,2999
13350,10;0,3436
13380,10;0,3209
13410,10;0,3496
13440,10;0,3816
13470,10;0,3432
13500,10;0,3758
13530,10;0,2394
13560,10;0,3390
13590,10;0,3281
13620,10;0,2734
13650,10;0,3570
13680,10;0,3057
13710,10;0,3266
13740,10;0,3473
13770,10;0,3412
13800,10;0,2817
13830,10;0,3045
13860,10;0,3238
13890,10;0,2629
13920,10;0,3389
13950,10;0,3398
13980,10;0,3361
14010,10;0,3528
14040,10;0,2699
14070,10;0,3490
14100,10;0,3907
14130,10;0,3905
14160,10;0,3458
14190,10;0,3081
14220,10;0,3436
14250,10;0,3037
14280,10;0,2926
14310,10;0,2932
14340,10;0,3181
14370,10;0,3282
14400,10;0,3279
14430,10;0,3299
14460,10;0,3191
14490,10;0,3128
14520,10;0,3140
14550,10;0,3589
14580,10;0,3933
14610,10;0,4196
14640,10;0,3396
14670,10;0,3378
14700,10;0,2839
14730,10;0,3056
14760,10;0,3220
14790,10;0,2789
14820,10;0,3325
14850,10;0,2707
14880,10;0,3119
14910,10;0,2725
14940,10;0,2905
14970,10;0,2690
15000,10;0,3137
15030,10;0,3822
15060,10;0,4004
15090,10;0,3616
15120,10;0,3919
15150,10;0,4406
15180,10;0,2575
15210,10;0,2666
15240,10;0,2882
15270,10;0,3138
15300,10;0,3121
15330,10;0,3071
15360,10;0,4036
15390,10;0,3756
15420,10;0,2800
15450,10;0,3089
15480,10;0,3541
15510,10;0,3220
15540,10;0,2351
15570,10;0,3045
15600,10;0,3374
15630,10;0,3269
15660,10;0,3110
15690,10;0,2999
15720,10;0,2341
15750,10;0,3757
15780,10;0,3397
15810,10;0,3649
15840,10;0,3406
15870,10;0,3829
15900,10;0,2715
15930,10;0,2925
15960,10;0,3508
15990,10;0,2481
16020,10;0,2844
16050,10;0,3532
16080,10;0,3451
16110,10;0,3278
16140,10;0,3147
16170,10;0,2700
16200,10;0,3082
16230,10;0,2368
16260,10;0,3373
16290,10;0,3496
16320,10;0,4691
16350,10;0,2613
16380,10;0,4221
16410,10;0,1974
16440,10;0,2651
16470,10;0,3184
16500,10;0,4456
16530,10;0,3493
16560,10;0,2466
16590,10;0,3333
16620,10;0,2621
16650,10;0,2475
16680,10;0,3174
16710,10;0,3592
16740,10;0,2434
16770,10;0,2591
16800,10;0,3218
16830,10;0,2957
16860,10;0,2090
16890,10;0,3149
16920,10;0,3379
16950,10;0,3204
16980,10;0,4397
17010,10;0,2527
17040,10;0,2687
17070,10;0,2994
17100,10;0,3421
17130,10;0,3749
17160,10;0,3261
17190,10;0,2494
17220,10;0,3333
17250,10;0,3057
17280,10;0,3177
