migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;129
2100,10;119
2400,10;116
2700,10;110
3000,10;121
3300,10;116
3600,10;121
3900,10;119
4200,10;133
4500,10;136
4800,10;122
5100,10;85
5400,10;102
5700,10;104
6000,10;124
6300,10;116
6600,10;111
6900,10;122
7200,10;159
7500,10;177
7800,10;134
8100,10;106
8400,10;132
8700,10;108
9000,10;121
9300,10;137
9600,10;135
9900,10;86
10200,10;106
10500,10;120
10800,10;111
11100,10;106
11400,10;112
11700,10;111
12000,10;132
12300,10;136
12600,10;133
12900,10;106
13200,10;103
13500,10;107
13800,10;129
14100,10;150
14400,10;143
14700,10;114
15000,10;94
15300,10;108
15600,10;117
15900,10;113
16200,10;98
16500,10;117
16800,10;129
17100,10;162
17400,10;109
17700,10;92
18000,10;107
18300,10;134
18600,10;122
18900,10;119
19200,10;153
19500,10;150
19800,10;148
20100,10;110
20400,10;104
20700,10;104
21000,10;103
21300,10;100
21600,10;109
21900,10;109
22200,10;119
22500,10;131
22800,10;120
23100,10;86
23400,10;115
23700,10;124
24000,10;110
24300,10;136
24600,10;114
24900,10;103
25200,10;102
25500,10;117
25800,10;96
26100,10;135
26400,10;124
26700,10;107
27000,10;108
27300,10;109
27600,10;111
27900,10;105
28200,10;138
28500,10;106
28800,10;116
29100,10;97
29400,10;89
29700,10;111
30000,10;116
30300,10;112
30600,10;104
30900,10;114
31200,10;114
31500,10;103
31800,10;153
32100,10;161
32400,10;122
32700,10;110
33000,10;113
33300,10;117
33600,10;124
33900,10;137
34200,10;103
34500,10;112
34800,10;106
35100,10;107
35400,10;130
35700,10;143
36000,10;118
36300,10;97
36600,10;98
36900,10;99
37200,10;101
37500,10;101
37800,10;78
38100,10;98
38400,10;99
38700,10;105
39000,10;123
39300,10;136
39600,10;138
39900,10;123
40200,10;129
40500,10;110
40800,10;102
41100,10;116
41400,10;111
41700,10;109
42000,10;91
42300,10;109
42600,10;101
42900,10;78
43200,10;95
43500,10;109
43800,10;121
44100,10;115
44400,10;98
44700,10;108
45000,10;133
45300,10;115
45600,10;119
45900,10;117
46200,10;104
46500,10;137
46800,10;128
47100,10;119
47400,10;123
47700,10;141
48000,10;138
48300,10;118
48600,10;120
48900,10;108
49200,10;107
49500,10;101
49800,10;111
50100,10;109
50400,10;105
50700,10;123
51000,10;125
51300,10;135
51600,10;130
51900,10;85
52200,10;93
52500,10;107
52800,10;134
53100,10;115
53400,10;105
53700,10;121
54000,10;115
54300,10;124
54600,10;121
54900,10;125
55200,10;136
55500,10;112
55800,10;90
56100,10;98
56400,10;107
56700,10;114
57000,10;116
57300,10;106
57600,10;100
57900,10;115
58200,10;123
58500,10;125
58800,10;112
59100,10;97
59400,10;98
59700,10;96
60000,10;135
60300,10;139
60600,10;104
60900,10;98
61200,10;100
61500,10;98
61800,10;131
62100,10;113
62400,10;103
62700,10;95
63000,10;107
63300,10;133
63600,10;80
63900,10;81
64200,10;120
64500,10;109
64800,10;89
65100,10;120
65400,10;123
65700,10;90
66000,10;102
66300,10;127
66600,10;127
66900,10;83
67200,10;76
67500,10;94
67800,10;113
68100,10;118
68400,10;112
68700,10;100
69000,10;112
69300,10;109
69600,10;105
69900,10;92
70200,10;99
70500,10;108
70800,10;130
71100,10;127
71400,10;115
71700,10;109
72000,10;84
72300,10;88
72600,10;102
72900,10;80
73200,10;115
73500,10;125
73800,10;123
74100,10;115
74400,10;116
74700,10;91
75000,10;110
75300,10;116
75600,10;119
75900,10;124
76200,10;99
76500,10;76
76800,10;101
77100,10;106
77400,10;137
77700,10;124
78000,10;84
78300,10;76
78600,10;93
78900,10;105
79200,10;91
79500,10;104
79800,10;108
80100,10;97
80400,10;94
80700,10;104
81000,10;97
81300,10;90
81600,10;107
81900,10;141
82200,10;110
82500,10;91
82800,10;88
83100,10;92
83400,10;112
83700,10;111
84000,10;96
84300,10;88
84600,10;106
84900,10;113
85200,10;107
85500,10;77
85800,10;89
86100,10;91
