migration_time;num_of_mig_cum
300,10;591
600,10;894
900,10;1114
1200,10;1296
1500,10;1446
1800,10;1575
2100,10;1694
2400,10;1810
2700,10;1920
3000,10;2041
3300,10;2157
3600,10;2278
3900,10;2397
4200,10;2530
4500,10;2666
4800,10;2788
5100,10;2873
5400,10;2975
5700,10;3079
6000,10;3203
6300,10;3319
6600,10;3430
6900,10;3552
7200,10;3711
7500,10;3888
7800,10;4022
8100,10;4128
8400,10;4260
8700,10;4368
9000,10;4489
9300,10;4626
9600,10;4761
9900,10;4847
10200,10;4953
10500,10;5073
10800,10;5184
11100,10;5290
11400,10;5402
11700,10;5513
12000,10;5645
12300,10;5781
12600,10;5914
12900,10;6020
13200,10;6123
13500,10;6230
13800,10;6359
14100,10;6509
14400,10;6652
14700,10;6766
15000,10;6860
15300,10;6968
15600,10;7085
15900,10;7198
16200,10;7296
16500,10;7413
16800,10;7542
17100,10;7704
17400,10;7813
17700,10;7905
18000,10;8012
18300,10;8146
18600,10;8268
18900,10;8387
19200,10;8540
19500,10;8690
19800,10;8838
20100,10;8948
20400,10;9052
20700,10;9156
21000,10;9259
21300,10;9359
21600,10;9468
21900,10;9577
22200,10;9696
22500,10;9827
22800,10;9947
23100,10;10033
23400,10;10148
23700,10;10272
24000,10;10382
24300,10;10518
24600,10;10632
24900,10;10735
25200,10;10837
25500,10;10954
25800,10;11050
26100,10;11185
26400,10;11309
26700,10;11416
27000,10;11524
27300,10;11633
27600,10;11744
27900,10;11849
28200,10;11987
28500,10;12093
28800,10;12209
29100,10;12306
29400,10;12395
29700,10;12506
30000,10;12622
30300,10;12734
30600,10;12838
30900,10;12952
31200,10;13066
31500,10;13169
31800,10;13322
32100,10;13483
32400,10;13605
32700,10;13715
33000,10;13828
33300,10;13945
33600,10;14069
33900,10;14206
34200,10;14309
34500,10;14421
34800,10;14527
35100,10;14634
35400,10;14764
35700,10;14907
36000,10;15025
36300,10;15122
36600,10;15220
36900,10;15319
37200,10;15420
37500,10;15521
37800,10;15599
38100,10;15697
38400,10;15796
38700,10;15901
39000,10;16024
39300,10;16160
39600,10;16298
39900,10;16421
40200,10;16550
40500,10;16660
40800,10;16762
41100,10;16878
41400,10;16989
41700,10;17098
42000,10;17189
42300,10;17298
42600,10;17399
42900,10;17477
43200,10;17572
43500,10;17681
43800,10;17802
44100,10;17917
44400,10;18015
44700,10;18123
45000,10;18256
45300,10;18371
45600,10;18490
45900,10;18607
46200,10;18711
46500,10;18848
46800,10;18976
47100,10;19095
47400,10;19218
47700,10;19359
48000,10;19497
48300,10;19615
48600,10;19735
48900,10;19843
49200,10;19950
49500,10;20051
49800,10;20162
50100,10;20271
50400,10;20376
50700,10;20499
51000,10;20624
51300,10;20759
51600,10;20889
51900,10;20974
52200,10;21067
52500,10;21174
52800,10;21308
53100,10;21423
53400,10;21528
53700,10;21649
54000,10;21764
54300,10;21888
54600,10;22009
54900,10;22134
55200,10;22270
55500,10;22382
55800,10;22472
56100,10;22570
56400,10;22677
56700,10;22791
57000,10;22907
57300,10;23013
57600,10;23113
57900,10;23228
58200,10;23351
58500,10;23476
58800,10;23588
59100,10;23685
59400,10;23783
59700,10;23879
60000,10;24014
60300,10;24153
60600,10;24257
60900,10;24355
61200,10;24455
61500,10;24553
61800,10;24684
62100,10;24797
62400,10;24900
62700,10;24995
63000,10;25102
63300,10;25235
63600,10;25315
63900,10;25396
64200,10;25516
64500,10;25625
64800,10;25714
65100,10;25834
65400,10;25957
65700,10;26047
66000,10;26149
66300,10;26276
66600,10;26403
66900,10;26486
67200,10;26562
67500,10;26656
67800,10;26769
68100,10;26887
68400,10;26999
68700,10;27099
69000,10;27211
69300,10;27320
69600,10;27425
69900,10;27517
70200,10;27616
70500,10;27724
70800,10;27854
71100,10;27981
71400,10;28096
71700,10;28205
72000,10;28289
72300,10;28377
72600,10;28479
72900,10;28559
73200,10;28674
73500,10;28799
73800,10;28922
74100,10;29037
74400,10;29153
74700,10;29244
75000,10;29354
75300,10;29470
75600,10;29589
75900,10;29713
76200,10;29812
76500,10;29888
76800,10;29989
77100,10;30095
77400,10;30232
77700,10;30356
78000,10;30440
78300,10;30516
78600,10;30609
78900,10;30714
79200,10;30805
79500,10;30909
79800,10;31017
80100,10;31114
80400,10;31208
80700,10;31312
81000,10;31409
81300,10;31499
81600,10;31606
81900,10;31747
82200,10;31857
82500,10;31948
82800,10;32036
83100,10;32128
83400,10;32240
83700,10;32351
84000,10;32447
84300,10;32535
84600,10;32641
84900,10;32754
85200,10;32861
85500,10;32938
85800,10;33027
86100,10;33118
