migration_time;num_of_mig
30,10;828
60,10;516
90,10;232
120,10;288
150,10;394
180,10;315
210,10;373
240,10;331
270,10;260
300,10;326
330,10;299
360,10;243
390,10;248
420,10;280
450,10;214
480,10;250
510,10;235
540,10;165
570,10;183
600,10;177
630,10;259
660,10;238
690,10;214
720,10;248
750,10;273
780,10;211
810,10;252
840,10;149
870,10;192
900,10;195
930,10;294
960,10;251
990,10;154
1020,10;190
1050,10;274
1080,10;169
1110,10;219
1140,10;289
1170,10;217
1200,10;180
1230,10;189
1260,10;192
1290,10;175
1320,10;297
1350,10;181
1380,10;196
1410,10;248
1440,10;185
1470,10;261
1500,10;201
1530,10;252
1560,10;330
1590,10;167
1620,10;318
1650,10;278
1680,10;194
1710,10;251
1740,10;240
1770,10;191
1800,10;247
1830,10;224
1860,10;160
1890,10;165
1920,10;139
1950,10;186
1980,10;237
2010,10;142
2040,10;216
2070,10;201
2100,10;312
2130,10;153
2160,10;159
2190,10;199
2220,10;182
2250,10;306
2280,10;219
2310,10;199
2340,10;162
2370,10;277
2400,10;181
2430,10;230
2460,10;201
2490,10;191
2520,10;277
2550,10;186
2580,10;245
2610,10;260
2640,10;284
2670,10;128
2700,10;215
2730,10;212
2760,10;219
2790,10;164
2820,10;261
2850,10;292
2880,10;229
2910,10;195
2940,10;186
2970,10;179
3000,10;180
3030,10;224
3060,10;191
3090,10;194
3120,10;152
3150,10;177
3180,10;135
3210,10;249
3240,10;202
3270,10;265
3300,10;172
3330,10;245
3360,10;208
3390,10;181
3420,10;166
3450,10;190
3480,10;199
3510,10;135
3540,10;184
3570,10;219
3600,10;280
3630,10;151
3660,10;210
3690,10;209
3720,10;174
3750,10;216
3780,10;157
3810,10;175
3840,10;216
3870,10;200
3900,10;247
3930,10;173
3960,10;205
3990,10;133
4020,10;195
4050,10;196
4080,10;182
4110,10;207
4140,10;233
4170,10;203
4200,10;261
4230,10;198
4260,10;228
4290,10;224
4320,10;222
4350,10;225
4380,10;194
4410,10;169
4440,10;161
4470,10;197
4500,10;224
4530,10;255
4560,10;180
4590,10;184
4620,10;199
4650,10;160
4680,10;284
4710,10;177
4740,10;227
4770,10;202
4800,10;173
4830,10;204
4860,10;188
4890,10;234
4920,10;210
4950,10;287
4980,10;219
5010,10;168
5040,10;197
5070,10;160
5100,10;156
5130,10;231
5160,10;212
5190,10;181
5220,10;174
5250,10;176
5280,10;152
5310,10;237
5340,10;184
5370,10;170
5400,10;185
5430,10;203
5460,10;190
5490,10;176
5520,10;161
5550,10;229
5580,10;240
5610,10;222
5640,10;245
5670,10;206
5700,10;195
5730,10;166
5760,10;203
5790,10;223
5820,10;183
5850,10;197
5880,10;142
5910,10;188
5940,10;171
5970,10;197
6000,10;171
6030,10;190
6060,10;228
6090,10;176
6120,10;162
6150,10;190
6180,10;244
6210,10;195
6240,10;178
6270,10;167
6300,10;172
6330,10;252
6360,10;119
6390,10;193
6420,10;150
6450,10;237
6480,10;130
6510,10;166
6540,10;187
6570,10;149
6600,10;160
6630,10;191
6660,10;272
6690,10;178
6720,10;173
6750,10;228
6780,10;204
6810,10;172
6840,10;173
6870,10;200
6900,10;258
6930,10;202
6960,10;230
6990,10;197
7020,10;129
7050,10;214
7080,10;227
7110,10;190
7140,10;224
7170,10;167
7200,10;188
7230,10;159
7260,10;264
7290,10;158
7320,10;171
7350,10;173
7380,10;209
7410,10;152
7440,10;145
7470,10;175
7500,10;167
7530,10;157
7560,10;174
7590,10;213
7620,10;128
7650,10;138
7680,10;161
7710,10;289
7740,10;167
7770,10;295
7800,10;92
7830,10;224
7860,10;123
7890,10;265
7920,10;242
7950,10;171
7980,10;202
8010,10;208
8040,10;159
8070,10;180
8100,10;173
8130,10;134
8160,10;193
8190,10;214
8220,10;194
8250,10;200
8280,10;114
8310,10;254
8340,10;139
8370,10;211
8400,10;96
8430,10;207
8460,10;83
8490,10;219
8520,10;203
8550,10;254
8580,10;139
8610,10;206
8640,10;248
8670,10;162
8700,10;176
8730,10;158
8760,10;212
8790,10;174
8820,10;213
8850,10;135
8880,10;173
8910,10;123
8940,10;156
8970,10;187
9000,10;282
9030,10;151
9060,10;217
9090,10;196
9120,10;184
9150,10;95
9180,10;159
9210,10;179
9240,10;188
9270,10;233
9300,10;138
9330,10;118
9360,10;168
9390,10;232
9420,10;255
9450,10;224
9480,10;179
9510,10;187
9540,10;194
9570,10;270
9600,10;166
9630,10;138
9660,10;114
9690,10;213
9720,10;159
9750,10;208
9780,10;252
9810,10;224
9840,10;129
9870,10;184
9900,10;137
9930,10;133
9960,10;200
9990,10;172
10020,10;165
10050,10;253
10080,10;222
10110,10;212
10140,10;133
10170,10;169
10200,10;241
10230,10;107
10260,10;218
10290,10;211
10320,10;181
10350,10;185
10380,10;237
10410,10;209
10440,10;157
10470,10;200
10500,10;195
10530,10;208
10560,10;175
10590,10;225
10620,10;229
10650,10;146
10680,10;238
10710,10;166
10740,10;225
10770,10;122
10800,10;191
10830,10;212
10860,10;157
10890,10;197
10920,10;134
10950,10;116
10980,10;136
11010,10;222
11040,10;149
11070,10;239
11100,10;215
11130,10;168
11160,10;184
11190,10;182
11220,10;190
11250,10;148
11280,10;227
11310,10;136
11340,10;225
11370,10;244
11400,10;188
11430,10;162
11460,10;217
11490,10;255
11520,10;142
11550,10;145
11580,10;190
11610,10;181
11640,10;184
11670,10;183
11700,10;177
11730,10;156
11760,10;158
11790,10;147
11820,10;161
11850,10;222
11880,10;192
11910,10;258
11940,10;144
11970,10;209
12000,10;195
12030,10;161
12060,10;147
12090,10;166
12120,10;197
12150,10;166
12180,10;241
12210,10;197
12240,10;198
12270,10;145
12300,10;272
12330,10;258
12360,10;176
12390,10;217
12420,10;155
12450,10;171
12480,10;144
12510,10;182
12540,10;155
12570,10;155
12600,10;192
12630,10;149
12660,10;197
12690,10;184
12720,10;137
12750,10;198
12780,10;164
12810,10;161
12840,10;242
12870,10;176
12900,10;194
12930,10;164
12960,10;172
12990,10;164
13020,10;151
13050,10;203
13080,10;189
13110,10;206
13140,10;187
13170,10;218
13200,10;198
13230,10;169
13260,10;163
13290,10;146
13320,10;209
13350,10;134
13380,10;223
13410,10;155
13440,10;205
13470,10;156
13500,10;197
13530,10;189
13560,10;133
13590,10;175
13620,10;210
13650,10;156
13680,10;172
13710,10;174
13740,10;153
13770,10;206
13800,10;152
13830,10;146
13860,10;155
13890,10;185
13920,10;105
13950,10;194
13980,10;140
14010,10;173
14040,10;183
14070,10;169
14100,10;164
14130,10;158
14160,10;148
14190,10;158
14220,10;228
14250,10;178
14280,10;171
14310,10;210
14340,10;173
14370,10;238
14400,10;187
14430,10;153
14460,10;194
14490,10;140
14520,10;171
14550,10;157
14580,10;168
14610,10;193
14640,10;218
14670,10;141
14700,10;181
14730,10;159
14760,10;184
14790,10;167
14820,10;187
14850,10;237
14880,10;159
14910,10;208
14940,10;219
14970,10;191
15000,10;113
15030,10;210
15060,10;198
15090,10;229
15120,10;133
15150,10;190
15180,10;231
15210,10;172
15240,10;164
15270,10;186
15300,10;179
15330,10;115
15360,10;180
15390,10;204
15420,10;202
15450,10;180
15480,10;210
15510,10;210
15540,10;254
15570,10;165
15600,10;200
15630,10;169
15660,10;152
15690,10;160
15720,10;252
15750,10;171
15780,10;291
15810,10;128
15840,10;235
15870,10;133
15900,10;219
15930,10;122
15960,10;142
15990,10;256
16020,10;152
16050,10;174
16080,10;125
16110,10;115
16140,10;157
16170,10;218
16200,10;160
16230,10;201
16260,10;132
16290,10;179
16320,10;253
16350,10;277
16380,10;82
16410,10;246
16440,10;154
16470,10;221
16500,10;132
16530,10;266
16560,10;165
16590,10;232
16620,10;212
16650,10;225
16680,10;213
16710,10;165
16740,10;222
16770,10;140
16800,10;165
16830,10;257
16860,10;219
16890,10;120
16920,10;146
16950,10;201
16980,10;122
17010,10;199
17040,10;155
17070,10;231
17100,10;182
17130,10;237
17160,10;191
17190,10;267
17220,10;169
17250,10;212
17280,10;223
