migration_time;num_of_mig_cum
300,10;838
600,10;1100
900,10;1323
1200,10;1433
1500,10;1671
1800,10;1782
2100,10;1893
2400,10;2014
2700,10;2185
3000,10;2333
3300,10;2485
3600,10;2559
3900,10;2662
4200,10;2820
4500,10;2901
4800,10;2996
5100,10;3102
5400,10;3205
5700,10;3310
6000,10;3441
6300,10;3577
6600,10;3652
6900,10;3736
7200,10;3844
7500,10;3944
7800,10;4038
8100,10;4125
8400,10;4198
8700,10;4291
9000,10;4412
9300,10;4522
9600,10;4627
9900,10;4739
10200,10;4880
10500,10;4982
10800,10;5091
11100,10;5229
11400,10;5327
11700,10;5399
12000,10;5493
12300,10;5594
12600,10;5647
12900,10;5756
13200,10;5851
13500,10;5921
13800,10;6035
14100,10;6110
14400,10;6182
14700,10;6237
15000,10;6308
15300,10;6437
15600,10;6521
15900,10;6620
16200,10;6715
16500,10;6809
16800,10;6890
17100,10;7003
17400,10;7098
17700,10;7186
18000,10;7265
18300,10;7361
18600,10;7493
18900,10;7597
19200,10;7710
19500,10;7813
19800,10;7906
20100,10;8000
20400,10;8059
20700,10;8172
21000,10;8248
21300,10;8347
21600,10;8448
21900,10;8492
22200,10;8589
22500,10;8694
22800,10;8767
23100,10;8826
23400,10;8953
23700,10;9023
24000,10;9124
24300,10;9189
24600,10;9291
24900,10;9384
25200,10;9474
25500,10;9542
25800,10;9627
26100,10;9777
26400,10;9848
26700,10;9930
27000,10;10011
27300,10;10083
27600,10;10169
27900,10;10259
28200,10;10378
28500,10;10466
28800,10;10570
29100,10;10658
29400,10;10775
29700,10;10839
30000,10;10934
30300,10;11005
30600,10;11090
30900,10;11173
31200,10;11252
31500,10;11348
31800,10;11483
32100,10;11580
32400,10;11734
32700,10;11806
33000,10;11880
33300,10;11953
33600,10;12033
33900,10;12122
34200,10;12181
34500,10;12279
34800,10;12373
35100,10;12462
35400,10;12555
35700,10;12706
36000,10;12771
36300,10;12839
36600,10;12949
36900,10;13017
37200,10;13132
37500,10;13204
37800,10;13274
38100,10;13338
38400,10;13435
38700,10;13505
39000,10;13588
39300,10;13689
39600,10;13766
39900,10;13884
40200,10;13993
40500,10;14089
40800,10;14175
41100,10;14280
41400,10;14360
41700,10;14446
42000,10;14521
42300,10;14602
42600,10;14692
42900,10;14780
43200,10;14872
43500,10;14957
43800,10;15023
44100,10;15095
44400,10;15162
44700,10;15247
45000,10;15360
45300,10;15429
45600,10;15524
45900,10;15616
46200,10;15711
46500,10;15848
46800,10;15947
47100,10;16064
47400,10;16164
47700,10;16261
48000,10;16366
48300,10;16447
48600,10;16545
48900,10;16609
49200,10;16720
49500,10;16796
49800,10;16885
50100,10;16975
50400,10;17086
50700,10;17169
51000,10;17281
51300,10;17362
51600,10;17462
51900,10;17520
52200,10;17611
52500,10;17710
52800,10;17822
53100,10;17906
53400,10;17971
53700,10;18067
54000,10;18180
54300,10;18285
54600,10;18382
54900,10;18471
55200,10;18555
55500,10;18619
55800,10;18691
56100,10;18752
56400,10;18860
56700,10;18922
57000,10;19040
57300,10;19114
57600,10;19192
57900,10;19276
58200,10;19378
58500,10;19452
58800,10;19539
59100,10;19608
59400,10;19685
59700,10;19783
60000,10;19863
60300,10;19953
60600,10;20024
60900,10;20109
61200,10;20191
61500,10;20280
61800,10;20393
62100,10;20481
62400,10;20542
62700,10;20597
63000,10;20688
63300,10;20757
63600,10;20817
63900,10;20882
64200,10;20988
64500,10;21054
64800,10;21107
65100,10;21231
65400,10;21304
65700,10;21399
66000,10;21485
66300,10;21584
66600,10;21660
66900,10;21747
67200,10;21843
67500,10;21935
67800,10;22016
68100,10;22104
68400,10;22194
68700,10;22289
69000,10;22372
69300,10;22443
69600,10;22509
69900,10;22585
70200,10;22693
70500,10;22790
70800,10;22866
71100,10;22947
71400,10;23034
71700,10;23147
72000,10;23225
72300,10;23318
72600,10;23384
72900,10;23459
73200,10;23581
73500,10;23665
73800,10;23722
74100,10;23787
74400,10;23874
74700,10;23960
75000,10;24048
75300,10;24136
75600,10;24226
75900,10;24305
76200,10;24373
76500,10;24439
76800,10;24566
77100,10;24677
77400,10;24797
77700,10;24873
78000,10;24951
78300,10;25019
78600,10;25112
78900,10;25214
79200,10;25274
79500,10;25353
79800,10;25447
80100,10;25541
80400,10;25607
80700,10;25668
81000,10;25726
81300,10;25786
81600,10;25904
81900,10;26003
82200,10;26069
82500,10;26138
82800,10;26238
83100,10;26313
83400,10;26418
83700,10;26478
84000,10;26555
84300,10;26637
84600,10;26714
84900,10;26801
85200,10;26914
85500,10;26984
85800,10;27083
86100,10;27173
