time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,1024
90,10;0,1533
120,10;0,1945
150,10;0,2539
180,10;0,3055
210,10;0,3616
240,10;0,3828
270,10;0,4568
300,10;0,3965
330,10;0,4871
360,10;0,4585
390,10;0,5501
420,10;0,3264
450,10;0,3521
480,10;0,3760
510,10;0,4165
540,10;0,4648
570,10;0,3582
600,10;0,3743
630,10;0,2680
660,10;0,2833
690,10;0,3230
720,10;0,4850
750,10;0,2862
780,10;0,2836
810,10;0,2735
840,10;0,3277
870,10;0,3548
900,10;0,3790
930,10;0,3536
960,10;0,3120
990,10;0,3289
1020,10;0,3968
1050,10;0,3901
1080,10;0,3672
1110,10;0,5115
1140,10;0,3416
1170,10;0,3086
1200,10;0,3265
1230,10;0,3030
1260,10;0,2689
1290,10;0,3676
1320,10;0,3432
1350,10;0,3617
1380,10;0,3865
1410,10;0,3151
1440,10;0,2943
1470,10;0,2877
1500,10;0,3772
1530,10;0,3746
1560,10;0,2597
1590,10;0,3764
1620,10;0,4068
1650,10;0,3222
1680,10;0,4116
1710,10;0,3764
1740,10;0,3814
1770,10;0,3119
1800,10;0,3063
1830,10;0,3865
1860,10;0,4106
1890,10;0,2609
1920,10;0,3279
1950,10;0,3177
1980,10;0,3039
2010,10;0,3200
2040,10;0,3416
2070,10;0,4094
2100,10;0,3553
2130,10;0,3310
2160,10;0,3502
2190,10;0,3740
2220,10;0,4537
2250,10;0,3163
2280,10;0,2829
2310,10;0,3487
2340,10;0,4264
2370,10;0,3342
2400,10;0,3962
2430,10;0,3686
2460,10;0,3854
2490,10;0,4310
2520,10;0,3524
2550,10;0,3581
2580,10;0,3229
2610,10;0,3859
2640,10;0,3443
2670,10;0,3484
2700,10;0,3575
2730,10;0,3346
2760,10;0,3022
2790,10;0,4263
2820,10;0,3922
2850,10;0,2425
2880,10;0,3436
2910,10;0,3029
2940,10;0,4363
2970,10;0,4612
3000,10;0,3713
3030,10;0,3252
3060,10;0,3173
3090,10;0,3798
3120,10;0,3664
3150,10;0,3484
3180,10;0,4246
3210,10;0,2967
3240,10;0,3354
3270,10;0,3233
3300,10;0,3419
3330,10;0,3545
3360,10;0,3708
3390,10;0,3678
3420,10;0,3644
3450,10;0,4562
3480,10;0,3707
3510,10;0,4240
3540,10;0,3670
3570,10;0,3478
3600,10;0,2611
3630,10;0,3626
3660,10;0,4230
3690,10;0,3419
3720,10;0,4262
3750,10;0,3212
3780,10;0,3479
3810,10;0,3108
3840,10;0,3068
3870,10;0,4157
3900,10;0,3881
3930,10;0,3542
3960,10;0,2820
3990,10;0,3803
4020,10;0,4383
4050,10;0,2704
4080,10;0,3554
4110,10;0,3638
4140,10;0,3460
4170,10;0,3965
4200,10;0,3731
4230,10;0,4226
4260,10;0,3244
4290,10;0,3832
4320,10;0,4156
4350,10;0,3105
4380,10;0,3220
4410,10;0,3984
4440,10;0,3603
4470,10;0,3131
4500,10;0,4555
4530,10;0,3161
4560,10;0,3519
4590,10;0,3323
4620,10;0,3026
4650,10;0,4031
4680,10;0,2997
4710,10;0,4075
4740,10;0,3727
4770,10;0,3628
4800,10;0,3579
4830,10;0,3338
4860,10;0,3486
4890,10;0,3339
4920,10;0,4329
4950,10;0,3451
4980,10;0,3112
5010,10;0,3774
5040,10;0,4538
5070,10;0,3827
5100,10;0,4200
5130,10;0,2742
5160,10;0,3456
5190,10;0,4146
5220,10;0,4910
5250,10;0,2856
5280,10;0,4380
5310,10;0,3299
5340,10;0,4049
5370,10;0,3447
5400,10;0,2960
5430,10;0,3386
5460,10;0,3357
5490,10;0,3722
5520,10;0,3789
5550,10;0,3867
5580,10;0,3291
5610,10;0,3676
5640,10;0,3693
5670,10;0,2800
5700,10;0,3319
5730,10;0,3771
5760,10;0,3843
5790,10;0,3881
5820,10;0,3471
5850,10;0,3875
5880,10;0,3093
5910,10;0,3848
5940,10;0,4466
5970,10;0,4335
6000,10;0,3357
6030,10;0,4280
6060,10;0,3513
6090,10;0,3798
6120,10;0,4317
6150,10;0,3974
6180,10;0,3106
6210,10;0,2613
6240,10;0,3610
6270,10;0,3704
6300,10;0,4290
6330,10;0,3219
6360,10;0,3887
6390,10;0,4714
6420,10;0,4632
6450,10;0,2574
6480,10;0,3405
6510,10;0,4249
6540,10;0,3336
6570,10;0,3225
6600,10;0,3075
6630,10;0,4143
6660,10;0,2610
6690,10;0,3637
6720,10;0,4455
6750,10;0,3908
6780,10;0,3004
6810,10;0,3483
6840,10;0,3830
6870,10;0,4161
6900,10;0,2957
6930,10;0,3360
6960,10;0,3471
6990,10;0,3682
7020,10;0,3584
7050,10;0,3703
7080,10;0,3095
7110,10;0,4209
7140,10;0,3141
7170,10;0,3406
7200,10;0,3457
7230,10;0,5031
7260,10;0,2852
7290,10;0,3327
7320,10;0,4431
7350,10;0,3349
7380,10;0,2733
7410,10;0,3320
7440,10;0,4219
7470,10;0,3932
7500,10;0,3523
7530,10;0,3198
7560,10;0,3397
7590,10;0,2868
7620,10;0,3929
7650,10;0,3705
7680,10;0,3953
7710,10;0,2370
7740,10;0,4463
7770,10;0,2699
7800,10;0,3816
7830,10;0,4194
7860,10;0,3807
7890,10;0,2813
7920,10;0,2887
7950,10;0,3269
7980,10;0,3370
8010,10;0,3543
8040,10;0,3824
8070,10;0,3545
8100,10;0,3480
8130,10;0,3585
8160,10;0,4857
8190,10;0,3393
8220,10;0,2613
8250,10;0,3290
8280,10;0,2977
8310,10;0,3576
8340,10;0,3599
8370,10;0,3001
8400,10;0,4051
8430,10;0,4671
8460,10;0,3811
8490,10;0,3016
8520,10;0,3280
8550,10;0,2347
8580,10;0,3664
8610,10;0,3608
8640,10;0,3445
8670,10;0,2611
8700,10;0,3365
8730,10;0,4294
8760,10;0,3111
8790,10;0,3161
8820,10;0,3693
8850,10;0,3714
8880,10;0,3247
8910,10;0,3392
8940,10;0,4697
8970,10;0,3706
9000,10;0,3584
9030,10;0,4347
9060,10;0,2660
9090,10;0,3127
9120,10;0,3111
9150,10;0,3678
9180,10;0,3998
9210,10;0,3186
9240,10;0,3859
9270,10;0,2893
9300,10;0,3740
9330,10;0,4176
9360,10;0,4385
9390,10;0,2944
9420,10;0,3202
9450,10;0,2896
9480,10;0,3340
9510,10;0,3184
9540,10;0,4748
9570,10;0,3236
9600,10;0,2586
9630,10;0,3416
9660,10;0,4263
9690,10;0,3769
9720,10;0,4087
9750,10;0,4654
9780,10;0,4013
9810,10;0,3259
9840,10;0,3656
9870,10;0,3435
9900,10;0,3452
9930,10;0,3394
9960,10;0,3274
9990,10;0,2972
10020,10;0,4452
10050,10;0,2896
10080,10;0,3311
10110,10;0,2988
10140,10;0,3374
10170,10;0,4829
10200,10;0,2992
10230,10;0,4220
10260,10;0,4960
10290,10;0,2981
10320,10;0,3609
10350,10;0,3071
10380,10;0,2755
10410,10;0,3173
10440,10;0,3920
10470,10;0,3655
10500,10;0,3418
10530,10;0,2968
10560,10;0,4064
10590,10;0,3627
10620,10;0,3057
10650,10;0,4265
10680,10;0,3885
10710,10;0,4176
10740,10;0,3299
10770,10;0,3979
10800,10;0,3868
10830,10;0,3163
10860,10;0,3791
10890,10;0,3649
10920,10;0,3329
10950,10;0,3603
10980,10;0,4654
11010,10;0,3212
11040,10;0,3969
11070,10;0,3612
11100,10;0,3348
11130,10;0,3798
11160,10;0,3046
11190,10;0,3407
11220,10;0,2983
11250,10;0,3585
11280,10;0,3484
11310,10;0,3879
11340,10;0,3620
11370,10;0,4559
11400,10;0,3985
11430,10;0,3349
11460,10;0,3733
11490,10;0,2772
11520,10;0,3582
11550,10;0,3673
11580,10;0,3820
11610,10;0,3657
11640,10;0,4073
11670,10;0,4182
11700,10;0,2718
11730,10;0,3323
11760,10;0,3672
11790,10;0,3791
11820,10;0,4831
11850,10;0,2761
11880,10;0,3485
11910,10;0,2623
11940,10;0,3284
11970,10;0,3391
12000,10;0,4006
12030,10;0,3482
12060,10;0,4033
12090,10;0,4951
12120,10;0,3333
12150,10;0,4163
12180,10;0,3446
12210,10;0,3836
12240,10;0,2387
12270,10;0,3644
12300,10;0,4734
12330,10;0,3008
12360,10;0,3690
12390,10;0,3376
12420,10;0,3677
12450,10;0,3918
12480,10;0,3589
12510,10;0,3429
12540,10;0,3477
12570,10;0,3847
12600,10;0,3286
12630,10;0,4473
12660,10;0,3658
12690,10;0,3156
12720,10;0,3226
12750,10;0,3252
12780,10;0,2942
12810,10;0,4307
12840,10;0,2599
12870,10;0,3388
12900,10;0,3717
12930,10;0,4178
12960,10;0,4445
12990,10;0,2835
13020,10;0,3469
13050,10;0,3746
13080,10;0,3784
13110,10;0,3765
13140,10;0,4657
13170,10;0,3313
13200,10;0,3648
13230,10;0,3477
13260,10;0,3293
13290,10;0,4189
13320,10;0,3263
13350,10;0,4514
13380,10;0,3274
13410,10;0,3115
13440,10;0,3115
13470,10;0,3491
13500,10;0,4144
13530,10;0,3368
13560,10;0,4667
13590,10;0,3262
13620,10;0,2759
13650,10;0,3613
13680,10;0,4318
13710,10;0,3266
13740,10;0,3396
13770,10;0,3374
13800,10;0,3460
13830,10;0,3383
13860,10;0,4172
13890,10;0,3029
13920,10;0,4219
13950,10;0,3404
13980,10;0,3528
14010,10;0,3837
14040,10;0,3085
14070,10;0,3196
14100,10;0,3714
14130,10;0,4357
14160,10;0,3955
14190,10;0,3282
14220,10;0,3420
14250,10;0,3818
14280,10;0,3450
14310,10;0,3409
14340,10;0,3785
14370,10;0,3846
14400,10;0,3439
14430,10;0,3874
14460,10;0,3459
14490,10;0,3196
14520,10;0,3279
14550,10;0,3634
14580,10;0,3418
14610,10;0,4024
14640,10;0,3726
14670,10;0,3503
14700,10;0,2921
14730,10;0,3376
14760,10;0,3855
14790,10;0,3865
14820,10;0,3842
14850,10;0,3522
14880,10;0,4174
14910,10;0,4078
14940,10;0,5300
14970,10;0,2880
15000,10;0,3757
15030,10;0,4222
15060,10;0,3717
15090,10;0,2885
15120,10;0,3129
15150,10;0,3953
15180,10;0,3034
15210,10;0,3500
15240,10;0,3608
15270,10;0,4454
15300,10;0,3363
15330,10;0,3678
15360,10;0,4096
15390,10;0,4472
15420,10;0,3947
15450,10;0,3666
15480,10;0,3440
15510,10;0,3300
15540,10;0,2577
15570,10;0,3426
15600,10;0,3289
15630,10;0,3273
15660,10;0,3042
15690,10;0,3720
15720,10;0,3491
15750,10;0,4395
15780,10;0,2485
15810,10;0,3104
15840,10;0,3549
15870,10;0,4260
15900,10;0,3644
15930,10;0,3855
15960,10;0,4272
15990,10;0,2607
16020,10;0,2888
16050,10;0,3441
16080,10;0,3701
16110,10;0,4854
16140,10;0,3730
16170,10;0,3856
16200,10;0,3861
16230,10;0,2841
16260,10;0,3675
16290,10;0,3834
16320,10;0,5092
16350,10;0,2045
16380,10;0,3903
16410,10;0,2693
16440,10;0,3450
16470,10;0,3184
16500,10;0,4151
16530,10;0,3827
16560,10;0,3375
16590,10;0,3777
16620,10;0,3293
16650,10;0,3506
16680,10;0,4031
16710,10;0,3920
16740,10;0,3220
16770,10;0,2870
16800,10;0,3836
16830,10;0,2785
16860,10;0,2569
16890,10;0,2848
16920,10;0,3951
16950,10;0,3479
16980,10;0,4354
17010,10;0,3268
17040,10;0,4512
17070,10;0,3244
17100,10;0,4455
17130,10;0,2942
17160,10;0,3536
17190,10;0,2394
17220,10;0,3911
17250,10;0,2794
17280,10;0,3456
