time;num_of_active_hosts
300,10;776
600,10;134
900,10;67
1200,10;83
1500,10;90
1800,10;133
2100,10;120
2400,10;98
2700,10;76
3000,10;113
3300,10;80
3600,10;108
3900,10;78
4200,10;125
4500,10;89
4800,10;117
5100,10;59
5400,10;65
5700,10;89
6000,10;79
6300,10;104
6600,10;79
6900,10;77
7200,10;74
7500,10;135
7800,10;88
8100,10;85
8400,10;82
8700,10;92
9000,10;62
9300,10;93
9600,10;81
9900,10;79
10200,10;68
10500,10;89
10800,10;82
11100,10;52
11400,10;95
11700,10;88
12000,10;70
12300,10;80
12600,10;65
12900,10;67
13200,10;73
13500,10;70
13800,10;63
14100,10;82
14400,10;83
14700,10;109
15000,10;67
15300,10;73
15600,10;104
15900,10;50
16200,10;90
16500,10;99
16800,10;67
17100,10;94
17400,10;96
17700,10;71
18000,10;86
18300,10;86
18600,10;78
18900,10;89
19200,10;58
19500,10;88
19800,10;88
20100,10;64
20400,10;79
20700,10;65
21000,10;86
21300,10;77
21600,10;62
21900,10;83
22200,10;67
22500,10;94
22800,10;88
23100,10;78
23400,10;54
23700,10;108
24000,10;55
24300,10;82
24600,10;77
24900,10;59
25200,10;77
25500,10;81
25800,10;62
26100,10;82
26400,10;81
26700,10;56
27000,10;71
27300,10;89
27600,10;75
27900,10;66
28200,10;93
28500,10;108
28800,10;66
29100,10;106
29400,10;58
29700,10;91
30000,10;74
30300,10;78
30600,10;86
30900,10;74
31200,10;84
31500,10;78
31800,10;57
32100,10;123
32400,10;62
32700,10;108
33000,10;83
33300,10;78
33600,10;76
33900,10;89
34200,10;73
34500,10;58
34800,10;100
35100,10;65
35400,10;78
35700,10;69
36000,10;98
36300,10;63
36600,10;78
36900,10;95
37200,10;78
37500,10;81
37800,10;76
38100,10;87
38400,10;74
38700,10;78
39000,10;86
39300,10;80
39600,10;86
39900,10;62
40200,10;91
40500,10;90
40800,10;81
41100,10;72
41400,10;83
41700,10;62
42000,10;85
42300,10;62
42600,10;83
42900,10;60
43200,10;81
43500,10;78
43800,10;70
44100,10;68
44400,10;71
44700,10;61
45000,10;66
45300,10;80
45600,10;72
45900,10;85
46200,10;85
46500,10;63
46800,10;90
47100,10;73
47400,10;79
47700,10;70
48000,10;88
48300,10;86
48600,10;88
48900,10;93
49200,10;58
49500,10;84
49800,10;95
50100,10;69
50400,10;71
50700,10;65
51000,10;67
51300,10;86
51600,10;91
51900,10;80
52200,10;84
52500,10;91
52800,10;57
53100,10;99
53400,10;77
53700,10;75
54000,10;102
54300,10;75
54600,10;79
54900,10;79
55200,10;73
55500,10;81
55800,10;83
56100,10;74
56400,10;81
56700,10;78
57000,10;69
57300,10;79
57600,10;75
57900,10;65
58200,10;96
58500,10;77
58800,10;67
59100,10;69
59400,10;78
59700,10;66
60000,10;71
60300,10;69
60600,10;93
60900,10;74
61200,10;60
61500,10;85
61800,10;85
62100,10;91
62400,10;80
62700,10;86
63000,10;74
63300,10;108
63600,10;58
63900,10;71
64200,10;60
64500,10;87
64800,10;64
65100,10;68
65400,10;90
65700,10;83
66000,10;66
66300,10;76
66600,10;81
66900,10;54
67200,10;63
67500,10;74
67800,10;77
68100,10;76
68400,10;71
68700,10;65
69000,10;85
69300,10;77
69600,10;67
69900,10;58
70200,10;58
70500,10;70
70800,10;98
71100,10;62
71400,10;95
71700,10;67
72000,10;75
72300,10;68
72600,10;78
72900,10;63
73200,10;55
73500,10;106
73800,10;78
74100,10;67
74400,10;61
74700,10;61
75000,10;73
75300,10;68
75600,10;66
75900,10;89
76200,10;54
76500,10;67
76800,10;61
77100,10;113
77400,10;47
77700,10;114
78000,10;51
78300,10;65
78600,10;43
78900,10;89
79200,10;84
79500,10;63
79800,10;60
80100,10;59
80400,10;69
80700,10;62
81000,10;86
81300,10;56
81600,10;50
81900,10;78
82200,10;79
82500,10;48
82800,10;59
83100,10;73
83400,10;59
83700,10;85
84000,10;53
84300,10;60
84600,10;48
84900,10;77
85200,10;55
85500,10;80
85800,10;41
86100,10;79
