migration_time;num_of_mig
300,10;882
600,10;232
900,10;209
1200,10;138
1500,10;166
1800,10;111
2100,10;110
2400,10;100
2700,10;148
3000,10;116
3300,10;100
3600,10;124
3900,10;114
4200,10;116
4500,10;98
4800,10;110
5100,10;92
5400,10;101
5700,10;104
6000,10;101
6300,10;102
6600,10;91
6900,10;100
7200,10;142
7500,10;113
7800,10;93
8100,10;92
8400,10;76
8700,10;97
9000,10;101
9300,10;94
9600,10;133
9900,10;96
10200,10;86
10500,10;62
10800,10;85
11100,10;96
11400,10;100
11700,10;100
12000,10;93
12300,10;99
12600,10;79
12900,10;68
13200,10;89
13500,10;64
13800,10;89
14100,10;102
14400,10;79
14700,10;112
15000,10;77
15300,10;97
15600,10;113
15900,10;108
16200,10;68
16500,10;67
16800,10;82
17100,10;88
17400,10;94
17700,10;116
18000,10;83
18300,10;59
18600,10;103
18900,10;88
19200,10;89
19500,10;77
19800,10;102
20100,10;83
20400,10;96
20700,10;107
21000,10;73
21300,10;82
21600,10;70
21900,10;67
22200,10;98
22500,10;78
22800,10;87
23100,10;92
23400,10;95
23700,10;84
24000,10;77
24300,10;87
24600,10;71
24900,10;98
25200,10;93
25500,10;83
25800,10;81
26100,10;98
26400,10;81
26700,10;68
27000,10;81
27300,10;69
27600,10;79
27900,10;68
28200,10;96
28500,10;97
28800,10;81
29100,10;77
29400,10;82
29700,10;78
30000,10;76
30300,10;78
30600,10;73
30900,10;63
31200,10;81
31500,10;70
31800,10;120
32100,10;86
32400,10;76
32700,10;86
33000,10;90
33300,10;85
33600,10;91
33900,10;87
34200,10;77
34500,10;99
34800,10;77
35100,10;95
35400,10;111
35700,10;111
36000,10;65
36300,10;66
36600,10;107
36900,10;89
37200,10;77
37500,10;77
37800,10;78
38100,10;74
38400,10;68
38700,10;80
39000,10;91
39300,10;71
39600,10;77
39900,10;84
40200,10;91
40500,10;74
40800,10;68
41100,10;76
41400,10;79
41700,10;89
42000,10;93
42300,10;95
42600,10;88
42900,10;113
43200,10;95
43500,10;92
43800,10;84
44100,10;91
44400,10;75
44700,10;75
45000,10;103
45300,10;86
45600,10;70
45900,10;74
46200,10;67
46500,10;87
46800,10;83
47100,10;83
47400,10;89
47700,10;80
48000,10;82
48300,10;72
48600,10;94
48900,10;88
49200,10;97
49500,10;106
49800,10;96
50100,10;81
50400,10;72
50700,10;89
51000,10;85
51300,10;87
51600,10;75
51900,10;64
52200,10;72
52500,10;75
52800,10;71
53100,10;98
53400,10;100
53700,10;98
54000,10;107
54300,10;72
54600,10;73
54900,10;84
55200,10;98
55500,10;93
55800,10;123
56100,10;83
56400,10;103
56700,10;70
57000,10;91
57300,10;73
57600,10;75
57900,10;65
58200,10;95
58500,10;78
58800,10;79
59100,10;82
59400,10;67
59700,10;67
60000,10;97
60300,10;86
60600,10;76
60900,10;90
61200,10;71
61500,10;88
61800,10;86
62100,10;64
62400,10;84
62700,10;106
63000,10;86
63300,10;77
63600,10;78
63900,10;73
64200,10;91
64500,10;73
64800,10;88
65100,10;91
65400,10;73
65700,10;100
66000,10;103
66300,10;92
66600,10;83
66900,10;63
67200,10;92
67500,10;82
67800,10;93
68100,10;87
68400,10;94
68700,10;96
69000,10;95
69300,10;63
69600,10;72
69900,10;81
70200,10;82
70500,10;77
70800,10;94
71100,10;87
71400,10;82
71700,10;100
72000,10;73
72300,10;82
72600,10;90
72900,10;68
73200,10;90
73500,10;76
73800,10;94
74100,10;53
74400,10;71
74700,10;86
75000,10;80
75300,10;69
75600,10;97
75900,10;91
76200,10;96
76500,10;90
76800,10;110
77100,10;79
77400,10;120
77700,10;87
78000,10;83
78300,10;65
78600,10;90
78900,10;78
79200,10;71
79500,10;79
79800,10;70
80100,10;82
80400,10;83
80700,10;77
81000,10;82
81300,10;78
81600,10;60
81900,10;82
82200,10;79
82500,10;63
82800,10;98
83100,10;70
83400,10;87
83700,10;66
84000,10;58
84300,10;88
84600,10;67
84900,10;63
85200,10;90
85500,10;68
85800,10;59
86100,10;93
