time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,0520
90,10;0,0540
120,10;0,1681
150,10;0,1886
180,10;0,1838
210,10;0,3846
240,10;0,3749
270,10;0,3594
300,10;0,3160
330,10;0,2990
360,10;0,2813
390,10;0,2904
420,10;0,2587
450,10;0,2425
480,10;0,2097
510,10;0,2004
540,10;0,2009
570,10;0,1953
600,10;0,1962
630,10;0,1802
660,10;0,1736
690,10;0,1604
720,10;0,1693
750,10;0,1777
780,10;0,1824
810,10;0,1906
840,10;0,1861
870,10;0,1862
900,10;0,1992
930,10;0,2118
960,10;0,2003
990,10;0,2000
1020,10;0,2120
1050,10;0,2158
1080,10;0,2146
1110,10;0,2382
1140,10;0,2534
1170,10;0,2588
1200,10;0,2678
1230,10;0,2637
1260,10;0,2482
1290,10;0,2504
1320,10;0,2500
1350,10;0,2467
1380,10;0,2612
1410,10;0,2518
1440,10;0,2654
1470,10;0,2468
1500,10;0,2318
1530,10;0,2447
1560,10;0,2018
1590,10;0,2113
1620,10;0,2164
1650,10;0,2037
1680,10;0,2054
1710,10;0,1984
1740,10;0,1887
1770,10;0,1822
1800,10;0,1841
1830,10;0,1759
1860,10;0,1789
1890,10;0,1704
1920,10;0,1830
1950,10;0,1872
1980,10;0,1733
2010,10;0,1723
2040,10;0,1683
2070,10;0,1793
2100,10;0,1754
2130,10;0,1691
2160,10;0,1740
2190,10;0,1630
2220,10;0,1737
2250,10;0,1784
2280,10;0,1774
2310,10;0,1662
2340,10;0,1851
2370,10;0,1682
2400,10;0,1754
2430,10;0,1794
2460,10;0,1722
2490,10;0,1725
2520,10;0,1722
2550,10;0,1679
2580,10;0,1673
2610,10;0,1757
2640,10;0,1701
2670,10;0,1761
2700,10;0,1761
2730,10;0,1819
2760,10;0,1701
2790,10;0,1800
2820,10;0,1995
2850,10;0,1867
2880,10;0,1871
2910,10;0,1756
2940,10;0,1752
2970,10;0,1796
3000,10;0,1836
3030,10;0,1922
3060,10;0,1805
3090,10;0,1925
3120,10;0,1977
3150,10;0,1869
3180,10;0,2040
3210,10;0,1977
3240,10;0,2156
3270,10;0,2073
3300,10;0,2169
3330,10;0,2370
3360,10;0,2358
3390,10;0,2261
3420,10;0,2163
3450,10;0,2285
3480,10;0,2192
3510,10;0,2277
3540,10;0,2258
3570,10;0,2355
3600,10;0,2197
3630,10;0,2125
3660,10;0,2243
3690,10;0,2092
3720,10;0,2080
3750,10;0,2044
3780,10;0,2059
3810,10;0,2028
3840,10;0,1964
3870,10;0,2076
3900,10;0,2003
3930,10;0,2127
3960,10;0,1980
3990,10;0,1984
4020,10;0,2085
4050,10;0,2024
4080,10;0,2000
4110,10;0,2044
4140,10;0,1963
4170,10;0,2048
4200,10;0,1978
4230,10;0,1979
4260,10;0,1928
4290,10;0,1956
4320,10;0,2020
4350,10;0,1935
4380,10;0,1922
4410,10;0,1945
4440,10;0,1921
4470,10;0,1902
4500,10;0,1989
4530,10;0,2012
4560,10;0,2032
4590,10;0,2010
4620,10;0,1893
4650,10;0,2010
4680,10;0,1946
4710,10;0,1969
4740,10;0,1980
4770,10;0,1976
4800,10;0,1943
4830,10;0,1948
4860,10;0,1996
4890,10;0,1878
4920,10;0,1894
4950,10;0,1992
4980,10;0,1906
5010,10;0,1920
5040,10;0,1920
5070,10;0,1881
5100,10;0,1966
5130,10;0,1953
5160,10;0,1961
5190,10;0,1912
5220,10;0,1979
5250,10;0,1880
5280,10;0,1988
5310,10;0,1888
5340,10;0,1888
5370,10;0,1983
5400,10;0,1943
5430,10;0,1944
5460,10;0,1902
5490,10;0,1897
5520,10;0,1887
5550,10;0,1876
5580,10;0,1865
5610,10;0,1864
5640,10;0,1915
5670,10;0,1850
5700,10;0,1830
5730,10;0,1796
5760,10;0,1798
5790,10;0,1864
5820,10;0,1854
5850,10;0,1826
5880,10;0,1820
5910,10;0,1739
5940,10;0,1764
5970,10;0,1810
6000,10;0,1837
6030,10;0,1880
6060,10;0,1871
6090,10;0,1803
6120,10;0,1817
6150,10;0,1774
6180,10;0,1812
6210,10;0,1783
6240,10;0,1837
6270,10;0,1770
6300,10;0,1856
6330,10;0,1801
6360,10;0,1781
6390,10;0,1795
6420,10;0,1894
6450,10;0,1832
6480,10;0,1782
6510,10;0,1878
6540,10;0,1866
6570,10;0,1840
6600,10;0,1826
6630,10;0,1890
6660,10;0,1755
6690,10;0,1667
6720,10;0,1784
6750,10;0,1829
6780,10;0,1770
6810,10;0,1773
6840,10;0,1788
6870,10;0,1809
6900,10;0,1750
6930,10;0,1789
6960,10;0,1698
6990,10;0,1716
7020,10;0,1718
7050,10;0,1840
7080,10;0,1756
7110,10;0,1843
7140,10;0,1747
7170,10;0,1815
7200,10;0,1686
7230,10;0,1863
7260,10;0,1830
7290,10;0,1791
7320,10;0,1956
7350,10;0,1967
7380,10;0,1913
7410,10;0,1912
7440,10;0,1827
7470,10;0,1900
7500,10;0,1889
7530,10;0,1931
7560,10;0,2052
7590,10;0,1908
7620,10;0,1846
7650,10;0,1799
7680,10;0,2056
7710,10;0,1826
7740,10;0,2142
7770,10;0,1894
7800,10;0,1888
7830,10;0,1742
7860,10;0,1923
7890,10;0,1980
7920,10;0,1943
7950,10;0,1969
7980,10;0,1960
8010,10;0,1919
8040,10;0,1921
8070,10;0,2062
8100,10;0,1855
8130,10;0,1782
8160,10;0,1864
8190,10;0,2027
8220,10;0,1790
8250,10;0,1724
8280,10;0,1872
8310,10;0,1786
8340,10;0,1842
8370,10;0,1705
8400,10;0,1741
8430,10;0,1633
8460,10;0,1718
8490,10;0,1665
8520,10;0,1820
8550,10;0,1676
8580,10;0,1744
8610,10;0,1793
8640,10;0,1846
8670,10;0,1848
8700,10;0,1801
8730,10;0,1897
8760,10;0,1877
8790,10;0,1862
8820,10;0,1862
8850,10;0,1907
8880,10;0,1916
8910,10;0,1887
8940,10;0,1861
8970,10;0,1927
9000,10;0,1856
9030,10;0,2019
9060,10;0,1848
9090,10;0,1935
9120,10;0,1847
9150,10;0,1810
9180,10;0,1832
9210,10;0,1876
9240,10;0,1948
9270,10;0,1877
9300,10;0,1823
9330,10;0,1785
9360,10;0,1866
9390,10;0,1886
9420,10;0,1967
9450,10;0,1939
9480,10;0,1915
9510,10;0,1851
9540,10;0,1977
9570,10;0,1993
9600,10;0,1864
9630,10;0,1822
9660,10;0,1871
9690,10;0,1842
9720,10;0,1728
9750,10;0,1849
9780,10;0,1951
9810,10;0,1836
9840,10;0,1881
9870,10;0,1898
9900,10;0,1803
9930,10;0,1836
9960,10;0,1799
9990,10;0,1761
10020,10;0,1873
10050,10;0,1869
10080,10;0,1988
10110,10;0,1881
10140,10;0,1871
10170,10;0,2014
10200,10;0,1733
10230,10;0,1770
10260,10;0,1882
10290,10;0,1851
10320,10;0,1944
10350,10;0,1969
10380,10;0,1941
10410,10;0,1900
10440,10;0,1941
10470,10;0,1871
10500,10;0,1958
10530,10;0,1862
10560,10;0,1971
10590,10;0,2038
10620,10;0,1848
10650,10;0,1895
10680,10;0,1870
10710,10;0,1983
10740,10;0,1957
10770,10;0,1937
10800,10;0,1944
10830,10;0,1824
10860,10;0,1944
10890,10;0,2035
10920,10;0,2040
10950,10;0,1912
10980,10;0,2121
11010,10;0,1920
11040,10;0,2031
11070,10;0,2065
11100,10;0,1996
11130,10;0,2012
11160,10;0,2002
11190,10;0,1974
11220,10;0,1916
11250,10;0,2003
11280,10;0,1924
11310,10;0,1981
11340,10;0,1951
11370,10;0,2010
11400,10;0,1892
11430,10;0,2013
11460,10;0,2194
11490,10;0,2068
11520,10;0,2079
11550,10;0,1954
11580,10;0,1948
11610,10;0,1943
11640,10;0,1999
11670,10;0,2049
11700,10;0,1913
11730,10;0,1938
11760,10;0,1960
11790,10;0,1792
11820,10;0,2011
11850,10;0,1926
11880,10;0,2094
11910,10;0,1982
11940,10;0,1983
11970,10;0,2027
12000,10;0,2043
12030,10;0,1953
12060,10;0,1845
12090,10;0,1969
12120,10;0,1901
12150,10;0,1925
12180,10;0,1936
12210,10;0,2039
12240,10;0,1923
12270,10;0,1867
12300,10;0,1984
12330,10;0,1958
12360,10;0,1989
12390,10;0,1963
12420,10;0,1960
12450,10;0,1946
12480,10;0,1889
12510,10;0,1964
12540,10;0,1920
12570,10;0,1999
12600,10;0,1881
12630,10;0,1904
12660,10;0,1970
12690,10;0,1893
12720,10;0,1911
12750,10;0,1962
12780,10;0,1839
12810,10;0,1972
12840,10;0,1903
12870,10;0,1858
12900,10;0,1844
12930,10;0,1835
12960,10;0,1916
12990,10;0,1826
13020,10;0,1861
13050,10;0,1877
13080,10;0,1834
13110,10;0,1835
13140,10;0,1901
13170,10;0,1925
13200,10;0,1951
13230,10;0,1946
13260,10;0,1822
13290,10;0,1954
13320,10;0,1897
13350,10;0,1928
13380,10;0,1935
13410,10;0,1953
13440,10;0,1924
13470,10;0,1941
13500,10;0,1995
13530,10;0,1835
13560,10;0,1875
13590,10;0,1996
13620,10;0,1897
13650,10;0,1884
13680,10;0,1916
13710,10;0,1854
13740,10;0,1948
13770,10;0,1945
13800,10;0,1939
13830,10;0,1915
13860,10;0,2040
13890,10;0,1914
13920,10;0,1971
13950,10;0,1876
13980,10;0,1911
14010,10;0,1972
14040,10;0,1954
14070,10;0,1955
14100,10;0,1936
14130,10;0,1916
14160,10;0,1922
14190,10;0,1946
14220,10;0,1941
14250,10;0,1926
14280,10;0,2009
14310,10;0,1910
14340,10;0,1952
14370,10;0,1902
14400,10;0,1909
14430,10;0,2018
14460,10;0,1990
14490,10;0,1935
14520,10;0,1913
14550,10;0,1881
14580,10;0,1885
14610,10;0,1908
14640,10;0,1918
14670,10;0,1997
14700,10;0,1992
14730,10;0,1921
14760,10;0,1916
14790,10;0,1922
14820,10;0,1955
14850,10;0,1926
14880,10;0,1974
14910,10;0,1916
14940,10;0,2030
14970,10;0,1935
15000,10;0,1927
15030,10;0,1930
15060,10;0,2039
15090,10;0,1942
15120,10;0,1900
15150,10;0,2066
15180,10;0,2022
15210,10;0,1990
15240,10;0,1935
15270,10;0,2057
15300,10;0,1896
15330,10;0,1795
15360,10;0,1915
15390,10;0,1969
15420,10;0,1915
15450,10;0,1921
15480,10;0,1914
15510,10;0,1916
15540,10;0,1840
15570,10;0,1880
15600,10;0,1811
15630,10;0,1840
15660,10;0,1853
15690,10;0,1972
15720,10;0,1883
15750,10;0,2024
15780,10;0,1934
15810,10;0,2029
15840,10;0,1910
15870,10;0,2089
15900,10;0,2025
15930,10;0,1987
15960,10;0,2132
15990,10;0,2195
16020,10;0,2135
16050,10;0,2060
16080,10;0,1954
16110,10;0,2020
16140,10;0,2002
16170,10;0,1966
16200,10;0,2103
16230,10;0,1909
16260,10;0,1829
16290,10;0,1760
16320,10;0,2028
16350,10;0,1757
16380,10;0,2076
16410,10;0,1843
16440,10;0,1881
16470,10;0,1785
16500,10;0,1917
16530,10;0,1988
16560,10;0,1947
16590,10;0,1964
16620,10;0,1974
16650,10;0,1964
16680,10;0,1969
16710,10;0,2115
16740,10;0,1972
16770,10;0,1913
16800,10;0,2042
16830,10;0,2221
16860,10;0,2008
16890,10;0,1966
16920,10;0,2129
16950,10;0,1998
16980,10;0,2133
17010,10;0,2026
17040,10;0,2040
17070,10;0,1889
17100,10;0,1980
17130,10;0,1928
17160,10;0,2076
17190,10;0,1916
17220,10;0,1992
17250,10;0,2084
17280,10;0,2155
