migration_time;num_of_mig
30,10;461
60,10;334
90,10;0
120,10;116
150,10;278
180,10;306
210,10;18
240,10;126
270,10;259
300,10;288
330,10;81
360,10;98
390,10;217
420,10;277
450,10;134
480,10;91
510,10;195
540,10;217
570,10;235
600,10;32
630,10;113
660,10;222
690,10;247
720,10;46
750,10;124
780,10;206
810,10;211
840,10;156
870,10;62
900,10;118
930,10;231
960,10;266
990,10;3
1020,10;112
1050,10;215
1080,10;228
1110,10;26
1140,10;122
1170,10;196
1200,10;216
1230,10;119
1260,10;74
1290,10;148
1320,10;198
1350,10;220
1380,10;10
1410,10;83
1440,10;177
1470,10;239
1500,10;16
1530,10;121
1560,10;200
1590,10;212
1620,10;104
1650,10;37
1680,10;157
1710,10;188
1740,10;127
1770,10;72
1800,10;186
1830,10;208
1860,10;38
1890,10;76
1920,10;190
1950,10;194
1980,10;54
2010,10;74
2040,10;168
2070,10;199
2100,10;93
2130,10;75
2160,10;152
2190,10;207
2220,10;113
2250,10;106
2280,10;141
2310,10;131
2340,10;199
2370,10;96
2400,10;33
2430,10;159
2460,10;192
2490,10;90
2520,10;86
2550,10;181
2580,10;190
2610,10;61
2640,10;108
2670,10;139
2700,10;181
2730,10;139
2760,10;57
2790,10;151
2820,10;203
2850,10;94
2880,10;76
2910,10;130
2940,10;169
2970,10;167
3000,10;43
3030,10;125
3060,10;206
3090,10;100
3120,10;93
3150,10;103
3180,10;132
3210,10;205
3240,10;72
3270,10;53
3300,10;154
3330,10;197
3360,10;74
3390,10;79
3420,10;123
3450,10;153
3480,10;195
3510,10;8
3540,10;79
3570,10;171
3600,10;176
3630,10;22
3660,10;92
3690,10;174
3720,10;173
3750,10;39
3780,10;58
3810,10;151
3840,10;155
3870,10;74
3900,10;59
3930,10;138
3960,10;149
3990,10;105
4020,10;75
4050,10;113
4080,10;123
4110,10;123
4140,10;65
4170,10;79
4200,10;119
4230,10;148
4260,10;72
4290,10;72
4320,10;87
4350,10;143
4380,10;141
4410,10;20
4440,10;66
4470,10;127
4500,10;142
4530,10;31
4560,10;91
4590,10;134
4620,10;95
4650,10;70
4680,10;45
4710,10;83
4740,10;138
4770,10;92
4800,10;33
4830,10;96
4860,10;127
4890,10;90
4920,10;23
4950,10;78
4980,10;96
5010,10;130
5040,10;9
5070,10;52
5100,10;100
5130,10;124
5160,10;22
5190,10;50
5220,10;88
5250,10;106
5280,10;42
5310,10;68
5340,10;59
5370,10;83
5400,10;67
5430,10;57
5460,10;50
5490,10;90
5520,10;62
5550,10;39
5580,10;60
5610,10;90
5640,10;100
5670,10;10
5700,10;49
5730,10;100
5760,10;80
5790,10;14
5820,10;52
5850,10;66
5880,10;74
5910,10;23
5940,10;39
5970,10;56
6000,10;51
6030,10;33
6060,10;33
6090,10;38
6120,10;47
6150,10;38
6180,10;28
6210,10;47
6240,10;63
6270,10;30
6300,10;27
6330,10;66
6360,10;29
6390,10;13
6420,10;73
6450,10;42
6480,10;14
6510,10;54
6540,10;44
6570,10;60
6600,10;45
6630,10;37
6660,10;52
6690,10;69
6720,10;24
6750,10;44
6780,10;53
6810,10;60
6840,10;31
6870,10;41
6900,10;37
6930,10;44
6960,10;40
6990,10;36
7020,10;43
7050,10;45
7080,10;42
7110,10;47
7140,10;23
7170,10;56
7200,10;37
7230,10;35
7260,10;50
7290,10;46
7320,10;36
7350,10;36
7380,10;50
7410,10;29
7440,10;32
7470,10;48
7500,10;44
7530,10;14
7560,10;66
7590,10;40
7620,10;23
7650,10;21
7680,10;51
7710,10;33
7740,10;28
7770,10;35
7800,10;38
7830,10;15
7860,10;22
7890,10;40
7920,10;21
7950,10;27
7980,10;44
8010,10;19
8040,10;26
8070,10;41
8100,10;54
8130,10;19
8160,10;27
8190,10;60
8220,10;15
8250,10;24
8280,10;29
8310,10;13
8340,10;28
8370,10;33
8400,10;16
8430,10;13
8460,10;26
8490,10;17
8520,10;15
8550,10;20
8580,10;30
8610,10;19
8640,10;24
8670,10;23
8700,10;16
8730,10;23
8760,10;22
8790,10;21
8820,10;27
8850,10;27
8880,10;20
8910,10;24
8940,10;28
8970,10;29
9000,10;21
9030,10;36
9060,10;28
9090,10;39
9120,10;45
9150,10;22
9180,10;24
9210,10;40
9240,10;37
9270,10;20
9300,10;28
9330,10;26
9360,10;36
9390,10;37
9420,10;23
9450,10;25
9480,10;37
9510,10;25
9540,10;24
9570,10;28
9600,10;24
9630,10;19
9660,10;55
9690,10;24
9720,10;9
9750,10;40
9780,10;31
9810,10;15
9840,10;83
9870,10;52
9900,10;8
9930,10;36
9960,10;42
9990,10;55
10020,10;22
10050,10;21
10080,10;55
10110,10;62
10140,10;17
10170,10;50
10200,10;25
10230,10;25
10260,10;39
10290,10;21
10320,10;27
10350,10;66
10380,10;22
10410,10;20
10440,10;40
10470,10;29
10500,10;22
10530,10;19
10560,10;35
10590,10;27
10620,10;13
10650,10;24
10680,10;16
10710,10;21
10740,10;34
10770,10;20
10800,10;23
10830,10;27
10860,10;24
10890,10;22
10920,10;27
10950,10;5
10980,10;33
11010,10;29
11040,10;21
11070,10;33
11100,10;36
11130,10;18
11160,10;30
11190,10;27
11220,10;17
11250,10;23
11280,10;34
11310,10;14
11340,10;37
11370,10;52
11400,10;44
11430,10;48
11460,10;60
11490,10;37
11520,10;26
11550,10;44
11580,10;69
11610,10;64
11640,10;5
11670,10;48
11700,10;53
11730,10;80
11760,10;7
11790,10;22
11820,10;62
11850,10;48
11880,10;28
11910,10;31
11940,10;40
11970,10;32
12000,10;24
12030,10;44
12060,10;48
12090,10;20
12120,10;49
12150,10;57
12180,10;14
12210,10;53
12240,10;52
12270,10;11
12300,10;45
12330,10;47
12360,10;15
12390,10;42
12420,10;45
12450,10;20
12480,10;34
12510,10;40
12540,10;17
12570,10;38
12600,10;34
12630,10;14
12660,10;30
12690,10;37
12720,10;22
12750,10;23
12780,10;31
12810,10;26
12840,10;19
12870,10;33
12900,10;14
12930,10;17
12960,10;36
12990,10;16
13020,10;24
13050,10;37
13080,10;32
13110,10;20
13140,10;37
13170,10;19
13200,10;29
13230,10;46
13260,10;22
13290,10;22
13320,10;23
13350,10;36
13380,10;29
13410,10;31
13440,10;47
13470,10;40
13500,10;27
13530,10;22
13560,10;51
13590,10;41
13620,10;18
13650,10;31
13680,10;55
13710,10;16
13740,10;16
13770,10;49
13800,10;39
13830,10;15
13860,10;25
13890,10;27
13920,10;17
13950,10;12
13980,10;22
14010,10;22
14040,10;11
14070,10;22
14100,10;19
14130,10;13
14160,10;15
14190,10;24
14220,10;21
14250,10;9
14280,10;26
14310,10;23
14340,10;17
14370,10;24
14400,10;11
14430,10;19
14460,10;16
14490,10;11
14520,10;19
14550,10;4
14580,10;9
14610,10;8
14640,10;7
14670,10;9
14700,10;4
14730,10;5
14760,10;5
14790,10;7
14820,10;3
14850,10;10
14880,10;8
14910,10;8
14940,10;2
14970,10;6
15000,10;6
15030,10;9
15060,10;11
15090,10;3
15120,10;7
15150,10;16
15180,10;3
15210,10;8
15240,10;20
15270,10;7
15300,10;54
15330,10;9
15360,10;9
15390,10;33
15420,10;9
15450,10;7
15480,10;22
15510,10;12
15540,10;6
15570,10;12
15600,10;22
15630,10;19
15660,10;13
15690,10;15
15720,10;6
15750,10;12
15780,10;11
15810,10;11
15840,10;10
15870,10;25
15900,10;60
15930,10;5
15960,10;9
15990,10;48
16020,10;11
16050,10;20
16080,10;25
16110,10;4
16140,10;19
16170,10;15
16200,10;10
16230,10;18
16260,10;11
16290,10;9
16320,10;20
16350,10;7
16380,10;17
16410,10;9
16440,10;9
16470,10;11
16500,10;14
16530,10;14
16560,10;11
16590,10;7
16620,10;8
16650,10;8
16680,10;9
16710,10;9
16740,10;10
16770,10;3
16800,10;14
16830,10;10
16860,10;4
16890,10;13
16920,10;8
16950,10;6
16980,10;15
17010,10;11
17040,10;5
17070,10;9
17100,10;8
17130,10;14
17160,10;18
17190,10;4
17220,10;14
17250,10;13
17280,10;13
