migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1469
2700,10;1555
3000,10;1643
3300,10;1734
3600,10;1830
3900,10;1939
4200,10;2067
4500,10;2194
4800,10;2298
5100,10;2396
5400,10;2500
5700,10;2647
6000,10;2794
6300,10;2872
6600,10;3041
6900,10;3135
7200,10;3249
7500,10;3369
7800,10;3463
8100,10;3582
8400,10;3673
8700,10;3766
9000,10;3881
9300,10;4014
9600,10;4117
9900,10;4216
10200,10;4329
10500,10;4404
10800,10;4500
11100,10;4621
11400,10;4729
11700,10;4839
12000,10;4937
12300,10;5066
12600,10;5145
12900,10;5230
13200,10;5347
13500,10;5428
13800,10;5533
14100,10;5624
14400,10;5724
14700,10;5788
15000,10;5915
15300,10;6000
15600,10;6101
15900,10;6207
16200,10;6309
16500,10;6412
16800,10;6507
17100,10;6622
17400,10;6708
17700,10;6855
18000,10;6973
18300,10;7069
18600,10;7205
18900,10;7320
19200,10;7434
19500,10;7527
19800,10;7618
20100,10;7736
20400,10;7807
20700,10;7927
21000,10;8033
21300,10;8152
21600,10;8267
21900,10;8363
22200,10;8484
22500,10;8591
22800,10;8707
23100,10;8842
23400,10;8943
23700,10;9033
24000,10;9201
24300,10;9312
24600,10;9427
24900,10;9532
25200,10;9626
25500,10;9723
25800,10;9807
26100,10;9935
26400,10;10089
26700,10;10196
27000,10;10279
27300,10;10385
27600,10;10482
27900,10;10580
28200,10;10700
28500,10;10807
28800,10;10930
29100,10;11010
29400,10;11111
29700,10;11252
30000,10;11368
30300,10;11491
30600,10;11625
30900,10;11732
31200,10;11829
31500,10;11945
31800,10;12079
32100,10;12168
32400,10;12293
32700,10;12393
33000,10;12476
33300,10;12609
33600,10;12719
33900,10;12810
34200,10;12901
34500,10;13049
34800,10;13161
35100,10;13278
35400,10;13412
35700,10;13523
36000,10;13630
36300,10;13712
36600,10;13842
36900,10;13951
37200,10;14052
37500,10;14166
37800,10;14248
38100,10;14328
38400,10;14433
38700,10;14536
39000,10;14618
39300,10;14749
39600,10;14842
39900,10;14933
40200,10;15070
40500,10;15209
40800,10;15326
41100,10;15503
41400,10;15620
41700,10;15714
42000,10;15833
42300,10;15974
42600,10;16068
42900,10;16199
43200,10;16343
43500,10;16440
43800,10;16542
44100,10;16658
44400,10;16769
44700,10;16887
45000,10;16971
45300,10;17066
45600,10;17175
45900,10;17289
46200,10;17418
46500,10;17536
46800,10;17626
47100,10;17743
47400,10;17854
47700,10;17967
48000,10;18076
48300,10;18214
48600,10;18357
48900,10;18442
49200,10;18567
49500,10;18681
49800,10;18817
50100,10;18939
50400,10;19020
50700,10;19112
51000,10;19244
51300,10;19403
51600,10;19519
51900,10;19631
52200,10;19779
52500,10;19876
52800,10;19983
53100,10;20104
53400,10;20214
53700,10;20325
54000,10;20426
54300,10;20514
54600,10;20646
54900,10;20735
55200,10;20833
55500,10;20943
55800,10;21060
56100,10;21161
56400,10;21262
56700,10;21376
57000,10;21474
57300,10;21557
57600,10;21674
57900,10;21767
58200,10;21884
58500,10;21991
58800,10;22095
59100,10;22168
59400,10;22247
59700,10;22388
60000,10;22502
60300,10;22623
60600,10;22727
60900,10;22825
61200,10;22940
61500,10;23061
61800,10;23192
62100,10;23307
62400,10;23430
62700,10;23547
63000,10;23680
63300,10;23769
63600,10;23870
63900,10;23945
64200,10;24090
64500,10;24176
64800,10;24276
65100,10;24404
65400,10;24501
65700,10;24606
66000,10;24693
66300,10;24805
66600,10;24883
66900,10;24950
67200,10;25094
67500,10;25232
67800,10;25338
68100,10;25438
68400,10;25540
68700,10;25616
69000,10;25710
69300,10;25802
69600,10;25871
69900,10;25946
70200,10;26005
70500,10;26103
70800,10;26187
71100,10;26313
71400,10;26421
71700,10;26548
72000,10;26635
72300,10;26737
72600,10;26855
72900,10;26944
73200,10;27012
73500,10;27106
73800,10;27202
74100,10;27314
74400,10;27407
74700,10;27509
75000,10;27606
75300,10;27687
75600,10;27791
75900,10;27868
76200,10;27953
76500,10;28055
76800,10;28188
77100,10;28268
77400,10;28407
77700,10;28502
78000,10;28617
78300,10;28683
78600,10;28762
78900,10;28843
79200,10;28986
79500,10;29064
79800,10;29168
80100,10;29240
80400,10;29314
80700,10;29431
81000,10;29532
81300,10;29625
81600,10;29705
81900,10;29803
82200,10;29887
82500,10;29984
82800,10;30099
83100,10;30176
83400,10;30268
83700,10;30335
84000,10;30418
84300,10;30514
84600,10;30566
84900,10;30687
85200,10;30791
85500,10;30886
85800,10;30982
86100,10;31088
