time;num_of_active_hosts_new
300,10;800
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;142
2100,10;117
2400,10;105
2700,10;88
3000,10;81
3300,10;75
3600,10;78
3900,10;79
4200,10;97
4500,10;106
4800,10;117
5100,10;87
5400,10;67
5700,10;92
6000,10;101
6300,10;113
6600,10;73
6900,10;86
7200,10;91
7500,10;136
7800,10;108
8100,10;92
8400,10;65
8700,10;88
9000,10;75
9300,10;119
9600,10;124
9900,10;60
10200,10;85
10500,10;97
10800,10;73
11100,10;75
11400,10;127
11700,10;123
12000,10;65
12300,10;76
12600,10;79
12900,10;70
13200,10;80
13500,10;90
13800,10;86
14100,10;86
14400,10;98
14700,10;113
15000,10;78
15300,10;86
15600,10;112
15900,10;53
16200,10;86
16500,10;98
16800,10;88
17100,10;92
17400,10;94
17700,10;86
18000,10;87
18300,10;104
18600,10;76
18900,10;108
19200,10;80
19500,10;81
19800,10;102
20100,10;69
20400,10;114
20700,10;94
21000,10;90
21300,10;91
21600,10;88
21900,10;99
22200,10;66
22500,10;120
22800,10;100
23100,10;68
23400,10;74
23700,10;118
24000,10;75
24300,10;85
24600,10;93
24900,10;89
25200,10;102
25500,10;86
25800,10;95
26100,10;80
26400,10;103
26700,10;68
27000,10;107
27300,10;93
27600,10;95
27900,10;73
28200,10;117
28500,10;131
28800,10;74
29100,10;82
29400,10;66
29700,10;89
30000,10;84
30300,10;98
30600,10;82
30900,10;72
31200,10;87
31500,10;90
31800,10;75
32100,10;117
32400,10;91
32700,10;79
33000,10;88
33300,10;97
33600,10;120
33900,10;92
34200,10;79
34500,10;63
34800,10;105
35100,10;93
35400,10;79
35700,10;86
36000,10;128
36300,10;71
36600,10;70
36900,10;116
37200,10;95
37500,10;94
37800,10;94
38100,10;88
38400,10;103
38700,10;84
39000,10;89
39300,10;98
39600,10;89
39900,10;89
40200,10;85
40500,10;111
40800,10;75
41100,10;101
41400,10;94
41700,10;71
42000,10;117
42300,10;77
42600,10;80
42900,10;66
43200,10;89
43500,10;109
43800,10;74
44100,10;85
44400,10;77
44700,10;82
45000,10;84
45300,10;104
45600,10;102
45900,10;78
46200,10;105
46500,10;86
46800,10;94
47100,10;91
47400,10;116
47700,10;101
48000,10;80
48300,10;87
48600,10;99
48900,10;107
49200,10;68
49500,10;110
49800,10;115
50100,10;69
50400,10;87
50700,10;103
51000,10;70
51300,10;114
51600,10;83
51900,10;88
52200,10;85
52500,10;110
52800,10;79
53100,10;97
53400,10;77
53700,10;81
54000,10;105
54300,10;93
54600,10;96
54900,10;94
55200,10;95
55500,10;77
55800,10;89
56100,10;101
56400,10;98
56700,10;94
57000,10;90
57300,10;90
57600,10;102
57900,10;94
58200,10;77
58500,10;88
58800,10;88
59100,10;88
59400,10;82
59700,10;89
60000,10;93
60300,10;85
60600,10;101
60900,10;74
61200,10;68
61500,10;94
61800,10;81
62100,10;109
62400,10;106
62700,10;84
63000,10;87
63300,10;104
63600,10;71
63900,10;69
64200,10;87
64500,10;120
64800,10;79
65100,10;60
65400,10;116
65700,10;107
66000,10;73
66300,10;83
66600,10;120
66900,10;72
67200,10;55
67500,10;95
67800,10;104
68100,10;81
68400,10;83
68700,10;93
69000,10;105
69300,10;67
69600,10;78
69900,10;76
70200,10;94
70500,10;67
70800,10;108
71100,10;85
71400,10;82
71700,10;57
72000,10;86
72300,10;86
72600,10;76
72900,10;76
73200,10;65
73500,10;109
73800,10;95
74100,10;58
74400,10;63
74700,10;75
75000,10;80
75300,10;66
75600,10;77
75900,10;101
76200,10;60
76500,10;72
76800,10;57
77100,10;119
77400,10;59
77700,10;85
78000,10;57
78300,10;99
78600,10;59
78900,10;71
79200,10;89
79500,10;73
79800,10;78
80100,10;86
80400,10;89
80700,10;66
81000,10;86
81300,10;57
81600,10;76
81900,10;100
82200,10;92
82500,10;54
82800,10;68
83100,10;100
83400,10;71
83700,10;68
84000,10;64
84300,10;84
84600,10;61
84900,10;67
85200,10;82
85500,10;97
85800,10;51
86100,10;86
