migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;125
2100,10;110
2400,10;96
2700,10;81
3000,10;88
3300,10;80
3600,10;81
3900,10;84
4200,10;80
4500,10;86
4800,10;68
5100,10;78
5400,10;91
5700,10;87
6000,10;88
6300,10;92
6600,10;86
6900,10;72
7200,10;83
7500,10;104
7800,10;128
8100,10;104
8400,10;86
8700,10;72
9000,10;93
9300,10;105
9600,10;93
9900,10;100
10200,10;90
10500,10;91
10800,10;68
11100,10;73
11400,10;113
11700,10;90
12000,10;102
12300,10;77
12600,10;74
12900,10;70
13200,10;71
13500,10;63
13800,10;89
14100,10;94
14400,10;99
14700,10;100
15000,10;98
15300,10;89
15600,10;83
15900,10;67
16200,10;82
16500,10;85
16800,10;91
17100,10;90
17400,10;91
17700,10;82
18000,10;89
18300,10;81
18600,10;85
18900,10;95
19200,10;89
19500,10;97
19800,10;106
20100,10;115
20400,10;75
20700,10;85
21000,10;92
21300,10;98
21600,10;103
21900,10;94
22200,10;92
22500,10;100
22800,10;85
23100,10;86
23400,10;89
23700,10;105
24000,10;86
24300,10;104
24600,10;89
24900,10;89
25200,10;88
25500,10;74
25800,10;75
26100,10;110
26400,10;98
26700,10;87
27000,10;86
27300,10;88
27600,10;75
27900,10;106
28200,10;132
28500,10;94
28800,10;96
29100,10;72
29400,10;70
29700,10;70
30000,10;94
30300,10;106
30600,10;85
30900,10;74
31200,10;87
31500,10;77
31800,10;98
32100,10;88
32400,10;93
32700,10;81
33000,10;83
33300,10;78
33600,10;73
33900,10;67
34200,10;64
34500,10;97
34800,10;100
35100,10;82
35400,10;104
35700,10;98
36000,10;97
36300,10;78
36600,10;93
36900,10;90
37200,10;103
37500,10;104
37800,10;98
38100,10;83
38400,10;85
38700,10;113
39000,10;97
39300,10;80
39600,10;82
39900,10;88
40200,10;112
40500,10;86
40800,10;83
41100,10;87
41400,10;78
41700,10;89
42000,10;89
42300,10;109
42600,10;83
42900,10;81
43200,10;88
43500,10;87
43800,10;73
44100,10;84
44400,10;78
44700,10;71
45000,10;104
45300,10;108
45600,10;101
45900,10;96
46200,10;78
46500,10;88
46800,10;90
47100,10;85
47400,10;85
47700,10;79
48000,10;93
48300,10;116
48600,10;121
48900,10;95
49200,10;77
49500,10;96
49800,10;88
50100,10;83
50400,10;92
50700,10;73
51000,10;82
51300,10;86
51600,10;107
51900,10;99
52200,10;119
52500,10;95
52800,10;103
53100,10;89
53400,10;101
53700,10;78
54000,10;100
54300,10;100
54600,10;70
54900,10;82
55200,10;82
55500,10;100
55800,10;83
56100,10;73
56400,10;87
56700,10;82
57000,10;90
57300,10;88
57600,10;77
57900,10;101
58200,10;95
58500,10;105
58800,10;87
59100,10;73
59400,10;77
59700,10;83
60000,10;76
60300,10;108
60600,10;92
60900,10;74
61200,10;70
61500,10;87
61800,10;102
62100,10;75
62400,10;71
62700,10;73
63000,10;90
63300,10;74
63600,10;66
63900,10;76
64200,10;84
64500,10;91
64800,10;75
65100,10;93
65400,10;79
65700,10;93
66000,10;86
66300,10;99
66600,10;94
66900,10;78
67200,10;79
67500,10;73
67800,10;83
68100,10;88
68400,10;78
68700,10;79
69000,10;94
69300,10;91
69600,10;58
69900,10;78
70200,10;89
70500,10;90
70800,10;76
71100,10;79
71400,10;81
71700,10;102
72000,10;90
72300,10;75
72600,10;79
72900,10;85
73200,10;85
73500,10;90
73800,10;79
74100,10;94
74400,10;78
74700,10;60
75000,10;70
75300,10;89
75600,10;109
75900,10;102
76200,10;70
76500,10;63
76800,10;93
77100,10;100
77400,10;66
77700,10;53
78000,10;87
78300,10;85
78600,10;77
78900,10;89
79200,10;80
79500,10;88
79800,10;96
80100,10;99
80400,10;73
80700,10;90
81000,10;78
81300,10;75
81600,10;70
81900,10;88
82200,10;76
82500,10;59
82800,10;65
83100,10;85
83400,10;101
83700,10;96
84000,10;85
84300,10;67
84600,10;62
84900,10;69
85200,10;117
85500,10;110
85800,10;80
86100,10;92
