migration_time;num_of_mig
30,10;851
60,10;140
90,10;0
120,10;776
150,10;2
180,10;1
210,10;396
240,10;319
270,10;41
300,10;244
330,10;169
360,10;53
390,10;242
420,10;50
450,10;21
480,10;95
510,10;27
540,10;4
570,10;16
600,10;13
630,10;76
660,10;5
690,10;9
720,10;122
750,10;7
780,10;127
810,10;17
840,10;83
870,10;48
900,10;45
930,10;89
960,10;44
990,10;54
1020,10;118
1050,10;34
1080,10;57
1110,10;99
1140,10;88
1170,10;36
1200,10;27
1230,10;56
1260,10;51
1290,10;18
1320,10;23
1350,10;43
1380,10;33
1410,10;69
1440,10;17
1470,10;19
1500,10;57
1530,10;4
1560,10;41
1590,10;65
1620,10;36
1650,10;8
1680,10;54
1710,10;6
1740,10;4
1770,10;31
1800,10;12
1830,10;1
1860,10;5
1890,10;1
1920,10;14
1950,10;5
1980,10;37
2010,10;3
2040,10;3
2070,10;12
2100,10;17
2130,10;1
2160,10;8
2190,10;6
2220,10;16
2250,10;6
2280,10;24
2310,10;4
2340,10;44
2370,10;8
2400,10;53
2430,10;24
2460,10;2
2490,10;49
2520,10;19
2550,10;2
2580,10;56
2610,10;8
2640,10;12
2670,10;19
2700,10;1
2730,10;3
2760,10;20
2790,10;0
2820,10;0
2850,10;12
2880,10;44
2910,10;1
2940,10;0
2970,10;55
3000,10;12
3030,10;8
3060,10;22
3090,10;14
3120,10;30
3150,10;73
3180,10;11
3210,10;25
3240,10;72
3270,10;8
3300,10;29
3330,10;34
3360,10;52
3390,10;24
3420,10;1
3450,10;58
3480,10;40
3510,10;22
3540,10;38
3570,10;24
3600,10;25
3630,10;25
3660,10;10
3690,10;57
3720,10;44
3750,10;32
3780,10;35
3810,10;21
3840,10;54
3870,10;18
3900,10;10
3930,10;52
3960,10;20
3990,10;10
4020,10;25
4050,10;16
4080,10;30
4110,10;23
4140,10;9
4170,10;33
4200,10;13
4230,10;2
4260,10;17
4290,10;1
4320,10;21
4350,10;17
4380,10;0
4410,10;6
4440,10;9
4470,10;0
4500,10;6
4530,10;4
4560,10;8
4590,10;8
4620,10;15
4650,10;5
4680,10;8
4710,10;18
4740,10;5
4770,10;5
4800,10;30
4830,10;7
4860,10;0
4890,10;17
4920,10;17
4950,10;4
4980,10;14
5010,10;22
5040,10;0
5070,10;2
5100,10;31
5130,10;5
5160,10;7
5190,10;36
5220,10;1
5250,10;8
5280,10;27
5310,10;1
5340,10;16
5370,10;22
5400,10;35
5430,10;9
5460,10;8
5490,10;52
5520,10;6
5550,10;0
5580,10;33
5610,10;0
5640,10;3
5670,10;29
5700,10;1
5730,10;9
5760,10;25
5790,10;1
5820,10;4
5850,10;23
5880,10;0
5910,10;0
5940,10;14
5970,10;0
6000,10;0
6030,10;11
6060,10;0
6090,10;0
6120,10;10
6150,10;4
6180,10;1
6210,10;7
6240,10;7
6270,10;0
6300,10;3
6330,10;5
6360,10;0
6390,10;0
6420,10;1
6450,10;5
6480,10;0
6510,10;1
6540,10;5
6570,10;0
6600,10;15
6630,10;3
6660,10;11
6690,10;12
6720,10;0
6750,10;5
6780,10;7
6810,10;0
6840,10;6
6870,10;4
6900,10;21
6930,10;20
6960,10;2
6990,10;11
7020,10;37
7050,10;4
7080,10;7
7110,10;22
7140,10;4
7170,10;9
7200,10;17
7230,10;10
7260,10;7
7290,10;12
7320,10;12
7350,10;9
7380,10;9
7410,10;16
7440,10;2
7470,10;15
7500,10;14
7530,10;0
7560,10;25
7590,10;17
7620,10;9
7650,10;12
7680,10;19
7710,10;23
7740,10;16
7770,10;17
7800,10;26
7830,10;35
7860,10;22
7890,10;12
7920,10;36
7950,10;32
7980,10;9
8010,10;30
8040,10;63
8070,10;7
8100,10;19
8130,10;58
8160,10;18
8190,10;23
8220,10;51
8250,10;18
8280,10;57
8310,10;22
8340,10;29
8370,10;67
8400,10;12
8430,10;29
8460,10;76
8490,10;13
8520,10;34
8550,10;57
8580,10;13
8610,10;37
8640,10;49
8670,10;24
8700,10;34
8730,10;18
8760,10;50
8790,10;21
8820,10;9
8850,10;29
8880,10;9
8910,10;0
8940,10;4
8970,10;0
9000,10;1
9030,10;2
9060,10;2
9090,10;0
9120,10;2
9150,10;0
9180,10;1
9210,10;1
9240,10;4
9270,10;0
9300,10;14
9330,10;3
9360,10;13
9390,10;5
9420,10;2
9450,10;15
9480,10;7
9510,10;1
9540,10;6
9570,10;5
9600,10;1
9630,10;6
9660,10;3
9690,10;0
9720,10;0
9750,10;7
9780,10;8
9810,10;0
9840,10;2
9870,10;4
9900,10;9
9930,10;0
9960,10;0
9990,10;31
10020,10;0
10050,10;1
10080,10;44
10110,10;0
10140,10;1
10170,10;31
10200,10;0
10230,10;0
10260,10;19
10290,10;2
10320,10;7
10350,10;20
10380,10;0
10410,10;0
10440,10;11
10470,10;0
10500,10;0
10530,10;7
10560,10;9
10590,10;0
10620,10;1
10650,10;6
10680,10;0
10710,10;2
10740,10;3
10770,10;0
10800,10;5
10830,10;0
10860,10;6
10890,10;5
10920,10;1
10950,10;7
10980,10;3
11010,10;14
11040,10;27
11070,10;0
11100,10;2
11130,10;20
11160,10;10
11190,10;0
11220,10;3
11250,10;10
11280,10;9
11310,10;0
11340,10;4
11370,10;12
11400,10;6
11430,10;3
11460,10;7
11490,10;13
11520,10;5
11550,10;0
11580,10;11
11610,10;0
11640,10;2
11670,10;2
11700,10;0
11730,10;0
11760,10;14
11790,10;0
11820,10;2
11850,10;18
11880,10;3
11910,10;3
11940,10;14
11970,10;0
12000,10;0
12030,10;7
12060,10;0
12090,10;0
12120,10;2
12150,10;0
12180,10;1
12210,10;1
12240,10;0
12270,10;0
12300,10;2
12330,10;1
12360,10;1
12390,10;1
12420,10;0
12450,10;4
12480,10;0
12510,10;0
12540,10;8
12570,10;1
12600,10;2
12630,10;4
12660,10;0
12690,10;3
12720,10;23
12750,10;0
12780,10;1
12810,10;27
12840,10;0
12870,10;1
12900,10;10
12930,10;0
12960,10;0
12990,10;16
13020,10;0
13050,10;0
13080,10;9
13110,10;1
13140,10;0
13170,10;8
13200,10;0
13230,10;7
13260,10;1
13290,10;0
13320,10;10
13350,10;0
13380,10;0
13410,10;10
13440,10;11
13470,10;1
13500,10;17
13530,10;17
13560,10;0
13590,10;1
13620,10;22
13650,10;0
13680,10;0
13710,10;18
13740,10;1
13770,10;0
13800,10;16
13830,10;0
13860,10;0
13890,10;13
13920,10;6
13950,10;0
13980,10;6
14010,10;11
14040,10;0
14070,10;2
14100,10;22
14130,10;0
14160,10;0
14190,10;15
14220,10;1
14250,10;0
14280,10;19
14310,10;0
14340,10;0
14370,10;15
14400,10;0
14430,10;0
14460,10;10
14490,10;0
14520,10;0
14550,10;10
14580,10;0
14610,10;0
14640,10;10
14670,10;0
14700,10;0
14730,10;10
14760,10;0
14790,10;0
14820,10;10
14850,10;0
14880,10;0
14910,10;10
14940,10;0
14970,10;0
15000,10;17
15030,10;0
15060,10;0
15090,10;17
15120,10;0
15150,10;1
15180,10;16
15210,10;0
15240,10;1
15270,10;14
15300,10;0
15330,10;0
15360,10;16
15390,10;0
15420,10;2
15450,10;14
15480,10;0
15510,10;1
15540,10;10
15570,10;0
15600,10;0
15630,10;3
15660,10;0
15690,10;0
15720,10;4
15750,10;0
15780,10;0
15810,10;4
15840,10;0
15870,10;0
15900,10;3
15930,10;0
15960,10;0
15990,10;3
16020,10;0
16050,10;0
16080,10;3
16110,10;0
16140,10;0
16170,10;3
16200,10;0
16230,10;0
16260,10;3
16290,10;0
16320,10;0
16350,10;3
16380,10;0
16410,10;0
16440,10;2
16470,10;0
16500,10;0
16530,10;2
16560,10;10
16590,10;0
16620,10;0
16650,10;12
16680,10;0
16710,10;1
16740,10;11
16770,10;0
16800,10;0
16830,10;11
16860,10;12
16890,10;0
16920,10;22
16950,10;12
16980,10;0
17010,10;18
17040,10;16
17070,10;0
17100,10;14
17130,10;12
17160,10;20
17190,10;12
17220,10;1
17250,10;19
17280,10;26
