time;num_of_active_hosts
30,10;800
60,10;800
90,10;800
120,10;490
150,10;490
180,10;490
210,10;490
240,10;467
270,10;467
300,10;467
330,10;467
360,10;467
390,10;467
420,10;467
450,10;457
480,10;453
510,10;453
540,10;453
570,10;453
600,10;453
630,10;448
660,10;448
690,10;448
720,10;439
750,10;438
780,10;436
810,10;435
840,10;434
870,10;433
900,10;433
930,10;428
960,10;425
990,10;425
1020,10;424
1050,10;424
1080,10;424
1110,10;424
1140,10;423
1170,10;423
1200,10;423
1230,10;423
1260,10;423
1290,10;423
1320,10;423
1350,10;423
1380,10;423
1410,10;417
1440,10;417
1470,10;417
1500,10;417
1530,10;417
1560,10;417
1590,10;417
1620,10;417
1650,10;417
1680,10;417
1710,10;417
1740,10;417
1770,10;417
1800,10;417
1830,10;417
1860,10;417
1890,10;417
1920,10;417
1950,10;417
1980,10;417
2010,10;417
2040,10;414
2070,10;414
2100,10;414
2130,10;414
2160,10;414
2190,10;414
2220,10;414
2250,10;414
2280,10;414
2310,10;413
2340,10;412
2370,10;412
2400,10;412
2430,10;412
2460,10;412
2490,10;412
2520,10;412
2550,10;412
2580,10;412
2610,10;412
2640,10;412
2670,10;412
2700,10;412
2730,10;412
2760,10;412
2790,10;412
2820,10;412
2850,10;412
2880,10;412
2910,10;412
2940,10;412
2970,10;412
3000,10;412
3030,10;412
3060,10;412
3090,10;412
3120,10;412
3150,10;412
3180,10;412
3210,10;412
3240,10;412
3270,10;412
3300,10;412
3330,10;411
3360,10;411
3390,10;411
3420,10;411
3450,10;411
3480,10;411
3510,10;411
3540,10;411
3570,10;411
3600,10;411
3630,10;411
3660,10;411
3690,10;411
3720,10;411
3750,10;411
3780,10;411
3810,10;411
3840,10;411
3870,10;411
3900,10;411
3930,10;411
3960,10;409
3990,10;406
4020,10;405
4050,10;405
4080,10;405
4110,10;405
4140,10;405
4170,10;405
4200,10;405
4230,10;405
4260,10;405
4290,10;405
4320,10;405
4350,10;405
4380,10;405
4410,10;405
4440,10;405
4470,10;405
4500,10;405
4530,10;405
4560,10;405
4590,10;405
4620,10;405
4650,10;405
4680,10;405
4710,10;405
4740,10;405
4770,10;405
4800,10;405
4830,10;405
4860,10;405
4890,10;405
4920,10;405
4950,10;405
4980,10;405
5010,10;405
5040,10;405
5070,10;405
5100,10;405
5130,10;405
5160,10;405
5190,10;405
5220,10;405
5250,10;405
5280,10;405
5310,10;405
5340,10;405
5370,10;405
5400,10;405
5430,10;405
5460,10;405
5490,10;405
5520,10;404
