migration_time;num_of_mig_cum
30,10;851
60,10;991
90,10;991
120,10;1767
150,10;1769
180,10;1770
210,10;2167
240,10;2498
270,10;2528
300,10;2779
330,10;2965
360,10;3016
390,10;3201
420,10;3286
450,10;3292
480,10;3361
510,10;3375
540,10;3378
570,10;3385
600,10;3415
630,10;3457
660,10;3470
690,10;3499
720,10;3630
750,10;3644
780,10;3774
810,10;3797
840,10;3899
870,10;3966
900,10;4025
930,10;4056
960,10;4093
990,10;4240
1020,10;4255
1050,10;4268
1080,10;4395
1110,10;4447
1140,10;4475
1170,10;4524
1200,10;4582
1230,10;4640
1260,10;4659
1290,10;4687
1320,10;4739
1350,10;4749
1380,10;4772
1410,10;4854
1440,10;4865
1470,10;4882
1500,10;4975
1530,10;4985
1560,10;5030
1590,10;5094
1620,10;5096
1650,10;5121
1680,10;5218
1710,10;5220
1740,10;5226
1770,10;5284
1800,10;5305
1830,10;5308
1860,10;5352
1890,10;5370
1920,10;5390
1950,10;5405
1980,10;5446
2010,10;5447
2040,10;5447
2070,10;5453
2100,10;5473
2130,10;5473
2160,10;5473
2190,10;5496
2220,10;5503
2250,10;5503
2280,10;5520
2310,10;5522
2340,10;5547
2370,10;5547
2400,10;5548
2430,10;5570
2460,10;5575
2490,10;5576
2520,10;5612
2550,10;5616
2580,10;5662
2610,10;5673
2640,10;5712
2670,10;5739
2700,10;5755
2730,10;5785
2760,10;5813
2790,10;5828
2820,10;5848
2850,10;5872
2880,10;5896
2910,10;5911
2940,10;5940
2970,10;5960
3000,10;5966
3030,10;5977
3060,10;5993
3090,10;6002
3120,10;6023
3150,10;6059
3180,10;6063
3210,10;6075
3240,10;6114
3270,10;6120
3300,10;6160
3330,10;6229
3360,10;6229
3390,10;6252
3420,10;6313
3450,10;6315
3480,10;6341
3510,10;6387
3540,10;6396
3570,10;6424
3600,10;6453
3630,10;6461
3660,10;6486
3690,10;6505
3720,10;6550
3750,10;6586
3780,10;6588
3810,10;6602
3840,10;6655
3870,10;6659
3900,10;6688
3930,10;6733
3960,10;6773
3990,10;6819
4020,10;6840
4050,10;6865
4080,10;6952
4110,10;6964
4140,10;6980
4170,10;7029
4200,10;7033
4230,10;7041
4260,10;7058
4290,10;7058
4320,10;7059
4350,10;7073
4380,10;7073
4410,10;7073
4440,10;7077
4470,10;7077
4500,10;7077
4530,10;7082
4560,10;7082
4590,10;7103
4620,10;7103
4650,10;7104
4680,10;7130
4710,10;7139
4740,10;7140
4770,10;7153
4800,10;7161
4830,10;7162
4860,10;7166
4890,10;7168
4920,10;7172
4950,10;7174
4980,10;7175
5010,10;7177
5040,10;7178
5070,10;7194
5100,10;7194
5130,10;7196
5160,10;7204
5190,10;7209
5220,10;7209
5250,10;7212
5280,10;7216
5310,10;7216
5340,10;7217
5370,10;7218
5400,10;7219
5430,10;7219
5460,10;7232
5490,10;7232
5520,10;7255
5550,10;7258
5580,10;7262
5610,10;7274
5640,10;7277
5670,10;7277
5700,10;7280
5730,10;7280
5760,10;7287
5790,10;7287
5820,10;7287
5850,10;7291
5880,10;7316
5910,10;7316
5940,10;7316
5970,10;7328
6000,10;7366
6030,10;7366
6060,10;7395
6090,10;7420
6120,10;7420
6150,10;7442
6180,10;7466
6210,10;7468
6240,10;7483
6270,10;7509
6300,10;7521
6330,10;7524
6360,10;7539
6390,10;7542
6420,10;7546
6450,10;7550
6480,10;7551
6510,10;7555
6540,10;7557
6570,10;7557
6600,10;7559
6630,10;7561
6660,10;7561
6690,10;7564
6720,10;7566
6750,10;7566
6780,10;7583
6810,10;7589
6840,10;7589
6870,10;7598
6900,10;7612
6930,10;7612
6960,10;7612
6990,10;7627
7020,10;7627
7050,10;7627
7080,10;7638
7110,10;7639
7140,10;7639
7170,10;7644
7200,10;7653
7230,10;7653
7260,10;7655
7290,10;7666
7320,10;7683
7350,10;7692
7380,10;7697
7410,10;7710
7440,10;7724
7470,10;7731
7500,10;7742
7530,10;7754
7560,10;7784
7590,10;7794
7620,10;7795
7650,10;7817
7680,10;7840
7710,10;7844
7740,10;7865
7770,10;7891
7800,10;7896
7830,10;7916
7860,10;7922
7890,10;7924
7920,10;7951
7950,10;7952
7980,10;7971
8010,10;7995
8040,10;7995
8070,10;8015
8100,10;8053
8130,10;8066
8160,10;8077
8190,10;8100
8220,10;8131
8250,10;8140
8280,10;8199
8310,10;8228
8340,10;8228
8370,10;8266
8400,10;8313
8430,10;8318
8460,10;8378
8490,10;8437
8520,10;8442
8550,10;8495
8580,10;8548
8610,10;8557
8640,10;8635
8670,10;8666
8700,10;8677
8730,10;8746
8760,10;8768
8790,10;8769
8820,10;8817
8850,10;8846
8880,10;8849
8910,10;8862
8940,10;8879
8970,10;8879
9000,10;8882
9030,10;8887
9060,10;8887
9090,10;8887
9120,10;8892
9150,10;8892
9180,10;8894
9210,10;8898
9240,10;8902
9270,10;8903
9300,10;8909
9330,10;8909
9360,10;8911
9390,10;8913
9420,10;8914
9450,10;8915
9480,10;8917
9510,10;8921
9540,10;8921
9570,10;8932
9600,10;8934
9630,10;8934
9660,10;8957
9690,10;8957
9720,10;8964
9750,10;8981
9780,10;8981
9810,10;8986
9840,10;8996
9870,10;8997
9900,10;9004
9930,10;9010
9960,10;9028
9990,10;9030
10020,10;9030
10050,10;9041
10080,10;9041
10110,10;9041
10140,10;9052
10170,10;9052
10200,10;9052
10230,10;9062
10260,10;9065
10290,10;9077
10320,10;9086
10350,10;9087
10380,10;9098
10410,10;9100
10440,10;9100
10470,10;9106
10500,10;9119
10530,10;9123
10560,10;9124
10590,10;9133
10620,10;9140
10650,10;9140
10680,10;9143
10710,10;9156
10740,10;9156
10770,10;9158
10800,10;9171
10830,10;9171
10860,10;9172
10890,10;9183
10920,10;9183
10950,10;9183
10980,10;9193
11010,10;9193
11040,10;9196
11070,10;9206
11100,10;9206
11130,10;9208
11160,10;9227
11190,10;9228
11220,10;9228
11250,10;9240
11280,10;9241
11310,10;9243
11340,10;9257
11370,10;9270
11400,10;9284
11430,10;9287
11460,10;9291
11490,10;9304
11520,10;9306
11550,10;9306
11580,10;9311
11610,10;9312
11640,10;9328
11670,10;9328
11700,10;9328
11730,10;9343
11760,10;9343
11790,10;9343
11820,10;9354
11850,10;9355
11880,10;9355
11910,10;9365
11940,10;9366
11970,10;9366
12000,10;9373
12030,10;9373
12060,10;9373
12090,10;9378
12120,10;9378
12150,10;9378
12180,10;9382
12210,10;9382
12240,10;9382
12270,10;9385
12300,10;9386
12330,10;9386
12360,10;9389
12390,10;9390
12420,10;9390
12450,10;9392
12480,10;9394
12510,10;9402
12540,10;9404
12570,10;9405
12600,10;9413
12630,10;9415
12660,10;9431
12690,10;9434
12720,10;9460
12750,10;9469
12780,10;9469
12810,10;9496
12840,10;9512
12870,10;9512
12900,10;9527
12930,10;9544
12960,10;9544
12990,10;9557
13020,10;9572
13050,10;9583
13080,10;9602
13110,10;9613
13140,10;9622
13170,10;9638
13200,10;9644
13230,10;9653
13260,10;9661
13290,10;9665
13320,10;9682
13350,10;9687
13380,10;9691
13410,10;9711
13440,10;9718
13470,10;9719
13500,10;9730
13530,10;9732
13560,10;9732
13590,10;9733
13620,10;9733
13650,10;9733
13680,10;9733
13710,10;9733
13740,10;9733
13770,10;9737
13800,10;9737
13830,10;9737
13860,10;9739
13890,10;9739
13920,10;9739
13950,10;9751
13980,10;9751
14010,10;9751
14040,10;9759
14070,10;9759
14100,10;9759
14130,10;9765
14160,10;9774
14190,10;9775
14220,10;9782
14250,10;9787
14280,10;9788
14310,10;9790
14340,10;9790
14370,10;9790
14400,10;9790
14430,10;9790
14460,10;9794
14490,10;9794
14520,10;9794
14550,10;9795
14580,10;9795
14610,10;9795
14640,10;9795
14670,10;9795
14700,10;9795
14730,10;9795
14760,10;9797
14790,10;9797
14820,10;9798
14850,10;9798
14880,10;9798
14910,10;9798
14940,10;9800
14970,10;9800
15000,10;9800
15030,10;9803
15060,10;9803
15090,10;9803
15120,10;9803
15150,10;9805
15180,10;9805
15210,10;9805
15240,10;9813
15270,10;9813
15300,10;9813
15330,10;9819
15360,10;9819
15390,10;9819
15420,10;9824
15450,10;9824
15480,10;9825
15510,10;9831
15540,10;9831
15570,10;9831
15600,10;9832
15630,10;9832
15660,10;9854
15690,10;9854
15720,10;9861
15750,10;9874
15780,10;9875
15810,10;9883
15840,10;9894
15870,10;9894
15900,10;9895
15930,10;9903
15960,10;9903
15990,10;9915
16020,10;9919
16050,10;9921
16080,10;9932
16110,10;9935
16140,10;9935
16170,10;9938
16200,10;9938
16230,10;9940
16260,10;9948
16290,10;9948
16320,10;9948
16350,10;9954
16380,10;9971
16410,10;9971
16440,10;9973
16470,10;9986
16500,10;9986
16530,10;9986
16560,10;10008
16590,10;10008
16620,10;10008
16650,10;10029
16680,10;10029
16710,10;10032
16740,10;10053
16770,10;10055
16800,10;10055
16830,10;10065
16860,10;10065
16890,10;10065
16920,10;10069
16950,10;10074
16980,10;10074
17010,10;10074
17040,10;10075
17070,10;10075
17100,10;10076
17130,10;10079
17160,10;10079
17190,10;10079
17220,10;10080
17250,10;10080
17280,10;10089
