time;num_of_active_hosts_new
300,10;800
600,10;134
900,10;67
1200,10;81
1500,10;90
1800,10;110
2100,10;80
2400,10;96
2700,10;79
3000,10;103
3300,10;94
3600,10;86
3900,10;70
4200,10;105
4500,10;83
4800,10;91
5100,10;66
5400,10;72
5700,10;90
6000,10;74
6300,10;95
6600,10;59
6900,10;71
7200,10;66
7500,10;101
7800,10;89
8100,10;90
8400,10;68
8700,10;66
9000,10;66
9300,10;93
9600,10;90
9900,10;66
10200,10;58
10500,10;74
10800,10;75
11100,10;56
11400,10;73
11700,10;82
12000,10;62
12300,10;74
12600,10;63
12900,10;65
13200,10;75
13500,10;57
13800,10;63
14100,10;76
14400,10;73
14700,10;78
15000,10;70
15300,10;69
15600,10;98
15900,10;52
16200,10;71
16500,10;87
16800,10;62
17100,10;76
17400,10;84
17700,10;69
18000,10;76
18300,10;76
18600,10;67
18900,10;76
19200,10;59
19500,10;83
19800,10;95
20100,10;62
20400,10;86
20700,10;67
21000,10;89
21300,10;67
21600,10;68
21900,10;82
22200,10;55
22500,10;97
22800,10;78
23100,10;77
23400,10;64
23700,10;93
24000,10;58
24300,10;74
24600,10;82
24900,10;70
25200,10;75
25500,10;69
25800,10;72
26100,10;60
26400,10;92
26700,10;65
27000,10;75
27300,10;79
27600,10;74
27900,10;59
28200,10;78
28500,10;98
28800,10;65
29100,10;77
29400,10;66
29700,10;62
30000,10;64
30300,10;85
30600,10;72
30900,10;61
31200,10;67
31500,10;70
31800,10;55
32100,10;82
32400,10;67
32700,10;86
33000,10;51
33300,10;76
33600,10;68
33900,10;73
34200,10;71
34500,10;59
34800,10;87
35100,10;52
35400,10;76
35700,10;76
36000,10;83
36300,10;57
36600,10;63
36900,10;79
37200,10;59
37500,10;76
37800,10;64
38100,10;61
38400,10;72
38700,10;68
39000,10;75
39300,10;69
39600,10;75
39900,10;64
40200,10;69
40500,10;89
40800,10;65
41100,10;64
41400,10;89
41700,10;64
42000,10;90
42300,10;64
42600,10;90
42900,10;63
43200,10;92
43500,10;70
43800,10;79
44100,10;77
44400,10;67
44700,10;64
45000,10;76
45300,10;83
45600,10;70
45900,10;74
46200,10;71
46500,10;60
46800,10;83
47100,10;64
47400,10;81
47700,10;71
48000,10;74
48300,10;67
48600,10;71
48900,10;75
49200,10;68
49500,10;73
49800,10;87
50100,10;73
50400,10;71
50700,10;78
51000,10;73
51300,10;83
51600,10;81
51900,10;80
52200,10;65
52500,10;86
52800,10;67
53100,10;82
53400,10;62
53700,10;69
54000,10;76
54300,10;66
54600,10;87
54900,10;79
55200,10;69
55500,10;73
55800,10;82
56100,10;72
56400,10;79
56700,10;81
57000,10;60
57300,10;84
57600,10;67
57900,10;64
58200,10;77
58500,10;68
58800,10;69
59100,10;69
59400,10;64
59700,10;78
60000,10;70
60300,10;69
60600,10;87
60900,10;71
61200,10;68
61500,10;72
61800,10;73
62100,10;74
62400,10;66
62700,10;79
63000,10;62
63300,10;75
63600,10;53
63900,10;64
64200,10;64
64500,10;79
64800,10;63
65100,10;79
65400,10;83
65700,10;73
66000,10;64
66300,10;60
66600,10;85
66900,10;52
67200,10;65
67500,10;78
67800,10;81
68100,10;59
68400,10;68
68700,10;67
69000,10;72
69300,10;67
69600,10;73
69900,10;64
70200,10;63
70500,10;61
70800,10;87
71100,10;53
71400,10;75
71700,10;61
72000,10;68
72300,10;55
72600,10;75
72900,10;52
73200,10;52
73500,10;80
73800,10;67
74100,10;68
74400,10;57
74700,10;63
75000,10;59
75300,10;56
75600,10;73
75900,10;74
76200,10;61
76500,10;56
76800,10;55
77100,10;93
77400,10;53
77700,10;101
78000,10;52
78300,10;72
78600,10;53
78900,10;66
79200,10;79
79500,10;55
79800,10;62
80100,10;58
80400,10;55
80700,10;71
81000,10;61
81300,10;54
81600,10;57
81900,10;69
82200,10;78
82500,10;54
82800,10;46
83100,10;70
83400,10;57
83700,10;84
84000,10;47
84300,10;59
84600,10;48
84900,10;59
85200,10;52
85500,10;78
85800,10;52
86100,10;68
