time;num_of_active_hosts_new
300,10;800
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;91
3000,10;81
3300,10;72
3600,10;69
3900,10;61
4200,10;63
4500,10;64
4800,10;73
5100,10;58
5400,10;67
5700,10;80
6000,10;72
6300,10;82
6600,10;69
6900,10;68
7200,10;68
7500,10;92
7800,10;103
8100,10;79
8400,10;63
8700,10;65
9000,10;66
9300,10;98
9600,10;86
9900,10;57
10200,10;60
10500,10;73
10800,10;63
11100,10;61
11400,10;88
11700,10;86
12000,10;58
12300,10;70
12600,10;70
12900,10;70
13200,10;67
13500,10;58
13800,10;75
14100,10;64
14400,10;64
14700,10;90
15000,10;60
15300,10;65
15600,10;99
15900,10;48
16200,10;67
16500,10;91
16800,10;65
17100,10;62
17400,10;84
17700,10;58
18000,10;66
18300,10;60
18600,10;67
18900,10;71
19200,10;58
19500,10;76
19800,10;86
20100,10;57
20400,10;60
20700,10;62
21000,10;84
21300,10;65
21600,10;74
21900,10;79
22200,10;56
22500,10;80
22800,10;74
23100,10;66
23400,10;57
23700,10;87
24000,10;58
24300,10;78
24600,10;72
24900,10;63
25200,10;81
25500,10;64
25800,10;67
26100,10;66
26400,10;95
26700,10;56
27000,10;68
27300,10;72
27600,10;75
27900,10;62
28200,10;80
28500,10;105
28800,10;63
29100,10;70
29400,10;69
29700,10;79
30000,10;62
30300,10;68
30600,10;75
30900,10;62
31200,10;70
31500,10;67
31800,10;58
32100,10;85
32400,10;76
32700,10;87
33000,10;77
33300,10;65
33600,10;72
33900,10;79
34200,10;65
34500,10;56
34800,10;94
35100,10;79
35400,10;70
35700,10;77
36000,10;94
36300,10;57
36600,10;57
36900,10;90
37200,10;76
37500,10;61
37800,10;66
38100,10;75
38400,10;73
38700,10;65
39000,10;73
39300,10;74
39600,10;73
39900,10;57
40200,10;90
40500,10;85
40800,10;62
41100,10;76
41400,10;77
41700,10;61
42000,10;86
42300,10;78
42600,10;69
42900,10;64
43200,10;74
43500,10;73
43800,10;77
44100,10;69
44400,10;68
44700,10;77
45000,10;69
45300,10;88
45600,10;70
45900,10;66
46200,10;74
46500,10;55
46800,10;94
47100,10;61
47400,10;72
47700,10;71
48000,10;84
48300,10;74
48600,10;60
48900,10;88
49200,10;56
49500,10;70
49800,10;76
50100,10;70
50400,10;67
50700,10;77
51000,10;63
51300,10;79
51600,10;66
51900,10;78
52200,10;60
52500,10;76
52800,10;62
53100,10;68
53400,10;68
53700,10;64
54000,10;83
54300,10;77
54600,10;68
54900,10;68
55200,10;72
55500,10;70
55800,10;71
56100,10;65
56400,10;75
56700,10;76
57000,10;60
57300,10;69
57600,10;73
57900,10;61
58200,10;83
58500,10;73
58800,10;63
59100,10;64
59400,10;66
59700,10;69
60000,10;76
60300,10;72
60600,10;72
60900,10;74
61200,10;64
61500,10;69
61800,10;67
62100,10;82
62400,10;71
62700,10;67
63000,10;71
63300,10;82
63600,10;54
63900,10;67
64200,10;66
64500,10;84
64800,10;64
65100,10;56
65400,10;88
65700,10;69
66000,10;62
66300,10;64
66600,10;78
66900,10;52
67200,10;52
67500,10;75
67800,10;75
68100,10;58
68400,10;57
68700,10;63
69000,10;82
69300,10;74
69600,10;60
69900,10;50
70200,10;65
70500,10;63
70800,10;81
71100,10;61
71400,10;73
71700,10;67
72000,10;64
72300,10;51
72600,10;77
72900,10;61
73200,10;58
73500,10;81
73800,10;83
74100,10;59
74400,10;48
74700,10;57
75000,10;74
75300,10;50
75600,10;71
75900,10;91
76200,10;58
76500,10;48
76800,10;57
77100,10;114
77400,10;70
77700,10;60
78000,10;54
78300,10;54
78600,10;46
78900,10;77
79200,10;87
79500,10;53
79800,10;60
80100,10;74
80400,10;63
80700,10;54
81000,10;74
81300,10;52
81600,10;37
81900,10;74
82200,10;94
82500,10;51
82800,10;45
83100,10;66
83400,10;48
83700,10;73
84000,10;55
84300,10;50
84600,10;44
84900,10;71
85200,10;59
85500,10;69
85800,10;51
86100,10;62
