migration_time;num_of_mig_cum
300,10;458
600,10;782
900,10;1041
1200,10;1241
1500,10;1405
1800,10;1551
2100,10;1693
2400,10;1808
2700,10;1908
3000,10;2034
3300,10;2123
3600,10;2261
3900,10;2385
4200,10;2641
4500,10;2837
4800,10;3184
5100,10;3403
5400,10;3657
5700,10;3906
6000,10;4161
6300,10;4438
6600,10;4598
6900,10;4827
7200,10;5029
7500,10;5351
7800,10;5608
8100,10;5858
8400,10;6042
8700,10;6194
9000,10;6360
9300,10;6617
9600,10;6907
9900,10;7063
10200,10;7220
10500,10;7508
10800,10;7731
11100,10;7902
11400,10;8195
11700,10;8436
12000,10;8593
12300,10;8874
12600,10;9076
12900,10;9273
13200,10;9617
13500,10;9865
13800,10;10080
14100,10;10401
14400,10;10571
14700,10;10916
15000,10;11053
15300,10;11290
15600,10;11572
15900,10;11661
16200,10;11889
16500,10;12179
16800,10;12396
17100,10;12655
17400,10;12866
17700,10;13050
18000,10;13347
18300,10;13567
18600,10;13750
18900,10;13977
19200,10;14133
19500,10;14363
19800,10;14634
20100,10;14767
20400,10;15071
20700,10;15211
21000,10;15489
21300,10;15639
21600,10;15810
21900,10;16061
22200,10;16205
22500,10;16474
22800,10;16738
23100,10;16936
23400,10;17066
23700,10;17343
24000,10;17457
24300,10;17634
24600,10;17885
24900,10;18046
25200,10;18216
25500,10;18464
25800,10;18638
26100,10;18830
26400,10;19088
26700,10;19225
27000,10;19436
27300,10;19619
27600,10;19831
27900,10;20002
28200,10;20211
28500,10;20499
28800,10;20677
29100,10;20936
29400,10;21111
29700,10;21269
30000,10;21408
30300,10;21526
30600,10;21707
30900,10;21829
31200,10;22017
31500,10;22211
31800,10;22345
32100,10;22699
32400,10;22874
32700,10;23203
33000,10;23341
33300,10;23551
33600,10;23782
33900,10;23933
34200,10;24079
34500,10;24170
34800,10;24434
35100,10;24578
35400,10;24811
35700,10;24984
36000,10;25268
36300,10;25421
36600,10;25576
36900,10;25815
37200,10;25944
37500,10;26206
37800,10;26400
38100,10;26620
38400,10;26834
38700,10;27002
39000,10;27201
39300,10;27403
39600,10;27642
39900,10;27764
40200,10;27979
40500,10;28221
40800,10;28349
41100,10;28581
41400,10;28810
41700,10;28937
42000,10;29216
42300,10;29360
42600,10;29567
42900,10;29718
43200,10;29926
43500,10;30096
43800,10;30302
44100,10;30461
44400,10;30641
44700,10;30792
45000,10;30931
45300,10;31129
45600,10;31300
45900,10;31467
46200,10;31670
46500,10;31816
46800,10;32064
47100,10;32199
47400,10;32399
47700,10;32577
48000,10;32738
48300,10;32921
48600,10;33126
48900,10;33377
49200,10;33493
49500,10;33746
49800,10;34017
50100,10;34179
50400,10;34377
50700,10;34538
51000,10;34636
51300,10;34842
51600,10;34987
51900,10;35107
52200,10;35210
52500,10;35390
52800,10;35536
53100,10;35760
53400,10;35949
53700,10;36151
54000,10;36379
54300,10;36535
54600,10;36729
54900,10;36881
55200,10;37013
55500,10;37144
55800,10;37324
56100,10;37478
56400,10;37736
56700,10;37993
57000,10;38135
57300,10;38353
57600,10;38509
57900,10;38722
58200,10;38985
58500,10;39123
58800,10;39316
59100,10;39512
59400,10;39675
59700,10;39873
60000,10;40089
60300,10;40274
60600,10;40550
60900,10;40695
61200,10;40834
61500,10;41017
61800,10;41185
62100,10;41426
62400,10;41576
62700,10;41794
63000,10;41977
63300,10;42241
63600,10;42347
63900,10;42495
64200,10;42712
64500,10;42954
64800,10;43113
65100,10;43295
65400,10;43466
65700,10;43661
66000,10;43876
66300,10;44027
66600,10;44308
66900,10;44441
67200,10;44612
67500,10;44827
67800,10;45049
68100,10;45197
68400,10;45400
68700,10;45608
69000,10;45894
69300,10;46046
69600,10;46263
69900,10;46445
70200,10;46650
70500,10;46818
70800,10;47099
71100,10;47191
71400,10;47504
71700,10;47592
72000,10;47851
72300,10;48010
72600,10;48319
72900,10;48494
73200,10;48665
73500,10;48962
73800,10;49161
74100,10;49323
74400,10;49486
74700,10;49638
75000,10;49877
75300,10;50025
75600,10;50236
75900,10;50538
76200,10;50663
76500,10;50903
76800,10;51131
77100,10;51537
77400,10;51657
77700,10;51981
78000,10;52144
78300,10;52401
78600,10;52564
78900,10;52852
79200,10;53109
79500,10;53244
79800,10;53455
80100,10;53663
80400,10;53899
80700,10;54067
81000,10;54359
81300,10;54521
81600,10;54685
81900,10;54951
82200,10;55309
82500,10;55484
82800,10;55706
83100,10;56042
83400,10;56204
83700,10;56577
84000,10;56739
84300,10;57010
84600,10;57211
84900,10;57466
85200,10;57643
85500,10;57906
85800,10;58007
86100,10;58227
