migration_time;num_of_mig_cum
300,10;838
600,10;976
900,10;1050
1200,10;1108
1500,10;1177
1800,10;1245
2100,10;1299
2400,10;1356
2700,10;1415
3000,10;1470
3300,10;1537
3600,10;1610
3900,10;1666
4200,10;1731
4500,10;1788
4800,10;1831
5100,10;1882
5400,10;1938
5700,10;1992
6000,10;2053
6300,10;2091
6600,10;2127
6900,10;2177
7200,10;2218
7500,10;2264
7800,10;2321
8100,10;2369
8400,10;2411
8700,10;2440
9000,10;2475
9300,10;2520
9600,10;2589
9900,10;2627
10200,10;2670
10500,10;2718
10800,10;2758
11100,10;2794
11400,10;2828
11700,10;2874
12000,10;2914
12300,10;2951
12600,10;3004
12900,10;3036
13200,10;3081
13500,10;3129
13800,10;3169
14100,10;3198
14400,10;3249
14700,10;3298
15000,10;3362
15300,10;3408
15600,10;3473
15900,10;3516
16200,10;3563
16500,10;3614
16800,10;3652
17100,10;3702
17400,10;3747
17700,10;3811
18000,10;3853
18300,10;3894
18600,10;3926
18900,10;3958
19200,10;3998
19500,10;4045
19800,10;4089
20100,10;4133
20400,10;4169
20700,10;4202
21000,10;4236
21300,10;4273
21600,10;4313
21900,10;4358
22200,10;4406
22500,10;4451
22800,10;4515
23100,10;4561
23400,10;4608
23700,10;4660
24000,10;4704
24300,10;4746
24600,10;4792
24900,10;4825
25200,10;4866
25500,10;4902
25800,10;4940
26100,10;4984
26400,10;5026
26700,10;5057
27000,10;5101
27300,10;5162
27600,10;5206
27900,10;5266
28200,10;5336
28500,10;5388
28800,10;5432
29100,10;5504
29400,10;5535
29700,10;5569
30000,10;5601
30300,10;5645
30600,10;5705
30900,10;5736
31200,10;5779
31500,10;5812
31800,10;5858
32100,10;5902
32400,10;5946
32700,10;5987
33000,10;6026
33300,10;6062
33600,10;6103
33900,10;6151
34200,10;6200
34500,10;6241
34800,10;6273
35100,10;6322
35400,10;6365
35700,10;6402
36000,10;6436
36300,10;6476
36600,10;6522
36900,10;6559
37200,10;6598
37500,10;6641
37800,10;6683
38100,10;6727
38400,10;6774
38700,10;6826
39000,10;6870
39300,10;6927
39600,10;6965
39900,10;7004
40200,10;7047
40500,10;7083
40800,10;7119
41100,10;7165
41400,10;7192
41700,10;7237
42000,10;7267
42300,10;7295
42600,10;7337
42900,10;7377
43200,10;7414
43500,10;7456
43800,10;7497
44100,10;7537
44400,10;7577
44700,10;7610
45000,10;7640
45300,10;7681
45600,10;7722
45900,10;7763
46200,10;7802
46500,10;7852
46800,10;7913
47100,10;7952
47400,10;7989
47700,10;8020
48000,10;8061
48300,10;8096
48600,10;8133
48900,10;8170
49200,10;8201
49500,10;8250
49800,10;8288
50100,10;8326
50400,10;8361
50700,10;8388
51000,10;8429
51300,10;8476
51600,10;8518
51900,10;8557
52200,10;8601
52500,10;8637
52800,10;8676
53100,10;8708
53400,10;8745
53700,10;8800
54000,10;8836
54300,10;8882
54600,10;8919
54900,10;8973
55200,10;9024
55500,10;9059
55800,10;9093
56100,10;9141
56400,10;9194
56700,10;9233
57000,10;9271
57300,10;9307
57600,10;9346
57900,10;9378
58200,10;9418
58500,10;9459
58800,10;9489
59100,10;9523
59400,10;9551
59700,10;9588
60000,10;9643
60300,10;9692
60600,10;9724
60900,10;9757
61200,10;9801
61500,10;9843
61800,10;9873
62100,10;9912
62400,10;9951
62700,10;9984
63000,10;10021
63300,10;10059
63600,10;10096
63900,10;10129
64200,10;10170
64500,10;10211
64800,10;10249
65100,10;10289
65400,10;10322
65700,10;10351
66000,10;10385
66300,10;10430
66600,10;10480
66900,10;10519
67200,10;10552
67500,10;10590
67800,10;10632
68100,10;10675
68400,10;10716
68700,10;10750
69000,10;10783
69300,10;10820
69600,10;10863
69900,10;10900
70200,10;10933
70500,10;10975
70800,10;11010
71100,10;11061
71400,10;11109
71700,10;11150
72000,10;11182
72300,10;11213
72600,10;11245
72900,10;11266
73200,10;11292
73500,10;11327
73800,10;11366
74100,10;11397
74400,10;11442
74700,10;11482
75000,10;11518
75300,10;11558
75600,10;11601
75900,10;11646
76200,10;11673
76500,10;11698
76800,10;11733
77100,10;11793
77400,10;11844
77700,10;11889
78000,10;11933
78300,10;11980
78600,10;12033
78900,10;12072
79200,10;12118
79500,10;12157
79800,10;12197
80100,10;12231
80400,10;12264
80700,10;12300
81000,10;12345
81300,10;12374
81600,10;12419
81900,10;12462
82200,10;12493
82500,10;12513
82800,10;12552
83100,10;12584
83400,10;12616
83700,10;12665
84000,10;12690
84300,10;12731
84600,10;12762
84900,10;12795
85200,10;12837
85500,10;12875
85800,10;12909
86100,10;12934
