migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;98
2700,10;101
3000,10;89
3300,10;94
3600,10;93
3900,10;91
4200,10;92
4500,10;75
4800,10;76
5100,10;53
5400,10;66
5700,10;63
6000,10;82
6300,10;72
6600,10;66
6900,10;77
7200,10;91
7500,10;142
7800,10;123
8100,10;112
8400,10;52
8700,10;87
9000,10;67
9300,10;101
9600,10;71
9900,10;60
10200,10;65
10500,10;75
10800,10;72
11100,10;60
11400,10;83
11700,10;61
12000,10;71
12300,10;87
12600,10;82
12900,10;72
13200,10;82
13500,10;62
13800,10;87
14100,10;94
14400,10;82
14700,10;71
15000,10;58
15300,10;84
15600,10;98
15900,10;49
16200,10;108
16500,10;116
16800,10;59
17100,10;51
17400,10;80
17700,10;98
18000,10;85
18300,10;53
18600,10;93
18900,10;85
19200,10;62
19500,10;98
19800,10;99
20100,10;56
20400,10;52
20700,10;78
21000,10;100
21300,10;52
21600,10;117
21900,10;72
22200,10;46
22500,10;98
22800,10;57
23100,10;65
23400,10;55
23700,10;118
24000,10;56
24300,10;62
24600,10;77
24900,10;62
25200,10;88
25500,10;64
25800,10;81
26100,10;77
26400,10;96
26700,10;67
27000,10;62
27300,10;39
27600,10;95
27900,10;56
28200,10;111
28500,10;114
28800,10;53
29100,10;87
29400,10;62
29700,10;66
30000,10;83
30300,10;74
30600,10;80
30900,10;66
31200,10;54
31500,10;91
31800,10;87
32100,10;88
32400,10;56
32700,10;105
33000,10;48
33300,10;71
33600,10;60
33900,10;111
34200,10;67
34500,10;58
34800,10;58
35100,10;69
35400,10;98
35700,10;85
36000,10;78
36300,10;58
36600,10;67
36900,10;71
37200,10;54
37500,10;65
37800,10;63
38100,10;55
38400,10;68
38700,10;102
39000,10;103
39300,10;76
39600,10;98
39900,10;70
40200,10;99
40500,10;78
40800,10;77
41100,10;76
41400,10;106
41700,10;59
42000,10;96
42300,10;63
42600,10;92
42900,10;70
43200,10;65
43500,10;90
43800,10;68
44100,10;94
44400,10;72
44700,10;80
45000,10;69
45300,10;88
45600,10;71
45900,10;47
46200,10;84
46500,10;67
46800,10;110
47100,10;73
47400,10;84
47700,10;53
48000,10;42
48300,10;65
48600,10;60
48900,10;84
49200,10;55
49500,10;93
49800,10;83
50100,10;78
50400,10;79
50700,10;69
51000,10;70
51300,10;92
51600,10;52
51900,10;85
52200,10;61
52500,10;93
52800,10;50
53100,10;83
53400,10;74
53700,10;63
54000,10;96
54300,10;75
54600,10;74
54900,10;77
55200,10;88
55500,10;80
55800,10;77
56100,10;62
56400,10;74
56700,10;69
57000,10;43
57300,10;38
57600,10;84
57900,10;78
58200,10;82
58500,10;72
58800,10;91
59100,10;70
59400,10;54
59700,10;63
60000,10;51
60300,10;93
60600,10;99
60900,10;82
61200,10;66
61500,10;91
61800,10;64
62100,10;57
62400,10;58
62700,10;96
63000,10;69
63300,10;57
63600,10;78
63900,10;99
64200,10;80
64500,10;108
64800,10;59
65100,10;96
65400,10;83
65700,10;59
66000,10;63
66300,10;80
66600,10;71
66900,10;46
67200,10;57
67500,10;99
67800,10;90
68100,10;58
68400,10;81
68700,10;75
69000,10;70
69300,10;94
69600,10;67
69900,10;55
70200,10;87
70500,10;80
70800,10;66
71100,10;69
71400,10;78
71700,10;66
72000,10;73
72300,10;59
72600,10;77
72900,10;59
73200,10;67
73500,10;72
73800,10;71
74100,10;62
74400,10;56
74700,10;82
75000,10;117
75300,10;65
75600,10;82
75900,10;58
76200,10;52
76500,10;38
76800,10;56
77100,10;60
77400,10;58
77700,10;90
78000,10;47
78300,10;62
78600,10;43
78900,10;94
79200,10;74
79500,10;82
79800,10;76
80100,10;62
80400,10;68
80700,10;74
81000,10;76
81300,10;53
81600,10;60
81900,10;125
82200,10;91
82500,10;57
82800,10;51
83100,10;70
83400,10;57
83700,10;105
84000,10;48
84300,10;52
84600,10;68
84900,10;50
85200,10;60
85500,10;96
85800,10;67
86100,10;66
