time;num_of_active_hosts
300,10;649
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;91
3000,10;81
3300,10;72
3600,10;65
3900,10;59
4200,10;55
4500,10;58
4800,10;61
5100,10;56
5400,10;54
5700,10;59
6000,10;65
6300,10;63
6600,10;53
6900,10;62
7200,10;57
7500,10;68
7800,10;73
8100,10;67
8400,10;56
8700,10;60
9000,10;54
9300,10;67
9600,10;73
9900,10;51
10200,10;53
10500,10;61
10800,10;57
11100,10;52
11400,10;60
11700,10;76
12000,10;54
12300,10;57
12600,10;66
12900,10;56
13200,10;57
13500,10;59
13800,10;62
14100,10;67
14400,10;63
14700,10;76
15000,10;61
15300,10;60
15600,10;74
15900,10;44
16200,10;63
16500,10;66
16800,10;59
17100,10;60
17400,10;68
17700,10;62
18000,10;65
18300,10;68
18600,10;59
18900,10;58
19200,10;57
19500,10;74
19800,10;62
20100,10;59
20400,10;57
20700,10;55
21000,10;68
21300,10;57
21600,10;68
21900,10;61
22200,10;51
22500,10;68
22800,10;64
23100,10;61
23400,10;55
23700,10;75
24000,10;55
24300,10;68
24600,10;71
24900,10;59
25200,10;62
25500,10;64
25800,10;61
26100,10;56
26400,10;75
26700,10;58
27000,10;68
27300,10;58
27600,10;71
27900,10;54
28200,10;72
28500,10;85
28800,10;58
29100,10;64
29400,10;57
29700,10;63
30000,10;59
30300,10;60
30600,10;66
30900,10;57
31200,10;59
31500,10;65
31800,10;53
32100,10;75
32400,10;57
32700,10;77
33000,10;59
33300,10;65
33600,10;62
33900,10;70
34200,10;59
34500,10;57
34800,10;68
35100,10;56
35400,10;65
35700,10;59
36000,10;71
36300,10;57
36600,10;56
36900,10;74
37200,10;58
37500,10;62
37800,10;62
38100,10;64
38400,10;63
38700,10;59
39000,10;66
39300,10;63
39600,10;71
39900,10;57
40200,10;71
40500,10;70
40800,10;63
41100,10;66
41400,10;72
41700,10;55
42000,10;74
42300,10;63
42600,10;63
42900,10;63
43200,10;65
43500,10;66
43800,10;53
44100,10;64
44400,10;67
44700,10;66
45000,10;66
45300,10;72
45600,10;71
45900,10;62
46200,10;60
46500,10;57
46800,10;72
47100,10;60
47400,10;71
47700,10;60
48000,10;63
48300,10;65
48600,10;62
48900,10;74
49200,10;49
49500,10;68
49800,10;73
50100,10;65
50400,10;56
50700,10;64
51000,10;59
51300,10;73
51600,10;56
51900,10;70
52200,10;58
52500,10;70
52800,10;51
53100,10;75
53400,10;64
53700,10;50
54000,10;69
54300,10;65
54600,10;70
54900,10;55
55200,10;61
55500,10;61
55800,10;69
56100,10;66
56400,10;62
56700,10;69
57000,10;57
57300,10;57
57600,10;60
57900,10;67
58200,10;71
58500,10;59
58800,10;69
59100,10;68
59400,10;56
59700,10;65
60000,10;62
60300,10;65
60600,10;72
60900,10;60
61200,10;57
61500,10;63
61800,10;64
62100,10;64
62400,10;61
62700,10;63
63000,10;61
63300,10;69
63600,10;55
63900,10;57
64200,10;63
64500,10;73
64800,10;54
65100,10;65
65400,10;66
65700,10;57
66000,10;60
66300,10;58
66600,10;70
66900,10;49
67200,10;53
67500,10;66
67800,10;63
68100,10;56
68400,10;58
68700,10;54
69000,10;64
69300,10;55
69600,10;59
69900,10;51
70200,10;57
70500,10;53
70800,10;74
71100,10;53
71400,10;62
71700,10;59
72000,10;57
72300,10;47
72600,10;60
72900,10;50
73200,10;50
73500,10;65
73800,10;62
74100,10;62
74400,10;47
74700,10;50
75000,10;59
75300,10;54
75600,10;55
75900,10;63
76200,10;45
76500,10;48
76800,10;46
77100,10;73
77400,10;43
77700,10;67
78000,10;41
78300,10;57
78600,10;43
78900,10;62
79200,10;60
79500,10;51
79800,10;54
80100,10;53
80400,10;55
80700,10;48
81000,10;62
81300,10;49
81600,10;47
81900,10;63
82200,10;66
82500,10;47
82800,10;48
83100,10;58
83400,10;46
83700,10;64
84000,10;46
84300,10;55
84600,10;43
84900,10;49
85200,10;53
85500,10;57
85800,10;40
86100,10;65
