migration_time;num_of_mig_cum
30,10;851
60,10;991
90,10;991
120,10;1767
150,10;1769
180,10;1770
210,10;2170
240,10;2516
270,10;2557
300,10;2838
330,10;2991
360,10;3005
390,10;3262
420,10;3294
450,10;3307
480,10;3379
510,10;3379
540,10;3384
570,10;3401
600,10;3420
630,10;3540
660,10;3542
690,10;3546
720,10;3682
750,10;3724
780,10;3822
810,10;3925
840,10;3957
870,10;4015
900,10;4131
930,10;4169
960,10;4196
990,10;4318
1020,10;4355
1050,10;4372
1080,10;4486
1110,10;4634
1140,10;4639
1170,10;4655
1200,10;4757
1230,10;4758
1260,10;4771
1290,10;4833
1320,10;4834
1350,10;4848
1380,10;4881
1410,10;5007
1440,10;5032
1470,10;5039
1500,10;5126
1530,10;5162
1560,10;5168
1590,10;5190
1620,10;5235
1650,10;5240
1680,10;5279
1710,10;5282
1740,10;5318
1770,10;5340
1800,10;5364
1830,10;5373
1860,10;5417
1890,10;5425
1920,10;5430
1950,10;5456
1980,10;5461
2010,10;5462
2040,10;5475
2070,10;5475
2100,10;5475
2130,10;5479
2160,10;5479
2190,10;5479
2220,10;5485
2250,10;5488
2280,10;5554
2310,10;5555
2340,10;5577
2370,10;5651
2400,10;5681
2430,10;5688
2460,10;5715
2490,10;5732
2520,10;5764
2550,10;5800
2580,10;5805
2610,10;5809
2640,10;5845
2670,10;5845
2700,10;5858
2730,10;5871
2760,10;5872
2790,10;5878
2820,10;5905
2850,10;5907
2880,10;5925
2910,10;5942
2940,10;5950
2970,10;5967
3000,10;5980
3030,10;5987
3060,10;5994
3090,10;6006
3120,10;6046
3150,10;6048
3180,10;6090
3210,10;6159
3240,10;6172
3270,10;6191
3300,10;6292
3330,10;6306
3360,10;6321
3390,10;6380
3420,10;6391
3450,10;6409
3480,10;6473
3510,10;6479
3540,10;6489
3570,10;6525
3600,10;6549
3630,10;6554
3660,10;6561
3690,10;6584
3720,10;6618
3750,10;6625
3780,10;6629
3810,10;6650
3840,10;6655
3870,10;6662
3900,10;6680
3930,10;6685
3960,10;6691
3990,10;6699
4020,10;6711
4050,10;6718
4080,10;6724
4110,10;6731
4140,10;6733
4170,10;6741
4200,10;6762
4230,10;6765
4260,10;6769
4290,10;6791
4320,10;6792
4350,10;6792
4380,10;6802
4410,10;6802
4440,10;6802
4470,10;6805
4500,10;6806
4530,10;6806
4560,10;6806
4590,10;6810
4620,10;6810
4650,10;6811
4680,10;6818
4710,10;6829
4740,10;6829
4770,10;6835
4800,10;6851
4830,10;6857
4860,10;6857
4890,10;6860
4920,10;6903
4950,10;6933
4980,10;6953
5010,10;6965
5040,10;6981
5070,10;7016
5100,10;7021
5130,10;7033
5160,10;7089
5190,10;7091
5220,10;7105
5250,10;7139
5280,10;7162
5310,10;7177
5340,10;7189
5370,10;7196
5400,10;7196
5430,10;7213
5460,10;7213
5490,10;7213
5520,10;7218
5550,10;7218
5580,10;7219
5610,10;7224
5640,10;7224
5670,10;7224
5700,10;7224
5730,10;7225
5760,10;7229
5790,10;7231
5820,10;7231
5850,10;7235
5880,10;7241
5910,10;7241
5940,10;7251
5970,10;7253
6000,10;7273
6030,10;7279
6060,10;7279
6090,10;7296
6120,10;7297
6150,10;7297
6180,10;7319
6210,10;7319
6240,10;7319
6270,10;7332
6300,10;7334
6330,10;7336
6360,10;7354
6390,10;7362
6420,10;7362
6450,10;7371
6480,10;7378
6510,10;7378
6540,10;7383
6570,10;7385
6600,10;7386
6630,10;7390
6660,10;7399
6690,10;7399
6720,10;7411
6750,10;7429
6780,10;7444
6810,10;7453
6840,10;7471
6870,10;7490
6900,10;7511
6930,10;7523
6960,10;7581
6990,10;7594
7020,10;7594
7050,10;7638
7080,10;7659
7110,10;7681
7140,10;7707
7170,10;7718
7200,10;7746
7230,10;7769
7260,10;7794
7290,10;7814
7320,10;7837
7350,10;7874
7380,10;7899
7410,10;7915
7440,10;7957
7470,10;7992
7500,10;8010
7530,10;8032
7560,10;8060
7590,10;8082
7620,10;8096
7650,10;8107
7680,10;8135
7710,10;8145
7740,10;8150
7770,10;8170
7800,10;8182
7830,10;8182
7860,10;8185
7890,10;8188
7920,10;8191
7950,10;8198
7980,10;8206
8010,10;8208
8040,10;8223
8070,10;8229
8100,10;8233
8130,10;8248
8160,10;8252
8190,10;8253
8220,10;8271
8250,10;8275
8280,10;8275
8310,10;8289
8340,10;8295
8370,10;8295
8400,10;8300
8430,10;8308
8460,10;8308
8490,10;8309
8520,10;8319
8550,10;8323
8580,10;8326
8610,10;8333
8640,10;8340
8670,10;8347
8700,10;8369
8730,10;8370
8760,10;8375
8790,10;8397
8820,10;8397
8850,10;8400
8880,10;8427
8910,10;8428
8940,10;8428
8970,10;8453
9000,10;8453
9030,10;8455
9060,10;8478
9090,10;8479
9120,10;8479
9150,10;8494
9180,10;8494
9210,10;8494
9240,10;8506
9270,10;8506
9300,10;8507
9330,10;8516
9360,10;8518
9390,10;8518
9420,10;8528
9450,10;8528
9480,10;8528
9510,10;8531
9540,10;8532
9570,10;8537
9600,10;8538
9630,10;8538
9660,10;8539
9690,10;8539
9720,10;8540
9750,10;8544
9780,10;8573
9810,10;8573
9840,10;8573
9870,10;8596
9900,10;8602
9930,10;8602
9960,10;8612
9990,10;8616
10020,10;8616
10050,10;8628
10080,10;8647
10110,10;8648
10140,10;8662
10170,10;8676
10200,10;8684
10230,10;8697
10260,10;8709
10290,10;8718
10320,10;8723
10350,10;8733
10380,10;8745
10410,10;8751
10440,10;8770
10470,10;8791
10500,10;8798
10530,10;8805
10560,10;8818
10590,10;8831
10620,10;8842
10650,10;8849
10680,10;8896
10710,10;8916
10740,10;8941
10770,10;8971
10800,10;8998
10830,10;9033
10860,10;9051
10890,10;9070
10920,10;9102
10950,10;9118
10980,10;9140
11010,10;9163
11040,10;9171
11070,10;9176
11100,10;9184
11130,10;9184
11160,10;9185
11190,10;9187
11220,10;9194
11250,10;9199
11280,10;9199
11310,10;9203
11340,10;9207
11370,10;9213
11400,10;9213
11430,10;9215
11460,10;9221
11490,10;9221
11520,10;9222
11550,10;9224
11580,10;9225
11610,10;9225
11640,10;9229
11670,10;9229
11700,10;9233
11730,10;9233
11760,10;9233
11790,10;9234
11820,10;9235
11850,10;9235
11880,10;9237
11910,10;9237
11940,10;9237
11970,10;9237
12000,10;9238
12030,10;9238
12060,10;9239
12090,10;9241
12120,10;9241
12150,10;9242
12180,10;9243
12210,10;9243
12240,10;9243
12270,10;9244
12300,10;9262
12330,10;9262
12360,10;9264
12390,10;9274
12420,10;9274
12450,10;9274
12480,10;9282
12510,10;9282
12540,10;9283
12570,10;9286
12600,10;9288
12630,10;9288
12660,10;9288
12690,10;9288
12720,10;9288
12750,10;9289
12780,10;9294
12810,10;9294
12840,10;9294
12870,10;9296
12900,10;9313
12930,10;9313
12960,10;9313
12990,10;9326
13020,10;9326
13050,10;9326
13080,10;9332
13110,10;9332
13140,10;9332
13170,10;9337
13200,10;9337
13230,10;9337
13260,10;9341
13290,10;9341
13320,10;9342
13350,10;9345
13380,10;9345
13410,10;9349
13440,10;9359
13470,10;9360
13500,10;9360
13530,10;9364
13560,10;9364
13590,10;9364
13620,10;9364
13650,10;9365
13680,10;9365
13710,10;9365
13740,10;9366
13770,10;9367
13800,10;9367
13830,10;9367
13860,10;9369
13890,10;9369
13920,10;9370
13950,10;9376
13980,10;9395
14010,10;9395
14040,10;9395
14070,10;9413
14100,10;9413
14130,10;9413
14160,10;9421
14190,10;9421
14220,10;9422
14250,10;9430
14280,10;9430
14310,10;9430
14340,10;9442
14370,10;9442
14400,10;9442
14430,10;9452
14460,10;9452
14490,10;9452
14520,10;9463
14550,10;9463
14580,10;9463
14610,10;9471
14640,10;9471
14670,10;9471
14700,10;9483
14730,10;9483
14760,10;9484
14790,10;9496
14820,10;9496
14850,10;9496
14880,10;9505
14910,10;9505
14940,10;9505
14970,10;9511
15000,10;9545
15030,10;9545
15060,10;9552
15090,10;9575
15120,10;9575
15150,10;9587
15180,10;9611
15210,10;9611
15240,10;9635
15270,10;9646
15300,10;9654
15330,10;9674
15360,10;9678
15390,10;9690
15420,10;9720
15450,10;9721
15480,10;9725
15510,10;9758
15540,10;9774
15570,10;9790
15600,10;9811
15630,10;9816
15660,10;9843
15690,10;9850
15720,10;9850
15750,10;9871
15780,10;9876
15810,10;9878
15840,10;9892
15870,10;9903
15900,10;9903
15930,10;9908
15960,10;9917
15990,10;9917
16020,10;9929
16050,10;9930
16080,10;9930
16110,10;9945
16140,10;9945
16170,10;9945
16200,10;9961
16230,10;9961
16260,10;9961
16290,10;9974
16320,10;9974
16350,10;9974
16380,10;9988
16410,10;9988
16440,10;9988
16470,10;10002
16500,10;10002
16530,10;10002
16560,10;10024
16590,10;10024
16620,10;10024
16650,10;10045
16680,10;10045
16710,10;10048
16740,10;10067
16770,10;10067
16800,10;10067
16830,10;10087
16860,10;10087
16890,10;10087
16920,10;10099
16950,10;10099
16980,10;10099
17010,10;10110
17040,10;10110
17070,10;10110
17100,10;10120
17130,10;10120
17160,10;10120
17190,10;10129
17220,10;10129
17250,10;10129
17280,10;10135
