time;num_of_active_hosts_new
300,10;800
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;141
2100,10;120
2400,10;101
2700,10;88
3000,10;77
3300,10;75
3600,10;77
3900,10;60
4200,10;98
4500,10;103
4800,10;112
5100,10;78
5400,10;95
5700,10;85
6000,10;87
6300,10;125
6600,10;100
6900,10;77
7200,10;70
7500,10;123
7800,10;88
8100,10;83
8400,10;78
8700,10;102
9000,10;66
9300,10;111
9600,10;107
9900,10;74
10200,10;78
10500,10;91
10800,10;70
11100,10;71
11400,10;120
11700,10;99
12000,10;66
12300,10;108
12600,10;88
12900,10;76
13200,10;82
13500,10;95
13800,10;77
14100,10;102
14400,10;80
14700,10;97
15000,10;86
15300,10;82
15600,10;109
15900,10;70
16200,10;82
16500,10;90
16800,10;73
17100,10;103
17400,10;102
17700,10;57
18000,10;104
18300,10;98
18600,10;72
18900,10;99
19200,10;73
19500,10;96
19800,10;91
20100,10;80
20400,10;77
20700,10;71
21000,10;109
21300,10;86
21600,10;73
21900,10;83
22200,10;75
22500,10;92
22800,10;95
23100,10;77
23400,10;70
23700,10;105
24000,10;70
24300,10;101
24600,10;86
24900,10;72
25200,10;92
25500,10;105
25800,10;90
26100,10;59
26400,10;105
26700,10;75
27000,10;73
27300,10;71
27600,10;94
27900,10;68
28200,10;103
28500,10;129
28800,10;75
29100,10;70
29400,10;70
29700,10;76
30000,10;85
30300,10;92
30600,10;107
30900,10;75
31200,10;85
31500,10;95
31800,10;73
32100,10;106
32400,10;71
32700,10;124
33000,10;76
33300,10;80
33600,10;97
33900,10;99
34200,10;86
34500,10;70
34800,10;114
35100,10;83
35400,10;72
35700,10;75
36000,10;114
36300,10;69
36600,10;61
36900,10;114
37200,10;84
37500,10;80
37800,10;94
38100,10;88
38400,10;79
38700,10;82
39000,10;94
39300,10;94
39600,10;81
39900,10;73
40200,10;101
40500,10;109
40800,10;73
41100,10;88
41400,10;97
41700,10;82
42000,10;118
42300,10;84
42600,10;79
42900,10;78
43200,10;87
43500,10;100
43800,10;68
44100,10;84
44400,10;91
44700,10;77
45000,10;82
45300,10;102
45600,10;92
45900,10;92
46200,10;78
46500,10;77
46800,10;111
47100,10;72
47400,10;90
47700,10;105
48000,10;86
48300,10;77
48600,10;83
48900,10;108
49200,10;71
49500,10;101
49800,10;112
50100,10;78
50400,10;76
50700,10;89
51000,10;73
51300,10;106
51600,10;84
51900,10;68
52200,10;76
52500,10;94
52800,10;77
53100,10;115
53400,10;86
53700,10;70
54000,10;91
54300,10;85
54600,10;68
54900,10;87
55200,10;89
55500,10;95
55800,10;95
56100,10;84
56400,10;91
56700,10;102
57000,10;78
57300,10;78
57600,10;81
57900,10;97
58200,10;109
58500,10;61
58800,10;81
59100,10;81
59400,10;80
59700,10;79
60000,10;82
60300,10;91
60600,10;109
60900,10;77
61200,10;70
61500,10;85
61800,10;82
62100,10;85
62400,10;80
62700,10;99
63000,10;65
63300,10;106
63600,10;72
63900,10;66
64200,10;95
64500,10;115
64800,10;60
65100,10;58
65400,10;110
65700,10;84
66000,10;66
66300,10;90
66600,10;113
66900,10;70
67200,10;59
67500,10;83
67800,10;97
68100,10;80
68400,10;88
68700,10;69
69000,10;89
69300,10;74
69600,10;73
69900,10;74
70200,10;74
70500,10;78
70800,10;102
71100,10;54
71400,10;98
71700,10;70
72000,10;88
72300,10;56
72600,10;92
72900,10;77
73200,10;58
73500,10;109
73800,10;105
74100,10;63
74400,10;67
74700,10;67
75000,10;84
75300,10;87
75600,10;72
75900,10;95
76200,10;69
76500,10;73
76800,10;66
77100,10;126
77400,10;58
77700,10;78
78000,10;56
78300,10;80
78600,10;49
78900,10;101
79200,10;64
79500,10;69
79800,10;87
80100,10;85
80400,10;51
80700,10;72
81000,10;89
81300,10;69
81600,10;50
81900,10;80
82200,10;109
82500,10;54
82800,10;58
83100,10;79
83400,10;59
83700,10;103
84000,10;83
84300,10;46
84600,10;57
84900,10;83
85200,10;77
85500,10;82
85800,10;53
86100,10;87
