time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,0520
90,10;0,0540
120,10;0,1681
150,10;0,1886
180,10;0,1838
210,10;0,3846
240,10;0,3570
270,10;0,2984
300,10;0,2707
330,10;0,2401
360,10;0,2202
390,10;0,2352
420,10;0,2025
450,10;0,1983
480,10;0,1825
510,10;0,1784
540,10;0,1793
570,10;0,1752
600,10;0,1847
630,10;0,1600
660,10;0,1612
690,10;0,1558
720,10;0,1712
750,10;0,1654
780,10;0,1755
810,10;0,1921
840,10;0,1912
870,10;0,1845
900,10;0,2194
930,10;0,2262
960,10;0,2134
990,10;0,2274
1020,10;0,2368
1050,10;0,2234
1080,10;0,2176
1110,10;0,2360
1140,10;0,2484
1170,10;0,2282
1200,10;0,2335
1230,10;0,2305
1260,10;0,2169
1290,10;0,2220
1320,10;0,2191
1350,10;0,2212
1380,10;0,2310
1410,10;0,2457
1440,10;0,2641
1470,10;0,2511
1500,10;0,2572
1530,10;0,2921
1560,10;0,2324
1590,10;0,2378
1620,10;0,2509
1650,10;0,2522
1680,10;0,2581
1710,10;0,2588
1740,10;0,2315
1770,10;0,2252
1800,10;0,2185
1830,10;0,2051
1860,10;0,2081
1890,10;0,1961
1920,10;0,2091
1950,10;0,2125
1980,10;0,1916
2010,10;0,1915
2040,10;0,1859
2070,10;0,1979
2100,10;0,1979
2130,10;0,1921
2160,10;0,2003
2190,10;0,1884
2220,10;0,1938
2250,10;0,1990
2280,10;0,1915
2310,10;0,1852
2340,10;0,2016
2370,10;0,1798
2400,10;0,1887
2430,10;0,1893
2460,10;0,1840
2490,10;0,1820
2520,10;0,1780
2550,10;0,1752
2580,10;0,1721
2610,10;0,1810
2640,10;0,1720
2670,10;0,1764
2700,10;0,1771
2730,10;0,1820
2760,10;0,1705
2790,10;0,1810
2820,10;0,1963
2850,10;0,1817
2880,10;0,1831
2910,10;0,1718
2940,10;0,1725
2970,10;0,1718
3000,10;0,1760
3030,10;0,1800
3060,10;0,1687
3090,10;0,1706
3120,10;0,1757
3150,10;0,1697
3180,10;0,1898
3210,10;0,1805
3240,10;0,2022
3270,10;0,1900
3300,10;0,1981
3330,10;0,1999
3360,10;0,2082
3390,10;0,2037
3420,10;0,1885
3450,10;0,2017
3480,10;0,1970
3510,10;0,1968
3540,10;0,1946
3570,10;0,2121
3600,10;0,1942
3630,10;0,1933
3660,10;0,2152
3690,10;0,2128
3720,10;0,2189
3750,10;0,2233
3780,10;0,2282
3810,10;0,2254
3840,10;0,2275
3870,10;0,2381
3900,10;0,2208
3930,10;0,2296
3960,10;0,2123
3990,10;0,2159
4020,10;0,2237
4050,10;0,2136
4080,10;0,2102
4110,10;0,2221
4140,10;0,2030
4170,10;0,2163
4200,10;0,2075
4230,10;0,2094
4260,10;0,1970
4290,10;0,2017
4320,10;0,2102
4350,10;0,1995
4380,10;0,2015
4410,10;0,2003
4440,10;0,1979
4470,10;0,1968
4500,10;0,2081
4530,10;0,2104
4560,10;0,2148
4590,10;0,2100
4620,10;0,1990
4650,10;0,2137
4680,10;0,2061
4710,10;0,2133
4740,10;0,2175
4770,10;0,2180
4800,10;0,2138
4830,10;0,2145
4860,10;0,2208
4890,10;0,2053
4920,10;0,2111
4950,10;0,2194
4980,10;0,2116
5010,10;0,2108
5040,10;0,2139
5070,10;0,2076
5100,10;0,2213
5130,10;0,2100
5160,10;0,2101
5190,10;0,2031
5220,10;0,2115
5250,10;0,1924
5280,10;0,1996
5310,10;0,1947
5340,10;0,1933
5370,10;0,1980
5400,10;0,1953
5430,10;0,1930
5460,10;0,1932
5490,10;0,1918
5520,10;0,1928
5550,10;0,1923
5580,10;0,1883
5610,10;0,1927
5640,10;0,1972
5670,10;0,1869
5700,10;0,1903
5730,10;0,1864
5760,10;0,1859
5790,10;0,1937
5820,10;0,1945
5850,10;0,1922
5880,10;0,1903
5910,10;0,1849
5940,10;0,1876
5970,10;0,1896
6000,10;0,1889
6030,10;0,1995
6060,10;0,1970
6090,10;0,1894
6120,10;0,1893
6150,10;0,1882
6180,10;0,1914
6210,10;0,1901
6240,10;0,1945
6270,10;0,1873
6300,10;0,1999
6330,10;0,1840
6360,10;0,1819
6390,10;0,1800
6420,10;0,1936
6450,10;0,1844
6480,10;0,1811
6510,10;0,1938
6540,10;0,1879
6570,10;0,1879
6600,10;0,1839
6630,10;0,1934
6660,10;0,1722
6690,10;0,1680
6720,10;0,1797
6750,10;0,1883
6780,10;0,1772
6810,10;0,1787
6840,10;0,1774
6870,10;0,1820
6900,10;0,1709
6930,10;0,1736
6960,10;0,1681
6990,10;0,1685
7020,10;0,1674
7050,10;0,1809
7080,10;0,1742
7110,10;0,1868
7140,10;0,1807
7170,10;0,1862
7200,10;0,1738
7230,10;0,1829
7260,10;0,1799
7290,10;0,1757
7320,10;0,1931
7350,10;0,1976
7380,10;0,1888
7410,10;0,1856
7440,10;0,1794
7470,10;0,1848
7500,10;0,1815
7530,10;0,1839
7560,10;0,1964
7590,10;0,1787
7620,10;0,1750
7650,10;0,1660
7680,10;0,1925
7710,10;0,1641
7740,10;0,1867
7770,10;0,1628
7800,10;0,1684
7830,10;0,1557
7860,10;0,1716
7890,10;0,1818
7920,10;0,1768
7950,10;0,1776
7980,10;0,1817
8010,10;0,1803
8040,10;0,1787
8070,10;0,1942
8100,10;0,1804
8130,10;0,1720
8160,10;0,1916
8190,10;0,2000
8220,10;0,1791
8250,10;0,1757
8280,10;0,1874
8310,10;0,1782
8340,10;0,1915
8370,10;0,1812
8400,10;0,1838
8430,10;0,1748
8460,10;0,1853
8490,10;0,1848
8520,10;0,1985
8550,10;0,1855
8580,10;0,1960
8610,10;0,1949
8640,10;0,2016
8670,10;0,2077
8700,10;0,2013
8730,10;0,2114
8760,10;0,2066
8790,10;0,2034
8820,10;0,2045
8850,10;0,2082
8880,10;0,2023
8910,10;0,2019
8940,10;0,1969
8970,10;0,2041
9000,10;0,1933
9030,10;0,2108
9060,10;0,1917
9090,10;0,1911
9120,10;0,1843
9150,10;0,1773
9180,10;0,1819
9210,10;0,1834
9240,10;0,1907
9270,10;0,1863
9300,10;0,1877
9330,10;0,1825
9360,10;0,1906
9390,10;0,1947
9420,10;0,2033
9450,10;0,1979
9480,10;0,1958
9510,10;0,1896
9540,10;0,2027
9570,10;0,2048
9600,10;0,1840
9630,10;0,1827
9660,10;0,1856
9690,10;0,1832
9720,10;0,1696
9750,10;0,1827
9780,10;0,1936
9810,10;0,1881
9840,10;0,1905
9870,10;0,1870
9900,10;0,1793
9930,10;0,1829
9960,10;0,1805
9990,10;0,1769
10020,10;0,1867
10050,10;0,1865
10080,10;0,1981
10110,10;0,1894
10140,10;0,1866
10170,10;0,2023
10200,10;0,1770
10230,10;0,1777
10260,10;0,1892
10290,10;0,1870
10320,10;0,1948
10350,10;0,1994
10380,10;0,1937
10410,10;0,1958
10440,10;0,1998
10470,10;0,1948
10500,10;0,2044
10530,10;0,2026
10560,10;0,2128
10590,10;0,2208
10620,10;0,2042
10650,10;0,2060
10680,10;0,2040
10710,10;0,2219
10740,10;0,2191
10770,10;0,2198
10800,10;0,2272
10830,10;0,2156
10860,10;0,2267
10890,10;0,2359
10920,10;0,2373
10950,10;0,2215
10980,10;0,2442
11010,10;0,2227
11040,10;0,2311
11070,10;0,2324
11100,10;0,2269
11130,10;0,2274
11160,10;0,2237
11190,10;0,2234
11220,10;0,2119
11250,10;0,2276
11280,10;0,2110
11310,10;0,2151
11340,10;0,2162
11370,10;0,2216
11400,10;0,2073
11430,10;0,2175
11460,10;0,2416
11490,10;0,2189
11520,10;0,2195
11550,10;0,2066
11580,10;0,2063
11610,10;0,2028
11640,10;0,2091
11670,10;0,2146
11700,10;0,2023
11730,10;0,2044
11760,10;0,2067
11790,10;0,1919
11820,10;0,2134
11850,10;0,2047
11880,10;0,2213
11910,10;0,2115
11940,10;0,2159
11970,10;0,2190
12000,10;0,2178
12030,10;0,2073
12060,10;0,1976
12090,10;0,2112
12120,10;0,2003
12150,10;0,2056
12180,10;0,2077
12210,10;0,2221
12240,10;0,2029
12270,10;0,1971
12300,10;0,2125
12330,10;0,2087
12360,10;0,2132
12390,10;0,2079
12420,10;0,2087
12450,10;0,2098
12480,10;0,2064
12510,10;0,2141
12540,10;0,2107
12570,10;0,2190
12600,10;0,2041
12630,10;0,2083
12660,10;0,2194
12690,10;0,2104
12720,10;0,2110
12750,10;0,2156
12780,10;0,2046
12810,10;0,2198
12840,10;0,2096
12870,10;0,2101
12900,10;0,1998
12930,10;0,2051
12960,10;0,2116
12990,10;0,2035
13020,10;0,2046
13050,10;0,2058
13080,10;0,2011
13110,10;0,1987
13140,10;0,2081
13170,10;0,2116
13200,10;0,2133
13230,10;0,2118
13260,10;0,1998
13290,10;0,2158
13320,10;0,2069
13350,10;0,2111
13380,10;0,2085
13410,10;0,2114
13440,10;0,2100
13470,10;0,2133
13500,10;0,2195
13530,10;0,2034
13560,10;0,2121
13590,10;0,2218
13620,10;0,2120
13650,10;0,2131
13680,10;0,2152
13710,10;0,2120
13740,10;0,2234
13770,10;0,2198
13800,10;0,2185
13830,10;0,2224
13860,10;0,2343
13890,10;0,2211
13920,10;0,2310
13950,10;0,2219
13980,10;0,2233
14010,10;0,2301
14040,10;0,2242
14070,10;0,2283
14100,10;0,2237
14130,10;0,2238
14160,10;0,2217
14190,10;0,2236
14220,10;0,2205
14250,10;0,2209
14280,10;0,2296
14310,10;0,2140
14340,10;0,2182
14370,10;0,2135
14400,10;0,2163
14430,10;0,2258
14460,10;0,2252
14490,10;0,2195
14520,10;0,2184
14550,10;0,2117
14580,10;0,2117
14610,10;0,2157
14640,10;0,2132
14670,10;0,2240
14700,10;0,2214
14730,10;0,2130
14760,10;0,2134
14790,10;0,2108
14820,10;0,2160
14850,10;0,2127
14880,10;0,2149
14910,10;0,2076
14940,10;0,2203
14970,10;0,2076
15000,10;0,2059
15030,10;0,2057
15060,10;0,2198
15090,10;0,2078
15120,10;0,2026
15150,10;0,2175
15180,10;0,2134
15210,10;0,2092
15240,10;0,2091
15270,10;0,2150
15300,10;0,1967
15330,10;0,1854
15360,10;0,1943
15390,10;0,2007
15420,10;0,1966
15450,10;0,1979
15480,10;0,1948
15510,10;0,2003
15540,10;0,1891
15570,10;0,1946
15600,10;0,1895
15630,10;0,1898
15660,10;0,1916
15690,10;0,2046
15720,10;0,1935
15750,10;0,2124
15780,10;0,1976
15810,10;0,2068
15840,10;0,1927
15870,10;0,2058
15900,10;0,2003
15930,10;0,1931
15960,10;0,2117
15990,10;0,2143
16020,10;0,2059
16050,10;0,2029
16080,10;0,1940
16110,10;0,2000
16140,10;0,1987
16170,10;0,1980
16200,10;0,2131
16230,10;0,1892
16260,10;0,1842
16290,10;0,1766
16320,10;0,2033
16350,10;0,1763
16380,10;0,2054
16410,10;0,1781
16440,10;0,1864
16470,10;0,1724
16500,10;0,1836
16530,10;0,1936
16560,10;0,1894
16590,10;0,1934
16620,10;0,1924
16650,10;0,1948
16680,10;0,1975
16710,10;0,2106
16740,10;0,1914
16770,10;0,1878
16800,10;0,2044
16830,10;0,2156
16860,10;0,1950
16890,10;0,1906
16920,10;0,2031
16950,10;0,1924
16980,10;0,2080
17010,10;0,1945
17040,10;0,1964
17070,10;0,1851
17100,10;0,1956
17130,10;0,1916
17160,10;0,2068
17190,10;0,1912
17220,10;0,2021
17250,10;0,2003
17280,10;0,2096
