time;num_of_active_hosts
30,10;800
60,10;800
90,10;800
120,10;246
150,10;246
180,10;248
210,10;115
240,10;125
270,10;156
300,10;158
330,10;184
360,10;191
390,10;190
420,10;220
450,10;228
480,10;225
510,10;225
540,10;227
570,10;230
600,10;229
630,10;245
660,10;246
690,10;245
720,10;236
750,10;247
780,10;244
810,10;212
840,10;212
870,10;212
900,10;182
930,10;182
960,10;177
990,10;156
1020,10;160
1050,10;169
1080,10;156
1110,10;156
1140,10;157
1170,10;159
1200,10;162
1230,10;162
1260,10;164
1290,10;163
1320,10;163
1350,10;159
1380,10;158
1410,10;149
1440,10;150
1470,10;152
1500,10;140
1530,10;136
1560,10;151
1590,10;151
1620,10;151
1650,10;149
1680,10;149
1710,10;154
1740,10;166
1770,10;169
1800,10;177
1830,10;184
1860,10;185
1890,10;193
1920,10;192
1950,10;192
1980,10;199
2010,10;202
2040,10;203
2070,10;201
2100,10;200
2130,10;202
2160,10;199
2190,10;198
2220,10;201
2250,10;205
2280,10;209
2310,10;208
2340,10;209
2370,10;214
2400,10;213
2430,10;213
2460,10;213
2490,10;214
2520,10;220
2550,10;220
2580,10;220
2610,10;220
2640,10;221
2670,10;220
2700,10;219
2730,10;219
2760,10;219
2790,10;218
2820,10;221
2850,10;224
2880,10;223
2910,10;223
2940,10;223
2970,10;223
3000,10;224
3030,10;225
3060,10;226
3090,10;224
3120,10;218
3150,10;209
3180,10;206
3210,10;209
3240,10;206
3270,10;202
3300,10;200
3330,10;201
3360,10;191
3390,10;192
3420,10;196
3450,10;193
3480,10;195
3510,10;198
3540,10;197
3570,10;195
3600,10;198
3630,10;193
3660,10;184
3690,10;182
3720,10;182
3750,10;175
3780,10;172
3810,10;173
3840,10;169
3870,10;167
3900,10;177
3930,10;177
3960,10;180
3990,10;180
4020,10;183
4050,10;183
4080,10;188
4110,10;185
4140,10;190
4170,10;190
4200,10;188
4230,10;189
4260,10;194
4290,10;193
4320,10;193
4350,10;194
4380,10;193
4410,10;194
4440,10;194
4470,10;193
4500,10;192
4530,10;192
4560,10;191
4590,10;193
4620,10;192
4650,10;192
4680,10;195
4710,10;191
4740,10;189
4770,10;185
4800,10;188
4830,10;185
4860,10;185
4890,10;185
4920,10;185
4950,10;185
4980,10;185
5010,10;183
5040,10;182
5070,10;183
5100,10;183
5130,10;190
5160,10;192
5190,10;191
5220,10;192
5250,10;199
5280,10;201
5310,10;201
5340,10;201
5370,10;202
5400,10;202
5430,10;204
5460,10;204
5490,10;204
5520,10;203
