time;num_of_active_hosts_new
300,10;800
600,10;54
900,10;55
1200,10;57
1500,10;56
1800,10;58
2100,10;58
2400,10;57
2700,10;54
3000,10;55
3300,10;52
3600,10;53
3900,10;51
4200,10;53
4500,10;52
4800,10;53
5100,10;48
5400,10;47
5700,10;49
6000,10;48
6300,10;51
6600,10;47
6900,10;48
7200,10;46
7500,10;49
7800,10;50
8100,10;52
8400,10;49
8700,10;50
9000,10;47
9300,10;49
9600,10;50
9900,10;45
10200,10;44
10500,10;46
10800,10;45
11100,10;42
11400,10;44
11700,10;46
12000,10;43
12300,10;46
12600,10;45
12900,10;43
13200,10;43
13500,10;44
13800,10;42
14100,10;44
14400,10;45
14700,10;47
15000,10;46
15300,10;45
15600,10;49
15900,10;41
16200,10;42
16500,10;44
16800,10;43
17100,10;46
17400,10;47
17700,10;47
18000,10;47
18300,10;46
18600,10;44
18900,10;45
19200,10;43
19500,10;47
19800,10;49
20100,10;44
20400,10;46
20700,10;44
21000,10;47
21300,10;47
21600,10;46
21900,10;47
22200,10;42
22500,10;46
22800,10;50
23100,10;48
23400,10;44
23700,10;49
24000,10;46
24300,10;48
24600,10;49
24900,10;47
25200,10;48
25500,10;48
25800,10;47
26100,10;45
26400,10;49
26700,10;46
27000,10;48
27300,10;45
27600,10;47
27900,10;46
28200,10;46
28500,10;52
28800,10;49
29100,10;50
29400,10;45
29700,10;47
30000,10;46
30300,10;47
30600,10;49
30900,10;46
31200,10;47
31500,10;46
31800,10;44
32100,10;47
32400,10;45
32700,10;49
33000,10;47
33300,10;49
33600,10;50
33900,10;49
34200,10;48
34500,10;45
34800,10;47
35100,10;46
35400,10;47
35700,10;46
36000,10;50
36300,10;45
36600,10;44
36900,10;47
37200,10;48
37500,10;49
37800,10;49
38100,10;47
38400,10;48
38700,10;46
39000,10;48
39300,10;47
39600,10;49
39900,10;46
40200,10;47
40500,10;49
40800,10;48
41100,10;47
41400,10;49
41700,10;46
42000,10;49
42300,10;48
42600,10;50
42900,10;47
43200,10;48
43500,10;49
43800,10;46
44100,10;45
44400,10;46
44700,10;46
45000,10;45
45300,10;47
45600,10;48
45900,10;49
46200,10;50
46500,10;44
46800,10;49
47100,10;48
47400,10;49
47700,10;48
48000,10;49
48300,10;49
48600,10;49
48900,10;51
49200,10;44
49500,10;48
49800,10;50
50100,10;50
50400,10;48
50700,10;48
51000,10;46
51300,10;49
51600,10;50
51900,10;48
52200,10;48
52500,10;50
52800,10;47
53100,10;50
53400,10;48
53700,10;47
54000,10;49
54300,10;48
54600,10;49
54900,10;48
55200,10;49
55500,10;48
55800,10;49
56100,10;48
56400,10;48
56700,10;50
57000,10;48
57300,10;48
57600,10;46
57900,10;46
58200,10;48
58500,10;49
58800,10;48
59100,10;46
59400,10;45
59700,10;45
60000,10;47
60300,10;47
60600,10;49
60900,10;47
61200,10;47
61500,10;46
61800,10;46
62100,10;46
62400,10;46
62700,10;47
63000,10;43
63300,10;46
63600,10;45
63900,10;44
64200,10;43
64500,10;46
64800,10;45
65100,10;45
65400,10;47
65700,10;46
66000,10;45
66300,10;45
66600,10;47
66900,10;43
67200,10;40
67500,10;43
67800,10;44
68100,10;44
68400,10;43
68700,10;43
69000,10;44
69300,10;42
69600,10;43
69900,10;41
70200,10;41
70500,10;42
70800,10;45
71100,10;43
71400,10;46
71700,10;42
72000,10;46
72300,10;42
72600,10;43
72900,10;42
73200,10;40
73500,10;43
73800,10;46
74100,10;44
74400,10;43
74700,10;43
75000,10;41
75300,10;40
75600,10;42
75900,10;44
76200,10;41
76500,10;38
76800,10;37
77100,10;43
77400,10;37
77700,10;44
78000,10;39
78300,10;40
78600,10;37
78900,10;39
79200,10;42
79500,10;40
79800,10;41
80100,10;41
80400,10;41
80700,10;40
81000,10;42
81300,10;39
81600,10;37
81900,10;40
82200,10;43
82500,10;38
82800,10;38
83100,10;40
83400,10;39
83700,10;42
84000,10;38
84300,10;39
84600,10;36
84900,10;37
85200,10;37
85500,10;40
85800,10;37
86100,10;40
