migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1469
2700,10;1565
3000,10;1646
3300,10;1741
3600,10;1831
3900,10;1960
4200,10;2100
4500,10;2234
4800,10;2375
5100,10;2506
5400,10;2670
5700,10;2794
6000,10;2974
6300,10;3089
6600,10;3227
6900,10;3379
7200,10;3545
7500,10;3697
7800,10;3867
8100,10;4031
8400,10;4152
8700,10;4248
9000,10;4403
9300,10;4550
9600,10;4647
9900,10;4745
10200,10;4876
10500,10;5000
10800,10;5091
11100,10;5272
11400,10;5390
11700,10;5498
12000,10;5690
12300,10;5802
12600,10;5927
12900,10;6076
13200,10;6218
13500,10;6331
13800,10;6476
14100,10;6590
14400,10;6704
14700,10;6839
15000,10;6999
15300,10;7146
15600,10;7241
15900,10;7361
16200,10;7496
16500,10;7598
16800,10;7721
17100,10;7899
17400,10;8020
17700,10;8145
18000,10;8245
18300,10;8412
18600,10;8572
18900,10;8726
19200,10;8884
19500,10;9057
19800,10;9162
20100,10;9300
20400,10;9454
20700,10;9651
21000,10;9800
21300,10;9966
21600,10;10165
21900,10;10244
22200,10;10386
22500,10;10557
22800,10;10699
23100,10;10870
23400,10;11022
23700,10;11155
24000,10;11265
24300,10;11394
24600,10;11524
24900,10;11636
25200,10;11787
25500,10;11937
25800,10;12050
26100,10;12227
26400,10;12349
26700,10;12477
27000,10;12604
27300,10;12741
27600,10;12837
27900,10;12997
28200,10;13172
28500,10;13270
28800,10;13368
29100,10;13488
29400,10;13627
29700,10;13740
30000,10;13891
30300,10;14054
30600,10;14202
30900,10;14276
31200,10;14404
31500,10;14522
31800,10;14683
32100,10;14828
32400,10;15007
32700,10;15123
33000,10;15252
33300,10;15337
33600,10;15471
33900,10;15614
34200,10;15772
34500,10;15901
34800,10;16028
35100,10;16141
35400,10;16286
35700,10;16440
36000,10;16574
36300,10;16652
36600,10;16811
36900,10;16936
37200,10;17070
37500,10;17202
37800,10;17350
38100,10;17458
38400,10;17569
38700,10;17708
39000,10;17871
39300,10;17977
39600,10;18070
39900,10;18179
40200,10;18322
40500,10;18436
40800,10;18570
41100,10;18704
41400,10;18810
41700,10;19021
42000,10;19136
42300,10;19272
42600,10;19422
42900,10;19552
43200,10;19680
43500,10;19814
43800,10;19943
44100,10;20046
44400,10;20181
44700,10;20321
45000,10;20476
45300,10;20593
45600,10;20759
45900,10;20887
46200,10;21022
46500,10;21157
46800,10;21281
47100,10;21411
47400,10;21530
47700,10;21642
48000,10;21772
48300,10;21899
48600,10;22061
48900,10;22179
49200,10;22319
49500,10;22448
49800,10;22561
50100,10;22720
50400,10;22873
50700,10;23018
51000,10;23177
51300,10;23285
51600,10;23412
51900,10;23517
52200,10;23636
52500,10;23823
52800,10;23990
53100,10;24126
53400,10;24235
53700,10;24402
54000,10;24547
54300,10;24674
54600,10;24813
54900,10;24940
55200,10;25046
55500,10;25182
55800,10;25293
56100,10;25447
56400,10;25554
56700,10;25707
57000,10;25879
57300,10;25995
57600,10;26147
57900,10;26296
58200,10;26428
58500,10;26527
58800,10;26643
59100,10;26748
59400,10;26887
59700,10;27028
60000,10;27179
60300,10;27320
60600,10;27420
60900,10;27507
61200,10;27634
61500,10;27764
61800,10;27903
62100,10;28050
62400,10;28199
62700,10;28296
63000,10;28399
63300,10;28481
63600,10;28608
63900,10;28730
64200,10;28920
64500,10;29031
64800,10;29138
65100,10;29272
65400,10;29384
65700,10;29516
66000,10;29683
66300,10;29830
66600,10;29946
66900,10;30040
67200,10;30154
67500,10;30274
67800,10;30367
68100,10;30469
68400,10;30574
68700,10;30728
69000,10;30887
69300,10;31030
69600,10;31150
69900,10;31234
70200,10;31327
70500,10;31480
70800,10;31585
71100,10;31764
71400,10;31894
71700,10;32042
72000,10;32178
72300,10;32293
72600,10;32405
72900,10;32522
73200,10;32680
73500,10;32812
73800,10;32958
74100,10;33061
74400,10;33166
74700,10;33315
75000,10;33481
75300,10;33674
75600,10;33824
75900,10;33925
76200,10;34023
76500,10;34111
76800,10;34258
77100,10;34344
77400,10;34479
77700,10;34556
78000,10;34658
78300,10;34749
78600,10;34890
78900,10;35028
79200,10;35142
79500,10;35248
79800,10;35359
80100,10;35475
80400,10;35562
80700,10;35716
81000,10;35832
81300,10;35933
81600,10;36111
81900,10;36305
82200,10;36446
82500,10;36551
82800,10;36713
83100,10;36813
83400,10;36958
83700,10;37067
84000,10;37174
84300,10;37266
84600,10;37382
84900,10;37524
85200,10;37659
85500,10;37730
85800,10;37861
86100,10;37955
