migration_time;num_of_mig_cum
300,10;458
600,10;782
900,10;1041
1200,10;1241
1500,10;1406
1800,10;1566
2100,10;1716
2400,10;1856
2700,10;1974
3000,10;2193
3300,10;2461
3600,10;2724
3900,10;3125
4200,10;3695
4500,10;4253
4800,10;4648
5100,10;5082
5400,10;5565
5700,10;6094
6000,10;6287
6300,10;6529
6600,10;6855
6900,10;7153
7200,10;7626
7500,10;8125
7800,10;8330
8100,10;8515
8400,10;8724
8700,10;9050
9000,10;9381
9300,10;9829
9600,10;10245
9900,10;10416
10200,10;10661
10500,10;11076
10800,10;11533
11100,10;11921
11400,10;12339
11700,10;12773
12000,10;13165
12300,10;13579
12600,10;13971
12900,10;14326
13200,10;14750
13500,10;15191
13800,10;15368
14100,10;15709
14400,10;16091
14700,10;16528
15000,10;16845
15300,10;17225
15600,10;17697
15900,10;17917
16200,10;18191
16500,10;18615
16800,10;19034
17100,10;19354
17400,10;19755
17700,10;20197
18000,10;20570
18300,10;20979
18600,10;21370
18900,10;21827
19200,10;22090
19500,10;22485
19800,10;22904
20100,10;23207
20400,10;23567
20700,10;23932
21000,10;24325
21300,10;24724
21600,10;24885
21900,10;25163
22200,10;25421
22500,10;25822
22800,10;26268
23100,10;26459
23400,10;26669
23700,10;27101
24000,10;27381
24300,10;27732
24600,10;28137
24900,10;28546
25200,10;28892
25500,10;29260
25800,10;29682
26100,10;29917
26400,10;30347
26700,10;30681
27000,10;31039
27300,10;31463
27600,10;31751
27900,10;31972
28200,10;32339
28500,10;32779
28800,10;32941
29100,10;33127
29400,10;33326
29700,10;33624
30000,10;34002
30300,10;34400
30600,10;34733
30900,10;34992
31200,10;35370
31500,10;35772
31800,10;36048
32100,10;36455
32400,10;36769
32700,10;36898
33000,10;37020
33300,10;37218
33600,10;37505
33900,10;37884
34200,10;38282
34500,10;38582
34800,10;38975
35100,10;39363
35400,10;39741
35700,10;40128
36000,10;40544
36300,10;40769
36600,10;41014
36900,10;41418
37200,10;41803
37500,10;42114
37800,10;42470
38100,10;42866
38400,10;43265
38700,10;43569
39000,10;43964
39300,10;44383
39600,10;44674
39900,10;44860
40200,10;45205
40500,10;45578
40800,10;45772
41100,10;46061
41400,10;46407
41700,10;46755
42000,10;47135
42300,10;47384
42600,10;47619
42900,10;47989
43200,10;48378
43500,10;48801
43800,10;49037
44100,10;49332
44400,10;49670
44700,10;50011
45000,10;50383
45300,10;50800
45600,10;51020
45900,10;51360
46200,10;51744
46500,10;52130
46800,10;52546
47100,10;52803
47400,10;53072
47700,10;53423
48000,10;53801
48300,10;54183
48600,10;54555
48900,10;54922
49200,10;55153
49500,10;55526
49800,10;55935
50100,10;56166
50400,10;56478
50700,10;56831
51000,10;57218
51300,10;57592
51600,10;57844
51900,10;58228
52200,10;58556
52500,10;58963
52800,10;59328
53100,10;59728
53400,10;60018
53700,10;60335
54000,10;60721
54300,10;61046
54600,10;61200
54900,10;61445
55200,10;61684
55500,10;62042
55800,10;62455
56100,10;62644
56400,10;62899
56700,10;63262
57000,10;63582
57300,10;63990
57600,10;64283
57900,10;64566
58200,10;64919
58500,10;65297
58800,10;65654
59100,10;66041
59400,10;66369
59700,10;66737
60000,10;67112
60300,10;67323
60600,10;67697
60900,10;68065
61200,10;68356
61500,10;68687
61800,10;69060
62100,10;69456
62400,10;69726
62700,10;70121
63000,10;70516
63300,10;70864
63600,10;71170
63900,10;71535
64200,10;71924
64500,10;72313
64800,10;72665
65100,10;72917
65400,10;73307
65700,10;73579
66000,10;73927
66300,10;74309
66600,10;74727
66900,10;74837
67200,10;74937
67500,10;75114
67800,10;75291
68100,10;75684
68400,10;76068
68700,10;76411
69000,10;76798
69300,10;77160
69600,10;77429
69900,10;77793
70200,10;78135
70500,10;78496
70800,10;78864
71100,10;79168
71400,10;79562
71700,10;79928
72000,10;80214
72300,10;80539
72600,10;80893
72900,10;81272
73200,10;81429
73500,10;81824
73800,10;82098
74100,10;82502
74400,10;82848
74700,10;83214
75000,10;83591
75300,10;83958
75600,10;84325
75900,10;84734
76200,10;84981
76500,10;85148
76800,10;85487
77100,10;85901
77400,10;86065
77700,10;86302
78000,10;86436
78300,10;86785
78600,10;87054
78900,10;87400
79200,10;87800
79500,10;87972
79800,10;88170
80100,10;88540
80400,10;88869
80700,10;89215
81000,10;89630
81300,10;89894
81600,10;90092
81900,10;90410
82200,10;90796
82500,10;90990
82800,10;91224
83100,10;91601
83400,10;91832
83700,10;92248
84000,10;92531
84300,10;92775
84600,10;93124
84900,10;93495
85200,10;93863
85500,10;94083
85800,10;94325
86100,10;94703
