time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,0520
90,10;0,0540
120,10;0,1681
150,10;0,1886
180,10;0,1838
210,10;0,3846
240,10;0,3689
270,10;0,3318
300,10;0,2986
330,10;0,2691
360,10;0,2424
390,10;0,2593
420,10;0,2117
450,10;0,2082
480,10;0,1871
510,10;0,1818
540,10;0,1835
570,10;0,1820
600,10;0,1888
630,10;0,1650
660,10;0,1602
690,10;0,1538
720,10;0,1655
750,10;0,1647
780,10;0,1682
810,10;0,1752
840,10;0,1749
870,10;0,1687
900,10;0,1932
930,10;0,1987
960,10;0,1844
990,10;0,1931
1020,10;0,2051
1050,10;0,2036
1080,10;0,1998
1110,10;0,2199
1140,10;0,2340
1170,10;0,2212
1200,10;0,2219
1230,10;0,2151
1260,10;0,2057
1290,10;0,2061
1320,10;0,2025
1350,10;0,2038
1380,10;0,2128
1410,10;0,2221
1440,10;0,2357
1470,10;0,2274
1500,10;0,2311
1530,10;0,2483
1560,10;0,2153
1590,10;0,2246
1620,10;0,2271
1650,10;0,2282
1680,10;0,2252
1710,10;0,2351
1740,10;0,2259
1770,10;0,2266
1800,10;0,2168
1830,10;0,2149
1860,10;0,2188
1890,10;0,2062
1920,10;0,2205
1950,10;0,2182
1980,10;0,2012
2010,10;0,1992
2040,10;0,1937
2070,10;0,1995
2100,10;0,1946
2130,10;0,1919
2160,10;0,1977
2190,10;0,1830
2220,10;0,1946
2250,10;0,2011
2280,10;0,1990
2310,10;0,1896
2340,10;0,2076
2370,10;0,1904
2400,10;0,2019
2430,10;0,2021
2460,10;0,1911
2490,10;0,1925
2520,10;0,1860
2550,10;0,1866
2580,10;0,1855
2610,10;0,1995
2640,10;0,1893
2670,10;0,1977
2700,10;0,2005
2730,10;0,2085
2760,10;0,1964
2790,10;0,2036
2820,10;0,2251
2850,10;0,2077
2880,10;0,2053
2910,10;0,1922
2940,10;0,1938
2970,10;0,1944
3000,10;0,1972
3030,10;0,2060
3060,10;0,1904
3090,10;0,1891
3120,10;0,1950
3150,10;0,1814
3180,10;0,2025
3210,10;0,1939
3240,10;0,2101
3270,10;0,1944
3300,10;0,2007
3330,10;0,2090
3360,10;0,2104
3390,10;0,2033
3420,10;0,1918
3450,10;0,2049
3480,10;0,1955
3510,10;0,2046
3540,10;0,2071
3570,10;0,2189
3600,10;0,1999
3630,10;0,1947
3660,10;0,2048
3690,10;0,1985
3720,10;0,1970
3750,10;0,1990
3780,10;0,2030
3810,10;0,1985
3840,10;0,1928
3870,10;0,2068
3900,10;0,2027
3930,10;0,2104
3960,10;0,2008
3990,10;0,2025
4020,10;0,2123
4050,10;0,2042
4080,10;0,2000
4110,10;0,2085
4140,10;0,2018
4170,10;0,2138
4200,10;0,2015
4230,10;0,2036
4260,10;0,1959
4290,10;0,2015
4320,10;0,2072
4350,10;0,1979
4380,10;0,1998
4410,10;0,1959
4440,10;0,1955
4470,10;0,1945
4500,10;0,2037
4530,10;0,2036
4560,10;0,2065
4590,10;0,2049
4620,10;0,1911
4650,10;0,2043
4680,10;0,1955
4710,10;0,2015
4740,10;0,2035
4770,10;0,2061
4800,10;0,2026
4830,10;0,2038
4860,10;0,2064
4890,10;0,1899
4920,10;0,1964
4950,10;0,2066
4980,10;0,1962
5010,10;0,1941
5040,10;0,1973
5070,10;0,1913
5100,10;0,2021
5130,10;0,1972
5160,10;0,2033
5190,10;0,2005
5220,10;0,2094
5250,10;0,1974
5280,10;0,2089
5310,10;0,2019
5340,10;0,1996
5370,10;0,2054
5400,10;0,2022
5430,10;0,2063
5460,10;0,2024
5490,10;0,2012
5520,10;0,2012
5550,10;0,2030
5580,10;0,1993
5610,10;0,1989
5640,10;0,2082
5670,10;0,1936
5700,10;0,1988
5730,10;0,1947
5760,10;0,1976
5790,10;0,2036
5820,10;0,2021
5850,10;0,1994
5880,10;0,1955
5910,10;0,1922
5940,10;0,1950
5970,10;0,1984
6000,10;0,1983
6030,10;0,2086
6060,10;0,2120
6090,10;0,2027
6120,10;0,2010
6150,10;0,2008
6180,10;0,2017
6210,10;0,2014
6240,10;0,2025
6270,10;0,1956
6300,10;0,2073
6330,10;0,1949
6360,10;0,1949
6390,10;0,1944
6420,10;0,2082
6450,10;0,1993
6480,10;0,1950
6510,10;0,2089
6540,10;0,2048
6570,10;0,1999
6600,10;0,1991
6630,10;0,2085
6660,10;0,1886
6690,10;0,1808
6720,10;0,1931
6750,10;0,2025
6780,10;0,1940
6810,10;0,1978
6840,10;0,1967
6870,10;0,2009
6900,10;0,1919
6930,10;0,1953
6960,10;0,1895
6990,10;0,1876
7020,10;0,1899
7050,10;0,2023
7080,10;0,1932
7110,10;0,2098
7140,10;0,2033
7170,10;0,2120
7200,10;0,1954
7230,10;0,2067
7260,10;0,2042
7290,10;0,1962
7320,10;0,2152
7350,10;0,2229
7380,10;0,2131
7410,10;0,2064
7440,10;0,2015
7470,10;0,2041
7500,10;0,2025
7530,10;0,2039
7560,10;0,2178
7590,10;0,1978
7620,10;0,1970
7650,10;0,1887
7680,10;0,2188
7710,10;0,1844
7740,10;0,2171
7770,10;0,1919
7800,10;0,1996
7830,10;0,1843
7860,10;0,1971
7890,10;0,2067
7920,10;0,1973
7950,10;0,1998
7980,10;0,1979
8010,10;0,1974
8040,10;0,2001
8070,10;0,2155
8100,10;0,1961
8130,10;0,1876
8160,10;0,2021
8190,10;0,2178
8220,10;0,1946
8250,10;0,1923
8280,10;0,2052
8310,10;0,1970
8340,10;0,2091
8370,10;0,1911
8400,10;0,1988
8430,10;0,1840
8460,10;0,1957
8490,10;0,1891
8520,10;0,2021
8550,10;0,1876
8580,10;0,2034
8610,10;0,2045
8640,10;0,2081
8670,10;0,2157
8700,10;0,2128
8730,10;0,2257
8760,10;0,2186
8790,10;0,2129
8820,10;0,2119
8850,10;0,2107
8880,10;0,2043
8910,10;0,2024
8940,10;0,1977
8970,10;0,2035
9000,10;0,1942
9030,10;0,2141
9060,10;0,2010
9090,10;0,2088
9120,10;0,2012
9150,10;0,1923
9180,10;0,1988
9210,10;0,1991
9240,10;0,2121
9270,10;0,2030
9300,10;0,1978
9330,10;0,1914
9360,10;0,2035
9390,10;0,2020
9420,10;0,2049
9450,10;0,2005
9480,10;0,1967
9510,10;0,1922
9540,10;0,2026
9570,10;0,2065
9600,10;0,1884
9630,10;0,1868
9660,10;0,1931
9690,10;0,1908
9720,10;0,1782
9750,10;0,1892
9780,10;0,2012
9810,10;0,1867
9840,10;0,1909
9870,10;0,1902
9900,10;0,1814
9930,10;0,1836
9960,10;0,1802
9990,10;0,1772
10020,10;0,1880
10050,10;0,1902
10080,10;0,2017
10110,10;0,1870
10140,10;0,1872
10170,10;0,2015
10200,10;0,1765
10230,10;0,1802
10260,10;0,1886
10290,10;0,1878
10320,10;0,1925
10350,10;0,1984
10380,10;0,1967
10410,10;0,1921
10440,10;0,1937
10470,10;0,1869
10500,10;0,1930
10530,10;0,1838
10560,10;0,2000
10590,10;0,2017
10620,10;0,1862
10650,10;0,1853
10680,10;0,1813
10710,10;0,1931
10740,10;0,1894
10770,10;0,1845
10800,10;0,1884
10830,10;0,1749
10860,10;0,1858
10890,10;0,1916
10920,10;0,1902
10950,10;0,1798
10980,10;0,1973
11010,10;0,1804
11040,10;0,1905
11070,10;0,1936
11100,10;0,1849
11130,10;0,1864
11160,10;0,1835
11190,10;0,1805
11220,10;0,1741
11250,10;0,1832
11280,10;0,1757
11310,10;0,1796
11340,10;0,1808
11370,10;0,1844
11400,10;0,1781
11430,10;0,1852
11460,10;0,2054
11490,10;0,1930
11520,10;0,1936
11550,10;0,1791
11580,10;0,1800
11610,10;0,1798
11640,10;0,1846
11670,10;0,1906
11700,10;0,1783
11730,10;0,1761
11760,10;0,1785
11790,10;0,1652
11820,10;0,1843
11850,10;0,1753
11880,10;0,1915
11910,10;0,1811
11940,10;0,1866
11970,10;0,1893
12000,10;0,1927
12030,10;0,1852
12060,10;0,1748
12090,10;0,1856
12120,10;0,1832
12150,10;0,1857
12180,10;0,1852
12210,10;0,1966
12240,10;0,1831
12270,10;0,1765
12300,10;0,1887
12330,10;0,1852
12360,10;0,1885
12390,10;0,1896
12420,10;0,1908
12450,10;0,1906
12480,10;0,1873
12510,10;0,1935
12540,10;0,1923
12570,10;0,1950
12600,10;0,1845
12630,10;0,1883
12660,10;0,1999
12690,10;0,1902
12720,10;0,1886
12750,10;0,1945
12780,10;0,1828
12810,10;0,1936
12840,10;0,1825
12870,10;0,1813
12900,10;0,1772
12930,10;0,1800
12960,10;0,1847
12990,10;0,1782
13020,10;0,1803
13050,10;0,1818
13080,10;0,1813
13110,10;0,1796
13140,10;0,1911
13170,10;0,1912
13200,10;0,1941
13230,10;0,1913
13260,10;0,1796
13290,10;0,1935
13320,10;0,1874
13350,10;0,1929
13380,10;0,1928
13410,10;0,1927
13440,10;0,1895
13470,10;0,1932
13500,10;0,1993
13530,10;0,1839
13560,10;0,1928
13590,10;0,1975
13620,10;0,1901
13650,10;0,1899
13680,10;0,1925
13710,10;0,1855
13740,10;0,1959
13770,10;0,1937
13800,10;0,1934
13830,10;0,1912
13860,10;0,1990
13890,10;0,1870
13920,10;0,1939
13950,10;0,1881
13980,10;0,1882
14010,10;0,1937
14040,10;0,1906
14070,10;0,1900
14100,10;0,1901
14130,10;0,1914
14160,10;0,1910
14190,10;0,1915
14220,10;0,1886
14250,10;0,1864
14280,10;0,1939
14310,10;0,1799
14340,10;0,1854
14370,10;0,1788
14400,10;0,1791
14430,10;0,1872
14460,10;0,1865
14490,10;0,1865
14520,10;0,1803
14550,10;0,1793
14580,10;0,1797
14610,10;0,1822
14640,10;0,1803
14670,10;0,1914
14700,10;0,1910
14730,10;0,1832
14760,10;0,1827
14790,10;0,1839
14820,10;0,1847
14850,10;0,1799
14880,10;0,1823
14910,10;0,1777
14940,10;0,1891
14970,10;0,1784
15000,10;0,1793
15030,10;0,1830
15060,10;0,1940
15090,10;0,1852
15120,10;0,1795
15150,10;0,1956
15180,10;0,1877
15210,10;0,1866
15240,10;0,1853
15270,10;0,1943
15300,10;0,1744
15330,10;0,1697
15360,10;0,1827
15390,10;0,1879
15420,10;0,1832
15450,10;0,1854
15480,10;0,1861
15510,10;0,1902
15540,10;0,1783
15570,10;0,1837
15600,10;0,1778
15630,10;0,1764
15660,10;0,1763
15690,10;0,1864
15720,10;0,1775
15750,10;0,1910
15780,10;0,1804
15810,10;0,1869
15840,10;0,1722
15870,10;0,1818
15900,10;0,1801
15930,10;0,1725
15960,10;0,1862
15990,10;0,1925
16020,10;0,1856
16050,10;0,1791
16080,10;0,1736
16110,10;0,1759
16140,10;0,1731
16170,10;0,1740
16200,10;0,1884
16230,10;0,1736
16260,10;0,1685
16290,10;0,1641
16320,10;0,1873
16350,10;0,1605
16380,10;0,1898
16410,10;0,1683
16440,10;0,1747
16470,10;0,1608
16500,10;0,1768
16530,10;0,1837
16560,10;0,1806
16590,10;0,1829
16620,10;0,1840
16650,10;0,1795
16680,10;0,1813
16710,10;0,1932
16740,10;0,1745
16770,10;0,1676
16800,10;0,1812
16830,10;0,1969
16860,10;0,1777
16890,10;0,1751
16920,10;0,1880
16950,10;0,1806
16980,10;0,1910
17010,10;0,1770
17040,10;0,1815
17070,10;0,1683
17100,10;0,1782
17130,10;0,1776
17160,10;0,1899
17190,10;0,1761
17220,10;0,1908
17250,10;0,1954
17280,10;0,2023
