migration_time;num_of_mig_cum
300,10;832
600,10;1324
900,10;1526
1200,10;1799
1500,10;2146
1800,10;2543
2100,10;2907
2400,10;3316
2700,10;3655
3000,10;4086
3300,10;4389
3600,10;4774
3900,10;5040
4200,10;5479
4500,10;5686
4800,10;5981
5100,10;6159
5400,10;6436
5700,10;6682
6000,10;6886
6300,10;7221
6600,10;7452
6900,10;7658
7200,10;7889
7500,10;8184
7800,10;8414
8100,10;8641
8400,10;8823
8700,10;9031
9000,10;9278
9300,10;9546
9600,10;9815
9900,10;9990
10200,10;10271
10500,10;10507
10800,10;10702
11100,10;10910
11400,10;11193
11700,10;11419
12000,10;11599
12300,10;11841
12600,10;12040
12900,10;12232
13200,10;12497
13500,10;12794
13800,10;12993
14100,10;13311
14400,10;13554
14700,10;13818
15000,10;14038
15300,10;14303
15600,10;14564
15900,10;14682
16200,10;14891
16500,10;15158
16800,10;15374
17100,10;15643
17400,10;15899
17700,10;16134
18000,10;16372
18300,10;16605
18600,10;16794
18900,10;17045
19200,10;17246
19500,10;17505
19800,10;17765
20100,10;17945
20400,10;18150
20700,10;18378
21000,10;18695
21300,10;18887
21600,10;19100
21900,10;19306
22200,10;19431
22500,10;19677
22800,10;19815
23100,10;19959
23400,10;20110
23700,10;20388
24000,10;20564
24300,10;20825
24600,10;21071
24900,10;21270
25200,10;21475
25500,10;21684
25800,10;21918
26100,10;22157
26400,10;22463
26700,10;22638
27000,10;22864
27300,10;23062
27600,10;23281
27900,10;23435
28200,10;23701
28500,10;23976
28800,10;24130
29100,10;24285
29400,10;24456
29700,10;24651
30000,10;24855
30300,10;25062
30600,10;25272
30900,10;25485
31200,10;25730
31500,10;25894
31800,10;26048
32100,10;26257
32400,10;26461
32700,10;26705
33000,10;26921
33300,10;27224
33600,10;27451
33900,10;27633
34200,10;27848
34500,10;28026
34800,10;28266
35100,10;28481
35400,10;28714
35700,10;28893
36000,10;29119
36300,10;29232
36600,10;29413
36900,10;29597
37200,10;29761
37500,10;29979
37800,10;30147
38100,10;30338
38400,10;30570
38700,10;30770
39000,10;30986
39300,10;31177
39600,10;31406
39900,10;31568
40200,10;31755
40500,10;31898
40800,10;32078
41100,10;32231
41400,10;32387
41700,10;32554
42000,10;32753
42300,10;32908
42600,10;33107
42900,10;33305
43200,10;33501
43500,10;33725
43800,10;33878
44100,10;34065
44400,10;34210
44700,10;34374
45000,10;34559
45300,10;34819
45600,10;35008
45900,10;35254
46200,10;35441
46500,10;35579
46800,10;35773
47100,10;35948
47400,10;36179
47700,10;36347
48000,10;36553
48300,10;36759
48600,10;36937
48900,10;37118
49200,10;37252
49500,10;37471
49800,10;37711
50100,10;37916
50400,10;38119
50700,10;38323
51000,10;38484
51300,10;38667
51600,10;38855
51900,10;39069
52200,10;39238
52500,10;39512
52800,10;39658
53100,10;39916
53400,10;40032
53700,10;40197
54000,10;40355
54300,10;40495
54600,10;40644
54900,10;40768
55200,10;40954
55500,10;41122
55800,10;41371
56100,10;41551
56400,10;41774
56700,10;41967
57000,10;42110
57300,10;42269
57600,10;42427
57900,10;42600
58200,10;42824
58500,10;43003
58800,10;43179
59100,10;43350
59400,10;43516
59700,10;43683
60000,10;43898
60300,10;44135
60600,10;44270
60900,10;44445
61200,10;44589
61500,10;44744
61800,10;44923
62100,10;45105
62400,10;45292
62700,10;45438
63000,10;45622
63300,10;45866
63600,10;46013
63900,10;46187
64200,10;46341
64500,10;46538
64800,10;46727
65100,10;46935
65400,10;47152
65700,10;47343
66000,10;47532
66300,10;47745
66600,10;47969
66900,10;48125
67200,10;48320
67500,10;48541
67800,10;48748
68100,10;48979
68400,10;49168
68700,10;49400
69000,10;49671
69300,10;49872
69600,10;50074
69900,10;50217
70200,10;50352
70500,10;50538
70800,10;50756
71100,10;50892
71400,10;51144
71700,10;51337
72000,10;51548
72300,10;51702
72600,10;51919
72900,10;52073
73200,10;52236
73500,10;52441
73800,10;52689
74100,10;52863
74400,10;52992
74700,10;53171
75000,10;53406
75300,10;53600
75600,10;53792
75900,10;54001
76200,10;54190
76500,10;54398
76800,10;54626
77100,10;54952
77400,10;55115
77700,10;55453
78000,10;55628
78300,10;55867
78600,10;56012
78900,10;56258
79200,10;56427
79500,10;56564
79800,10;56771
80100,10;56921
80400,10;57129
80700,10;57290
81000,10;57495
81300,10;57666
81600,10;57856
81900,10;58137
82200,10;58279
82500,10;58395
82800,10;58557
83100,10;58752
83400,10;58886
83700,10;59115
84000,10;59288
84300,10;59453
84600,10;59597
84900,10;59882
85200,10;60062
85500,10;60317
85800,10;60459
86100,10;60704
