time;num_of_active_hosts
300,10;776
600,10;134
900,10;67
1200,10;102
1500,10;109
1800,10;161
2100,10;127
2400,10;143
2700,10;117
3000,10;141
3300,10;112
3600,10;139
3900,10;86
4200,10;178
4500,10;99
4800,10;124
5100,10;75
5400,10;107
5700,10;107
6000,10;77
6300,10;136
6600,10;96
6900,10;83
7200,10;89
7500,10;142
7800,10;96
8100,10;112
8400,10;80
8700,10;95
9000,10;89
9300,10;130
9600,10;105
9900,10;65
10200,10;115
10500,10;101
10800,10;84
11100,10;79
11400,10;105
11700,10;114
12000,10;81
12300,10;108
12600,10;91
12900,10;89
13200,10;95
13500,10;110
13800,10;77
14100,10;129
14400,10;100
14700,10;109
15000,10;93
15300,10;97
15600,10;126
15900,10;57
16200,10;92
16500,10;113
16800,10;73
17100,10;117
17400,10;131
17700,10;102
18000,10;104
18300,10;104
18600,10;85
18900,10;114
19200,10;75
19500,10;110
19800,10;129
20100,10;82
20400,10;93
20700,10;88
21000,10;142
21300,10;90
21600,10;96
21900,10;105
22200,10;54
22500,10;123
22800,10;99
23100,10;75
23400,10;66
23700,10;133
24000,10;73
24300,10;120
24600,10;109
24900,10;97
25200,10;100
25500,10;95
25800,10;110
26100,10;87
26400,10;141
26700,10;84
27000,10;93
27300,10;98
27600,10;118
27900,10;63
28200,10;121
28500,10;132
28800,10;77
29100,10;90
29400,10;77
29700,10;97
30000,10;96
30300,10;95
30600,10;111
30900,10;89
31200,10;103
31500,10;91
31800,10;69
32100,10;117
32400,10;86
32700,10;112
33000,10;92
33300,10;133
33600,10;115
33900,10;86
34200,10;91
34500,10;85
34800,10;108
35100,10;100
35400,10;106
35700,10;87
36000,10;125
36300,10;56
36600,10;85
36900,10;101
37200,10;82
37500,10;107
37800,10;86
38100,10;92
38400,10;109
38700,10;93
39000,10;107
39300,10;86
39600,10;107
39900,10;69
40200,10;99
40500,10;87
40800,10;85
41100,10;98
41400,10;75
41700,10;90
42000,10;108
42300,10;69
42600,10;91
42900,10;96
43200,10;88
43500,10;111
43800,10;76
44100,10;99
44400,10;85
44700,10;76
45000,10;75
45300,10;121
45600,10;88
45900,10;117
46200,10;96
46500,10;73
46800,10;104
47100,10;73
47400,10;124
47700,10;82
48000,10;103
48300,10;100
48600,10;105
48900,10;98
49200,10;64
49500,10;103
49800,10;118
50100,10;88
50400,10;95
50700,10;105
51000,10;87
51300,10;93
51600,10;94
51900,10;105
52200,10;79
52500,10;141
52800,10;65
53100,10;128
53400,10;65
53700,10;90
54000,10;101
54300,10;81
54600,10;86
54900,10;80
55200,10;85
55500,10;83
55800,10;118
56100,10;94
56400,10;104
56700,10;101
57000,10;74
57300,10;95
57600,10;78
57900,10;91
58200,10;103
58500,10;86
58800,10;91
59100,10;81
59400,10;84
59700,10;79
60000,10;100
60300,10;105
60600,10;91
60900,10;85
61200,10;75
61500,10;84
61800,10;86
62100,10;93
62400,10;91
62700,10;88
63000,10;69
63300,10;124
63600,10;79
63900,10;78
64200,10;88
64500,10;95
64800,10;84
65100,10;93
65400,10;113
65700,10;90
66000,10;93
66300,10;93
66600,10;107
66900,10;70
67200,10;76
67500,10;96
67800,10;91
68100,10;96
68400,10;78
68700,10;91
69000,10;115
69300,10;87
69600,10;102
69900,10;71
70200,10;64
70500,10;78
70800,10;109
71100,10;69
71400,10;106
71700,10;87
72000,10;109
72300,10;72
72600,10;100
72900,10;79
73200,10;60
73500,10;95
73800,10;120
74100,10;80
74400,10;70
74700,10;67
75000,10;89
75300,10;92
75600,10;78
75900,10;98
76200,10;70
76500,10;77
76800,10;74
77100,10;135
77400,10;50
77700,10;135
78000,10;68
78300,10;98
78600,10;55
78900,10;110
79200,10;92
79500,10;59
79800,10;87
80100,10;69
80400,10;88
80700,10;77
81000,10;90
81300,10;70
81600,10;71
81900,10;130
82200,10;76
82500,10;50
82800,10;60
83100,10;101
83400,10;65
83700,10;92
84000,10;75
84300,10;78
84600,10;51
84900,10;106
85200,10;66
85500,10;116
85800,10;50
86100,10;103
