time;num_of_active_hosts
300,10;393
600,10;54
900,10;55
1200,10;57
1500,10;57
1800,10;59
2100,10;57
2400,10;56
2700,10;54
3000,10;57
3300,10;52
3600,10;54
3900,10;50
4200,10;53
4500,10;54
4800,10;54
5100,10;53
5400,10;49
5700,10;51
6000,10;50
6300,10;52
6600,10;50
6900,10;49
7200,10;47
7500,10;51
7800,10;51
8100,10;54
8400,10;50
8700,10;49
9000,10;47
9300,10;49
9600,10;50
9900,10;46
10200,10;45
10500,10;47
10800,10;46
11100,10;43
11400,10;44
11700,10;47
12000,10;45
12300,10;45
12600,10;43
12900,10;42
13200,10;43
13500,10;43
13800,10;41
14100,10;43
14400,10;44
14700,10;46
15000,10;44
15300,10;45
15600,10;48
15900,10;43
16200,10;42
16500,10;45
16800,10;45
17100,10;45
17400,10;47
17700,10;48
18000,10;47
18300,10;47
18600,10;46
18900,10;48
19200,10;45
19500,10;48
19800,10;50
20100,10;48
20400,10;46
20700,10;44
21000,10;48
21300,10;47
21600,10;47
21900,10;48
22200,10;43
22500,10;48
22800,10;50
23100,10;48
23400,10;45
23700,10;51
24000,10;47
24300,10;48
24600,10;49
24900,10;48
25200,10;50
25500,10;46
25800,10;45
26100,10;43
26400,10;48
26700,10;47
27000,10;48
27300,10;49
27600,10;49
27900,10;46
28200,10;47
28500,10;53
28800,10;48
29100,10;51
29400,10;47
29700,10;48
30000,10;46
30300,10;48
30600,10;49
30900,10;48
31200,10;47
31500,10;46
31800,10;43
32100,10;49
32400,10;47
32700,10;51
33000,10;48
33300,10;48
33600,10;48
33900,10;50
34200,10;47
34500,10;45
34800,10;47
35100,10;47
35400,10;48
35700,10;47
36000,10;53
36300,10;47
36600,10;46
36900,10;49
37200,10;48
37500,10;49
37800,10;48
38100,10;47
38400,10;47
38700,10;47
39000,10;49
39300,10;48
39600,10;51
39900,10;45
40200,10;49
40500,10;51
40800,10;52
41100,10;48
41400,10;51
41700,10;47
42000,10;52
42300,10;48
42600,10;49
42900,10;46
43200,10;49
43500,10;50
43800,10;49
44100,10;48
44400,10;48
44700,10;47
45000,10;46
45300,10;49
45600,10;50
45900,10;51
46200,10;52
46500,10;47
46800,10;52
47100,10;47
47400,10;52
47700,10;50
48000,10;51
48300,10;51
48600,10;49
48900,10;52
49200,10;47
49500,10;48
49800,10;51
50100,10;50
50400,10;49
50700,10;50
51000,10;48
51300,10;51
51600,10;50
51900,10;49
52200,10;49
52500,10;50
52800,10;49
53100,10;49
53400,10;48
53700,10;47
54000,10;51
54300,10;49
54600,10;50
54900,10;50
55200,10;50
55500,10;49
55800,10;47
56100,10;47
56400,10;48
56700,10;51
57000,10;44
57300,10;48
57600,10;47
57900,10;47
58200,10;49
58500,10;50
58800,10;49
59100,10;49
59400,10;47
59700,10;46
60000,10;48
60300,10;45
60600,10;49
60900,10;47
61200,10;47
61500,10;47
61800,10;47
62100,10;47
62400,10;46
62700,10;46
63000,10;45
63300,10;48
63600,10;45
63900,10;44
64200,10;45
64500,10;48
64800,10;45
65100,10;44
65400,10;48
65700,10;45
66000,10;47
66300,10;48
66600,10;50
66900,10;43
67200,10;41
67500,10;43
67800,10;45
68100,10;44
68400,10;44
68700,10;44
69000,10;44
69300,10;41
69600,10;42
69900,10;41
70200,10;40
70500,10;42
70800,10;45
71100,10;42
71400,10;46
71700,10;44
72000,10;45
72300,10;42
72600,10;44
72900,10;42
73200,10;41
73500,10;43
73800,10;45
74100,10;43
74400,10;43
74700,10;41
75000,10;40
75300,10;41
75600,10;41
75900,10;42
76200,10;40
76500,10;38
76800,10;36
77100,10;43
77400,10;37
77700,10;45
78000,10;37
78300,10;40
78600,10;35
78900,10;40
79200,10;42
79500,10;40
79800,10;41
80100,10;42
80400,10;39
80700,10;40
81000,10;41
81300,10;40
81600,10;36
81900,10;39
82200,10;43
82500,10;39
82800,10;40
83100,10;42
83400,10;39
83700,10;41
84000,10;38
84300,10;39
84600,10;38
84900,10;39
85200,10;37
85500,10;40
85800,10;38
86100,10;40
