time;num_of_active_hosts_new
300,10;800
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;96
2400,10;88
2700,10;82
3000,10;84
3300,10;68
3600,10;67
3900,10;61
4200,10;89
4500,10;108
4800,10;96
5100,10;88
5400,10;65
5700,10;90
6000,10;92
6300,10;104
6600,10;105
6900,10;87
7200,10;79
7500,10;102
7800,10;98
8100,10;95
8400,10;83
8700,10;83
9000,10;73
9300,10;126
9600,10;91
9900,10;87
10200,10;84
10500,10;72
10800,10;74
11100,10;70
11400,10;94
11700,10;112
12000,10;77
12300,10;97
12600,10;95
12900,10;79
13200,10;80
13500,10;85
13800,10;79
14100,10;88
14400,10;67
14700,10;112
15000,10;77
15300,10;90
15600,10;102
15900,10;75
16200,10;63
16500,10;79
16800,10;83
17100,10;78
17400,10;114
17700,10;83
18000,10;81
18300,10;74
18600,10;90
18900,10;81
19200,10;67
19500,10;101
19800,10;102
20100,10;84
20400,10;74
20700,10;78
21000,10;96
21300,10;90
21600,10;69
21900,10;88
22200,10;79
22500,10;109
22800,10;105
23100,10;80
23400,10;73
23700,10;78
24000,10;81
24300,10;103
24600,10;86
24900,10;79
25200,10;79
25500,10;69
25800,10;102
26100,10;84
26400,10;93
26700,10;86
27000,10;97
27300,10;94
27600,10;92
27900,10;72
28200,10;97
28500,10;112
28800,10;95
29100,10;76
29400,10;79
29700,10;75
30000,10;82
30300,10;83
30600,10;88
30900,10;74
31200,10;78
31500,10;88
31800,10;69
32100,10;103
32400,10;97
32700,10;108
33000,10;80
33300,10;92
33600,10;83
33900,10;93
34200,10;81
34500,10;62
34800,10;88
35100,10;82
35400,10;80
35700,10;99
36000,10;99
36300,10;70
36600,10;68
36900,10;96
37200,10;84
37500,10;87
37800,10;90
38100,10;74
38400,10;88
38700,10;80
39000,10;86
39300,10;84
39600,10;87
39900,10;82
40200,10;82
40500,10;115
40800,10;103
41100,10;78
41400,10;73
41700,10;70
42000,10;98
42300,10;78
42600,10;102
42900,10;85
43200,10;78
43500,10;100
43800,10;75
44100,10;87
44400,10;77
44700,10;81
45000,10;79
45300,10;89
45600,10;95
45900,10;110
46200,10;94
46500,10;89
46800,10;91
47100,10;77
47400,10;80
47700,10;74
48000,10;93
48300,10;90
48600,10;83
48900,10;103
49200,10;79
49500,10;96
49800,10;104
50100,10;90
50400,10;69
50700,10;74
51000,10;60
51300,10;104
51600,10;91
51900,10;79
52200,10;72
52500,10;101
52800,10;74
53100,10;110
53400,10;88
53700,10;89
54000,10;106
54300,10;92
54600,10;93
54900,10;69
55200,10;82
55500,10;85
55800,10;86
56100,10;85
56400,10;89
56700,10;104
57000,10;73
57300,10;87
57600,10;78
57900,10;94
58200,10;79
58500,10;94
58800,10;85
59100,10;82
59400,10;71
59700,10;75
60000,10;81
60300,10;89
60600,10;87
60900,10;77
61200,10;68
61500,10;75
61800,10;91
62100,10;89
62400,10;86
62700,10;96
63000,10;69
63300,10;116
63600,10;76
63900,10;77
64200,10;73
64500,10;92
64800,10;92
65100,10;77
65400,10;105
65700,10;89
66000,10;80
66300,10;74
66600,10;77
66900,10;64
67200,10;52
67500,10;70
67800,10;99
68100,10;88
68400,10;81
68700,10;77
69000,10;76
69300,10;78
69600,10;83
69900,10;61
70200,10;77
70500,10;65
70800,10;91
71100,10;77
71400,10;110
71700,10;95
72000,10;80
72300,10;58
72600,10;82
72900,10;77
73200,10;59
73500,10;87
73800,10;103
74100,10;86
74400,10;74
74700,10;68
75000,10;67
75300,10;75
75600,10;74
75900,10;102
76200,10;75
76500,10;61
76800,10;50
77100,10;110
77400,10;65
77700,10;98
78000,10;73
78300,10;74
78600,10;54
78900,10;81
79200,10;87
79500,10;76
79800,10;71
80100,10;74
80400,10;73
80700,10;57
81000,10;87
81300,10;67
81600,10;65
81900,10;70
82200,10;101
82500,10;66
82800,10;81
83100,10;90
83400,10;63
83700,10;65
84000,10;52
84300,10;77
84600,10;81
84900,10;73
85200,10;74
85500,10;95
85800,10;63
86100,10;68
