migration_time;num_of_mig
300,10;832
600,10;492
900,10;186
1200,10;217
1500,10;252
1800,10;289
2100,10;249
2400,10;235
2700,10;235
3000,10;220
3300,10;206
3600,10;191
3900,10;191
4200,10;283
4500,10;182
4800,10;190
5100,10;146
5400,10;161
5700,10;170
6000,10;181
6300,10;181
6600,10;124
6900,10;175
7200,10;206
7500,10;194
7800,10;124
8100,10;147
8400,10;123
8700,10;124
9000,10;98
9300,10;183
9600,10;169
9900,10;161
10200,10;136
10500,10;164
10800,10;172
11100,10;117
11400,10;134
11700,10;138
12000,10;122
12300,10;167
12600,10;150
12900,10;175
13200,10;188
13500,10;132
13800,10;135
14100,10;169
14400,10;164
14700,10;191
15000,10;117
15300,10;120
15600,10;256
15900,10;112
16200,10;163
16500,10;142
16800,10;140
17100,10;145
17400,10;150
17700,10;137
18000,10;124
18300,10;123
18600,10;118
18900,10;137
19200,10;95
19500,10;163
19800,10;187
20100,10;114
20400,10;154
20700,10;127
21000,10;184
21300,10;107
21600,10;119
21900,10;122
22200,10;132
22500,10;164
22800,10;121
23100,10;111
23400,10;97
23700,10;178
24000,10;98
24300,10;148
24600,10;133
24900,10;98
25200,10;130
25500,10;115
25800,10;188
26100,10;151
26400,10;171
26700,10;91
27000,10;120
27300,10;85
27600,10;111
27900,10;117
28200,10;189
28500,10;224
28800,10;112
29100,10;126
29400,10;116
29700,10;133
30000,10;139
30300,10;146
30600,10;146
30900,10;94
31200,10;110
31500,10;111
31800,10;129
32100,10;200
32400,10;155
32700,10;207
33000,10;116
33300,10;186
33600,10;148
33900,10;154
34200,10;117
34500,10;96
34800,10;172
35100,10;148
35400,10;134
35700,10;155
36000,10;135
36300,10;89
36600,10;113
36900,10;166
37200,10;132
37500,10;150
37800,10;128
38100,10;163
38400,10;162
38700,10;129
39000,10;149
39300,10;133
39600,10;140
39900,10;142
40200,10;150
40500,10;164
40800,10;110
41100,10;145
41400,10;163
41700,10;180
42000,10;129
42300,10;107
42600,10;118
42900,10;89
43200,10;133
43500,10;124
43800,10;117
44100,10;140
44400,10;129
44700,10;99
45000,10;122
45300,10;137
45600,10;131
45900,10;139
46200,10;124
46500,10;122
46800,10;198
47100,10;138
47400,10;152
47700,10;129
48000,10;152
48300,10;130
48600,10;147
48900,10;164
49200,10;88
49500,10;141
49800,10;161
50100,10;137
50400,10;103
50700,10;104
51000,10;110
51300,10;109
51600,10;101
51900,10;159
52200,10;128
52500,10;173
52800,10;115
53100,10;158
53400,10;113
53700,10;84
54000,10;167
54300,10;141
54600,10;146
54900,10;138
55200,10;101
55500,10;122
55800,10;128
56100,10;110
56400,10;130
56700,10;121
57000,10;105
57300,10;174
57600,10;162
57900,10;156
58200,10;137
58500,10;113
58800,10;105
59100,10;97
59400,10;90
59700,10;126
60000,10;132
60300,10;177
60600,10;170
60900,10;114
61200,10;108
61500,10;116
61800,10;131
62100,10;158
62400,10;163
62700,10;137
63000,10;119
63300,10;154
63600,10;127
63900,10;153
64200,10;146
64500,10;171
64800,10;136
65100,10;144
65400,10;231
65700,10;148
66000,10;154
66300,10;137
66600,10;184
66900,10;102
67200,10;113
67500,10;165
67800,10;169
68100,10;129
68400,10;127
68700,10;148
69000,10;200
69300,10;117
69600,10;119
69900,10;154
70200,10;128
70500,10;143
70800,10;130
71100,10;104
71400,10;149
71700,10;113
72000,10;135
72300,10;116
72600,10;156
72900,10;89
73200,10;123
73500,10;199
73800,10;187
74100,10;135
74400,10;116
74700,10;108
75000,10;125
75300,10;112
75600,10;140
75900,10;169
76200,10;100
76500,10;82
76800,10;121
77100,10;253
77400,10;90
77700,10;215
78000,10;119
78300,10;217
78600,10;95
78900,10;198
79200,10;224
79500,10;119
79800,10;137
80100,10;100
80400,10;100
80700,10;115
81000,10;157
81300,10;136
81600,10;109
81900,10;215
82200,10;216
82500,10;118
82800,10;142
83100,10;156
83400,10;108
83700,10;135
84000,10;111
84300,10;179
84600,10;93
84900,10;113
85200,10;91
85500,10;137
85800,10;83
86100,10;154
