migration_time;num_of_mig
30,10;838
60,10;96
90,10;37
120,10;295
150,10;239
180,10;119
210,10;98
240,10;81
270,10;86
300,10;70
330,10;62
360,10;99
390,10;179
420,10;161
450,10;128
480,10;126
510,10;83
540,10;164
570,10;148
600,10;125
630,10;92
660,10;140
690,10;124
720,10;173
750,10;137
780,10;168
810,10;126
840,10;116
870,10;98
900,10;116
930,10;119
960,10;104
990,10;97
1020,10;136
1050,10;99
1080,10;85
1110,10;100
1140,10;129
1170,10;96
1200,10;100
1230,10;89
1260,10;94
1290,10;102
1320,10;123
1350,10;96
1380,10;88
1410,10;123
1440,10;100
1470,10;84
1500,10;92
1530,10;109
1560,10;68
1590,10;79
1620,10;96
1650,10;66
1680,10;102
1710,10;89
1740,10;96
1770,10;88
1800,10;118
1830,10;81
1860,10;88
1890,10;84
1920,10;90
1950,10;130
1980,10;77
2010,10;65
2040,10;78
2070,10;69
2100,10;80
2130,10;83
2160,10;71
2190,10;60
2220,10;71
2250,10;78
2280,10;80
2310,10;77
2340,10;73
2370,10;89
2400,10;82
2430,10;84
2460,10;57
2490,10;84
2520,10;73
2550,10;67
2580,10;83
2610,10;77
2640,10;71
2670,10;83
2700,10;79
2730,10;70
2760,10;81
2790,10;67
2820,10;91
2850,10;83
2880,10;82
2910,10;49
2940,10;48
2970,10;104
3000,10;96
3030,10;78
3060,10;79
3090,10;82
3120,10;83
3150,10;80
3180,10;103
3210,10;67
3240,10;96
3270,10;79
3300,10;89
3330,10;99
3360,10;104
3390,10;84
3420,10;87
3450,10;72
3480,10;83
3510,10;104
3540,10;89
3570,10;112
3600,10;90
3630,10;94
3660,10;94
3690,10;86
3720,10;104
3750,10;76
3780,10;93
3810,10;106
3840,10;90
3870,10;102
3900,10;88
3930,10;92
3960,10;70
3990,10;82
4020,10;114
4050,10;80
4080,10;94
4110,10;99
4140,10;72
4170,10;91
4200,10;106
4230,10;98
4260,10;82
4290,10;116
4320,10;100
4350,10;100
4380,10;90
4410,10;88
4440,10;111
4470,10;66
4500,10;97
4530,10;113
4560,10;89
4590,10;87
4620,10;79
4650,10;110
4680,10;101
4710,10;110
4740,10;96
4770,10;94
4800,10;90
4830,10;98
4860,10;88
4890,10;63
4920,10;91
4950,10;109
4980,10;76
5010,10;83
5040,10;88
5070,10;69
5100,10;88
5130,10;101
5160,10;102
5190,10;94
5220,10;89
5250,10;87
5280,10;81
5310,10;85
5340,10;90
5370,10;71
5400,10;79
5430,10;95
5460,10;87
5490,10;82
5520,10;88
5550,10;91
5580,10;89
5610,10;65
5640,10;94
5670,10;66
5700,10;92
5730,10;82
5760,10;63
5790,10;77
5820,10;91
5850,10;102
5880,10;82
5910,10;81
5940,10;80
5970,10;89
6000,10;106
6030,10;116
6060,10;89
6090,10;86
6120,10;74
6150,10;90
6180,10;74
6210,10;79
6240,10;82
6270,10;77
6300,10;73
6330,10;64
6360,10;81
6390,10;72
6420,10;82
6450,10;81
6480,10;79
6510,10;80
6540,10;86
6570,10;68
6600,10;73
6630,10;74
6660,10;70
6690,10;67
6720,10;68
6750,10;94
6780,10;60
6810,10;52
6840,10;99
6870,10;107
6900,10;60
6930,10;55
6960,10;102
6990,10;82
7020,10;56
7050,10;73
7080,10;61
7110,10;83
7140,10;56
7170,10;85
7200,10;88
7230,10;68
7260,10;84
7290,10;67
7320,10;92
7350,10;71
7380,10;93
7410,10;91
7440,10;95
7470,10;77
7500,10;84
7530,10;80
7560,10;83
7590,10;78
7620,10;73
7650,10;95
7680,10;110
7710,10;38
7740,10;126
7770,10;73
7800,10;89
7830,10;47
7860,10;65
7890,10;89
7920,10;79
7950,10;68
7980,10;78
8010,10;81
8040,10;68
8070,10;82
8100,10;78
8130,10;54
8160,10;86
8190,10;119
8220,10;69
8250,10;85
8280,10;95
8310,10;71
8340,10;97
8370,10;82
8400,10;74
8430,10;65
8460,10;86
8490,10;68
8520,10;98
8550,10;79
8580,10;98
8610,10;91
8640,10;81
8670,10;92
8700,10;72
8730,10;85
8760,10;81
8790,10;63
8820,10;70
8850,10;106
8880,10;91
8910,10;51
8940,10;86
8970,10;63
9000,10;82
9030,10;105
9060,10;88
9090,10;68
9120,10;45
9150,10;62
9180,10;88
9210,10;50
9240,10;78
9270,10;78
9300,10;62
9330,10;49
9360,10;83
9390,10;100
9420,10;69
9450,10;67
9480,10;73
9510,10;53
9540,10;68
9570,10;104
9600,10;60
9630,10;74
9660,10;61
9690,10;62
9720,10;76
9750,10;65
9780,10;97
9810,10;95
9840,10;63
9870,10;79
9900,10;65
9930,10;71
9960,10;91
9990,10;66
10020,10;78
10050,10;61
10080,10;105
10110,10;64
10140,10;65
10170,10;98
10200,10;53
10230,10;45
10260,10;78
10290,10;58
10320,10;63
10350,10;80
10380,10;58
10410,10;54
10440,10;66
10470,10;64
10500,10;70
10530,10;66
10560,10;71
10590,10;76
10620,10;63
10650,10;65
10680,10;63
10710,10;59
10740,10;81
10770,10;55
10800,10;60
10830,10;61
10860,10;68
10890,10;54
10920,10;75
10950,10;51
10980,10;51
11010,10;76
11040,10;56
11070,10;54
11100,10;70
11130,10;60
11160,10;55
11190,10;64
11220,10;50
11250,10;88
11280,10;55
11310,10;57
11340,10;40
11370,10;77
11400,10;44
11430,10;52
11460,10;92
11490,10;59
11520,10;63
11550,10;36
11580,10;69
11610,10;60
11640,10;60
11670,10;53
11700,10;62
11730,10;61
11760,10;63
11790,10;62
11820,10;64
11850,10;53
11880,10;92
11910,10;52
11940,10;69
11970,10;62
12000,10;66
12030,10;62
12060,10;33
12090,10;57
12120,10;88
12150,10;63
12180,10;68
12210,10;70
12240,10;48
12270,10;65
12300,10;85
12330,10;61
12360,10;61
12390,10;73
12420,10;85
12450,10;69
12480,10;70
12510,10;61
12540,10;77
12570,10;68
12600,10;53
12630,10;75
12660,10;70
12690,10;65
12720,10;69
12750,10;69
12780,10;70
12810,10;88
12840,10;61
12870,10;78
12900,10;70
12930,10;60
12960,10;73
12990,10;70
13020,10;62
13050,10;79
13080,10;66
13110,10;50
13140,10;58
13170,10;83
13200,10;103
13230,10;67
13260,10;73
13290,10;72
13320,10;68
13350,10;61
13380,10;68
13410,10;67
13440,10;58
13470,10;56
13500,10;105
13530,10;72
13560,10;50
13590,10;88
13620,10;73
13650,10;55
13680,10;53
13710,10;60
13740,10;84
13770,10;67
13800,10;57
13830,10;60
13860,10;78
13890,10;64
13920,10;59
13950,10;74
13980,10;70
14010,10;69
14040,10;62
14070,10;61
14100,10;68
14130,10;73
14160,10;68
14190,10;58
14220,10;85
14250,10;78
14280,10;78
14310,10;58
14340,10;59
14370,10;67
14400,10;64
14430,10;59
14460,10;58
14490,10;71
14520,10;49
14550,10;46
14580,10;67
14610,10;67
14640,10;64
14670,10;67
14700,10;68
14730,10;69
14760,10;56
14790,10;81
14820,10;53
14850,10;61
14880,10;60
14910,10;55
14940,10;69
14970,10;91
15000,10;50
15030,10;43
15060,10;90
15090,10;61
15120,10;56
15150,10;65
15180,10;59
15210,10;61
15240,10;49
15270,10;81
15300,10;37
15330,10;49
15360,10;77
15390,10;59
15420,10;48
15450,10;70
15480,10;52
15510,10;70
15540,10;58
15570,10;50
15600,10;61
15630,10;58
15660,10;62
15690,10;67
15720,10;63
15750,10;51
15780,10;81
15810,10;46
15840,10;61
15870,10;75
15900,10;66
15930,10;54
15960,10;90
15990,10;69
16020,10;58
16050,10;58
16080,10;61
16110,10;69
16140,10;58
16170,10;67
16200,10;72
16230,10;61
16260,10;46
16290,10;69
16320,10;92
16350,10;51
16380,10;82
16410,10;35
16440,10;51
16470,10;53
16500,10;68
16530,10;54
16560,10;76
16590,10;58
16620,10;65
16650,10;51
16680,10;67
16710,10;80
16740,10;52
16770,10;60
16800,10;65
16830,10;79
16860,10;50
16890,10;71
16920,10;69
16950,10;56
16980,10;73
17010,10;65
17040,10;51
17070,10;63
17100,10;58
17130,10;53
17160,10;75
17190,10;67
17220,10;67
17250,10;45
17280,10;71
