migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;98
2700,10;96
3000,10;83
3300,10;90
3600,10;120
3900,10;130
4200,10;112
4500,10;97
4800,10;102
5100,10;107
5400,10;102
5700,10;132
6000,10;146
6300,10;120
6600,10;156
6900,10;110
7200,10;153
7500,10;138
7800,10;140
8100,10;98
8400,10;93
8700,10;92
9000,10;146
9300,10;130
9600,10;98
9900,10;113
10200,10;109
10500,10;117
10800,10;81
11100,10;108
11400,10;122
11700,10;130
12000,10;97
12300,10;89
12600,10;153
12900,10;107
13200,10;154
13500,10;120
13800,10;87
14100,10;120
14400,10;106
14700,10;96
15000,10;102
15300,10;119
15600,10;88
15900,10;107
16200,10;111
16500,10;108
16800,10;126
17100,10;142
17400,10;95
17700,10;123
18000,10;118
18300,10;126
18600,10;130
18900,10;95
19200,10;143
19500,10;118
19800,10;74
20100,10;96
20400,10;94
20700,10;72
21000,10;137
21300,10;92
21600,10;104
21900,10;116
22200,10;128
22500,10;91
22800,10;89
23100,10;105
23400,10;86
23700,10;85
24000,10;98
24300,10;91
24600,10;103
24900,10;138
25200,10;117
25500,10;87
25800,10;127
26100,10;120
26400,10;87
26700,10;115
27000,10;112
27300,10;66
27600,10;95
27900,10;125
28200,10;133
28500,10;80
28800,10;102
29100,10;60
29400,10;78
29700,10;85
30000,10;152
30300,10;117
30600,10;134
30900,10;119
31200,10;127
31500,10;100
31800,10;91
32100,10;96
32400,10;110
32700,10;109
33000,10;105
33300,10;127
33600,10;120
33900,10;98
34200,10;105
34500,10;116
34800,10;85
35100,10;99
35400,10;97
35700,10;130
36000,10;106
36300,10;119
36600,10;101
36900,10;115
37200,10;109
37500,10;94
37800,10;133
38100,10;121
38400,10;112
38700,10;93
39000,10;125
39300,10;121
39600,10;112
39900,10;124
40200,10;127
40500,10;126
40800,10;118
41100,10;107
41400,10;164
41700,10;107
42000,10;111
42300,10;120
42600,10;91
42900,10;90
43200,10;136
43500,10;88
43800,10;156
44100,10;90
44400,10;99
44700,10;113
45000,10;115
45300,10;126
45600,10;114
45900,10;115
46200,10;126
46500,10;146
46800,10;120
47100,10;121
47400,10;96
47700,10;102
48000,10;139
48300,10;117
48600,10;93
48900,10;116
49200,10;99
49500,10;105
49800,10;86
50100,10;108
50400,10;98
50700,10;96
51000,10;133
51300,10;86
51600,10;84
51900,10;88
52200,10;157
52500,10;76
52800,10;103
53100,10;102
53400,10;128
53700,10;100
54000,10;111
54300,10;151
54600,10;105
54900,10;128
55200,10;111
55500,10;117
55800,10;84
56100,10;90
56400,10;119
56700,10;97
57000,10;156
57300,10;83
57600,10;100
57900,10;125
58200,10;136
58500,10;141
58800,10;137
59100,10;101
59400,10;133
59700,10;109
60000,10;124
60300,10;102
60600,10;119
60900,10;108
61200,10;116
61500,10;172
61800,10;119
62100,10;130
62400,10;84
62700,10;110
63000,10;110
63300,10;85
63600,10;68
63900,10;98
64200,10;123
64500,10;122
64800,10;139
65100,10;101
65400,10;103
65700,10;134
66000,10;84
66300,10;105
66600,10;78
66900,10;97
67200,10;77
67500,10;109
67800,10;92
68100,10;107
68400,10;80
68700,10;90
69000,10;106
69300,10;94
69600,10;114
69900,10;116
70200,10;117
70500,10;108
70800,10;99
71100,10;122
71400,10;69
71700,10;122
72000,10;85
72300,10;84
72600,10;68
72900,10;69
73200,10;108
73500,10;108
73800,10;118
74100,10;67
74400,10;118
74700,10;70
75000,10;99
75300,10;94
75600,10;120
75900,10;82
76200,10;92
76500,10;67
76800,10;133
77100,10;82
77400,10;136
77700,10;101
78000,10;68
78300,10;74
78600,10;76
78900,10;100
79200,10;96
79500,10;142
79800,10;82
80100,10;102
80400,10;104
80700,10;83
81000,10;81
81300,10;53
81600,10;105
81900,10;90
82200,10;61
82500,10;102
82800,10;84
83100,10;101
83400,10;100
83700,10;69
84000,10;103
84300,10;65
84600,10;63
84900,10;94
85200,10;88
85500,10;122
85800,10;97
86100,10;92
