migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1468
2700,10;1564
3000,10;1647
3300,10;1737
3600,10;1857
3900,10;1987
4200,10;2099
4500,10;2196
4800,10;2298
5100,10;2405
5400,10;2507
5700,10;2639
6000,10;2785
6300,10;2905
6600,10;3061
6900,10;3171
7200,10;3324
7500,10;3462
7800,10;3602
8100,10;3700
8400,10;3793
8700,10;3885
9000,10;4031
9300,10;4161
9600,10;4259
9900,10;4372
10200,10;4481
10500,10;4598
10800,10;4679
11100,10;4787
11400,10;4909
11700,10;5039
12000,10;5136
12300,10;5225
12600,10;5378
12900,10;5485
13200,10;5639
13500,10;5759
13800,10;5846
14100,10;5966
14400,10;6072
14700,10;6168
15000,10;6270
15300,10;6389
15600,10;6477
15900,10;6584
16200,10;6695
16500,10;6803
16800,10;6929
17100,10;7071
17400,10;7166
17700,10;7289
18000,10;7407
18300,10;7533
18600,10;7663
18900,10;7758
19200,10;7901
19500,10;8019
19800,10;8093
20100,10;8189
20400,10;8283
20700,10;8355
21000,10;8492
21300,10;8584
21600,10;8688
21900,10;8804
22200,10;8932
22500,10;9023
22800,10;9112
23100,10;9217
23400,10;9303
23700,10;9388
24000,10;9486
24300,10;9577
24600,10;9680
24900,10;9818
25200,10;9935
25500,10;10022
25800,10;10149
26100,10;10269
26400,10;10356
26700,10;10471
27000,10;10583
27300,10;10649
27600,10;10744
27900,10;10869
28200,10;11002
28500,10;11082
28800,10;11184
29100,10;11244
29400,10;11322
29700,10;11407
30000,10;11559
30300,10;11676
30600,10;11810
30900,10;11929
31200,10;12056
31500,10;12156
31800,10;12247
32100,10;12343
32400,10;12453
32700,10;12562
33000,10;12667
33300,10;12794
33600,10;12914
33900,10;13012
34200,10;13117
34500,10;13233
34800,10;13318
35100,10;13417
35400,10;13514
35700,10;13644
36000,10;13750
36300,10;13869
36600,10;13970
36900,10;14085
37200,10;14194
37500,10;14288
37800,10;14421
38100,10;14542
38400,10;14654
38700,10;14747
39000,10;14872
39300,10;14993
39600,10;15105
39900,10;15229
40200,10;15356
40500,10;15482
40800,10;15600
41100,10;15707
41400,10;15871
41700,10;15978
42000,10;16089
42300,10;16209
42600,10;16300
42900,10;16390
43200,10;16526
43500,10;16614
43800,10;16770
44100,10;16860
44400,10;16959
44700,10;17072
45000,10;17187
45300,10;17313
45600,10;17427
45900,10;17542
46200,10;17668
46500,10;17814
46800,10;17934
47100,10;18055
47400,10;18151
47700,10;18253
48000,10;18392
48300,10;18509
48600,10;18602
48900,10;18718
49200,10;18817
49500,10;18922
49800,10;19008
50100,10;19116
50400,10;19214
50700,10;19310
51000,10;19443
51300,10;19529
51600,10;19613
51900,10;19701
52200,10;19858
52500,10;19934
52800,10;20037
53100,10;20139
53400,10;20267
53700,10;20367
54000,10;20478
54300,10;20629
54600,10;20734
54900,10;20862
55200,10;20973
55500,10;21090
55800,10;21174
56100,10;21264
56400,10;21383
56700,10;21480
57000,10;21636
57300,10;21719
57600,10;21819
57900,10;21944
58200,10;22080
58500,10;22221
58800,10;22358
59100,10;22459
59400,10;22592
59700,10;22701
60000,10;22825
60300,10;22927
60600,10;23046
60900,10;23154
61200,10;23270
61500,10;23442
61800,10;23561
62100,10;23691
62400,10;23775
62700,10;23885
63000,10;23995
63300,10;24080
63600,10;24148
63900,10;24246
64200,10;24369
64500,10;24491
64800,10;24630
65100,10;24731
65400,10;24834
65700,10;24968
66000,10;25052
66300,10;25157
66600,10;25235
66900,10;25332
67200,10;25409
67500,10;25518
67800,10;25610
68100,10;25717
68400,10;25797
68700,10;25887
69000,10;25993
69300,10;26087
69600,10;26201
69900,10;26317
70200,10;26434
70500,10;26542
70800,10;26641
71100,10;26763
71400,10;26832
71700,10;26954
72000,10;27039
72300,10;27123
72600,10;27191
72900,10;27260
73200,10;27368
73500,10;27476
73800,10;27594
74100,10;27661
74400,10;27779
74700,10;27849
75000,10;27948
75300,10;28042
75600,10;28162
75900,10;28244
76200,10;28336
76500,10;28403
76800,10;28536
77100,10;28618
77400,10;28754
77700,10;28855
78000,10;28923
78300,10;28997
78600,10;29073
78900,10;29173
79200,10;29269
79500,10;29411
79800,10;29493
80100,10;29595
80400,10;29699
80700,10;29782
81000,10;29863
81300,10;29916
81600,10;30021
81900,10;30111
82200,10;30172
82500,10;30274
82800,10;30358
83100,10;30459
83400,10;30559
83700,10;30628
84000,10;30731
84300,10;30796
84600,10;30859
84900,10;30953
85200,10;31041
85500,10;31163
85800,10;31260
86100,10;31352
