migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;164
1800,10;146
2100,10;149
2400,10;118
2700,10;110
3000,10;113
3300,10;146
3600,10;142
3900,10;188
4200,10;324
4500,10;363
4800,10;514
5100,10;346
5400,10;336
5700,10;328
6000,10;436
6300,10;419
6600,10;184
6900,10;343
7200,10;339
7500,10;434
7800,10;191
8100,10;328
8400,10;307
8700,10;275
9000,10;286
9300,10;383
9600,10;426
9900,10;274
10200,10;184
10500,10;337
10800,10;367
11100,10;314
11400,10;432
11700,10;264
12000,10;156
12300,10;305
12600,10;288
12900,10;291
13200,10;418
13500,10;352
13800,10;312
14100,10;352
14400,10;287
14700,10;403
15000,10;256
15300,10;272
15600,10;422
15900,10;224
16200,10;305
16500,10;404
16800,10;279
17100,10;271
17400,10;361
17700,10;302
18000,10;279
18300,10;385
18600,10;257
18900,10;340
19200,10;231
19500,10;336
19800,10;309
20100,10;177
20400,10;250
20700,10;226
21000,10;362
21300,10;289
21600,10;213
21900,10;270
22200,10;206
22500,10;323
22800,10;328
23100,10;195
23400,10;224
23700,10;395
24000,10;203
24300,10;328
24600,10;285
24900,10;291
25200,10;272
25500,10;329
25800,10;316
26100,10;268
26400,10;385
26700,10;161
27000,10;221
27300,10;277
27600,10;339
27900,10;258
28200,10;245
28500,10;423
28800,10;149
29100,10;169
29400,10;173
29700,10;341
30000,10;279
30300,10;328
30600,10;367
30900,10;275
31200,10;326
31500,10;321
31800,10;167
32100,10;344
32400,10;288
32700,10;187
33000,10;255
33300,10;321
33600,10;298
33900,10;149
34200,10;263
34500,10;224
34800,10;343
35100,10;315
35400,10;287
35700,10;262
36000,10;376
36300,10;180
36600,10;196
36900,10;363
37200,10;317
37500,10;278
37800,10;283
38100,10;293
38400,10;230
38700,10;315
39000,10;338
39300,10;258
39600,10;302
39900,10;294
40200,10;289
40500,10;343
40800,10;235
41100,10;232
41400,10;293
41700,10;258
42000,10;318
42300,10;187
42600,10;343
42900,10;284
43200,10;286
43500,10;276
43800,10;246
44100,10;245
44400,10;299
44700,10;227
45000,10;294
45300,10;348
45600,10;283
45900,10;192
46200,10;310
46500,10;284
46800,10;394
47100,10;165
47400,10;301
47700,10;264
48000,10;327
48300,10;290
48600,10;282
48900,10;313
49200,10;184
49500,10;299
49800,10;335
50100,10;205
50400,10;259
50700,10;266
51000,10;222
51300,10;372
51600,10;271
51900,10;203
52200,10;204
52500,10;355
52800,10;202
53100,10;341
53400,10;290
53700,10;283
54000,10;325
54300,10;285
54600,10;314
54900,10;324
55200,10;309
55500,10;239
55800,10;266
56100,10;278
56400,10;306
56700,10;262
57000,10;208
57300,10;320
57600,10;261
57900,10;315
58200,10;284
58500,10;200
58800,10;209
59100,10;280
59400,10;221
59700,10;281
60000,10;284
60300,10;306
60600,10;323
60900,10;272
61200,10;202
61500,10;285
61800,10;280
62100,10;299
62400,10;299
62700,10;300
63000,10;277
63300,10;302
63600,10;175
63900,10;246
64200,10;296
64500,10;383
64800,10;119
65100,10;215
65400,10;315
65700,10;245
66000,10;242
66300,10;273
66600,10;376
66900,10;218
67200,10;144
67500,10;290
67800,10;372
68100,10;179
68400,10;214
68700,10;310
69000,10;377
69300,10;172
69600,10;281
69900,10;221
70200,10;230
70500,10;226
70800,10;368
71100,10;179
71400,10;341
71700,10;275
72000,10;331
72300,10;110
72600,10;345
72900,10;173
73200,10;200
73500,10;300
73800,10;310
74100,10;216
74400,10;284
74700,10;282
75000,10;252
75300,10;187
75600,10;286
75900,10;379
76200,10;180
76500,10;276
76800,10;245
77100,10;402
77400,10;192
77700,10;302
78000,10;209
78300,10;378
78600,10;158
78900,10;370
79200,10;276
79500,10;123
79800,10;197
80100,10;223
80400,10;287
80700,10;322
81000,10;389
81300,10;198
81600,10;167
81900,10;311
82200,10;356
82500,10;127
82800,10;242
83100,10;315
83400,10;250
83700,10;255
84000,10;206
84300,10;209
84600,10;196
84900,10;353
85200,10;297
85500,10;186
85800,10;212
86100,10;278
