time;num_of_active_hosts_new
300,10;800
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;140
2100,10;120
2400,10;102
2700,10;90
3000,10;82
3300,10;76
3600,10;69
3900,10;71
4200,10;88
4500,10;86
4800,10;124
5100,10;93
5400,10;83
5700,10;82
6000,10;107
6300,10;109
6600,10;65
6900,10;85
7200,10;93
7500,10;117
7800,10;69
8100,10;91
8400,10;84
8700,10;83
9000,10;73
9300,10;113
9600,10;127
9900,10;81
10200,10;67
10500,10;89
10800,10;81
11100,10;77
11400,10;122
11700,10;86
12000,10;60
12300,10;85
12600,10;77
12900,10;80
13200,10;97
13500,10;81
13800,10;80
14100,10;88
14400,10;81
14700,10;100
15000,10;78
15300,10;79
15600,10;99
15900,10;65
16200,10;78
16500,10;104
16800,10;82
17100,10;79
17400,10;95
17700,10;79
18000,10;78
18300,10;105
18600,10;73
18900,10;93
19200,10;70
19500,10;113
19800,10;104
20100,10;68
20400,10;77
20700,10;67
21000,10;118
21300,10;96
21600,10;69
21900,10;78
22200,10;63
22500,10;104
22800,10;96
23100,10;71
23400,10;70
23700,10;109
24000,10;68
24300,10;95
24600,10;83
24900,10;85
25200,10;78
25500,10;89
25800,10;87
26100,10;86
26400,10;114
26700,10;69
27000,10;72
27300,10;83
27600,10;91
27900,10;71
28200,10;110
28500,10;157
28800,10;75
29100,10;72
29400,10;63
29700,10;99
30000,10;85
30300,10;89
30600,10;99
30900,10;75
31200,10;94
31500,10;95
31800,10;61
32100,10;111
32400,10;91
32700,10;71
33000,10;73
33300,10;106
33600,10;97
33900,10;66
34200,10;79
34500,10;70
34800,10;101
35100,10;94
35400,10;85
35700,10;77
36000,10;113
36300,10;70
36600,10;70
36900,10;104
37200,10;95
37500,10;85
37800,10;85
38100,10;89
38400,10;71
38700,10;87
39000,10;94
39300,10;84
39600,10;87
39900,10;77
40200,10;107
40500,10;115
40800,10;81
41100,10;76
41400,10;88
41700,10;78
42000,10;96
42300,10;66
42600,10;106
42900,10;84
43200,10;90
43500,10;86
43800,10;78
44100,10;76
44400,10;91
44700,10;72
45000,10;82
45300,10;103
45600,10;90
45900,10;70
46200,10;88
46500,10;73
46800,10;114
47100,10;65
47400,10;91
47700,10;83
48000,10;93
48300,10;93
48600,10;89
48900,10;96
49200,10;62
49500,10;95
49800,10;100
50100,10;73
50400,10;82
50700,10;82
51000,10;70
51300,10;116
51600,10;92
51900,10;75
52200,10;74
52500,10;105
52800,10;69
53100,10;98
53400,10;83
53700,10;82
54000,10;95
54300,10;86
54600,10;90
54900,10;100
55200,10;92
55500,10;78
55800,10;83
56100,10;85
56400,10;94
56700,10;76
57000,10;75
57300,10;88
57600,10;81
57900,10;102
58200,10;93
58500,10;76
58800,10;74
59100,10;85
59400,10;70
59700,10;88
60000,10;83
60300,10;87
60600,10;97
60900,10;79
61200,10;70
61500,10;87
61800,10;78
62100,10;87
62400,10;83
62700,10;87
63000,10;83
63300,10;90
63600,10;65
63900,10;79
64200,10;83
64500,10;118
64800,10;58
65100,10;73
65400,10;91
65700,10;78
66000,10;78
66300,10;78
66600,10;114
66900,10;80
67200,10;55
67500,10;85
67800,10;102
68100,10;67
68400,10;68
68700,10;89
69000,10;108
69300,10;59
69600,10;78
69900,10;69
70200,10;66
70500,10;82
70800,10;104
71100,10;58
71400,10;87
71700,10;91
72000,10;94
72300,10;47
72600,10;95
72900,10;59
73200,10;60
73500,10;101
73800,10;91
74100,10;71
74400,10;73
74700,10;84
75000,10;75
75300,10;61
75600,10;76
75900,10;97
76200,10;57
76500,10;68
76800,10;69
77100,10;118
77400,10;68
77700,10;82
78000,10;60
78300,10;87
78600,10;49
78900,10;108
79200,10;90
79500,10;54
79800,10;63
80100,10;62
80400,10;74
80700,10;86
81000,10;104
81300,10;61
81600,10;53
81900,10;88
82200,10;94
82500,10;49
82800,10;59
83100,10;95
83400,10;76
83700,10;73
84000,10;62
84300,10;60
84600,10;54
84900,10;95
85200,10;83
85500,10;59
85800,10;58
86100,10;76
