time;num_of_active_hosts
300,10;776
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;94
2400,10;83
2700,10;78
3000,10;80
3300,10;66
3600,10;78
3900,10;64
4200,10;78
4500,10;71
4800,10;75
5100,10;83
5400,10;69
5700,10;71
6000,10;82
6300,10;100
6600,10;82
6900,10;71
7200,10;73
7500,10;117
7800,10;95
8100,10;81
8400,10;74
8700,10;79
9000,10;70
9300,10;101
9600,10;95
9900,10;78
10200,10;81
10500,10;77
10800,10;73
11100,10;58
11400,10;77
11700,10;84
12000,10;86
12300,10;71
12600,10;76
12900,10;65
13200,10;74
13500,10;72
13800,10;61
14100,10;98
14400,10;95
14700,10;91
15000,10;91
15300,10;77
15600,10;85
15900,10;67
16200,10;64
16500,10;80
16800,10;75
17100,10;80
17400,10;98
17700,10;74
18000,10;72
18300,10;79
18600,10;91
18900,10;93
19200,10;72
19500,10;95
19800,10;91
20100,10;72
20400,10;78
20700,10;65
21000,10;85
21300,10;89
21600,10;71
21900,10;82
22200,10;66
22500,10;83
22800,10;90
23100,10;87
23400,10;71
23700,10;91
24000,10;72
24300,10;87
24600,10;85
24900,10;73
25200,10;74
25500,10;74
25800,10;70
26100,10;65
26400,10;92
26700,10;79
27000,10;92
27300,10;77
27600,10;87
27900,10;71
28200,10;79
28500,10;111
28800,10;79
29100,10;68
29400,10;59
29700,10;76
30000,10;75
30300,10;75
30600,10;88
30900,10;69
31200,10;54
31500,10;72
31800,10;74
32100,10;93
32400,10;76
32700,10;104
33000,10;79
33300,10;93
33600,10;77
33900,10;88
34200,10;68
34500,10;62
34800,10;84
35100,10;70
35400,10;86
35700,10;80
36000,10;96
36300,10;67
36600,10;59
36900,10;82
37200,10;73
37500,10;95
37800,10;83
38100,10;81
38400,10;70
38700,10;77
39000,10;94
39300,10;71
39600,10;84
39900,10;66
40200,10;78
40500,10;94
40800,10;76
41100,10;72
41400,10;92
41700,10;73
42000,10;80
42300,10;68
42600,10;74
42900,10;72
43200,10;85
43500,10;80
43800,10;68
44100,10;66
44400,10;71
44700,10;77
45000,10;59
45300,10;99
45600,10;80
45900,10;88
46200,10;85
46500,10;70
46800,10;83
47100,10;72
47400,10;95
47700,10;74
48000,10;86
48300,10;83
48600,10;81
48900,10;94
49200,10;66
49500,10;88
49800,10;79
50100,10;82
50400,10;62
50700,10;72
51000,10;59
51300,10;100
51600,10;83
51900,10;85
52200,10;64
52500,10;94
52800,10;78
53100,10;90
53400,10;77
53700,10;72
54000,10;78
54300,10;71
54600,10;75
54900,10;77
55200,10;80
55500,10;84
55800,10;79
56100,10;76
56400,10;75
56700,10;82
57000,10;80
57300,10;66
57600,10;73
57900,10;86
58200,10;80
58500,10;77
58800,10;87
59100,10;98
59400,10;80
59700,10;74
60000,10;76
60300,10;77
60600,10;72
60900,10;78
61200,10;72
61500,10;79
61800,10;79
62100,10;80
62400,10;78
62700,10;79
63000,10;70
63300,10;81
63600,10;61
63900,10;73
64200,10;69
64500,10;89
64800,10;78
65100,10;71
65400,10;82
65700,10;90
66000,10;78
66300,10;82
66600,10;86
66900,10;70
67200,10;63
67500,10;71
67800,10;77
68100,10;70
68400,10;73
68700,10;74
69000,10;80
69300,10;75
69600,10;74
69900,10;58
70200,10;53
70500,10;61
70800,10;96
71100,10;71
71400,10;97
71700,10;71
72000,10;59
72300,10;57
72600,10;80
72900,10;75
73200,10;55
73500,10;85
73800,10;85
74100,10;79
74400,10;56
74700,10;57
75000,10;65
75300,10;70
75600,10;64
75900,10;95
76200,10;61
76500,10;62
76800,10;52
77100,10;95
77400,10;65
77700,10;99
78000,10;63
78300,10;59
78600,10;61
78900,10;67
79200,10;91
79500,10;61
79800,10;62
80100,10;63
80400,10;75
80700,10;71
81000,10;79
81300,10;66
81600,10;56
81900,10;64
82200,10;99
82500,10;66
82800,10;66
83100,10;62
83400,10;62
83700,10;73
84000,10;65
84300,10;67
84600,10;56
84900,10;68
85200,10;63
85500,10;73
85800,10;57
86100,10;64
