migration_time;num_of_mig_cum
300,10;838
600,10;978
900,10;1112
1200,10;1219
1500,10;1342
1800,10;1467
2100,10;1581
2400,10;1670
2700,10;1791
3000,10;1910
3300,10;2021
3600,10;2148
3900,10;2261
4200,10;2346
4500,10;2466
4800,10;2540
5100,10;2618
5400,10;2709
5700,10;2785
6000,10;2874
6300,10;2958
6600,10;3037
6900,10;3102
7200,10;3172
7500,10;3271
7800,10;3355
8100,10;3415
8400,10;3482
8700,10;3554
9000,10;3658
9300,10;3752
9600,10;3840
9900,10;3934
10200,10;4030
10500,10;4119
10800,10;4204
11100,10;4294
11400,10;4374
11700,10;4444
12000,10;4515
12300,10;4585
12600,10;4674
12900,10;4754
13200,10;4830
13500,10;4899
13800,10;4983
14100,10;5049
14400,10;5133
14700,10;5204
15000,10;5266
15300,10;5365
15600,10;5436
15900,10;5519
16200,10;5594
16500,10;5675
16800,10;5751
17100,10;5822
17400,10;5882
17700,10;5969
18000,10;6057
18300,10;6118
18600,10;6191
18900,10;6246
19200,10;6317
19500,10;6394
19800,10;6467
20100,10;6552
20400,10;6630
20700,10;6714
21000,10;6765
21300,10;6835
21600,10;6908
21900,10;6980
22200,10;7054
22500,10;7148
22800,10;7214
23100,10;7276
23400,10;7368
23700,10;7418
24000,10;7482
24300,10;7540
24600,10;7614
24900,10;7684
25200,10;7754
25500,10;7845
25800,10;7897
26100,10;7993
26400,10;8061
26700,10;8132
27000,10;8206
27300,10;8282
27600,10;8350
27900,10;8431
28200,10;8545
28500,10;8638
28800,10;8716
29100,10;8770
29400,10;8848
29700,10;8918
30000,10;9015
30300,10;9095
30600,10;9132
30900,10;9208
31200,10;9278
31500,10;9353
31800,10;9456
32100,10;9542
32400,10;9633
32700,10;9736
33000,10;9817
33300,10;9885
33600,10;9969
33900,10;10041
34200,10;10104
34500,10;10177
34800,10;10242
35100,10;10321
35400,10;10397
35700,10;10485
36000,10;10537
36300,10;10608
36600,10;10697
36900,10;10775
37200,10;10863
37500,10;10944
37800,10;11025
38100,10;11103
38400,10;11191
38700,10;11283
39000,10;11361
39300,10;11452
39600,10;11525
39900,10;11623
40200,10;11714
40500,10;11788
40800,10;11859
41100,10;11941
41400,10;12012
41700,10;12105
42000,10;12163
42300,10;12247
42600,10;12323
42900,10;12411
43200,10;12507
43500,10;12582
43800,10;12651
44100,10;12727
44400,10;12788
44700,10;12865
45000,10;12950
45300,10;13020
45600,10;13104
45900,10;13182
46200,10;13264
46500,10;13354
46800,10;13430
47100,10;13521
47400,10;13589
47700,10;13658
48000,10;13733
48300,10;13810
48600,10;13884
48900,10;13959
49200,10;14044
49500,10;14136
49800,10;14204
50100,10;14258
50400,10;14331
50700,10;14407
51000,10;14499
51300,10;14559
51600,10;14644
51900,10;14733
52200,10;14813
52500,10;14881
52800,10;14976
53100,10;15042
53400,10;15099
53700,10;15200
54000,10;15262
54300,10;15355
54600,10;15448
54900,10;15526
55200,10;15595
55500,10;15674
55800,10;15736
56100,10;15815
56400,10;15903
56700,10;15957
57000,10;16031
57300,10;16103
57600,10;16176
57900,10;16245
58200,10;16313
58500,10;16381
58800,10;16440
59100,10;16511
59400,10;16587
59700,10;16662
60000,10;16761
60300,10;16860
60600,10;16923
60900,10;16986
61200,10;17052
61500,10;17132
61800,10;17227
62100,10;17314
62400,10;17396
62700,10;17462
63000,10;17528
63300,10;17593
63600,10;17643
63900,10;17698
64200,10;17796
64500,10;17862
64800,10;17914
65100,10;18002
65400,10;18081
65700,10;18154
66000,10;18217
66300,10;18287
66600,10;18357
66900,10;18405
67200,10;18467
67500,10;18550
67800,10;18610
68100,10;18672
68400,10;18745
68700,10;18822
69000,10;18905
69300,10;18972
69600,10;19009
69900,10;19071
70200,10;19133
70500,10;19221
70800,10;19300
71100,10;19397
71400,10;19486
71700,10;19566
72000,10;19636
72300,10;19718
72600,10;19766
72900,10;19813
73200,10;19894
73500,10;19953
73800,10;20032
74100,10;20079
74400,10;20131
74700,10;20209
75000,10;20281
75300,10;20346
75600,10;20404
75900,10;20482
76200,10;20548
76500,10;20604
76800,10;20682
77100,10;20753
77400,10;20838
77700,10;20897
78000,10;20972
78300,10;21038
78600,10;21111
78900,10;21194
79200,10;21248
79500,10;21288
79800,10;21353
80100,10;21413
80400,10;21472
80700,10;21530
81000,10;21583
81300,10;21631
81600,10;21698
81900,10;21773
82200,10;21825
82500,10;21884
82800,10;21962
83100,10;22015
83400,10;22079
83700,10;22145
84000,10;22194
84300,10;22248
84600,10;22303
84900,10;22348
85200,10;22437
85500,10;22482
85800,10;22569
86100,10;22650
